dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.177364,0.809600,0.000024,0.004856,0.485641,48.564103,6.282387
0.010000,0.177362,0.809600,0.000026,0.000149,-0.470773,-95.641420,6.282406
0.010000,0.177359,0.809600,0.000029,0.000335,0.018583,48.935607,6.282449
0.010000,0.177353,0.809600,0.000035,0.000595,0.026011,0.742779,6.282525
0.010000,0.177344,0.809600,0.000044,0.000929,0.033430,0.741956,6.282645
0.010000,0.177330,0.809600,0.000058,0.001337,0.040836,0.740607,6.282816
0.010000,0.177312,0.809600,0.000076,0.001820,0.048222,0.738600,6.283050
0.010000,0.178156,0.809600,0.000920,0.084390,8.257006,820.878342,0.000170
0.010000,0.180093,0.809601,0.002857,0.193681,10.929177,267.217136,0.000557
0.010000,0.182460,0.809603,0.005224,0.236722,4.304115,-662.506236,0.001029
0.010000,0.185258,0.809606,0.008021,0.279762,4.303966,-0.014834,0.001586
0.010000,0.188486,0.809612,0.011250,0.322817,4.305516,0.155010,0.002228
0.010000,0.192144,0.809622,0.014908,0.365863,4.304546,-0.097037,0.002955
0.010000,0.196233,0.809636,0.018997,0.408912,4.304957,0.041117,0.003766
0.010000,0.200753,0.809655,0.023517,0.451964,4.305213,0.025537,0.004661
0.010000,0.205703,0.809680,0.028467,0.495021,4.305644,0.043110,0.005641
0.010000,0.211084,0.809713,0.033848,0.538088,4.306723,0.107900,0.006703
0.010000,0.216895,0.809756,0.039660,0.581145,4.305643,-0.107931,0.007848
0.010000,0.223137,0.809808,0.045902,0.624218,4.307380,0.173608,0.009075
0.010000,0.229810,0.809873,0.052575,0.667283,4.306511,-0.086826,0.010384
0.010000,0.236913,0.809952,0.059678,0.710368,4.308416,0.190452,0.011774
0.010000,0.244447,0.810046,0.067213,0.753450,4.308190,-0.022543,0.013245
0.010000,0.252411,0.810158,0.075178,0.796536,4.308641,0.045051,0.014795
0.010000,0.260807,0.810289,0.083574,0.839628,4.309254,0.061336,0.016424
0.010000,0.269633,0.810442,0.092402,0.882726,4.309738,0.048382,0.018131
0.010000,0.278889,0.810618,0.101660,0.925840,4.311431,0.169299,0.019916
0.010000,0.288577,0.810820,0.111350,0.968949,4.310926,-0.050531,0.021776
0.010000,0.298695,0.811050,0.121470,1.012069,4.311973,0.104759,0.023713
0.010000,0.309244,0.811311,0.132022,1.055197,4.312825,0.085132,0.025724
0.010000,0.320223,0.811605,0.143006,1.098338,4.314016,0.119121,0.027808
0.010000,0.331633,0.811934,0.154420,1.141480,4.314264,0.024857,0.029964
0.010000,0.343474,0.812302,0.166267,1.184634,4.315380,0.111541,0.032192
0.010000,0.355745,0.812712,0.178545,1.227798,4.316377,0.099750,0.034490
0.010000,0.368446,0.813165,0.191254,1.270971,4.317273,0.089605,0.036856
0.010000,0.381578,0.813665,0.204396,1.314151,4.318084,0.081112,0.039290
0.010000,0.395141,0.814215,0.217969,1.357351,4.319976,0.189113,0.041790
0.010000,0.409133,0.814818,0.231975,1.400553,4.320179,0.020304,0.044354
0.010000,0.423556,0.815478,0.246413,1.443772,4.321947,0.176831,0.046982
0.010000,0.438409,0.816196,0.261283,1.486998,4.322526,0.057858,0.049671
0.010000,0.453691,0.816977,0.276585,1.530240,4.324281,0.175511,0.052420
0.010000,0.469403,0.817823,0.292320,1.573497,4.325670,0.138897,0.055227
0.010000,0.485545,0.818739,0.308488,1.616764,4.326668,0.099871,0.058091
0.010000,0.502116,0.819727,0.325088,1.660047,4.328297,0.162874,0.061009
0.010000,0.519116,0.820791,0.342122,1.703345,4.329865,0.156809,0.063980
0.010000,0.536545,0.821934,0.359588,1.746655,4.330911,0.104619,0.067003
0.010000,0.554403,0.823160,0.377488,1.789982,4.332696,0.178506,0.070074
0.010000,0.572689,0.824472,0.395821,1.833325,4.334394,0.169775,0.073192
0.010000,0.591404,0.825874,0.414588,1.876686,4.336067,0.167271,0.076354
0.010000,0.610546,0.827369,0.433789,1.920061,4.337522,0.145483,0.079560
0.010000,0.630116,0.828962,0.453423,1.963456,4.339438,0.191652,0.082805
0.010000,0.650113,0.830654,0.473492,2.006869,4.341301,0.186230,0.086089
0.010000,0.670537,0.832451,0.493995,2.050300,4.343129,0.182848,0.089408
0.010000,0.691388,0.834356,0.514932,2.093749,4.344943,0.181400,0.092760
0.010000,0.712665,0.836371,0.536305,2.137217,4.346761,0.181773,0.096142
0.010000,0.734368,0.838502,0.558112,2.180711,4.349376,0.261503,0.099553
0.010000,0.756496,0.840751,0.580354,2.224217,4.350634,0.125847,0.102989
0.010000,0.779049,0.843121,0.603031,2.267752,4.353458,0.282363,0.106448
