dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.177302,0.731822,0.000024,0.004856,0.485641,48.564103,6.282387
0.010000,0.177302,0.731822,0.000121,0.014569,0.971282,48.564103,6.282406
0.010000,0.177302,0.731822,0.000340,0.029138,1.456923,48.564103,6.282449
0.010000,0.177302,0.731822,0.000728,0.048564,1.942564,48.564103,6.282525
0.010000,0.177302,0.731822,0.001336,0.072846,2.428205,48.564103,6.282645
0.010000,0.177302,0.731822,0.002210,0.101985,2.913846,48.564103,6.282816
0.010000,0.177302,0.731822,0.003399,0.135979,3.399487,48.564103,6.283050
0.010000,0.178169,0.731822,0.004954,0.174831,3.885128,48.564103,0.000170
0.010000,0.180136,0.731823,0.006920,0.218538,4.370769,48.564103,0.000557
0.010000,0.182540,0.731825,0.009324,0.262246,4.370769,0.000000,0.001029
0.010000,0.185381,0.731828,0.012165,0.305954,4.370769,-0.000000,0.001586
0.010000,0.188659,0.731835,0.015443,0.349662,4.370769,0.000000,0.002228
0.010000,0.192374,0.731844,0.019159,0.393369,4.370769,-0.000000,0.002955
0.010000,0.196526,0.731858,0.023311,0.437077,4.370769,0.000000,0.003766
0.010000,0.201116,0.731878,0.027900,0.480785,4.370769,0.000000,0.004661
0.010000,0.206142,0.731903,0.032926,0.524492,4.370769,0.000000,0.005641
0.010000,0.211605,0.731937,0.038390,0.568200,4.370769,-0.000000,0.006703
0.010000,0.217506,0.731980,0.044290,0.611908,4.370769,0.000000,0.007848
0.010000,0.223843,0.732034,0.050628,0.655615,4.370769,0.000000,0.009075
0.010000,0.230617,0.732100,0.057403,0.699323,4.370769,0.000000,0.010384
0.010000,0.237829,0.732180,0.064615,0.743031,4.370769,-0.000000,0.011774
0.010000,0.245477,0.732275,0.072263,0.786738,4.370769,0.000000,0.013245
0.010000,0.253562,0.732389,0.080349,0.830446,4.370769,0.000000,0.014795
0.010000,0.262084,0.732522,0.088872,0.874154,4.370769,-0.000000,0.016424
0.010000,0.271043,0.732676,0.097832,0.917862,4.370769,0.000000,0.018131
0.010000,0.280438,0.732855,0.107230,0.961569,4.370769,0.000000,0.019916
0.010000,0.290270,0.733060,0.117064,1.005277,4.370769,-0.000000,0.021776
0.010000,0.300539,0.733294,0.127335,1.048985,4.370769,0.000000,0.023713
0.010000,0.311244,0.733558,0.138043,1.092692,4.370769,-0.000000,0.025724
0.010000,0.322386,0.733857,0.149189,1.136400,4.370769,0.000000,0.027808
0.010000,0.333963,0.734191,0.160771,1.180108,4.370769,0.000000,0.029964
0.010000,0.345977,0.734565,0.172791,1.223815,4.370769,-0.000000,0.032192
0.010000,0.358427,0.734980,0.185248,1.267523,4.370769,0.000000,0.034490
0.010000,0.371312,0.735440,0.198142,1.311231,4.370769,-0.000000,0.036856
0.010000,0.384634,0.735947,0.211472,1.354938,4.370769,0.000000,0.039290
0.010000,0.398390,0.736505,0.225240,1.398646,4.370769,-0.000000,0.041790
0.010000,0.412582,0.737117,0.239445,1.442354,4.370769,0.000000,0.044354
0.010000,0.427209,0.737786,0.254087,1.486062,4.370769,0.000000,0.046982
0.010000,0.442270,0.738514,0.269167,1.529769,4.370769,0.000000,0.049671
0.010000,0.457766,0.739306,0.284683,1.573477,4.370769,0.000000,0.052420
0.010000,0.473697,0.740164,0.300636,1.617185,4.370769,-0.000000,0.055227
0.010000,0.490061,0.741092,0.317026,1.660892,4.370769,0.000000,0.058091
0.010000,0.506858,0.742094,0.333854,1.704600,4.370769,-0.000000,0.061009
0.010000,0.524089,0.743172,0.351118,1.748308,4.370769,0.000000,0.063980
0.010000,0.541753,0.744330,0.368820,1.792015,4.370769,0.000000,0.067003
0.010000,0.559849,0.745573,0.386959,1.835723,4.370769,-0.000000,0.070074
0.010000,0.578377,0.746902,0.405535,1.879431,4.370769,0.000000,0.073192
0.010000,0.597337,0.748323,0.424547,1.923138,4.370769,-0.000000,0.076354
0.010000,0.616728,0.749837,0.443997,1.966846,4.370769,0.000000,0.079560
0.010000,0.636549,0.751450,0.463884,2.010554,4.370769,-0.000000,0.082805
0.010000,0.656801,0.753164,0.484208,2.054262,4.370769,0.000000,0.086089
0.010000,0.677482,0.754984,0.504970,2.097969,4.370769,-0.000000,0.089408
0.010000,0.698592,0.756912,0.526168,2.141677,4.370769,0.000000,0.092760
0.010000,0.720131,0.758953,0.547803,2.185385,4.370769,0.000000,0.096142
0.010000,0.742098,0.761109,0.569875,2.229092,4.370769,0.000000,0.099553
0.010000,0.764492,0.763385,0.592385,2.272800,4.370769,-0.000000,0.102989
0.010000,0.787313,0.765783,0.615331,2.316508,4.370769,0.000000,0.106448
0.010000,0.810560,0.768308,0.638715,2.360215,4.370769,0.000000,0.109927
0.010000,0.834232,0.770963,0.662536,2.403923,4.370769,-0.000000,0.113423
0.010000,0.858329,0.773751,0.686794,2.447631,4.370769,0.000000,0.116933
0.010000,0.882850,0.776675,0.711488,2.491338,4.370769,-0.000000,0.120454
0.010000,0.907795,0.779739,0.736620,2.535046,4.370769,0.000000,0.123983
0.010000,0.933162,0.782946,0.762189,2.578754,4.370769,-0.000000,0.127518
0.010000,0.958951,0.786299,0.788195,2.622462,4.370769,0.000000,0.131054
0.010000,0.985161,0.789801,0.814639,2.666169,4.370769,-0.000000,0.134590
