dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.177239,0.654044,0.000024,0.004856,0.485641,48.564103,6.282387
0.010000,0.177241,0.654044,0.000026,0.000149,-0.470773,-95.641420,6.282406
0.010000,0.177244,0.654044,0.000029,0.000335,0.018583,48.935607,6.282449
0.010000,0.177250,0.654044,0.000035,0.000595,0.026011,0.742779,6.282525
0.010000,0.177259,0.654044,0.000044,0.000929,0.033430,0.741956,6.282645
0.010000,0.177273,0.654044,0.000058,0.001337,0.040836,0.740607,6.282816
0.010000,0.177291,0.654044,0.000076,0.001820,0.048222,0.738600,6.283050
0.010000,0.178182,0.654044,0.000967,0.089140,8.732085,868.386278,0.000170
0.010000,0.180179,0.654045,0.002964,0.199690,11.055002,232.291704,0.000557
0.010000,0.182620,0.654047,0.005405,0.244061,4.437111,-661.789147,0.001029
0.010000,0.185504,0.654051,0.008289,0.288428,4.436632,-0.047887,0.001586
0.010000,0.188832,0.654057,0.011617,0.332806,4.437843,0.121166,0.002228
0.010000,0.192604,0.654067,0.015389,0.377170,4.436396,-0.144794,0.002955
0.010000,0.196819,0.654081,0.019604,0.421533,4.436310,-0.008538,0.003766
0.010000,0.201478,0.654101,0.024263,0.465893,4.436002,-0.030855,0.004661
0.010000,0.206581,0.654127,0.029366,0.510251,4.435811,-0.019081,0.005641
0.010000,0.212127,0.654161,0.034912,0.554614,4.436223,0.041261,0.006703
0.010000,0.218116,0.654205,0.040901,0.598957,4.434346,-0.187731,0.007848
0.010000,0.224549,0.654259,0.047334,0.643310,4.435304,0.095804,0.009075
0.010000,0.231425,0.654326,0.054211,0.687645,4.433510,-0.179362,0.010384
0.010000,0.238745,0.654407,0.061531,0.731990,4.434506,0.099506,0.011774
0.010000,0.246507,0.654504,0.069294,0.776323,4.433236,-0.126999,0.013245
0.010000,0.254713,0.654619,0.077501,0.820649,4.432591,-0.064477,0.014795
0.010000,0.263361,0.654754,0.086150,0.864969,4.432041,-0.054975,0.016424
0.010000,0.272453,0.654911,0.095243,0.909282,4.431284,-0.075739,0.018131
0.010000,0.281987,0.655093,0.104779,0.953599,4.431696,0.041237,0.019916
0.010000,0.291964,0.655301,0.114758,0.997896,4.429767,-0.192908,0.021776
0.010000,0.302383,0.655538,0.125180,1.042190,4.429359,-0.040819,0.023713
0.010000,0.313245,0.655806,0.136045,1.086477,4.428668,-0.069060,0.025724
0.010000,0.324548,0.656109,0.147352,1.130759,4.428246,-0.042248,0.027808
0.010000,0.336294,0.656448,0.159103,1.175027,4.426769,-0.147625,0.029964
0.010000,0.348481,0.656827,0.171295,1.219288,4.426101,-0.066864,0.032192
0.010000,0.361109,0.657248,0.183931,1.263540,4.425224,-0.087647,0.034490
0.010000,0.374178,0.657715,0.197009,1.307782,4.424156,-0.106879,0.036856
0.010000,0.387689,0.658230,0.210529,1.352011,4.422910,-0.124549,0.039290
0.010000,0.401640,0.658795,0.224491,1.396238,4.422685,-0.022534,0.041790
0.010000,0.416031,0.659416,0.238896,1.440444,4.420631,-0.205417,0.044354
0.010000,0.430862,0.660094,0.253742,1.484645,4.420093,-0.053773,0.046982
0.010000,0.446132,0.660832,0.269030,1.528827,4.418237,-0.185619,0.049671
0.010000,0.461842,0.661635,0.284760,1.573002,4.417494,-0.074259,0.052420
0.010000,0.477990,0.662505,0.300932,1.617165,4.416277,-0.121656,0.055227
0.010000,0.494576,0.663446,0.317545,1.661311,4.414561,-0.171603,0.058091
0.010000,0.511600,0.664461,0.334599,1.705444,4.413393,-0.116795,0.061009
0.010000,0.529062,0.665553,0.352095,1.749565,4.412063,-0.133072,0.063980
0.010000,0.546960,0.666727,0.370032,1.793666,4.410095,-0.196781,0.067003
0.010000,0.565295,0.667986,0.388409,1.837754,4.408784,-0.131065,0.070074
0.010000,0.584065,0.669333,0.407228,1.881827,4.407281,-0.150280,0.073192
0.010000,0.603270,0.670771,0.426486,1.925883,4.405650,-0.163134,0.076354
0.010000,0.622909,0.672306,0.446186,1.969920,4.403692,-0.195794,0.079560
0.010000,0.642982,0.673939,0.466325,2.013941,4.402105,-0.158743,0.082805
0.010000,0.663488,0.675675,0.486905,2.057945,4.400358,-0.174647,0.086089
0.010000,0.684427,0.677517,0.507924,2.101930,4.398474,-0.188439,0.089408
0.010000,0.705797,0.679469,0.529383,2.145894,4.396472,-0.200216,0.092760
0.010000,0.727597,0.681534,0.551281,2.189838,4.394371,-0.210079,0.096142
0.010000,0.749828,0.683716,0.573619,2.233768,4.392985,-0.138609,0.099553
0.010000,0.772488,0.686019,0.596395,2.277669,4.390108,-0.287716,0.102989
0.010000,0.795577,0.688446,0.619611,2.321556,4.388733,-0.137472,0.106448
0.010000,0.819092,0.691000,0.643265,2.365417,4.386126,-0.260702,0.109927
0.010000,0.843035,0.693685,0.667358,2.409257,4.383997,-0.212849,0.113423
0.010000,0.867403,0.696504,0.691889,2.453075,4.381791,-0.220690,0.116933
0.010000,0.892196,0.699461,0.716857,2.496870,4.379483,-0.230786,0.120454
0.010000,0.917413,0.702559,0.742264,2.540641,4.377093,-0.238976,0.123983
0.010000,0.943053,0.705800,0.768108,2.584389,4.374753,-0.234026,0.127518
0.010000,0.969115,0.709189,0.794389,2.628113,4.372392,-0.236098,0.131054
0.010000,0.995597,0.712727,0.821107,2.671810,4.369706,-0.268598,0.134590
0.010000,1.022500,0.716418,0.848262,2.715483,4.367358,-0.234786,0.138120
0.010000,1.049822,0.720265,0.875853,2.759130,4.364730,-0.262816,0.141643
0.010000,1.077562,0.724271,0.903880,2.802751,4.362084,-0.264623,0.145155
0.010000,1.105719,0.728437,0.932344,2.846346,4.359457,-0.262688,0.148652
0.010000,1.134291,0.732768,0.961243,2.889914,4.356766,-0.269033,0.152132
0.010000,1.163279,0.737263,0.990578,2.933454,4.354028,-0.273842,0.155590
0.010000,1.192681,0.741927,1.020347,2.976967,4.351276,-0.275203,0.159022
0.010000,1.222497,0.746761,1.050552,3.020451,4.348481,-0.279440,0.162426
0.010000,1.252724,0.751767,1.081191,3.063907,4.345607,-0.287488,0.165798
0.010000,1.283363,0.756947,1.112264,3.107335,4.342759,-0.284771,0.169134
