dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000336,0.750773,0.000024,0.004856,0.485641,48.564103,0.006305
0.010000,0.000337,0.750773,0.000025,0.000061,-0.479584,-96.522528,0.006297
0.010000,0.000338,0.750773,0.000026,0.000136,0.007568,48.715275,0.006280
0.010000,0.000341,0.750773,0.000029,0.000242,0.010589,0.302048,0.006249
0.010000,0.000345,0.750773,0.000032,0.000378,0.013599,0.300988,0.006200
0.010000,0.000350,0.750773,0.000038,0.000544,0.016591,0.299251,0.006130
0.010000,0.000357,0.750774,0.000045,0.000740,0.019558,0.296670,0.006035
0.010000,0.000885,0.750777,0.000573,0.052722,5.198257,517.869933,0.005911
0.010000,0.002864,0.750788,0.002552,0.197901,14.517925,931.966790,0.005754
0.010000,0.005282,0.750802,0.004970,0.241879,4.397748,-1012.017732,0.005563
0.010000,0.008141,0.750817,0.007829,0.285849,4.396989,-0.075911,0.005338
0.010000,0.011439,0.750835,0.011127,0.329819,4.397005,0.001582,0.005080
0.010000,0.015177,0.750853,0.014865,0.373786,4.396742,-0.026312,0.004788
0.010000,0.019354,0.750872,0.019042,0.417749,4.396298,-0.044350,0.004463
0.010000,0.023971,0.750892,0.023659,0.461708,4.395870,-0.042846,0.004106
0.010000,0.029028,0.750912,0.028716,0.505663,4.395456,-0.041397,0.003717
0.010000,0.034524,0.750931,0.034212,0.549613,4.395055,-0.040013,0.003297
0.010000,0.040459,0.750949,0.040148,0.593560,4.394668,-0.038704,0.002847
0.010000,0.046834,0.750966,0.046523,0.637495,4.393522,-0.114694,0.002366
0.010000,0.053649,0.750980,0.053337,0.681432,4.393717,0.019582,0.001857
0.010000,0.060902,0.750992,0.060591,0.725356,4.392350,-0.136721,0.001320
0.010000,0.068595,0.751000,0.068283,0.769278,4.392233,-0.011735,0.000755
0.010000,0.076727,0.751004,0.076415,0.813192,4.391360,-0.087229,0.000164
0.010000,0.085298,0.751002,0.084986,0.857097,4.390504,-0.085613,6.282732
0.010000,0.094308,0.750995,0.093996,0.900993,4.389663,-0.084118,6.282091
0.010000,0.103757,0.750982,0.103445,0.944882,4.388836,-0.082764,6.281427
0.010000,0.113644,0.750961,0.113333,0.988762,4.388020,-0.081571,6.280740
0.010000,0.123971,0.750932,0.123659,1.032634,4.387214,-0.080561,6.280033
0.010000,0.134735,0.750894,0.134424,1.076496,4.386240,-0.097431,6.279306
0.010000,0.145939,0.750847,0.145627,1.120345,4.384911,-0.132876,6.278560
0.010000,0.157581,0.750788,0.157269,1.164188,4.384304,-0.060711,6.277797
0.010000,0.169661,0.750719,0.169349,1.208019,4.383063,-0.124134,6.277018
0.010000,0.182179,0.750637,0.181868,1.251836,4.381731,-0.133135,6.276225
0.010000,0.195135,0.750541,0.194824,1.295645,4.380850,-0.088107,6.275419
0.010000,0.208529,0.750432,0.208219,1.339441,4.379607,-0.124279,6.274602
0.010000,0.222360,0.750307,0.222051,1.383225,4.378376,-0.123196,6.273775
0.010000,0.236630,0.750167,0.236321,1.426996,4.377151,-0.122428,6.272940
0.010000,0.251336,0.750010,0.251028,1.470752,4.375594,-0.155719,6.272098
0.010000,0.266480,0.749836,0.266173,1.514497,4.374448,-0.114608,6.271252
0.010000,0.282061,0.749643,0.281756,1.558229,4.373214,-0.123375,6.270403
0.010000,0.298079,0.749431,0.297775,1.601943,4.371408,-0.180611,6.269553
0.010000,0.314534,0.749200,0.314232,1.645645,4.370252,-0.115647,6.268703
0.010000,0.331426,0.748948,0.331125,1.689333,4.368754,-0.149782,6.267856
0.010000,0.348754,0.748675,0.348455,1.733004,4.367126,-0.162745,6.267014
0.010000,0.366518,0.748380,0.366222,1.776659,4.365509,-0.161711,6.266179
0.010000,0.384718,0.748063,0.384425,1.820298,4.363898,-0.161166,6.265352
0.010000,0.403354,0.747723,0.403064,1.863921,4.362286,-0.161158,6.264536
0.010000,0.422426,0.747360,0.422139,1.907528,4.360669,-0.161736,6.263734
