dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000827,0.672997,0.000024,0.004856,0.485641,48.564103,0.006305
0.010000,0.000827,0.672997,0.000121,0.014569,0.971282,48.564103,0.006297
0.010000,0.000827,0.672997,0.000340,0.029138,1.456923,48.564103,0.006280
0.010000,0.000827,0.672997,0.000728,0.048564,1.942564,48.564103,0.006249
0.010000,0.000827,0.672997,0.001336,0.072846,2.428205,48.564103,0.006200
0.010000,0.000827,0.672997,0.002210,0.101985,2.913846,48.564103,0.006130
0.010000,0.000827,0.672997,0.003399,0.135979,3.399487,48.564103,0.006035
0.010000,0.001344,0.673000,0.004954,0.174831,3.885128,48.564103,0.005911
0.010000,0.003311,0.673012,0.006920,0.218538,4.370769,48.564103,0.005754
0.010000,0.005715,0.673025,0.009324,0.262246,4.370769,0.000000,0.005563
0.010000,0.008556,0.673041,0.012165,0.305954,4.370769,-0.000000,0.005338
0.010000,0.011834,0.673058,0.015443,0.349662,4.370769,0.000000,0.005080
0.010000,0.015549,0.673076,0.019159,0.393369,4.370769,-0.000000,0.004788
0.010000,0.019701,0.673095,0.023311,0.437077,4.370769,0.000000,0.004463
0.010000,0.024291,0.673115,0.027900,0.480785,4.370769,0.000000,0.004106
0.010000,0.029317,0.673135,0.032926,0.524492,4.370769,0.000000,0.003717
0.010000,0.034780,0.673154,0.038390,0.568200,4.370769,-0.000000,0.003297
0.010000,0.040681,0.673172,0.044290,0.611908,4.370769,0.000000,0.002847
0.010000,0.047018,0.673188,0.050628,0.655615,4.370769,0.000000,0.002366
0.010000,0.053793,0.673203,0.057403,0.699323,4.370769,0.000000,0.001857
0.010000,0.061005,0.673214,0.064615,0.743031,4.370769,-0.000000,0.001320
0.010000,0.068654,0.673222,0.072263,0.786738,4.370769,0.000000,0.000755
0.010000,0.076740,0.673226,0.080349,0.830446,4.370769,0.000000,0.000164
0.010000,0.085263,0.673225,0.088872,0.874154,4.370769,-0.000000,6.282732
0.010000,0.094223,0.673218,0.097832,0.917862,4.370769,0.000000,6.282091
0.010000,0.103620,0.673204,0.107230,0.961569,4.370769,0.000000,6.281427
0.010000,0.113454,0.673184,0.117064,1.005277,4.370769,-0.000000,6.280740
0.010000,0.123725,0.673155,0.127335,1.048985,4.370769,0.000000,6.280033
0.010000,0.134434,0.673117,0.138043,1.092692,4.370769,-0.000000,6.279306
0.010000,0.145579,0.673070,0.149189,1.136400,4.370769,0.000000,6.278560
0.010000,0.157161,0.673012,0.160771,1.180108,4.370769,0.000000,6.277797
0.010000,0.169181,0.672942,0.172791,1.223815,4.370769,-0.000000,6.277018
0.010000,0.181637,0.672861,0.185248,1.267523,4.370769,0.000000,6.276225
0.010000,0.194531,0.672766,0.198142,1.311231,4.370769,-0.000000,6.275419
0.010000,0.207861,0.672657,0.211472,1.354938,4.370769,0.000000,6.274602
0.010000,0.221628,0.672533,0.225240,1.398646,4.370769,-0.000000,6.273775
0.010000,0.235833,0.672393,0.239445,1.442354,4.370769,0.000000,6.272940
0.010000,0.250474,0.672237,0.254087,1.486062,4.370769,0.000000,6.272098
0.010000,0.265552,0.672063,0.269167,1.529769,4.370769,0.000000,6.271252
0.010000,0.281067,0.671872,0.284683,1.573477,4.370769,0.000000,6.270403
0.010000,0.297019,0.671661,0.300636,1.617185,4.370769,-0.000000,6.269553
0.010000,0.313408,0.671430,0.317026,1.660892,4.370769,0.000000,6.268703
0.010000,0.330233,0.671180,0.333854,1.704600,4.370769,-0.000000,6.267856
0.010000,0.347496,0.670908,0.351118,1.748308,4.370769,0.000000,6.267014
0.010000,0.365195,0.670614,0.368820,1.792015,4.370769,0.000000,6.266179
0.010000,0.383331,0.670298,0.386959,1.835723,4.370769,-0.000000,6.265352
0.010000,0.401904,0.669959,0.405535,1.879431,4.370769,0.000000,6.264536
0.010000,0.420913,0.669597,0.424547,1.923138,4.370769,-0.000000,6.263734
0.010000,0.440359,0.669211,0.443997,1.966846,4.370769,0.000000,6.262946
0.010000,0.460242,0.668801,0.463884,2.010554,4.370769,-0.000000,6.262176
0.010000,0.480561,0.668366,0.484208,2.054262,4.370769,0.000000,6.261426
0.010000,0.501317,0.667907,0.504970,2.097969,4.370769,-0.000000,6.260698
0.010000,0.522510,0.667422,0.526168,2.141677,4.370769,0.000000,6.259995
0.010000,0.544139,0.666913,0.547803,2.185385,4.370769,0.000000,6.259318
0.010000,0.566205,0.666379,0.569875,2.229092,4.370769,0.000000,6.258671
0.010000,0.588708,0.665821,0.592385,2.272800,4.370769,-0.000000,6.258056
0.010000,0.611647,0.665237,0.615331,2.316508,4.370769,0.000000,6.257476
0.010000,0.635023,0.664630,0.638715,2.360215,4.370769,0.000000,6.256933
0.010000,0.658835,0.663998,0.662536,2.403923,4.370769,-0.000000,6.256430
0.010000,0.683084,0.663344,0.686794,2.447631,4.370769,0.000000,6.255970
0.010000,0.707770,0.662667,0.711488,2.491338,4.370769,-0.000000,6.255556
0.010000,0.732892,0.661968,0.736620,2.535046,4.370769,0.000000,6.255190
0.010000,0.758451,0.661248,0.762189,2.578754,4.370769,-0.000000,6.254875
0.010000,0.784446,0.660508,0.788195,2.622462,4.370769,0.000000,6.254614
0.010000,0.810878,0.659750,0.814639,2.666169,4.370769,-0.000000,6.254411
0.010000,0.837748,0.658974,0.841519,2.709877,4.370769,0.000000,6.254268
0.010000,0.865053,0.658183,0.868836,2.753585,4.370769,-0.000000,6.254188
0.010000,0.892796,0.657378,0.896590,2.797292,4.370769,0.000000,6.254175
0.010000,0.920976,0.656561,0.924782,2.841000,4.370769,-0.000000,6.254232
0.010000,0.949592,0.655734,0.953410,2.884708,4.370769,0.000000,6.254362
0.010000,0.978646,0.654899,0.982476,2.928415,4.370769,0.000000,6.254569
0.010000,1.008137,0.654059,1.011979,2.972123,4.370769,-0.000000,6.254855
0.010000,1.038065,0.653216,1.041919,3.015831,4.370769,0.000000,6.255225
0.010000,1.068430,0.652374,1.072295,3.059538,4.370769,-0.000000,6.255681
0.010000,1.099232,0.651535,1.103109,3.103246,4.370769,0.000000,6.256228
0.010000,1.130472,0.650702,1.134360,3.146954,4.370769,0.000000,6.256870
0.010000,1.162150,0.649880,1.166048,3.190662,4.370769,-0.000000,6.257609
0.010000,1.194265,0.649072,1.198174,3.234369,4.370769,-0.000000,6.258450
0.010000,1.226793,0.648282,1.230711,3.273221,3.885128,-48.564103,6.259396
0.010000,1.259686,0.647516,1.263614,3.307215,3.399487,-48.564103,6.260449
0.010000,1.292896,0.646780,1.296832,3.336354,2.913846,-48.564103,6.261610
0.010000,1.326373,0.646079,1.330316,3.360636,2.428205,-48.564103,6.262881
0.010000,1.360070,0.645417,1.364020,3.380062,1.942564,-48.564103,6.264262
0.010000,1.393938,0.644801,1.397893,3.394631,1.456923,-48.564103,6.265754
0.010000,1.427928,0.644236,1.431888,3.404344,0.971282,-48.564103,6.267355
0.010000,1.461992,0.643725,1.465956,3.409200,0.485641,-48.564103,6.269064
0.010000,1.496081,0.643275,1.500048,3.409200,0.000000,-48.564103,6.270880
0.010000,1.530171,0.642888,1.534140,3.409200,0.000000,0.000000,6.272802
0.010000,1.564262,0.642568,1.568232,3.409200,0.000000,0.000000,6.274830
0.010000,1.598353,0.642319,1.602324,3.409200,0.000000,0.000000,6.276964
