dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.001317,0.595221,0.000024,0.004856,0.485641,48.564103,0.006305
0.010000,0.001317,0.595221,0.000025,0.000061,-0.479584,-96.522528,0.006297
0.010000,0.001315,0.595221,0.000026,0.000136,0.007568,48.715275,0.006280
0.010000,0.001313,0.595221,0.000029,0.000242,0.010589,0.302048,0.006249
0.010000,0.001309,0.595221,0.000032,0.000378,0.013599,0.300988,0.006200
0.010000,0.001304,0.595221,0.000038,0.000544,0.016591,0.299251,0.006130
0.010000,0.001296,0.595221,0.000045,0.000740,0.019558,0.296670,0.006035
0.010000,0.001804,0.595224,0.000553,0.050793,5.005356,498.579816,0.005911
0.010000,0.003759,0.595235,0.002508,0.195465,14.467186,946.182939,0.005754
0.010000,0.006148,0.595249,0.004897,0.238909,4.344361,-1012.282490,0.005563
0.010000,0.008971,0.595264,0.007720,0.282349,4.344063,-0.029736,0.005338
0.010000,0.012229,0.595281,0.010978,0.325795,4.344613,0.055013,0.005080
0.010000,0.015922,0.595299,0.014671,0.369245,4.344970,0.035661,0.004788
0.010000,0.020048,0.595318,0.018798,0.412697,4.345230,0.026030,0.004463
0.010000,0.024610,0.595338,0.023359,0.456153,4.345587,0.035690,0.004106
0.010000,0.029606,0.595357,0.028356,0.499614,4.346040,0.045283,0.003717
0.010000,0.035037,0.595376,0.033786,0.543080,4.346588,0.054799,0.003297
0.010000,0.040902,0.595394,0.039652,0.586552,4.347230,0.064228,0.002847
0.010000,0.047202,0.595411,0.045952,0.630024,4.347203,-0.002756,0.002366
0.010000,0.053938,0.595425,0.052687,0.673510,4.348583,0.138040,0.001857
0.010000,0.061108,0.595436,0.059857,0.716995,4.348500,-0.008363,0.001320
0.010000,0.068712,0.595444,0.067462,0.760492,4.349732,0.123227,0.000755
0.010000,0.076752,0.595448,0.075502,0.803995,4.350298,0.056639,0.000164
0.010000,0.085227,0.595447,0.083977,0.847505,4.350961,0.066238,6.282732
0.010000,0.094138,0.595440,0.092887,0.891022,4.351718,0.075695,6.282091
0.010000,0.103483,0.595427,0.102233,0.934547,4.352567,0.084989,6.281427
0.010000,0.113264,0.595406,0.112014,0.978083,4.353508,0.094100,6.280740
0.010000,0.123480,0.595377,0.122230,1.021628,4.354539,0.103004,6.280033
0.010000,0.134132,0.595340,0.132882,1.065183,4.355480,0.094191,6.279306
0.010000,0.145219,0.595293,0.143969,1.108744,4.356150,0.066952,6.278560
0.010000,0.156742,0.595235,0.155492,1.152320,4.357612,0.146180,6.277797
0.010000,0.168701,0.595166,0.167451,1.195906,4.358524,0.091199,6.277018
0.010000,0.181096,0.595085,0.179846,1.239500,4.359424,0.090026,6.276225
0.010000,0.193927,0.594990,0.192677,1.283108,4.360847,0.142329,6.275419
0.010000,0.207193,0.594882,0.205945,1.326728,4.361989,0.114207,6.274602
0.010000,0.220897,0.594758,0.219648,1.370360,4.363219,0.122936,6.273775
0.010000,0.235036,0.594619,0.233788,1.414006,4.364532,0.131326,6.272940
0.010000,0.249612,0.594464,0.248365,1.457662,4.365591,0.105931,6.272098
0.010000,0.264624,0.594291,0.263378,1.501333,4.367134,0.154240,6.271252
0.010000,0.280073,0.594100,0.278829,1.545020,4.368665,0.153108,6.270403
0.010000,0.295959,0.593890,0.294716,1.588717,4.369703,0.103870,6.269553
0.010000,0.312282,0.593661,0.311040,1.632431,4.371461,0.175780,6.268703
0.010000,0.329041,0.593411,0.327802,1.676161,4.372955,0.149407,6.267856
0.010000,0.346238,0.593140,0.345001,1.719905,4.374395,0.143995,6.267014
0.010000,0.363872,0.592847,0.362637,1.763664,4.375920,0.152450,6.266179
0.010000,0.381944,0.592532,0.380712,1.807439,4.377524,0.160411,6.265352
0.010000,0.400453,0.592195,0.399224,1.851231,4.379202,0.167833,6.264536
0.010000,0.419400,0.591834,0.418174,1.895041,4.380949,0.174672,6.263734
0.010000,0.438785,0.591449,0.437563,1.938868,4.382758,0.180884,6.262946
0.010000,0.458608,0.591040,0.457390,1.982710,4.384209,0.145155,6.262176
0.010000,0.478869,0.590606,0.477656,2.026574,4.386354,0.214459,6.261426
0.010000,0.499569,0.590148,0.498360,2.070452,4.387825,0.147117,6.260698
0.010000,0.520707,0.589665,0.519504,2.114352,4.389981,0.215559,6.259995
0.010000,0.542283,0.589158,0.541087,2.158270,4.391807,0.182665,6.259318
0.010000,0.564299,0.588625,0.563109,2.202207,4.393711,0.190383,6.258671
0.010000,0.586754,0.588067,0.585570,2.246164,4.395685,0.197388,6.258056
0.010000,0.609648,0.587485,0.608472,2.290141,4.397721,0.203632,6.257476
0.010000,0.632981,0.586879,0.631813,2.334139,4.399812,0.209073,6.256933
0.010000,0.656754,0.586248,0.655595,2.378159,4.401949,0.213671,6.256430
0.010000,0.680968,0.585595,0.679817,2.422198,4.403895,0.194585,6.255970
0.010000,0.705621,0.584918,0.704479,2.466261,4.406308,0.241337,6.255556
0.010000,0.730715,0.584220,0.729583,2.510344,4.408318,0.200965,6.255190
0.010000,0.756249,0.583501,0.755127,2.554451,4.410720,0.240193,6.254875
0.010000,0.782224,0.582762,0.781113,2.598581,4.412972,0.225248,6.254614
0.010000,0.808641,0.582004,0.807540,2.642734,4.415294,0.232214,6.254411
0.010000,0.835499,0.581229,0.834410,2.686911,4.417677,0.238245,6.254268
0.010000,0.862798,0.580438,0.861721,2.731112,4.420110,0.243308,6.254188
0.010000,0.890540,0.579633,0.889474,2.775338,4.422584,0.247375,6.254175
0.010000,0.918724,0.578816,0.917670,2.819588,4.425088,0.250430,6.254232
0.010000,0.947351,0.577989,0.946309,2.863865,4.427653,0.256480,6.254362
0.010000,0.976420,0.577153,0.975390,2.908168,4.430255,0.260276,6.254569
0.010000,1.005933,0.576313,1.004915,2.952497,4.432914,0.265884,6.254855
0.010000,1.035890,0.575469,1.034884,2.996852,4.435570,0.265610,6.255225
0.010000,1.066291,0.574625,1.065296,3.041236,4.438392,0.282157,6.255681
0.010000,1.097136,0.573785,1.096153,3.085648,4.441178,0.278572,6.256228
0.010000,1.128426,0.572951,1.127453,3.130088,4.443999,0.282180,6.256870
0.010000,1.160160,0.572127,1.159199,3.174557,4.446896,0.289617,6.257609
0.010000,1.192341,0.571317,1.191390,3.219057,4.449945,0.304933,6.258450
0.010000,1.224943,0.570526,1.224001,3.261152,4.209539,-24.040569,6.259396
0.010000,1.257918,0.569759,1.256985,3.298406,3.725403,-48.413631,6.260449
0.010000,1.291218,0.569020,1.290293,3.330818,3.241210,-48.419282,6.261610
0.010000,1.324794,0.568317,1.323877,3.358380,2.756235,-48.497542,6.262881
0.010000,1.358599,0.567653,1.357688,3.381092,2.271175,-48.505970,6.264262
0.010000,1.392583,0.567035,1.391678,3.398944,1.785216,-48.595857,6.265754
0.010000,1.426697,0.566468,1.425797,3.411941,1.299629,-48.558757,6.267355
0.010000,1.460894,0.565955,1.459998,3.420067,0.812619,-48.700966,6.269064
0.010000,1.495124,0.565503,1.494231,3.423323,0.325654,-48.696517,6.270880
0.010000,1.529364,0.565114,1.528472,3.424149,0.082530,-24.312376,6.272802
0.010000,1.563612,0.564793,1.562722,3.424971,0.082270,-0.026005,6.274830
0.010000,1.597869,0.564543,1.596980,3.425796,0.082497,0.022661,6.276964
0.010000,1.632135,0.564368,1.631246,3.426628,0.083203,0.070598,6.279205
0.010000,1.666409,0.564271,1.665521,3.427457,0.082899,-0.030345,6.281552
0.010000,1.700692,0.564257,1.699804,3.428288,0.083110,0.021084,0.000821
0.010000,1.734983,0.564329,1.734095,3.429128,0.083910,0.080032,0.003383
0.010000,1.769282,0.564490,1.768395,3.429963,0.083587,-0.032384,0.006053
0.010000,1.803590,0.564745,1.802703,3.430801,0.083789,0.020222,0.008831
0.010000,1.837904,0.565097,1.837019,3.431646,0.084504,0.071500,0.011717
0.010000,1.872226,0.565551,1.871344,3.432490,0.084370,-0.013376,0.014711
0.010000,1.906555,0.566109,1.905677,3.433335,0.084468,0.009833,0.017814
0.010000,1.940890,0.566775,1.940019,3.434185,0.085020,0.055157,0.021027
0.010000,1.975232,0.567554,1.974370,3.435037,0.085184,0.016402,0.024349
0.010000,2.009579,0.568449,2.008728,3.435888,0.085114,-0.006980,0.027780
0.010000,2.043931,0.569464,2.043096,3.436742,0.085431,0.031650,0.031322
0.010000,2.078289,0.570603,2.077472,3.437602,0.085984,0.055304,0.034974
0.010000,2.112650,0.571870,2.111857,3.438459,0.085686,-0.029730,0.038736
0.010000,2.147015,0.573268,2.146250,3.439317,0.085861,0.017418,0.042609
0.010000,2.181382,0.574802,2.180652,3.440182,0.086415,0.055474,0.046592
0.010000,2.215752,0.576474,2.215062,3.441045,0.086287,-0.012843,0.050687
0.010000,2.250123,0.578290,2.249481,3.441907,0.086268,-0.001932,0.054892
0.010000,2.284495,0.580253,2.283909,3.442772,0.086456,0.018862,0.059209
0.010000,2.318866,0.582367,2.318345,3.443640,0.086838,0.038197,0.063637
0.010000,2.353237,0.584635,2.352790,3.444505,0.086488,-0.034973,0.068177
0.010000,2.387605,0.587061,2.387244,3.445370,0.086528,0.003942,0.072828
0.010000,2.421970,0.589651,2.421706,3.446238,0.086722,0.019431,0.077590
0.010000,2.456330,0.592406,2.456177,3.447104,0.086671,-0.005159,0.082464
0.010000,2.490686,0.595331,2.490657,3.447968,0.086417,-0.025406,0.087449
0.010000,2.525035,0.598431,2.525145,3.448832,0.086334,-0.008294,0.092545
0.010000,2.559376,0.601708,2.559642,3.449696,0.086383,0.004915,0.097752
0.010000,2.593707,0.605166,2.594148,3.450556,0.086061,-0.032209,0.103070
0.010000,2.628029,0.608810,2.628662,3.451414,0.085783,-0.027765,0.108498
0.010000,2.662338,0.612643,2.663185,3.452269,0.085542,-0.024132,0.114036
0.010000,2.696634,0.616669,2.697716,3.453123,0.085312,-0.023003,0.119684
0.010000,2.730914,0.620892,2.732256,3.453971,0.084842,-0.046960,0.125441
0.010000,2.765178,0.625314,2.766804,3.454815,0.084442,-0.040052,0.131306
0.010000,2.799424,0.629941,2.801360,3.455655,0.084006,-0.043530,0.137280
0.010000,2.833649,0.634775,2.835925,3.456489,0.083372,-0.063419,0.143361
0.010000,2.867852,0.639820,2.870498,3.457318,0.082854,-0.051844,0.149548
0.010000,2.902031,0.645079,2.905080,3.458140,0.082250,-0.060387,0.155841
0.010000,2.936184,0.650557,2.939669,3.458956,0.081541,-0.070922,0.162239
0.010000,2.970309,0.656256,2.974267,3.459760,0.080489,-0.105108,0.168741
0.010000,3.004404,0.662180,3.008873,3.460560,0.079933,-0.055647,0.175345
0.010000,3.038466,0.668332,3.043486,3.461351,0.079082,-0.085121,0.182051
0.010000,3.072494,0.674716,3.078107,3.462130,0.077913,-0.116855,0.188857
0.010000,3.106485,0.681334,3.112736,3.462896,0.076654,-0.125954,0.195762
0.010000,3.140436,0.688190,3.147373,3.463656,0.075959,-0.069482,0.202764
0.010000,3.174345,0.695287,3.182017,3.464404,0.074845,-0.111365,0.209863
0.010000,3.208210,0.702627,3.216668,3.465132,0.072814,-0.203107,0.217055
0.010000,3.242028,0.710214,3.251327,3.465852,0.071981,-0.083320,0.224340
0.010000,3.275796,0.718050,3.285992,3.466561,0.070878,-0.110306,0.231716
0.010000,3.309512,0.726138,3.320665,3.467250,0.068928,-0.194971,0.239181
0.010000,3.343173,0.734481,3.355344,3.467920,0.066934,-0.199418,0.246732
0.010000,3.376776,0.743080,3.390030,3.468582,0.066272,-0.066161,0.254368
0.010000,3.410318,0.751940,3.424722,3.469225,0.064299,-0.197305,0.262086
0.010000,3.443796,0.761060,3.459421,3.469838,0.061264,-0.303568,0.269884
0.010000,3.477208,0.770444,3.494125,3.470449,0.061064,-0.019948,0.277760
0.010000,3.510550,0.780095,3.528835,3.471035,0.058664,-0.239970,0.285711
0.010000,3.543819,0.790012,3.563551,3.471588,0.055299,-0.336530,0.293735
0.010000,3.577012,0.800199,3.598273,3.472142,0.055327,0.002744,0.301828
0.010000,3.610127,0.810657,3.632999,3.472658,0.051665,-0.366113,0.309988
0.010000,3.643159,0.821388,3.667731,3.473154,0.049541,-0.212498,0.318213
0.010000,3.676106,0.832392,3.702467,3.473645,0.049178,-0.036209,0.326498
0.010000,3.708965,0.843672,3.737208,3.474074,0.042834,-0.634481,0.334842
0.010000,3.741732,0.855227,3.771953,3.474521,0.044689,0.185525,0.343241
0.010000,3.774405,0.867060,3.806702,3.474914,0.039367,-0.532216,0.351692
0.010000,3.806980,0.879170,3.841455,3.475299,0.038423,-0.094399,0.360192
0.010000,3.839453,0.891559,3.876212,3.475652,0.035348,-0.307513,0.368737
0.010000,3.871822,0.904227,3.910972,3.475977,0.032466,-0.288153,0.377325
0.010000,3.904084,0.917174,3.945734,3.476283,0.030583,-0.188343,0.385951
0.010000,3.936236,0.930400,3.980500,3.476554,0.027143,-0.343950,0.394612
0.010000,3.968273,0.943906,4.015268,3.476802,0.024847,-0.229574,0.403306
0.010000,4.000194,0.957691,4.050038,3.477031,0.022833,-0.201473,0.412028
0.010000,4.031995,0.971755,4.084810,3.477210,0.017885,-0.494714,0.420774
0.010000,4.063673,0.986098,4.119584,3.477405,0.019541,0.165511,0.429543
0.010000,4.095225,1.000719,4.154360,3.477508,0.010266,-0.927510,0.438329
0.010000,4.126649,1.015618,4.189136,3.477641,0.013286,0.302016,0.447130
0.010000,4.157941,1.030793,4.223913,3.477738,0.009753,-0.353251,0.455942
0.010000,4.189098,1.046243,4.258691,3.477764,0.002573,-0.718040,0.464761
0.010000,4.220118,1.061968,4.293469,3.477814,0.005008,0.243531,0.473584
0.010000,4.250998,1.077966,4.328247,3.477835,0.002100,-0.290839,0.482408
