dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000139,0.077778,0.000024,0.004856,0.485641,48.564103,6.281397
0.010000,0.000138,0.077778,0.000026,0.000145,-0.471156,-95.679668,6.281416
0.010000,0.000134,0.077778,0.000029,0.000326,0.018108,48.926383,6.281458
0.010000,0.000129,0.077778,0.000035,0.000579,0.025356,0.724734,6.281533
0.010000,0.000119,0.077778,0.000044,0.000906,0.032609,0.725360,6.281649
0.010000,0.000106,0.077778,0.000057,0.001304,0.039873,0.726383,6.281817
0.010000,0.000089,0.077778,0.000075,0.001776,0.047152,0.727906,6.282045
0.010000,0.000065,0.077778,0.000098,0.002320,0.054452,0.730026,6.282343
0.010000,0.000036,0.077778,0.000127,0.002938,0.061781,0.732845,6.282721
0.010000,0.000000,0.077778,0.000163,0.003593,0.065514,0.373378,6.283183
0.010000,0.002789,0.077779,0.002952,0.278872,27.527893,2746.237875,0.000545
0.010000,0.006018,0.077781,0.006181,0.322908,4.403612,-2312.428119,0.001176
0.010000,0.009676,0.077787,0.009839,0.365778,4.286929,-11.668345,0.001893
0.010000,0.013767,0.077796,0.013930,0.409159,4.338134,5.120513,0.002696
0.010000,0.018285,0.077811,0.018448,0.451792,4.263303,-7.483062,0.003585
0.010000,0.023238,0.077831,0.023401,0.495262,4.347029,8.372625,0.004562
0.010000,0.028617,0.077858,0.028780,0.537940,4.267780,-7.924912,0.005626
0.010000,0.034429,0.077894,0.034592,0.581158,4.321829,5.404891,0.006779
0.010000,0.040670,0.077940,0.040833,0.624160,4.300210,-2.161964,0.008021
0.010000,0.047340,0.077998,0.047504,0.667019,4.285872,-1.433705,0.009352
0.010000,0.054440,0.078070,0.054604,0.710021,4.300146,1.427322,0.010774
0.010000,0.061972,0.078157,0.062136,0.753220,4.319901,1.975484,0.012289
0.010000,0.069932,0.078261,0.070097,0.796141,4.292128,-2.777229,0.013896
0.010000,0.078322,0.078385,0.078488,0.839086,4.294511,0.238228,0.015597
0.010000,0.087141,0.078530,0.087309,0.882041,4.295540,0.102904,0.017393
0.010000,0.096390,0.078700,0.096559,0.924994,4.295208,-0.033180,0.019285
0.010000,0.106067,0.078896,0.106238,0.967929,4.293509,-0.169895,0.021275
0.010000,0.116173,0.079122,0.116346,1.010833,4.290438,-0.307104,0.023363
0.010000,0.126707,0.079379,0.126883,1.053693,4.285991,-0.444666,0.025551
0.010000,0.137671,0.079672,0.137852,1.096854,4.316149,3.015816,0.027842
0.010000,0.149064,0.080003,0.149249,1.139709,4.285463,-3.068663,0.030236
0.010000,0.160882,0.080375,0.161073,1.182438,4.272908,-1.255427,0.032735
0.010000,0.173129,0.080792,0.173327,1.225414,4.297626,2.471775,0.035340
0.010000,0.185804,0.081257,0.186011,1.268328,4.291330,-0.629649,0.038054
0.010000,0.198904,0.081775,0.199121,1.311015,4.268725,-2.260514,0.040878
0.010000,0.212432,0.082348,0.212661,1.354045,4.303022,3.429788,0.043814
0.010000,0.226385,0.082981,0.226629,1.396748,4.270275,-3.274726,0.046865
0.010000,0.240763,0.083678,0.241023,1.439472,4.272382,0.210653,0.050032
0.010000,0.255568,0.084444,0.255848,1.482489,4.301743,2.936184,0.053318
0.010000,0.270796,0.085282,0.271100,1.525124,4.263442,-3.830179,0.056725
0.010000,0.286448,0.086199,0.286778,1.567807,4.268381,0.493916,0.060255
0.010000,0.302522,0.087198,0.302883,1.610524,4.271636,0.325510,0.063911
0.010000,0.319019,0.088285,0.319415,1.653256,4.273195,0.155931,0.067695
