dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000024,0.004856,0.485641,48.564103,6.281397
0.010000,0.000000,0.000000,0.000121,0.014569,0.971282,48.564103,6.281416
0.010000,0.000000,0.000000,0.000340,0.029138,1.456923,48.564103,6.281458
0.010000,0.000000,0.000000,0.000728,0.048564,1.942564,48.564103,6.281533
0.010000,0.000000,0.000000,0.001336,0.072846,2.428205,48.564103,6.281649
0.010000,0.000000,0.000000,0.002210,0.101985,2.913846,48.564103,6.281817
0.010000,0.000000,0.000000,0.003399,0.135979,3.399487,48.564103,6.282045
0.010000,0.000000,0.000000,0.004954,0.174831,3.885128,48.564103,6.282343
0.010000,0.000000,0.000000,0.006920,0.218538,4.370769,48.564103,6.282721
0.010000,0.000000,0.000000,0.009324,0.262246,4.370769,0.000000,6.283183
0.010000,0.002831,0.000001,0.012165,0.305954,4.370769,-0.000000,0.000545
0.010000,0.006109,0.000004,0.015443,0.349662,4.370769,0.000000,0.001176
0.010000,0.009823,0.000009,0.019159,0.393369,4.370769,-0.000000,0.001893
0.010000,0.013977,0.000019,0.023311,0.437077,4.370769,0.000000,0.002696
0.010000,0.018564,0.000033,0.027900,0.480785,4.370769,0.000000,0.003585
0.010000,0.023593,0.000054,0.032926,0.524492,4.370769,0.000000,0.004562
0.010000,0.029055,0.000082,0.038390,0.568200,4.370769,-0.000000,0.005626
0.010000,0.034956,0.000118,0.044290,0.611908,4.370769,0.000000,0.006779
0.010000,0.041294,0.000165,0.050628,0.655615,4.370769,0.000000,0.008021
0.010000,0.048067,0.000224,0.057403,0.699323,4.370769,0.000000,0.009352
0.010000,0.055278,0.000296,0.064615,0.743031,4.370769,-0.000000,0.010774
0.010000,0.062927,0.000385,0.072263,0.786738,4.370769,0.000000,0.012289
0.010000,0.071013,0.000491,0.080349,0.830446,4.370769,0.000000,0.013896
0.010000,0.079535,0.000616,0.088872,0.874154,4.370769,-0.000000,0.015597
0.010000,0.088494,0.000764,0.097832,0.917862,4.370769,0.000000,0.017393
0.010000,0.097890,0.000936,0.107230,0.961569,4.370769,0.000000,0.019285
0.010000,0.107722,0.001136,0.117064,1.005277,4.370769,-0.000000,0.021275
0.010000,0.117990,0.001365,0.127335,1.048985,4.370769,0.000000,0.023363
0.010000,0.128694,0.001627,0.138043,1.092692,4.370769,-0.000000,0.025551
0.010000,0.139837,0.001924,0.149189,1.136400,4.370769,0.000000,0.027842
0.010000,0.151415,0.002261,0.160771,1.180108,4.370769,0.000000,0.030236
0.010000,0.163428,0.002639,0.172791,1.223815,4.370769,-0.000000,0.032735
0.010000,0.175877,0.003063,0.185248,1.267523,4.370769,0.000000,0.035340
0.010000,0.188763,0.003536,0.198142,1.311231,4.370769,-0.000000,0.038054
0.010000,0.202082,0.004062,0.211472,1.354938,4.370769,0.000000,0.040878
0.010000,0.215839,0.004645,0.225240,1.398646,4.370769,-0.000000,0.043814
0.010000,0.230029,0.005288,0.239445,1.442354,4.370769,0.000000,0.046865
0.010000,0.244653,0.005997,0.254087,1.486062,4.370769,0.000000,0.050032
0.010000,0.259713,0.006776,0.269167,1.529769,4.370769,0.000000,0.053318
0.010000,0.275206,0.007630,0.284683,1.573477,4.370769,0.000000,0.056725
0.010000,0.291131,0.008562,0.300636,1.617185,4.370769,-0.000000,0.060255
0.010000,0.307489,0.009579,0.317026,1.660892,4.370769,0.000000,0.063911
0.010000,0.324280,0.010685,0.333854,1.704600,4.370769,-0.000000,0.067695
