dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000139,-0.077778,0.000024,0.004856,0.485641,48.564103,6.281397
0.010000,-0.000138,-0.077778,0.000026,0.000145,-0.471156,-95.679668,6.281416
0.010000,-0.000134,-0.077778,0.000029,0.000326,0.018108,48.926383,6.281458
0.010000,-0.000129,-0.077778,0.000035,0.000579,0.025356,0.724734,6.281533
0.010000,-0.000119,-0.077778,0.000044,0.000906,0.032609,0.725360,6.281649
0.010000,-0.000106,-0.077778,0.000057,0.001304,0.039873,0.726383,6.281817
0.010000,-0.000089,-0.077778,0.000075,0.001776,0.047152,0.727906,6.282045
0.010000,-0.000065,-0.077778,0.000098,0.002320,0.054452,0.730026,6.282343
0.010000,-0.000036,-0.077778,0.000127,0.002938,0.061781,0.732845,6.282721
0.010000,-0.000000,-0.077778,0.000163,0.003593,0.065514,0.373378,6.283183
0.010000,0.002874,-0.077777,0.003037,0.287380,28.378691,2831.317679,0.000545
0.010000,0.006201,-0.077774,0.006364,0.332734,4.535358,-2384.333353,0.001176
0.010000,0.009970,-0.077768,0.010134,0.376927,4.419331,-11.602668,0.001893
0.010000,0.014187,-0.077759,0.014350,0.421655,4.472839,5.350779,0.002696
0.010000,0.018843,-0.077744,0.019006,0.465621,4.396552,-7.628642,0.003585
0.010000,0.023948,-0.077723,0.024111,0.510459,4.483763,8.721092,0.004562
0.010000,0.029492,-0.077695,0.029656,0.554490,4.403097,-8.066639,0.005626
0.010000,0.035483,-0.077658,0.035647,0.599089,4.459913,5.681651,0.006779
0.010000,0.041918,-0.077610,0.042081,0.643477,4.438830,-2.108303,0.008021
0.010000,0.048795,-0.077551,0.048959,0.687731,4.425344,-1.348619,0.009352
0.010000,0.056116,-0.077477,0.056280,0.732145,4.441452,1.610823,0.010774
0.010000,0.063883,-0.077387,0.064048,0.776778,4.463320,2.186703,0.012289
0.010000,0.072094,-0.077280,0.072259,0.821141,4.436275,-2.704454,0.013896
0.010000,0.080748,-0.077152,0.080915,0.865545,4.440427,0.415154,0.015597
0.010000,0.089847,-0.077002,0.090015,0.909978,4.443288,0.286105,0.017393
0.010000,0.099390,-0.076827,0.099559,0.954427,4.444852,0.156395,0.019285
0.010000,0.109376,-0.076625,0.109548,0.998878,4.445113,0.026149,0.021275
0.010000,0.119807,-0.076392,0.119981,1.043318,4.444068,-0.104496,0.023363
0.010000,0.130681,-0.076126,0.130858,1.087736,4.441714,-0.235403,0.025551
0.010000,0.142002,-0.075823,0.142183,1.132488,4.475204,3.349046,0.027842
0.010000,0.153766,-0.075482,0.153953,1.176948,4.445997,-2.920723,0.030236
0.010000,0.165973,-0.075097,0.166166,1.221304,4.435618,-1.037954,0.032735
0.010000,0.178625,-0.074666,0.178825,1.265942,4.463860,2.824181,0.035340
0.010000,0.191722,-0.074186,0.191931,1.310544,4.460198,-0.366136,0.038054
0.010000,0.205261,-0.073651,0.205480,1.354942,4.439804,-2.039451,0.040878
0.010000,0.219246,-0.073059,0.219477,1.399726,4.478349,3.854574,0.043814
0.010000,0.233673,-0.072404,0.233919,1.444203,4.447731,-3.061828,0.046865
0.010000,0.248543,-0.071683,0.248807,1.488736,4.453269,0.553827,0.050032
0.010000,0.263858,-0.070891,0.264143,1.533607,4.487148,3.387898,0.053318
0.010000,0.279616,-0.070023,0.279924,1.578119,4.451178,-3.597019,0.056725
0.010000,0.295815,-0.069075,0.296151,1.622720,4.460074,0.889585,0.060255
