dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000094,0.077778,0.000024,0.004856,0.485641,48.564103,6.281978
0.010000,0.000092,0.077778,0.000026,0.000212,-0.464487,-95.012795,6.282005
0.010000,0.000087,0.077778,0.000031,0.000476,0.026444,49.093057,6.282066
0.010000,0.000079,0.077778,0.000040,0.000846,0.037024,1.058032,6.282175
0.010000,0.000065,0.077778,0.000053,0.001322,0.047609,1.058469,6.282345
0.010000,0.000046,0.077778,0.000072,0.001904,0.058201,1.059185,6.282590
0.010000,0.000020,0.077778,0.000098,0.002592,0.068803,1.060247,6.282923
0.010000,0.000606,0.077778,0.000683,0.058529,5.593636,552.483312,0.000173
0.010000,0.002530,0.077779,0.002607,0.192414,13.388549,779.491298,0.000725
0.010000,0.004881,0.077781,0.004959,0.235131,4.271649,-911.689992,0.001399
0.010000,0.007660,0.077786,0.007738,0.277901,4.277022,0.537299,0.002197
0.010000,0.010867,0.077795,0.010944,0.320657,4.275637,-0.138466,0.003118
0.010000,0.014501,0.077808,0.014578,0.363387,4.273020,-0.261757,0.004163
0.010000,0.018562,0.077827,0.018639,0.406127,4.274000,0.098041,0.005332
0.010000,0.023050,0.077854,0.023128,0.448868,4.274009,0.000869,0.006626
0.010000,0.027966,0.077890,0.028044,0.491598,4.273053,-0.095588,0.008045
0.010000,0.033309,0.077937,0.033387,0.534310,4.271141,-0.191171,0.009590
0.010000,0.039079,0.077997,0.039158,0.577065,4.275597,0.445586,0.011262
0.010000,0.045277,0.078073,0.045355,0.619776,4.271026,-0.457140,0.013060
0.010000,0.051901,0.078166,0.051980,0.662489,4.271353,0.032756,0.014986
0.010000,0.058952,0.078279,0.059032,0.705171,4.268131,-0.322276,0.017041
0.010000,0.066430,0.078414,0.066511,0.747924,4.275323,0.719246,0.019224
0.010000,0.074334,0.078575,0.074417,0.790604,4.268056,-0.726696,0.021538
0.010000,0.082665,0.078765,0.082750,0.833289,4.268444,0.038785,0.023982
0.010000,0.091422,0.078986,0.091510,0.875967,4.267851,-0.059336,0.026558
0.010000,0.100605,0.079243,0.100696,0.918630,4.266294,-0.155673,0.029266
0.010000,0.110213,0.079538,0.110310,0.961337,4.270691,0.439692,0.032108
0.010000,0.120248,0.079875,0.120349,1.003987,4.264958,-0.573280,0.035084
0.010000,0.130707,0.080258,0.130816,1.046626,4.263903,-0.105556,0.038196
0.010000,0.141591,0.080692,0.141709,1.089283,4.265718,0.181563,0.041444
0.010000,0.152900,0.081180,0.153028,1.131934,4.265115,-0.060277,0.044830
0.010000,0.164633,0.081727,0.164773,1.174550,4.261615,-0.350010,0.048354
0.010000,0.176789,0.082338,0.176945,1.217172,4.262149,0.053378,0.052017
0.010000,0.189369,0.083017,0.189543,1.259789,4.261689,-0.046035,0.055821
0.010000,0.202371,0.083769,0.202567,1.302391,4.260266,-0.142259,0.059768
0.010000,0.215795,0.084600,0.216017,1.344970,4.257916,-0.234998,0.063856
0.010000,0.229640,0.085514,0.229892,1.387587,4.261624,0.370803,0.068090
0.010000,0.243907,0.086519,0.244194,1.430150,4.256376,-0.524834,0.072468
0.010000,0.258593,0.087618,0.258921,1.472733,4.258252,0.187621,0.076992
0.010000,0.273698,0.088819,0.274074,1.515271,4.253807,-0.444479,0.081664
0.010000,0.289221,0.090127,0.289652,1.557826,4.255530,0.172294,0.086484
0.010000,0.305162,0.091549,0.305656,1.600389,4.256242,0.071213,0.091453
0.010000,0.321518,0.093091,0.322085,1.642920,4.253125,-0.311684,0.096573
0.010000,0.338290,0.094761,0.338940,1.685468,4.254802,0.167628,0.101845
0.010000,0.355476,0.096564,0.356220,1.727981,4.251343,-0.345889,0.107268
0.010000,0.373073,0.098509,0.373924,1.770464,4.248228,-0.311530,0.112846
0.010000,0.391082,0.100602,0.392055,1.813021,4.255739,0.751137,0.118577
0.010000,0.409500,0.102851,0.410610,1.855488,4.246718,-0.902070,0.124463
0.010000,0.428326,0.105264,0.429589,1.897984,4.249565,0.284678,0.130505
0.010000,0.447558,0.107849,0.448994,1.940497,4.251334,0.176849,0.136703
0.010000,0.467194,0.110614,0.468824,1.982975,4.247774,-0.355923,0.143058
0.010000,0.487232,0.113567,0.489079,2.025458,4.248323,0.054893,0.149570
0.010000,0.507671,0.116716,0.509758,2.067962,4.250334,0.201124,0.156239
0.010000,0.528507,0.120071,0.530863,2.110425,4.246285,-0.404901,0.163067
0.010000,0.549738,0.123640,0.552392,2.152905,4.248016,0.173013,0.170051
0.010000,0.571361,0.127433,0.574345,2.195382,4.247750,-0.026559,0.177194
0.010000,0.593375,0.131458,0.596724,2.237883,4.250109,0.235928,0.184494
0.010000,0.615776,0.135725,0.619528,2.280361,4.247769,-0.233976,0.191950
0.010000,0.638561,0.140243,0.642756,2.322851,4.248994,0.122490,0.199563
0.010000,0.661727,0.145022,0.666410,2.365346,4.249516,0.052207,0.207331
