dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000024,0.004856,0.485641,48.564103,6.281978
0.010000,0.000000,0.000000,0.000121,0.014569,0.971282,48.564103,6.282005
0.010000,0.000000,0.000000,0.000340,0.029138,1.456923,48.564103,6.282066
0.010000,0.000000,0.000000,0.000728,0.048564,1.942564,48.564103,6.282175
0.010000,0.000000,0.000000,0.001336,0.072846,2.428205,48.564103,6.282345
0.010000,0.000000,0.000000,0.002210,0.101985,2.913846,48.564103,6.282590
0.010000,0.000000,0.000000,0.003399,0.135979,3.399487,48.564103,6.282923
0.010000,0.000619,0.000000,0.004954,0.174831,3.885128,48.564103,0.000173
0.010000,0.002586,0.000001,0.006920,0.218538,4.370769,48.564103,0.000725
0.010000,0.004990,0.000003,0.009324,0.262246,4.370769,0.000000,0.001399
0.010000,0.007831,0.000009,0.012165,0.305954,4.370769,-0.000000,0.002197
0.010000,0.011109,0.000017,0.015443,0.349662,4.370769,0.000000,0.003118
0.010000,0.014824,0.000031,0.019159,0.393369,4.370769,-0.000000,0.004163
0.010000,0.018976,0.000051,0.023311,0.437077,4.370769,0.000000,0.005332
0.010000,0.023566,0.000078,0.027900,0.480785,4.370769,0.000000,0.006626
0.010000,0.028592,0.000115,0.032926,0.524492,4.370769,0.000000,0.008045
0.010000,0.034055,0.000163,0.038390,0.568200,4.370769,-0.000000,0.009590
0.010000,0.039955,0.000225,0.044290,0.611908,4.370769,0.000000,0.011262
0.010000,0.046292,0.000302,0.050628,0.655615,4.370769,0.000000,0.013060
0.010000,0.053067,0.000397,0.057403,0.699323,4.370769,0.000000,0.014986
0.010000,0.060277,0.000512,0.064615,0.743031,4.370769,-0.000000,0.017041
0.010000,0.067925,0.000651,0.072263,0.786738,4.370769,0.000000,0.019224
0.010000,0.076009,0.000816,0.080349,0.830446,4.370769,0.000000,0.021538
0.010000,0.084530,0.001010,0.088872,0.874154,4.370769,-0.000000,0.023982
0.010000,0.093487,0.001236,0.097832,0.917862,4.370769,0.000000,0.026558
0.010000,0.102880,0.001498,0.107230,0.961569,4.370769,0.000000,0.029266
0.010000,0.112710,0.001800,0.117064,1.005277,4.370769,-0.000000,0.032108
0.010000,0.122976,0.002145,0.127335,1.048985,4.370769,0.000000,0.035084
0.010000,0.133677,0.002537,0.138043,1.092692,4.370769,-0.000000,0.038196
0.010000,0.144813,0.002981,0.149189,1.136400,4.370769,0.000000,0.041444
0.010000,0.156385,0.003480,0.160771,1.180108,4.370769,0.000000,0.044830
0.010000,0.168392,0.004040,0.172791,1.223815,4.370769,-0.000000,0.048354
0.010000,0.180833,0.004665,0.185248,1.267523,4.370769,0.000000,0.052017
0.010000,0.193708,0.005360,0.198142,1.311231,4.370769,-0.000000,0.055821
0.010000,0.207017,0.006130,0.211472,1.354938,4.370769,0.000000,0.059768
0.010000,0.220758,0.006980,0.225240,1.398646,4.370769,-0.000000,0.063856
0.010000,0.234932,0.007917,0.239445,1.442354,4.370769,0.000000,0.068090
0.010000,0.249538,0.008945,0.254087,1.486062,4.370769,0.000000,0.072468
0.010000,0.264575,0.010071,0.269167,1.529769,4.370769,0.000000,0.076992
0.010000,0.280042,0.011300,0.284683,1.573477,4.370769,0.000000,0.081664
0.010000,0.295939,0.012640,0.300636,1.617185,4.370769,-0.000000,0.086484
0.010000,0.312265,0.014096,0.317026,1.660892,4.370769,0.000000,0.091453
0.010000,0.329018,0.015676,0.333854,1.704600,4.370769,-0.000000,0.096573
0.010000,0.346198,0.017386,0.351118,1.748308,4.370769,0.000000,0.101845
0.010000,0.363803,0.019233,0.368820,1.792015,4.370769,0.000000,0.107268
0.010000,0.381831,0.021225,0.386959,1.835723,4.370769,-0.000000,0.112846
0.010000,0.400283,0.023370,0.405535,1.879431,4.370769,0.000000,0.118577
0.010000,0.419156,0.025675,0.424547,1.923138,4.370769,-0.000000,0.124463
0.010000,0.438448,0.028148,0.443997,1.966846,4.370769,0.000000,0.130505
0.010000,0.458157,0.030797,0.463884,2.010554,4.370769,-0.000000,0.136703
0.010000,0.478283,0.033630,0.484208,2.054262,4.370769,0.000000,0.143058
0.010000,0.498822,0.036657,0.504970,2.097969,4.370769,-0.000000,0.149570
0.010000,0.519773,0.039886,0.526168,2.141677,4.370769,0.000000,0.156239
0.010000,0.541133,0.043325,0.547803,2.185385,4.370769,0.000000,0.163067
0.010000,0.562900,0.046984,0.569875,2.229092,4.370769,0.000000,0.170051
0.010000,0.585071,0.050873,0.592385,2.272800,4.370769,-0.000000,0.177194
0.010000,0.607644,0.055000,0.615331,2.316508,4.370769,0.000000,0.184494
0.010000,0.630614,0.059375,0.638715,2.360215,4.370769,0.000000,0.191950
0.010000,0.653980,0.064009,0.662536,2.403923,4.370769,-0.000000,0.199563
0.010000,0.677737,0.068910,0.686794,2.447631,4.370769,0.000000,0.207331
0.010000,0.701883,0.074089,0.711488,2.491338,4.370769,-0.000000,0.215254
0.010000,0.726413,0.079556,0.736620,2.535046,4.370769,0.000000,0.223330
0.010000,0.751323,0.085322,0.762189,2.578754,4.370769,-0.000000,0.231558
0.010000,0.776610,0.091396,0.788195,2.622462,4.370769,0.000000,0.239936
0.010000,0.802268,0.097789,0.814639,2.666169,4.370769,-0.000000,0.248462
0.010000,0.828294,0.104512,0.841519,2.709877,4.370769,0.000000,0.257134
0.010000,0.854682,0.111576,0.868836,2.753585,4.370769,-0.000000,0.265950
0.010000,0.881428,0.118990,0.896590,2.797292,4.370769,0.000000,0.274906
0.010000,0.908526,0.126766,0.924782,2.841000,4.370769,-0.000000,0.284000
0.010000,0.935970,0.134914,0.953410,2.884708,4.370769,0.000000,0.293228
0.010000,0.963755,0.143446,0.982476,2.928415,4.370769,0.000000,0.302586
0.010000,0.991875,0.152371,1.011979,2.972123,4.370769,-0.000000,0.312072
0.010000,1.020324,0.161700,1.041919,3.015831,4.370769,0.000000,0.321679
0.010000,1.049096,0.171444,1.072295,3.059538,4.370769,-0.000000,0.331405
0.010000,1.078183,0.181613,1.103109,3.103246,4.370769,0.000000,0.341243
0.010000,1.107580,0.192218,1.134360,3.146954,4.370769,0.000000,0.351189
0.010000,1.137279,0.203268,1.166048,3.190662,4.370769,-0.000000,0.361237
0.010000,1.167272,0.214775,1.198174,3.234369,4.370769,-0.000000,0.371381
0.010000,1.197531,0.226738,1.230711,3.273221,3.885128,-48.564103,0.381608
0.010000,1.228003,0.239148,1.263614,3.307215,3.399487,-48.564103,0.391895
0.010000,1.258636,0.251994,1.296832,3.336354,2.913846,-48.564103,0.402223
0.010000,1.289380,0.265261,1.330316,3.360636,2.428205,-48.564103,0.412569
0.010000,1.320185,0.278935,1.364020,3.380062,1.942564,-48.564103,0.422912
0.010000,1.351002,0.292996,1.397893,3.394631,1.456923,-48.564103,0.433232
0.010000,1.381782,0.307426,1.431888,3.404344,0.971282,-48.564103,0.443510
0.010000,1.412479,0.322202,1.465956,3.409200,0.485641,-48.564103,0.453724
0.010000,1.443045,0.337300,1.500048,3.409200,0.000000,-48.564103,0.463857
0.010000,1.473457,0.352706,1.534140,3.409200,0.000000,0.000000,0.473898
0.010000,1.503714,0.368415,1.568232,3.409200,0.000000,0.000000,0.483842
0.010000,1.533814,0.384423,1.602324,3.409200,0.000000,0.000000,0.493686
0.010000,1.563756,0.400724,1.636416,3.409200,0.000000,0.000000,0.503426
0.010000,1.593539,0.417315,1.670508,3.409200,0.000000,0.000000,0.513060
0.010000,1.623161,0.434191,1.704600,3.409200,0.000000,0.000000,0.522585
0.010000,1.652622,0.451346,1.738692,3.409200,0.000000,0.000000,0.531998
0.010000,1.681921,0.468776,1.772784,3.409200,0.000000,0.000000,0.541296
0.010000,1.711058,0.486476,1.806876,3.409200,0.000000,0.000000,0.550477
0.010000,1.740033,0.504441,1.840968,3.409200,0.000000,0.000000,0.559539
0.010000,1.768844,0.522666,1.875060,3.409200,0.000000,0.000000,0.568480
0.010000,1.797493,0.541146,1.909152,3.409200,0.000000,0.000000,0.577298
0.010000,1.825978,0.559876,1.943244,3.409200,0.000000,0.000000,0.585992
0.010000,1.854301,0.578852,1.977336,3.409200,0.000000,0.000000,0.594559
0.010000,1.882462,0.598068,2.011428,3.409200,0.000000,0.000000,0.602999
0.010000,1.910460,0.617518,2.045520,3.409200,0.000000,0.000000,0.611311
0.010000,1.938298,0.637200,2.079612,3.409200,0.000000,0.000000,0.619493
0.010000,1.965974,0.657106,2.113704,3.409200,0.000000,0.000000,0.627546
0.010000,1.993491,0.677233,2.147796,3.409200,0.000000,0.000000,0.635467
0.010000,2.020849,0.697575,2.181888,3.409200,0.000000,0.000000,0.643257
0.010000,2.048049,0.718128,2.215980,3.409200,0.000000,0.000000,0.650915
0.010000,2.075091,0.738887,2.250072,3.409200,0.000000,0.000000,0.658442
0.010000,2.101979,0.759848,2.284164,3.409200,0.000000,0.000000,0.665836
0.010000,2.128712,0.781004,2.318256,3.409200,0.000000,0.000000,0.673098
0.010000,2.155292,0.802353,2.352348,3.409200,0.000000,0.000000,0.680228
0.010000,2.181721,0.823888,2.386440,3.409200,0.000000,0.000000,0.687225
0.010000,2.207999,0.845607,2.420532,3.409200,0.000000,0.000000,0.694092
0.010000,2.234130,0.867503,2.454624,3.409200,0.000000,0.000000,0.700826
0.010000,2.260114,0.889574,2.488716,3.409200,0.000000,0.000000,0.707430
0.010000,2.285953,0.911813,2.522808,3.409200,0.000000,0.000000,0.713904
0.010000,2.311648,0.934218,2.556900,3.409200,0.000000,0.000000,0.720248
0.010000,2.337203,0.956784,2.590992,3.409200,0.000000,0.000000,0.726462
0.010000,2.362619,0.979507,2.625084,3.409200,0.000000,0.000000,0.732549
0.010000,2.387897,1.002382,2.659176,3.409200,0.000000,0.000000,0.738507
0.010000,2.413040,1.025406,2.693268,3.409200,0.000000,0.000000,0.744339
0.010000,2.438049,1.048574,2.727360,3.409200,0.000000,0.000000,0.750044
0.010000,2.462928,1.071884,2.761452,3.409200,0.000000,0.000000,0.755624
0.010000,2.487677,1.095330,2.795544,3.409200,0.000000,0.000000,0.761080
0.010000,2.512300,1.118909,2.829636,3.409200,0.000000,0.000000,0.766413
0.010000,2.536798,1.142618,2.863728,3.409200,0.000000,0.000000,0.771623
0.010000,2.561174,1.166453,2.897820,3.409200,0.000000,0.000000,0.776712
0.010000,2.585429,1.190410,2.931912,3.409200,0.000000,0.000000,0.781681
0.010000,2.609567,1.214485,2.966004,3.409200,0.000000,0.000000,0.786530
0.010000,2.633589,1.238676,3.000096,3.409200,0.000000,0.000000,0.791261
0.010000,2.657497,1.262979,3.034188,3.409200,0.000000,0.000000,0.795875
0.010000,2.681295,1.287391,3.068280,3.409200,0.000000,0.000000,0.800372
0.010000,2.704984,1.311908,3.102372,3.409200,0.000000,0.000000,0.804754
0.010000,2.728567,1.336528,3.136464,3.409200,0.000000,0.000000,0.809022
0.010000,2.752046,1.361246,3.170556,3.409200,0.000000,0.000000,0.813177
0.010000,2.775423,1.386061,3.204648,3.409200,0.000000,0.000000,0.817220
0.010000,2.798702,1.410968,3.238740,3.409200,0.000000,0.000000,0.821152
0.010000,2.821883,1.435966,3.272832,3.409200,0.000000,0.000000,0.824974
0.010000,2.844970,1.461050,3.306924,3.409200,0.000000,0.000000,0.828687
0.010000,2.867966,1.486219,3.341016,3.409200,0.000000,0.000000,0.832292
0.010000,2.890872,1.511470,3.375108,3.409200,0.000000,0.000000,0.835790
0.010000,2.913690,1.536799,3.409200,3.409200,0.000000,0.000000,0.839182
0.010000,2.936424,1.562204,3.443292,3.409200,0.000000,0.000000,0.842469
0.010000,2.959076,1.587683,3.477384,3.409200,0.000000,0.000000,0.845651
0.010000,2.981648,1.613233,3.511476,3.409200,0.000000,0.000000,0.848731
0.010000,3.004142,1.638850,3.545568,3.409200,0.000000,0.000000,0.851708
0.010000,3.026561,1.664534,3.579660,3.409200,0.000000,0.000000,0.854584
0.010000,3.048908,1.690281,3.613752,3.409200,0.000000,0.000000,0.857359
0.010000,3.071184,1.716088,3.647844,3.409200,0.000000,0.000000,0.860034
0.010000,3.093393,1.741954,3.681936,3.409200,0.000000,0.000000,0.862611
0.010000,3.115536,1.767876,3.716028,3.409200,0.000000,0.000000,0.865089
0.010000,3.137616,1.793852,3.750120,3.409200,0.000000,0.000000,0.867470
0.010000,3.159635,1.819879,3.784212,3.409200,0.000000,0.000000,0.869754
0.010000,3.181596,1.845955,3.818304,3.409200,0.000000,0.000000,0.871943
0.010000,3.203501,1.872079,3.852396,3.409200,0.000000,0.000000,0.874036
0.010000,3.221888,1.894090,3.886488,3.409200,0.000000,0.000000,0.875966
0.010000,3.243513,1.920445,3.920580,3.409200,0.000000,0.000000,0.891386
0.010000,3.264727,1.947132,3.954672,3.409200,0.000000,0.000000,0.906998
0.010000,3.285519,1.974150,3.988764,3.409200,0.000000,0.000000,0.922790
0.010000,3.305879,2.001494,4.022856,3.409200,0.000000,0.000000,0.938749
0.010000,3.325799,2.029160,4.056948,3.409200,0.000000,0.000000,0.954860
0.010000,3.345267,2.057146,4.091040,3.409200,0.000000,0.000000,0.971110
0.010000,3.364278,2.085445,4.125132,3.409200,0.000000,0.000000,0.987481
0.010000,3.382820,2.114053,4.159224,3.409200,0.000000,0.000000,1.003955
0.010000,3.400888,2.142963,4.193316,3.409200,0.000000,0.000000,1.020516
0.010000,3.418473,2.172169,4.227408,3.409200,0.000000,0.000000,1.037143
