dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000094,-0.077778,0.000024,0.004856,0.485641,48.564103,6.281978
0.010000,-0.000092,-0.077778,0.000026,0.000212,-0.464487,-95.012795,6.282005
0.010000,-0.000087,-0.077778,0.000031,0.000476,0.026444,49.093057,6.282066
0.010000,-0.000079,-0.077778,0.000040,0.000846,0.037024,1.058032,6.282175
0.010000,-0.000065,-0.077778,0.000053,0.001322,0.047609,1.058469,6.282345
0.010000,-0.000046,-0.077778,0.000072,0.001904,0.058201,1.059185,6.282590
0.010000,-0.000020,-0.077778,0.000098,0.002592,0.068803,1.060247,6.282923
0.010000,0.000633,-0.077778,0.000751,0.065303,6.271040,620.223741,0.000173
0.010000,0.002643,-0.077777,0.002761,0.200991,13.568872,729.783206,0.000725
0.010000,0.005099,-0.077774,0.005217,0.245619,4.462768,-910.610436,0.001399
0.010000,0.008002,-0.077769,0.008120,0.290307,4.468800,0.603201,0.002197
0.010000,0.011352,-0.077760,0.011470,0.334986,4.467848,-0.095172,0.003118
0.010000,0.015148,-0.077746,0.015266,0.379642,4.465683,-0.216538,0.004163
0.010000,0.019391,-0.077726,0.019509,0.424316,4.467350,0.166725,0.005332
0.010000,0.024081,-0.077698,0.024199,0.468997,4.468076,0.072534,0.006626
0.010000,0.029218,-0.077660,0.029336,0.513675,4.467865,-0.021026,0.008045
0.010000,0.034801,-0.077611,0.034920,0.558343,4.466727,-0.113805,0.009590
0.010000,0.040831,-0.077548,0.040950,0.603066,4.472314,0.558626,0.011262
0.010000,0.047308,-0.077470,0.047428,0.647751,4.468535,-0.377847,0.013060
0.010000,0.054232,-0.077373,0.054352,0.692451,4.469943,0.140823,0.014986
0.010000,0.061602,-0.077254,0.061724,0.737128,4.467706,-0.223713,0.017041
0.010000,0.069420,-0.077113,0.069542,0.781892,4.476421,0.871450,0.019224
0.010000,0.077684,-0.076944,0.077808,0.826593,4.470082,-0.633870,0.021538
0.010000,0.086395,-0.076746,0.086522,0.871311,4.471805,0.172280,0.023982
0.010000,0.095553,-0.076515,0.095682,0.916036,4.472559,0.075447,0.026558
0.010000,0.105156,-0.076246,0.105289,0.960760,4.472361,-0.019836,0.029266
0.010000,0.115207,-0.075938,0.115345,1.005544,4.478442,0.608085,0.032108
0.010000,0.125704,-0.075585,0.125848,1.050284,4.473976,-0.446529,0.035084
0.010000,0.136647,-0.075184,0.136798,1.095029,4.474448,0.047122,0.038196
0.010000,0.148036,-0.074730,0.148196,1.139808,4.477965,0.351707,0.041444
0.010000,0.159871,-0.074219,0.160042,1.184598,4.478990,0.102483,0.044830
0.010000,0.172151,-0.073647,0.172336,1.229368,4.477015,-0.197487,0.048354
0.010000,0.184877,-0.073008,0.185077,1.274161,4.479289,0.227469,0.052017
0.010000,0.198047,-0.072297,0.198267,1.318967,4.480547,0.125747,0.055821
0.010000,0.211662,-0.071509,0.211905,1.363775,4.480814,0.026725,0.059768
0.010000,0.225721,-0.070639,0.225991,1.408576,4.480121,-0.069334,0.063856
0.010000,0.240224,-0.069681,0.240525,1.453434,4.485777,0.565617,0.068090
0.010000,0.255169,-0.068629,0.255507,1.498254,4.482050,-0.372699,0.072468
0.010000,0.270558,-0.067477,0.270939,1.543112,4.485775,0.372552,0.076992
0.010000,0.286387,-0.066218,0.286818,1.587941,4.482860,-0.291562,0.081664
0.010000,0.302657,-0.064847,0.303146,1.632804,4.486380,0.351998,0.086484
0.010000,0.319368,-0.063357,0.319923,1.677692,4.488806,0.242567,0.091453
0.010000,0.336518,-0.061740,0.337149,1.722564,4.487171,-0.163444,0.096573
0.010000,0.354105,-0.059989,0.354823,1.767469,4.490505,0.333388,0.101845
0.010000,0.372130,-0.058098,0.372947,1.812353,4.488386,-0.211875,0.107268
0.010000,0.390590,-0.056058,0.391519,1.857219,4.486546,-0.184003,0.112846
0.010000,0.409484,-0.053862,0.410541,1.902176,4.495762,0.921611,0.118577
0.010000,0.428811,-0.051501,0.430011,1.947051,4.487529,-0.823307,0.124463
0.010000,0.448569,-0.048969,0.449931,1.991968,4.491627,0.409795,0.130505
0.010000,0.468757,-0.046256,0.470300,2.036912,4.494462,0.283443,0.136703
0.010000,0.489372,-0.043353,0.491118,2.081828,4.491555,-0.290686,0.143058
0.010000,0.510412,-0.040252,0.512386,2.126756,4.492795,0.124021,0.149570
0.010000,0.531876,-0.036945,0.534103,2.171710,4.495390,0.259535,0.156239
0.010000,0.553760,-0.033421,0.556269,2.216624,4.491423,-0.396714,0.163067
0.010000,0.576063,-0.029672,0.578885,2.261557,4.493309,0.188608,0.170051
0.010000,0.598781,-0.025687,0.601950,2.306486,4.492866,-0.044336,0.177194
0.010000,0.621912,-0.021458,0.625464,2.351435,4.494929,0.206269,0.184494
0.010000,0.645452,-0.016974,0.649428,2.396353,4.491783,-0.314526,0.191950
