dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.089150,0.721362,0.000024,0.004856,0.485641,48.564103,6.282085
0.010000,0.089148,0.721362,0.000026,0.000164,-0.469199,-95.484002,6.282106
0.010000,0.089144,0.721362,0.000030,0.000370,0.020551,48.974995,6.282153
0.010000,0.089138,0.721362,0.000036,0.000658,0.028767,0.821595,6.282238
0.010000,0.089128,0.721362,0.000046,0.001027,0.036976,0.820914,6.282370
0.010000,0.089113,0.721362,0.000061,0.001479,0.045174,0.819798,6.282560
0.010000,0.089093,0.721362,0.000081,0.002013,0.053355,0.818138,6.282819
0.010000,0.089066,0.721362,0.000108,0.002628,0.061514,0.815821,6.283157
0.010000,0.090870,0.721363,0.001911,0.180320,17.769242,1770.772849,0.000399
0.010000,0.093233,0.721364,0.004274,0.236326,5.600544,-1216.869841,0.000921
0.010000,0.096026,0.721368,0.007067,0.279309,4.298365,-130.217885,0.001538
0.010000,0.099249,0.721374,0.010290,0.322265,4.295562,-0.280295,0.002249
0.010000,0.102901,0.721384,0.013942,0.365261,4.299566,0.400438,0.003054
0.010000,0.106983,0.721398,0.018025,0.408233,4.297261,-0.230569,0.003953
0.010000,0.111495,0.721418,0.022537,0.451209,4.297592,0.033102,0.004946
0.010000,0.116437,0.721445,0.027479,0.494190,4.298127,0.053580,0.006032
0.010000,0.121809,0.721481,0.032851,0.537175,4.298424,0.029618,0.007212
0.010000,0.127610,0.721526,0.038652,0.580160,4.298489,0.006567,0.008483
0.010000,0.133842,0.721583,0.044884,0.623143,4.298334,-0.015495,0.009847
0.010000,0.140503,0.721654,0.051545,0.666157,4.301374,0.304015,0.011303
0.010000,0.147594,0.721739,0.058637,0.709143,4.298682,-0.269204,0.012850
0.010000,0.155114,0.721842,0.066158,0.752145,4.300120,0.143720,0.014488
0.010000,0.163065,0.721964,0.074110,0.795150,4.300507,0.038747,0.016216
0.010000,0.171445,0.722108,0.082491,0.838168,4.301848,0.134112,0.018034
0.010000,0.180256,0.722275,0.091303,0.881175,4.300715,-0.113289,0.019940
0.010000,0.189495,0.722469,0.100545,0.924194,4.301905,0.118970,0.021935
0.010000,0.199165,0.722691,0.110217,0.967223,4.302860,0.095504,0.024018
0.010000,0.209265,0.722944,0.120320,1.010259,4.303597,0.073726,0.026187
0.010000,0.219794,0.723232,0.130853,1.053300,4.304134,0.053690,0.028442
0.010000,0.230752,0.723557,0.141816,1.096345,4.304489,0.035446,0.030783
0.010000,0.242140,0.723921,0.153210,1.139392,4.304679,0.019039,0.033208
0.010000,0.253958,0.724329,0.165035,1.182450,4.305756,0.107680,0.035716
0.010000,0.266205,0.724782,0.177290,1.225529,4.307957,0.220063,0.038306
0.010000,0.278881,0.725285,0.189976,1.268592,4.306336,-0.162059,0.040977
0.010000,0.291986,0.725840,0.203093,1.311686,4.309345,0.300895,0.043729
0.010000,0.305520,0.726452,0.216640,1.354781,4.309475,0.013032,0.046559
0.010000,0.319482,0.727123,0.230619,1.397880,4.309902,0.042663,0.049467
0.010000,0.333874,0.727857,0.245029,1.440993,4.311337,0.143501,0.052452
0.010000,0.348693,0.728657,0.259870,1.484119,4.312592,0.125481,0.055511
0.010000,0.363941,0.729529,0.275143,1.527256,4.313691,0.109901,0.058644
0.010000,0.379616,0.730474,0.290847,1.570402,4.314658,0.096755,0.061849
0.010000,0.395720,0.731498,0.306983,1.613558,4.315519,0.086031,0.065125
0.010000,0.412250,0.732604,0.323550,1.656728,4.317058,0.153990,0.068469
0.010000,0.429207,0.733796,0.340549,1.699922,4.319335,0.227659,0.071881
0.010000,0.446591,0.735078,0.357980,1.743108,4.318635,-0.070008,0.075359
0.010000,0.464401,0.736454,0.375843,1.786331,4.322344,0.370884,0.078900
