dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.089064,0.643585,0.000024,0.004856,0.485641,48.564103,6.282085
0.010000,0.089064,0.643585,0.000121,0.014569,0.971282,48.564103,6.282106
0.010000,0.089064,0.643585,0.000340,0.029138,1.456923,48.564103,6.282153
0.010000,0.089064,0.643585,0.000728,0.048564,1.942564,48.564103,6.282238
0.010000,0.089064,0.643585,0.001336,0.072846,2.428205,48.564103,6.282370
0.010000,0.089064,0.643585,0.002210,0.101985,2.913846,48.564103,6.282560
0.010000,0.089064,0.643585,0.003399,0.135979,3.399487,48.564103,6.282819
0.010000,0.089064,0.643585,0.004954,0.174831,3.885128,48.564103,6.283157
0.010000,0.090901,0.643585,0.006920,0.218538,4.370769,48.564103,0.000399
0.010000,0.093304,0.643587,0.009324,0.262246,4.370769,0.000000,0.000921
0.010000,0.096146,0.643590,0.012165,0.305954,4.370769,-0.000000,0.001538
0.010000,0.099423,0.643596,0.015443,0.349662,4.370769,0.000000,0.002249
0.010000,0.103139,0.643606,0.019159,0.393369,4.370769,-0.000000,0.003054
0.010000,0.107291,0.643621,0.023311,0.437077,4.370769,0.000000,0.003953
0.010000,0.111880,0.643641,0.027900,0.480785,4.370769,0.000000,0.004946
0.010000,0.116907,0.643669,0.032926,0.524492,4.370769,0.000000,0.006032
0.010000,0.122370,0.643705,0.038390,0.568200,4.370769,-0.000000,0.007212
0.010000,0.128270,0.643751,0.044290,0.611908,4.370769,0.000000,0.008483
0.010000,0.134607,0.643809,0.050628,0.655615,4.370769,0.000000,0.009847
0.010000,0.141382,0.643881,0.057403,0.699323,4.370769,0.000000,0.011303
0.010000,0.148593,0.643968,0.064615,0.743031,4.370769,-0.000000,0.012850
0.010000,0.156241,0.644073,0.072263,0.786738,4.370769,0.000000,0.014488
0.010000,0.164326,0.644197,0.080349,0.830446,4.370769,0.000000,0.016216
0.010000,0.172848,0.644343,0.088872,0.874154,4.370769,-0.000000,0.018034
0.010000,0.181806,0.644513,0.097832,0.917862,4.370769,0.000000,0.019940
0.010000,0.191201,0.644710,0.107230,0.961569,4.370769,0.000000,0.021935
0.010000,0.201033,0.644935,0.117064,1.005277,4.370769,-0.000000,0.024018
0.010000,0.211301,0.645193,0.127335,1.048985,4.370769,0.000000,0.026187
0.010000,0.222006,0.645486,0.138043,1.092692,4.370769,-0.000000,0.028442
0.010000,0.233146,0.645816,0.149189,1.136400,4.370769,0.000000,0.030783
0.010000,0.244723,0.646186,0.160771,1.180108,4.370769,0.000000,0.033208
0.010000,0.256735,0.646600,0.172791,1.223815,4.370769,-0.000000,0.035716
0.010000,0.269183,0.647061,0.185248,1.267523,4.370769,0.000000,0.038306
0.010000,0.282067,0.647572,0.198142,1.311231,4.370769,-0.000000,0.040977
0.010000,0.295386,0.648137,0.211472,1.354938,4.370769,0.000000,0.043729
0.010000,0.309140,0.648758,0.225240,1.398646,4.370769,-0.000000,0.046559
0.010000,0.323328,0.649440,0.239445,1.442354,4.370769,0.000000,0.049467
0.010000,0.337951,0.650186,0.254087,1.486062,4.370769,0.000000,0.052452
0.010000,0.353009,0.650999,0.269167,1.529769,4.370769,0.000000,0.055511
0.010000,0.368500,0.651885,0.284683,1.573477,4.370769,0.000000,0.058644
0.010000,0.384424,0.652845,0.300636,1.617185,4.370769,-0.000000,0.061849
0.010000,0.400781,0.653885,0.317026,1.660892,4.370769,0.000000,0.065125
0.010000,0.417571,0.655008,0.333854,1.704600,4.370769,-0.000000,0.068469
0.010000,0.434793,0.656219,0.351118,1.748308,4.370769,0.000000,0.071881
0.010000,0.452447,0.657521,0.368820,1.792015,4.370769,0.000000,0.075359
0.010000,0.470532,0.658919,0.386959,1.835723,4.370769,-0.000000,0.078900
0.010000,0.489047,0.660416,0.405535,1.879431,4.370769,0.000000,0.082502
0.010000,0.507992,0.662018,0.424547,1.923138,4.370769,-0.000000,0.086165
0.010000,0.527367,0.663727,0.443997,1.966846,4.370769,0.000000,0.089886
0.010000,0.547170,0.665550,0.463884,2.010554,4.370769,-0.000000,0.093662
0.010000,0.567401,0.667490,0.484208,2.054262,4.370769,0.000000,0.097492
0.010000,0.588060,0.669551,0.504970,2.097969,4.370769,-0.000000,0.101373
0.010000,0.609145,0.671737,0.526168,2.141677,4.370769,0.000000,0.105303
0.010000,0.630656,0.674054,0.547803,2.185385,4.370769,0.000000,0.109279
0.010000,0.652592,0.676506,0.569875,2.229092,4.370769,0.000000,0.113300
0.010000,0.674952,0.679096,0.592385,2.272800,4.370769,-0.000000,0.117362
0.010000,0.697735,0.681830,0.615331,2.316508,4.370769,0.000000,0.121463
0.010000,0.720940,0.684711,0.638715,2.360215,4.370769,0.000000,0.125601
0.010000,0.744567,0.687745,0.662536,2.403923,4.370769,-0.000000,0.129772
0.010000,0.768614,0.690934,0.686794,2.447631,4.370769,0.000000,0.133973
0.010000,0.793080,0.694285,0.711488,2.491338,4.370769,-0.000000,0.138203
0.010000,0.817965,0.697800,0.736620,2.535046,4.370769,0.000000,0.142457
0.010000,0.843267,0.701484,0.762189,2.578754,4.370769,-0.000000,0.146732
0.010000,0.868986,0.705342,0.788195,2.622462,4.370769,0.000000,0.151027
0.010000,0.895119,0.709377,0.814639,2.666169,4.370769,-0.000000,0.155337
0.010000,0.921667,0.713593,0.841519,2.709877,4.370769,0.000000,0.159659
0.010000,0.948627,0.717995,0.868836,2.753585,4.370769,-0.000000,0.163990
0.010000,0.975999,0.722585,0.896590,2.797292,4.370769,0.000000,0.168326
0.010000,1.003782,0.727369,0.924782,2.841000,4.370769,-0.000000,0.172664
0.010000,1.031974,0.732348,0.953410,2.884708,4.370769,0.000000,0.177002
0.010000,1.060574,0.737528,0.982476,2.928415,4.370769,0.000000,0.181334
0.010000,1.089582,0.742912,1.011979,2.972123,4.370769,-0.000000,0.185657
0.010000,1.118995,0.748502,1.041919,3.015831,4.370769,0.000000,0.189968
0.010000,1.148813,0.754302,1.072295,3.059538,4.370769,-0.000000,0.194264
0.010000,1.179034,0.760316,1.103109,3.103246,4.370769,0.000000,0.198540
0.010000,1.209658,0.766545,1.134360,3.146954,4.370769,0.000000,0.202792
0.010000,1.240683,0.772993,1.166048,3.190662,4.370769,-0.000000,0.207017
0.010000,1.272108,0.779662,1.198174,3.234369,4.370769,-0.000000,0.211211
0.010000,1.303909,0.786550,1.230711,3.273221,3.885128,-48.564103,0.215366
0.010000,1.336036,0.793647,1.263614,3.307215,3.399487,-48.564103,0.219474
0.010000,1.368443,0.800945,1.296832,3.336354,2.913846,-48.564103,0.223525
0.010000,1.401080,0.808433,1.330316,3.360636,2.428205,-48.564103,0.227510
0.010000,1.433900,0.816099,1.364020,3.380062,1.942564,-48.564103,0.231420
0.010000,1.466855,0.823932,1.397893,3.394631,1.456923,-48.564103,0.235250
0.010000,1.499899,0.831918,1.431888,3.404344,0.971282,-48.564103,0.238991
0.010000,1.532983,0.840043,1.465956,3.409200,0.485641,-48.564103,0.242638
0.010000,1.566062,0.848293,1.500048,3.409200,0.000000,-48.564103,0.246185
0.010000,1.599111,0.856659,1.534140,3.409200,0.000000,0.000000,0.249629
0.010000,1.632133,0.865136,1.568232,3.409200,0.000000,0.000000,0.252970
0.010000,1.665126,0.873723,1.602324,3.409200,0.000000,0.000000,0.256208
0.010000,1.698091,0.882414,1.636416,3.409200,0.000000,0.000000,0.259343
0.010000,1.731030,0.891207,1.670508,3.409200,0.000000,0.000000,0.262375
0.010000,1.763942,0.900098,1.704600,3.409200,0.000000,0.000000,0.265305
0.010000,1.796828,0.909084,1.738692,3.409200,0.000000,0.000000,0.268132
0.010000,1.829690,0.918161,1.772784,3.409200,0.000000,0.000000,0.270856
0.010000,1.862527,0.927326,1.806876,3.409200,0.000000,0.000000,0.273478
0.010000,1.895340,0.936575,1.840968,3.409200,0.000000,0.000000,0.275998
0.010000,1.928130,0.945905,1.875060,3.409200,0.000000,0.000000,0.278415
0.010000,1.960899,0.955313,1.909152,3.409200,0.000000,0.000000,0.280730
0.010000,1.993645,0.964795,1.943244,3.409200,0.000000,0.000000,0.282943
0.010000,2.026372,0.974348,1.977336,3.409200,0.000000,0.000000,0.285054
0.010000,2.059078,0.983968,2.011428,3.409200,0.000000,0.000000,0.287063
0.010000,2.091766,0.993652,2.045520,3.409200,0.000000,0.000000,0.288971
0.010000,2.124436,1.003397,2.079612,3.409200,0.000000,0.000000,0.290777
0.010000,2.157088,1.013199,2.113704,3.409200,0.000000,0.000000,0.292481
0.010000,2.189724,1.023055,2.147796,3.409200,0.000000,0.000000,0.294084
0.010000,2.222345,1.032962,2.181888,3.409200,0.000000,0.000000,0.295586
0.010000,2.254951,1.042916,2.215980,3.409200,0.000000,0.000000,0.296987
0.010000,2.287544,1.052914,2.250072,3.409200,0.000000,0.000000,0.298287
0.010000,2.320125,1.062953,2.284164,3.409200,0.000000,0.000000,0.299486
0.010000,2.352694,1.073030,2.318256,3.409200,0.000000,0.000000,0.300584
0.010000,2.385252,1.083140,2.352348,3.409200,0.000000,0.000000,0.301581
