dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.088979,0.565807,0.000024,0.004856,0.485641,48.564103,6.282085
0.010000,0.088980,0.565807,0.000026,0.000164,-0.469199,-95.484002,6.282106
0.010000,0.088984,0.565807,0.000030,0.000370,0.020551,48.974995,6.282153
0.010000,0.088990,0.565807,0.000036,0.000658,0.028767,0.821595,6.282238
0.010000,0.089001,0.565807,0.000046,0.001027,0.036976,0.820914,6.282370
0.010000,0.089016,0.565807,0.000061,0.001479,0.045174,0.819798,6.282560
0.010000,0.089036,0.565807,0.000081,0.002013,0.053355,0.818138,6.282819
0.010000,0.089062,0.565807,0.000108,0.002628,0.061514,0.815821,6.283157
0.010000,0.090932,0.565807,0.001977,0.186969,18.434156,1837.264283,0.000399
0.010000,0.093376,0.565809,0.004422,0.244448,5.747824,-1268.633286,0.000921
0.010000,0.096265,0.565812,0.007311,0.288903,4.445509,-130.231499,0.001538
0.010000,0.099598,0.565819,0.010644,0.333326,4.442316,-0.319228,0.002249
0.010000,0.103376,0.565829,0.014422,0.377787,4.446118,0.380153,0.003054
0.010000,0.107598,0.565843,0.018644,0.422220,4.443345,-0.277321,0.003953
0.010000,0.112265,0.565864,0.023311,0.466653,4.443250,-0.009507,0.004946
0.010000,0.117376,0.565892,0.028422,0.511086,4.443316,0.006647,0.006032
0.010000,0.122931,0.565929,0.033977,0.555517,4.443083,-0.023283,0.007212
0.010000,0.128930,0.565976,0.039976,0.599943,4.442559,-0.052398,0.008483
0.010000,0.135373,0.566035,0.046420,0.644360,4.441753,-0.080628,0.009847
0.010000,0.142261,0.566108,0.053308,0.688802,4.444195,0.244170,0.011303
0.010000,0.149592,0.566197,0.060640,0.733209,4.440652,-0.354287,0.012850
0.010000,0.157368,0.566303,0.068416,0.777622,4.441320,0.066774,0.014488
0.010000,0.165587,0.566429,0.076636,0.822030,4.440841,-0.047862,0.016216
0.010000,0.174250,0.566577,0.085301,0.866443,4.441285,0.044438,0.018034
0.010000,0.183357,0.566750,0.094409,0.910834,4.439107,-0.217785,0.019940
0.010000,0.192907,0.566950,0.103961,0.955227,4.439264,0.015635,0.021935
0.010000,0.202901,0.567180,0.113958,0.999618,4.439109,-0.015526,0.024018
0.010000,0.213338,0.567442,0.124398,1.044004,4.438657,-0.045149,0.026187
0.010000,0.224217,0.567739,0.135282,1.088384,4.437925,-0.073183,0.028442
0.010000,0.235540,0.568075,0.146609,1.132753,4.436929,-0.099578,0.030783
0.010000,0.247305,0.568451,0.158380,1.177110,4.435686,-0.124293,0.033208
0.010000,0.259512,0.568872,0.170595,1.221463,4.435279,-0.040716,0.035716
0.010000,0.272162,0.569341,0.183253,1.265822,4.435950,0.067103,0.038306
0.010000,0.285253,0.569860,0.196354,1.310148,4.432590,-0.336055,0.040977
0.010000,0.298786,0.570433,0.209899,1.354487,4.433924,0.133394,0.043729
0.010000,0.312760,0.571065,0.223887,1.398809,4.432195,-0.172851,0.046559
