dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.118589,0.765481,0.000024,0.004856,0.485641,48.564103,6.281738
0.010000,0.118586,0.765481,0.000027,0.000278,-0.457828,-94.346888,6.281774
0.010000,0.118580,0.765481,0.000033,0.000626,0.034763,49.259072,6.281854
0.010000,0.118569,0.765481,0.000044,0.001112,0.048658,1.389507,6.281997
0.010000,0.118552,0.765481,0.000062,0.001738,0.062538,1.387961,6.282221
0.010000,0.118527,0.765481,0.000087,0.002502,0.076392,1.385424,6.282542
0.010000,0.118493,0.765481,0.000121,0.003404,0.090208,1.381644,6.282980
0.010000,0.119444,0.765481,0.001072,0.095118,9.171405,908.119636,0.000366
0.010000,0.121354,0.765483,0.002983,0.191064,9.594578,42.317327,0.001089
0.010000,0.123690,0.765486,0.005318,0.233529,4.246537,-534.804135,0.001971
0.010000,0.126449,0.765493,0.008078,0.275982,4.245291,-0.124572,0.003014
0.010000,0.129634,0.765505,0.011262,0.318462,4.247983,0.269212,0.004216
0.010000,0.133243,0.765522,0.014872,0.360935,4.247382,-0.060103,0.005576
0.010000,0.137277,0.765548,0.018906,0.403407,4.247139,-0.024329,0.007095
0.010000,0.141736,0.765583,0.023365,0.445888,4.248086,0.094707,0.008772
0.010000,0.146620,0.765631,0.028249,0.488387,4.249923,0.183737,0.010605
0.010000,0.151928,0.765692,0.033557,0.530868,4.248155,-0.176777,0.012595
0.010000,0.157661,0.765771,0.039291,0.573366,4.249759,0.160359,0.014740
0.010000,0.163819,0.765868,0.045450,0.615874,4.250825,0.106658,0.017040
0.010000,0.170402,0.765989,0.052034,0.658395,4.252061,0.123564,0.019493
0.010000,0.177410,0.766134,0.059043,0.700912,4.251668,-0.039318,0.022098
0.010000,0.184842,0.766309,0.066477,0.743444,4.253275,0.160761,0.024855
0.010000,0.192699,0.766516,0.074337,0.785990,4.254520,0.124433,0.027761
0.010000,0.200981,0.766758,0.082623,0.828544,4.255440,0.091995,0.030815
0.010000,0.209688,0.767041,0.091334,0.871105,4.256076,0.063606,0.034016
0.010000,0.218819,0.767367,0.100470,0.913689,4.258438,0.236264,0.037363
0.010000,0.228374,0.767741,0.110033,0.956285,4.259618,0.117977,0.040852
0.010000,0.238354,0.768167,0.120022,0.998892,4.260645,0.102664,0.044483
0.010000,0.248758,0.768649,0.130437,1.041508,4.261667,0.102210,0.048252
0.010000,0.259586,0.769194,0.141279,1.084161,4.265236,0.356893,0.052159
0.010000,0.270838,0.769804,0.152547,1.126821,4.265975,0.073920,0.056201
0.010000,0.282513,0.770485,0.164242,1.169497,4.267643,0.166819,0.060374
0.010000,0.294611,0.771243,0.176364,1.212202,4.270459,0.281605,0.064677
0.010000,0.307132,0.772081,0.188913,1.254929,4.272778,0.231822,0.069107
0.010000,0.320076,0.773007,0.201890,1.297666,4.273715,0.093778,0.073660
0.010000,0.333442,0.774025,0.215295,1.340445,4.277824,0.410904,0.078333
0.010000,0.347229,0.775140,0.229127,1.383232,4.278686,0.086126,0.083124
0.010000,0.361437,0.776359,0.243388,1.426071,4.283948,0.526275,0.088027
0.010000,0.376066,0.777687,0.258077,1.468921,4.284960,0.101194,0.093041
0.010000,0.391115,0.779130,0.273195,1.511804,4.288346,0.338526,0.098160
0.010000,0.406584,0.780694,0.288742,1.554720,4.291597,0.325109,0.103381
0.010000,0.422471,0.782386,0.304719,1.597668,4.294776,0.317949,0.108699
0.010000,0.438776,0.784210,0.321125,1.640661,4.299294,0.451823,0.114111
0.010000,0.455497,0.786173,0.337962,1.683680,4.301913,0.261825,0.119610
0.010000,0.472636,0.788281,0.355229,1.726740,4.305987,0.407409,0.125192
0.010000,0.490189,0.790541,0.372928,1.769837,4.309719,0.373261,0.130853
0.010000,0.508157,0.792958,0.391058,1.812984,4.314749,0.503002,0.136586
