dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.118477,0.687703,0.000024,0.004856,0.485641,48.564103,6.281738
0.010000,0.118477,0.687703,0.000121,0.014569,0.971282,48.564103,6.281774
0.010000,0.118477,0.687703,0.000340,0.029138,1.456923,48.564103,6.281854
0.010000,0.118477,0.687703,0.000728,0.048564,1.942564,48.564103,6.281997
0.010000,0.118477,0.687703,0.001336,0.072846,2.428205,48.564103,6.282221
0.010000,0.118477,0.687703,0.002210,0.101985,2.913846,48.564103,6.282542
0.010000,0.118477,0.687703,0.003399,0.135979,3.399487,48.564103,6.282980
0.010000,0.119472,0.687704,0.004954,0.174831,3.885128,48.564103,0.000366
0.010000,0.121439,0.687705,0.006920,0.218538,4.370769,48.564103,0.001089
0.010000,0.123843,0.687709,0.009324,0.262246,4.370769,0.000000,0.001971
0.010000,0.126684,0.687716,0.012165,0.305954,4.370769,-0.000000,0.003014
0.010000,0.129962,0.687728,0.015443,0.349662,4.370769,0.000000,0.004216
0.010000,0.133677,0.687746,0.019159,0.393369,4.370769,-0.000000,0.005576
0.010000,0.137829,0.687772,0.023311,0.437077,4.370769,0.000000,0.007095
0.010000,0.142418,0.687808,0.027900,0.480785,4.370769,0.000000,0.008772
0.010000,0.147445,0.687857,0.032926,0.524492,4.370769,0.000000,0.010605
0.010000,0.152908,0.687921,0.038390,0.568200,4.370769,-0.000000,0.012595
0.010000,0.158808,0.688001,0.044290,0.611908,4.370769,0.000000,0.014740
0.010000,0.165144,0.688102,0.050628,0.655615,4.370769,0.000000,0.017040
0.010000,0.171918,0.688226,0.057403,0.699323,4.370769,0.000000,0.019493
0.010000,0.179128,0.688376,0.064615,0.743031,4.370769,-0.000000,0.022098
0.010000,0.186775,0.688555,0.072263,0.786738,4.370769,0.000000,0.024855
0.010000,0.194858,0.688768,0.080349,0.830446,4.370769,0.000000,0.027761
0.010000,0.203377,0.689017,0.088872,0.874154,4.370769,-0.000000,0.030815
0.010000,0.212333,0.689308,0.097832,0.917862,4.370769,0.000000,0.034016
0.010000,0.221724,0.689643,0.107230,0.961569,4.370769,0.000000,0.037363
0.010000,0.231551,0.690028,0.117064,1.005277,4.370769,-0.000000,0.040852
0.010000,0.241813,0.690466,0.127335,1.048985,4.370769,0.000000,0.044483
0.010000,0.252509,0.690962,0.138043,1.092692,4.370769,-0.000000,0.048252
0.010000,0.263641,0.691522,0.149189,1.136400,4.370769,0.000000,0.052159
0.010000,0.275206,0.692149,0.160771,1.180108,4.370769,0.000000,0.056201
0.010000,0.287206,0.692849,0.172791,1.223815,4.370769,-0.000000,0.060374
0.010000,0.299638,0.693627,0.185248,1.267523,4.370769,0.000000,0.064677
0.010000,0.312503,0.694489,0.198142,1.311231,4.370769,-0.000000,0.069107
0.010000,0.325800,0.695440,0.211472,1.354938,4.370769,0.000000,0.073660
0.010000,0.339528,0.696485,0.225240,1.398646,4.370769,-0.000000,0.078333
0.010000,0.353687,0.697631,0.239445,1.442354,4.370769,0.000000,0.083124
0.010000,0.368275,0.698882,0.254087,1.486062,4.370769,0.000000,0.088027
0.010000,0.383292,0.700246,0.269167,1.529769,4.370769,0.000000,0.093041
0.010000,0.398738,0.701727,0.284683,1.573477,4.370769,0.000000,0.098160
0.010000,0.414610,0.703332,0.300636,1.617185,4.370769,-0.000000,0.103381
0.010000,0.430908,0.705067,0.317026,1.660892,4.370769,0.000000,0.108699
0.010000,0.447632,0.706938,0.333854,1.704600,4.370769,-0.000000,0.114111
0.010000,0.464778,0.708951,0.351118,1.748308,4.370769,0.000000,0.119610
0.010000,0.482347,0.711112,0.368820,1.792015,4.370769,0.000000,0.125192
0.010000,0.500338,0.713428,0.386959,1.835723,4.370769,-0.000000,0.130853
0.010000,0.518748,0.715905,0.405535,1.879431,4.370769,0.000000,0.136586
0.010000,0.537576,0.718548,0.424547,1.923138,4.370769,-0.000000,0.142387
0.010000,0.556821,0.721365,0.443997,1.966846,4.370769,0.000000,0.148249
0.010000,0.576481,0.724360,0.463884,2.010554,4.370769,-0.000000,0.154167
0.010000,0.596554,0.727541,0.484208,2.054262,4.370769,0.000000,0.160134
0.010000,0.617040,0.730913,0.504970,2.097969,4.370769,-0.000000,0.166145
0.010000,0.637935,0.734483,0.526168,2.141677,4.370769,0.000000,0.172194
0.010000,0.659239,0.738255,0.547803,2.185385,4.370769,0.000000,0.178272
0.010000,0.680950,0.742235,0.569875,2.229092,4.370769,0.000000,0.184374
0.010000,0.703065,0.746430,0.592385,2.272800,4.370769,-0.000000,0.190493
0.010000,0.725583,0.750844,0.615331,2.316508,4.370769,0.000000,0.196622
0.010000,0.748501,0.755482,0.638715,2.360215,4.370769,0.000000,0.202753
0.010000,0.771819,0.760351,0.662536,2.403923,4.370769,-0.000000,0.208879
0.010000,0.795534,0.765454,0.686794,2.447631,4.370769,0.000000,0.214993
0.010000,0.819644,0.770796,0.711488,2.491338,4.370769,-0.000000,0.221087
0.010000,0.844148,0.776382,0.736620,2.535046,4.370769,0.000000,0.227153
0.010000,0.869042,0.782215,0.762189,2.578754,4.370769,-0.000000,0.233183
0.010000,0.894326,0.788301,0.788195,2.622462,4.370769,0.000000,0.239171
0.010000,0.919998,0.794641,0.814639,2.666169,4.370769,-0.000000,0.245106
0.010000,0.946055,0.801241,0.841519,2.709877,4.370769,0.000000,0.250983
0.010000,0.972497,0.808103,0.868836,2.753585,4.370769,-0.000000,0.256792
0.010000,0.999321,0.815229,0.896590,2.797292,4.370769,0.000000,0.262525
0.010000,1.026525,0.822623,0.924782,2.841000,4.370769,-0.000000,0.268174
0.010000,1.054109,0.830285,0.953410,2.884708,4.370769,0.000000,0.273731
0.010000,1.082071,0.838219,0.982476,2.928415,4.370769,0.000000,0.279187
0.010000,1.110409,0.846426,1.011979,2.972123,4.370769,-0.000000,0.284534
0.010000,1.139123,0.854906,1.041919,3.015831,4.370769,0.000000,0.289764
0.010000,1.168211,0.863660,1.072295,3.059538,4.370769,-0.000000,0.294868
0.010000,1.197672,0.872689,1.103109,3.103246,4.370769,0.000000,0.299837
0.010000,1.227507,0.881991,1.134360,3.146954,4.370769,0.000000,0.304664
0.010000,1.257713,0.891568,1.166048,3.190662,4.370769,-0.000000,0.309339
0.010000,1.288291,0.901418,1.198174,3.234369,4.370769,-0.000000,0.313854
0.010000,1.319217,0.911531,1.230711,3.273221,3.885128,-48.564103,0.318198
0.010000,1.350446,0.921890,1.263614,3.307215,3.399487,-48.564103,0.322356
0.010000,1.381932,0.932476,1.296832,3.336354,2.913846,-48.564103,0.326315
0.010000,1.413629,0.943270,1.330316,3.360636,2.428205,-48.564103,0.330065
0.010000,1.445494,0.954251,1.364020,3.380062,1.942564,-48.564103,0.333595
0.010000,1.477481,0.965396,1.397893,3.394631,1.456923,-48.564103,0.336897
0.010000,1.509548,0.976683,1.431888,3.404344,0.971282,-48.564103,0.339963
0.010000,1.541649,0.988089,1.465956,3.409200,0.485641,-48.564103,0.342789
0.010000,1.573743,0.999590,1.500048,3.409200,0.000000,-48.564103,0.345369
0.010000,1.605808,1.011169,1.534140,3.409200,0.000000,0.000000,0.347703
0.010000,1.637848,1.022820,1.568232,3.409200,0.000000,0.000000,0.349790
0.010000,1.669864,1.034534,1.602324,3.409200,0.000000,0.000000,0.351632
0.010000,1.701860,1.046302,1.636416,3.409200,0.000000,0.000000,0.353229
0.010000,1.733839,1.058118,1.670508,3.409200,0.000000,0.000000,0.354582
0.010000,1.765804,1.069973,1.704600,3.409200,0.000000,0.000000,0.355691
0.010000,1.797756,1.081859,1.738692,3.409200,0.000000,0.000000,0.356556
0.010000,1.829700,1.093770,1.772784,3.409200,0.000000,0.000000,0.357178
0.010000,1.861638,1.105696,1.806876,3.409200,0.000000,0.000000,0.357557
0.010000,1.893573,1.117631,1.840968,3.409200,0.000000,0.000000,0.357693
0.010000,1.925507,1.129566,1.875060,3.409200,0.000000,0.000000,0.357586
0.010000,1.957445,1.141494,1.909152,3.409200,0.000000,0.000000,0.357237
0.010000,1.989388,1.153406,1.943244,3.409200,0.000000,0.000000,0.356644
0.010000,2.021339,1.165296,1.977336,3.409200,0.000000,0.000000,0.355807
0.010000,2.053302,1.177155,2.011428,3.409200,0.000000,0.000000,0.354728
0.010000,2.085279,1.188976,2.045520,3.409200,0.000000,0.000000,0.353404
0.010000,2.117273,1.200751,2.079612,3.409200,0.000000,0.000000,0.351836
0.010000,2.149287,1.212471,2.113704,3.409200,0.000000,0.000000,0.350023
0.010000,2.181324,1.224130,2.147796,3.409200,0.000000,0.000000,0.347965
