dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.118364,0.609926,0.000024,0.004856,0.485641,48.564103,6.281738
0.010000,0.118367,0.609926,0.000027,0.000278,-0.457828,-94.346888,6.281774
0.010000,0.118373,0.609926,0.000033,0.000626,0.034763,49.259072,6.281854
0.010000,0.118384,0.609926,0.000044,0.001112,0.048658,1.389507,6.281997
0.010000,0.118402,0.609926,0.000062,0.001738,0.062538,1.387961,6.282221
0.010000,0.118427,0.609925,0.000087,0.002502,0.076392,1.385424,6.282542
0.010000,0.118461,0.609925,0.000121,0.003404,0.090208,1.381644,6.282980
0.010000,0.119501,0.609926,0.001161,0.104006,10.060185,996.997649,0.000366
0.010000,0.121524,0.609927,0.003184,0.202306,9.829999,-23.018608,0.001089
0.010000,0.123996,0.609931,0.005657,0.247261,4.495515,-533.448391,0.001971
0.010000,0.126918,0.609938,0.008579,0.292197,4.493657,-0.185725,0.003014
0.010000,0.130290,0.609950,0.011950,0.337156,4.495864,0.220701,0.004216
0.010000,0.134111,0.609969,0.015771,0.382101,4.494476,-0.138819,0.005576
0.010000,0.138381,0.609996,0.020041,0.427034,4.493355,-0.112177,0.007095
0.010000,0.143101,0.610034,0.024761,0.471968,4.493376,0.002136,0.008772
0.010000,0.148269,0.610084,0.029930,0.516910,4.494217,0.084144,0.010605
0.010000,0.153887,0.610149,0.035548,0.561821,4.491116,-0.310175,0.012595
0.010000,0.159954,0.610232,0.041616,0.606736,4.491449,0.033317,0.014740
0.010000,0.166470,0.610335,0.048132,0.651647,4.491074,-0.037518,0.017040
0.010000,0.173434,0.610463,0.055098,0.696554,4.490731,-0.034307,0.019493
0.010000,0.180847,0.610617,0.062512,0.741439,4.488511,-0.221991,0.022098
0.010000,0.188708,0.610801,0.070375,0.786321,4.488246,-0.026434,0.024855
0.010000,0.197017,0.611020,0.078687,0.831196,4.487428,-0.081788,0.027761
0.010000,0.205774,0.611277,0.087448,0.876057,4.486090,-0.133808,0.030815
0.010000,0.214978,0.611575,0.096657,0.920899,4.484267,-0.182346,0.034016
0.010000,0.224629,0.611920,0.106314,0.965740,4.484075,-0.019219,0.037363
0.010000,0.234727,0.612315,0.116420,1.010564,4.482429,-0.164556,0.040852
0.010000,0.245271,0.612765,0.126974,1.055368,4.480411,-0.201858,0.044483
0.010000,0.256261,0.613275,0.137975,1.100150,4.478167,-0.224317,0.048252
0.010000,0.267696,0.613849,0.149425,1.144934,4.478385,0.021767,0.052159
0.010000,0.279575,0.614494,0.161321,1.189688,4.475376,-0.300929,0.056201
0.010000,0.291898,0.615213,0.173666,1.234419,4.473102,-0.227411,0.060374
0.010000,0.304665,0.616012,0.186457,1.279137,4.471784,-0.131752,0.064677
0.010000,0.317874,0.616897,0.199695,1.323833,4.469678,-0.210650,0.069107
0.010000,0.331524,0.617873,0.213380,1.368492,4.465845,-0.383303,0.073660
0.010000,0.345614,0.618946,0.227512,1.413143,4.465078,-0.076663,0.078333
0.010000,0.360144,0.620122,0.242089,1.457749,4.460602,-0.447625,0.083124
0.010000,0.375113,0.621406,0.257113,1.502353,4.460473,-0.012904,0.088027
0.010000,0.390519,0.622804,0.272582,1.546909,4.455567,-0.490593,0.093041
0.010000,0.406360,0.624324,0.288496,1.591438,4.452859,-0.270739,0.098160
0.010000,0.422637,0.625969,0.304855,1.635935,4.449704,-0.315575,0.103381
0.010000,0.439346,0.627748,0.321659,1.680396,4.446162,-0.354127,0.108699
0.010000,0.456488,0.629666,0.338908,1.724833,4.443716,-0.244656,0.114111
0.010000,0.474059,0.631728,0.356600,1.769223,4.438957,-0.475901,0.119610
0.010000,0.492059,0.633943,0.374736,1.813577,4.435413,-0.354328,0.125192
0.010000,0.510486,0.636315,0.393315,1.857889,4.431197,-0.421688,0.130853
0.010000,0.529338,0.638851,0.412336,1.902169,4.428028,-0.316874,0.136586
0.010000,0.548613,0.641557,0.431800,1.946398,4.422859,-0.516856,0.142387
0.010000,0.568309,0.644440,0.451706,1.990584,4.418598,-0.426083,0.148249
0.010000,0.588424,0.647505,0.472053,2.034724,4.414023,-0.457522,0.154167
0.010000,0.608956,0.650759,0.492842,2.078818,4.409387,-0.463661,0.160134
0.010000,0.629903,0.654207,0.514070,2.122867,4.404911,-0.447582,0.166145
0.010000,0.651262,0.657855,0.535739,2.166858,4.399102,-0.580851,0.172194
0.010000,0.673031,0.661709,0.557847,2.210806,4.394795,-0.430684,0.178272
0.010000,0.695209,0.665776,0.580394,2.254695,4.388911,-0.588469,0.184374
0.010000,0.717791,0.670059,0.603379,2.298533,4.383769,-0.514162,0.190493
0.010000,0.740777,0.674564,0.626802,2.342316,4.378352,-0.541679,0.196622
0.010000,0.764163,0.679298,0.650663,2.386044,4.372728,-0.562456,0.202753
