dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.162792,0.765481,0.000024,0.004856,0.485641,48.564103,6.280653
0.010000,0.162790,0.765481,0.000026,0.000186,-0.467036,-95.267743,6.280677
0.010000,0.162786,0.765481,0.000030,0.000419,0.023258,49.029462,6.280731
0.010000,0.162779,0.765481,0.000038,0.000744,0.032568,0.931012,6.280827
0.010000,0.162767,0.765481,0.000049,0.001163,0.041889,0.932060,6.280976
0.010000,0.162750,0.765481,0.000066,0.001675,0.051227,0.933777,6.281192
0.010000,0.162728,0.765481,0.000089,0.002281,0.060590,0.936329,6.281485
0.010000,0.162698,0.765481,0.000119,0.002981,0.069989,0.939885,6.281868
0.010000,0.162660,0.765481,0.000157,0.003776,0.079435,0.944612,6.282354
0.010000,0.162614,0.765481,0.000203,0.004618,0.084275,0.483969,6.282948
0.010000,0.164440,0.765482,0.002029,0.182640,17.802163,1771.788884,0.000465
0.010000,0.167657,0.765484,0.005245,0.321632,13.899241,-390.292219,0.001278
0.010000,0.171298,0.765491,0.008887,0.364152,4.252007,-964.723460,0.002200
0.010000,0.175371,0.765502,0.012960,0.407293,4.314079,6.207185,0.003234
0.010000,0.179871,0.765519,0.017460,0.450028,4.273492,-4.058660,0.004380
0.010000,0.184799,0.765544,0.022388,0.492793,4.276510,0.301852,0.005638
0.010000,0.190156,0.765577,0.027745,0.535705,4.291168,1.465754,0.007011
0.010000,0.195941,0.765622,0.033530,0.578517,4.281157,-1.001123,0.008499
0.010000,0.202151,0.765680,0.039741,0.621051,4.253405,-2.775212,0.010103
0.010000,0.208794,0.765753,0.046384,0.664328,4.327724,7.431935,0.011826
0.010000,0.215862,0.765843,0.053452,0.706822,4.249414,-7.830982,0.013668
0.010000,0.223355,0.765953,0.060946,0.749413,4.259092,0.967821,0.015630
0.010000,0.231278,0.766085,0.068871,0.792421,4.300830,4.173747,0.017716
0.010000,0.239629,0.766242,0.077223,0.835236,4.281469,-1.936136,0.019926
0.010000,0.248406,0.766427,0.086002,0.877883,4.264670,-1.679841,0.022263
0.010000,0.257609,0.766644,0.095207,0.920555,4.267195,0.252485,0.024728
0.010000,0.267238,0.766894,0.104840,0.963233,4.267888,0.069278,0.027324
0.010000,0.277293,0.767183,0.114899,1.005901,4.266735,-0.115270,0.030053
0.010000,0.287773,0.767513,0.125384,1.048538,4.263726,-0.300896,0.032917
0.010000,0.298678,0.767888,0.136295,1.091127,4.258853,-0.487316,0.035919
0.010000,0.310006,0.768313,0.147632,1.133648,4.252111,-0.674233,0.039061
0.010000,0.321762,0.768792,0.159397,1.176495,4.284762,3.265171,0.042347
0.010000,0.333941,0.769329,0.171588,1.219115,4.261967,-2.279491,0.045780
0.010000,0.346541,0.769929,0.184202,1.261441,4.232621,-2.934627,0.049362
0.010000,0.359563,0.770596,0.197241,1.303910,4.246920,1.429907,0.053097
0.010000,0.373010,0.771337,0.210709,1.346717,4.280640,3.372023,0.056989
0.010000,0.386872,0.772156,0.224595,1.388672,4.195514,-8.512671,0.061039
0.010000,0.401161,0.773060,0.238913,1.431736,4.306441,11.092723,0.065255
0.010000,0.415864,0.774053,0.253649,1.473614,4.187787,-11.865355,0.069637
0.010000,0.430988,0.775142,0.268812,1.516356,4.274229,8.644192,0.074191
0.010000,0.446528,0.776334,0.284398,1.558582,4.222593,-5.163657,0.078920
0.010000,0.462482,0.777635,0.300405,1.600687,4.210430,-1.216306,0.083829
0.010000,0.478852,0.779053,0.316836,1.643093,4.240608,3.017867,0.088923
0.010000,0.495636,0.780594,0.333691,1.685480,4.238697,-0.191156,0.094207
0.010000,0.512831,0.782266,0.350967,1.727597,4.211749,-2.694807,0.099685
0.010000,0.530435,0.784077,0.368664,1.769718,4.212069,0.032028,0.105363
0.010000,0.548447,0.786035,0.386782,1.811817,4.209893,-0.217565,0.111245
0.010000,0.566865,0.788149,0.405321,1.853869,4.205233,-0.466042,0.117337
0.010000,0.585686,0.790428,0.424279,1.895850,4.198110,-0.712293,0.123645
0.010000,0.604908,0.792880,0.443657,1.937736,4.188559,-0.955135,0.130174
0.010000,0.624532,0.795517,0.463457,1.980043,4.230739,4.218001,0.136932
0.010000,0.644551,0.798347,0.483675,2.021800,4.175690,-5.504908,0.143923
0.010000,0.664960,0.801380,0.504309,2.063376,4.157624,-1.806606,0.151154
0.010000,0.685764,0.804628,0.525364,2.105537,4.216099,5.847581,0.158632
0.010000,0.706951,0.808101,0.546834,2.146979,4.144161,-7.193832,0.166362
0.010000,0.728523,0.811812,0.568723,2.188919,4.194034,4.987283,0.174353
0.010000,0.750471,0.815771,0.591026,2.230230,4.131034,-6.300025,0.182610
0.010000,0.772797,0.819992,0.613747,2.272121,4.189086,5.805245,0.191141
0.010000,0.795492,0.824487,0.636883,2.313590,4.146985,-4.210121,0.199953
0.010000,0.818551,0.829269,0.660432,2.354977,4.138657,-0.832826,0.209051
0.010000,0.841969,0.834353,0.684396,2.396378,4.140057,0.140033,0.218445
0.010000,0.865742,0.839750,0.708774,2.437761,4.138314,-0.174260,0.228140
0.010000,0.889862,0.845478,0.733565,2.479096,4.133585,-0.472932,0.238144
0.010000,0.914324,0.851549,0.758768,2.520357,4.126059,-0.752626,0.248463
0.010000,0.939118,0.857980,0.784384,2.561517,4.115960,-1.009902,0.259104
0.010000,0.964238,0.864786,0.810409,2.602552,4.103547,-1.241275,0.270073
0.010000,0.989679,0.871983,0.836848,2.643890,4.133822,3.027487,0.281377
0.010000,1.015428,0.879588,0.863697,2.684855,4.096436,-3.738601,0.293022
0.010000,1.041476,0.887618,0.890955,2.725832,4.097755,0.131929,0.305012
0.010000,1.067816,0.896089,0.918623,2.766835,4.100303,0.254764,0.317353
0.010000,1.094437,0.905020,0.946702,2.807860,4.102429,0.212583,0.330049
0.010000,1.121325,0.914427,0.975188,2.848659,4.079956,-2.247213,0.343102
0.010000,1.148470,0.924330,1.004084,2.889533,4.087409,0.745284,0.356516
0.010000,1.175861,0.934746,1.033388,2.930468,4.093480,0.607066,0.370293
0.010000,1.203485,0.945694,1.063102,2.971381,4.091335,-0.214495,0.384433
0.010000,1.231327,0.957193,1.093225,3.012310,4.092852,0.151658,0.398936
0.010000,1.259373,0.969262,1.123758,3.053236,4.092643,-0.020893,0.413800
0.010000,1.287607,0.981918,1.154699,3.094125,4.088855,-0.378793,0.429021
0.010000,1.315993,0.995170,1.186025,3.132647,3.852223,-23.663170,0.444583
0.010000,1.344473,1.009016,1.217693,3.166767,3.411947,-44.027559,0.460455
0.010000,1.372990,1.023448,1.249654,3.196113,2.934650,-47.729727,0.476605
0.010000,1.401488,1.038459,1.281864,3.220968,2.485502,-44.914802,0.492999
0.010000,1.429912,1.054034,1.314275,3.241127,2.015890,-46.961261,0.509597
0.010000,1.458209,1.070160,1.346845,3.256977,1.585046,-43.084399,0.526363
0.010000,1.486326,1.086816,1.379525,3.268050,1.107223,-47.782224,0.543254
0.010000,1.514214,1.103981,1.412272,3.274633,0.658317,-44.890603,0.560230
