dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.162595,0.687703,0.000024,0.004856,0.485641,48.564103,6.280653
0.010000,0.162595,0.687703,0.000121,0.014569,0.971282,48.564103,6.280677
0.010000,0.162595,0.687703,0.000340,0.029138,1.456923,48.564103,6.280731
0.010000,0.162595,0.687703,0.000728,0.048564,1.942564,48.564103,6.280827
0.010000,0.162595,0.687703,0.001336,0.072846,2.428205,48.564103,6.280976
0.010000,0.162595,0.687703,0.002210,0.101985,2.913846,48.564103,6.281192
0.010000,0.162595,0.687703,0.003399,0.135979,3.399487,48.564103,6.281485
0.010000,0.162595,0.687703,0.004954,0.174831,3.885128,48.564103,6.281868
0.010000,0.162595,0.687703,0.006920,0.218538,4.370769,48.564103,6.282354
0.010000,0.162595,0.687703,0.009324,0.262246,4.370769,0.000000,6.282948
0.010000,0.164476,0.687704,0.012165,0.305954,4.370769,-0.000000,0.000465
0.010000,0.167756,0.687707,0.015443,0.349662,4.370769,0.000000,0.001278
0.010000,0.171469,0.687713,0.019159,0.393369,4.370769,-0.000000,0.002200
0.010000,0.175622,0.687724,0.023311,0.437077,4.370769,0.000000,0.003234
0.010000,0.180212,0.687742,0.027900,0.480785,4.370769,0.000000,0.004380
0.010000,0.185238,0.687767,0.032926,0.524492,4.370769,0.000000,0.005638
0.010000,0.190701,0.687802,0.038390,0.568200,4.370769,-0.000000,0.007011
0.010000,0.196602,0.687847,0.044290,0.611908,4.370769,0.000000,0.008499
0.010000,0.202937,0.687906,0.050628,0.655615,4.370769,0.000000,0.010103
0.010000,0.209714,0.687981,0.057403,0.699323,4.370769,0.000000,0.011826
0.010000,0.216925,0.688072,0.064615,0.743031,4.370769,-0.000000,0.013668
0.010000,0.224571,0.688184,0.072263,0.786738,4.370769,0.000000,0.015630
0.010000,0.232656,0.688319,0.080349,0.830446,4.370769,0.000000,0.017716
0.010000,0.241179,0.688480,0.088872,0.874154,4.370769,-0.000000,0.019926
0.010000,0.250137,0.688669,0.097832,0.917862,4.370769,0.000000,0.022263
0.010000,0.259532,0.688889,0.107230,0.961569,4.370769,0.000000,0.024728
0.010000,0.269363,0.689145,0.117064,1.005277,4.370769,-0.000000,0.027324
0.010000,0.279630,0.689440,0.127335,1.048985,4.370769,0.000000,0.030053
0.010000,0.290333,0.689777,0.138043,1.092692,4.370769,-0.000000,0.032917
0.010000,0.301471,0.690161,0.149189,1.136400,4.370769,0.000000,0.035919
0.010000,0.313044,0.690595,0.160771,1.180108,4.370769,0.000000,0.039061
0.010000,0.325054,0.691084,0.172791,1.223815,4.370769,-0.000000,0.042347
0.010000,0.337500,0.691632,0.185248,1.267523,4.370769,0.000000,0.045780
0.010000,0.350379,0.692246,0.198142,1.311231,4.370769,-0.000000,0.049362
0.010000,0.363691,0.692928,0.211472,1.354938,4.370769,0.000000,0.053097
0.010000,0.377440,0.693686,0.225240,1.398646,4.370769,-0.000000,0.056989
0.010000,0.391617,0.694523,0.239445,1.442354,4.370769,0.000000,0.061039
0.010000,0.406233,0.695447,0.254087,1.486062,4.370769,0.000000,0.065255
0.010000,0.421276,0.696463,0.269167,1.529769,4.370769,0.000000,0.069637
0.010000,0.436753,0.697578,0.284683,1.573477,4.370769,0.000000,0.074191
0.010000,0.452660,0.698798,0.300636,1.617185,4.370769,-0.000000,0.078920
0.010000,0.468995,0.700130,0.317026,1.660892,4.370769,0.000000,0.083829
0.010000,0.485759,0.701582,0.333854,1.704600,4.370769,-0.000000,0.088923
0.010000,0.502953,0.703161,0.351118,1.748308,4.370769,0.000000,0.094207
0.010000,0.520572,0.704874,0.368820,1.792015,4.370769,0.000000,0.099685
0.010000,0.538615,0.706730,0.386959,1.835723,4.370769,-0.000000,0.105363
0.010000,0.557082,0.708738,0.405535,1.879431,4.370769,0.000000,0.111245
0.010000,0.575970,0.710906,0.424547,1.923138,4.370769,-0.000000,0.117337
0.010000,0.595279,0.713244,0.443997,1.966846,4.370769,0.000000,0.123645
0.010000,0.615004,0.715761,0.463884,2.010554,4.370769,-0.000000,0.130174
0.010000,0.635149,0.718467,0.484208,2.054262,4.370769,0.000000,0.136932
0.010000,0.655706,0.721373,0.504970,2.097969,4.370769,-0.000000,0.143923
0.010000,0.676672,0.724489,0.526168,2.141677,4.370769,0.000000,0.151154
0.010000,0.698050,0.727826,0.547803,2.185385,4.370769,0.000000,0.158632
0.010000,0.719830,0.731397,0.569875,2.229092,4.370769,0.000000,0.166362
0.010000,0.742015,0.735213,0.592385,2.272800,4.370769,-0.000000,0.174353
0.010000,0.764595,0.739286,0.615331,2.316508,4.370769,0.000000,0.182610
0.010000,0.787573,0.743631,0.638715,2.360215,4.370769,0.000000,0.191141
0.010000,0.810940,0.748259,0.662536,2.403923,4.370769,-0.000000,0.199953
0.010000,0.834692,0.753185,0.686794,2.447631,4.370769,0.000000,0.209051
0.010000,0.858825,0.758423,0.711488,2.491338,4.370769,-0.000000,0.218445
0.010000,0.883333,0.763988,0.736620,2.535046,4.370769,0.000000,0.228140
0.010000,0.908210,0.769895,0.762189,2.578754,4.370769,-0.000000,0.238144
0.010000,0.933450,0.776160,0.788195,2.622462,4.370769,0.000000,0.248463
0.010000,0.959046,0.782798,0.814639,2.666169,4.370769,-0.000000,0.259104
0.010000,0.984990,0.789827,0.841519,2.709877,4.370769,0.000000,0.270073
0.010000,1.011276,0.797264,0.868836,2.753585,4.370769,-0.000000,0.281377
0.010000,1.037893,0.805126,0.896590,2.797292,4.370769,0.000000,0.293022
0.010000,1.064834,0.813430,0.924782,2.841000,4.370769,-0.000000,0.305012
0.010000,1.092087,0.822195,0.953410,2.884708,4.370769,0.000000,0.317353
0.010000,1.119644,0.831440,0.982476,2.928415,4.370769,0.000000,0.330049
0.010000,1.147490,0.841183,1.011979,2.972123,4.370769,-0.000000,0.343102
