dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.162398,0.609926,0.000024,0.004856,0.485641,48.564103,6.280653
0.010000,0.162400,0.609926,0.000026,0.000186,-0.467036,-95.267743,6.280677
0.010000,0.162404,0.609926,0.000030,0.000419,0.023258,49.029462,6.280731
0.010000,0.162412,0.609926,0.000038,0.000744,0.032568,0.931012,6.280827
0.010000,0.162423,0.609926,0.000049,0.001163,0.041889,0.932060,6.280976
0.010000,0.162440,0.609926,0.000066,0.001675,0.051227,0.933777,6.281192
0.010000,0.162463,0.609926,0.000089,0.002281,0.060590,0.936329,6.281485
0.010000,0.162493,0.609926,0.000119,0.002981,0.069989,0.939885,6.281868
0.010000,0.162531,0.609926,0.000157,0.003776,0.079435,0.944612,6.282354
0.010000,0.162577,0.609925,0.000203,0.004618,0.084275,0.483969,6.282948
0.010000,0.164513,0.609926,0.002138,0.193577,18.895845,1881.157070,0.000465
0.010000,0.167855,0.609929,0.005481,0.334272,14.069525,-482.632015,0.001278
0.010000,0.171640,0.609935,0.009266,0.378496,4.422383,-964.714196,0.002200
0.010000,0.175874,0.609947,0.013500,0.423377,4.488141,6.575761,0.003234
0.010000,0.180552,0.609965,0.018178,0.467851,4.447348,-4.079265,0.004380
0.010000,0.185676,0.609990,0.023302,0.512371,4.452032,0.468339,0.005638
0.010000,0.191247,0.610026,0.028873,0.557061,4.468977,1.694553,0.007011
0.010000,0.197263,0.610072,0.034889,0.601665,4.460433,-0.854368,0.008499
0.010000,0.203723,0.610132,0.041349,0.646001,4.433591,-2.684197,0.010103
0.010000,0.210634,0.610208,0.048261,0.691132,4.513095,7.950312,0.011826
0.010000,0.217988,0.610302,0.055615,0.735472,4.433992,-7.910290,0.013668
0.010000,0.225786,0.610416,0.063415,0.779938,4.446582,1.259062,0.015630
0.010000,0.234034,0.610554,0.071664,0.824865,4.492731,4.614903,0.017716
0.010000,0.242729,0.610717,0.080360,0.869620,4.475477,-1.725408,0.019926
0.010000,0.251869,0.610910,0.089502,0.914231,4.461061,-1.441636,0.022263
0.010000,0.261455,0.611135,0.099091,0.958900,4.466948,0.588735,0.024728
0.010000,0.271488,0.611397,0.109127,1.003611,4.471123,0.417485,0.027324
0.010000,0.281967,0.611697,0.119611,1.048347,4.473574,0.245117,0.030053
0.010000,0.292893,0.612041,0.130541,1.093090,4.474293,0.071891,0.032917
0.010000,0.304264,0.612433,0.141920,1.137823,4.473274,-0.101921,0.035919
0.010000,0.316081,0.612876,0.153745,1.182528,4.470514,-0.276032,0.039061
0.010000,0.328347,0.613376,0.166021,1.227619,4.509077,3.856384,0.042347
0.010000,0.341060,0.613936,0.178746,1.272519,4.490029,-1.904851,0.045780
0.010000,0.354217,0.614562,0.191918,1.317162,4.464340,-2.568931,0.049362
0.010000,0.367819,0.615260,0.205538,1.362007,4.484442,2.010281,0.053097
0.010000,0.381870,0.616034,0.219611,1.407258,4.525110,4.066723,0.056989
0.010000,0.396362,0.616890,0.234127,1.451676,4.441820,-8.328925,0.061039
0.010000,0.411305,0.617835,0.249101,1.497313,4.563718,12.189789,0.065255
0.010000,0.426687,0.618874,0.264518,1.541771,4.445825,-11.789306,0.069637
0.010000,0.442518,0.620014,0.280390,1.587198,4.542708,9.688259,0.074191
0.010000,0.458792,0.621263,0.296712,1.632152,4.495399,-4.730857,0.078920
0.010000,0.475507,0.622626,0.313482,1.677049,4.489635,-0.576427,0.083829
0.010000,0.492666,0.624111,0.330706,1.722334,4.528523,3.888756,0.088923
0.010000,0.510269,0.625728,0.348382,1.767675,4.534098,0.557554,0.094207
0.010000,0.528312,0.627482,0.366510,1.812812,4.513684,-2.041455,0.099685
0.010000,0.546795,0.629384,0.385091,1.858033,4.522138,0.845479,0.105363
0.010000,0.565716,0.631441,0.404124,1.903316,4.528265,0.612707,0.111245
0.010000,0.585076,0.633663,0.423610,1.948637,4.532069,0.380393,0.117337
0.010000,0.604871,0.636060,0.443550,1.993972,4.533564,0.149485,0.123645
0.010000,0.625100,0.638641,0.463943,2.039300,4.532774,-0.079008,0.130174
0.010000,0.645766,0.641417,0.484795,2.085167,4.586739,5.396446,0.136932
0.010000,0.666862,0.644399,0.506100,2.130553,4.538606,-4.813250,0.143923
0.010000,0.688384,0.647598,0.527859,2.175849,4.529598,-0.900803,0.151154
