dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000169,0.077778,0.000024,0.004856,0.485641,48.564103,6.281008
0.010000,0.000168,0.077778,0.000026,0.000143,-0.471323,-95.696424,6.281026
0.010000,0.000165,0.077778,0.000029,0.000322,0.017898,48.922163,6.281067
0.010000,0.000159,0.077778,0.000035,0.000573,0.025061,0.716259,6.281141
0.010000,0.000150,0.077778,0.000044,0.000895,0.032229,0.716754,6.281256
0.010000,0.000137,0.077778,0.000057,0.001289,0.039404,0.717564,6.281422
0.010000,0.000120,0.077778,0.000074,0.001755,0.046592,0.718769,6.281648
0.010000,0.000097,0.077778,0.000097,0.002293,0.053796,0.720445,6.281942
0.010000,0.000068,0.077778,0.000126,0.002903,0.061023,0.722673,6.282316
0.010000,0.000032,0.077778,0.000162,0.003550,0.064691,0.366832,6.282772
0.010000,0.000656,0.077778,0.000786,0.062425,5.887520,582.282868,0.000127
0.010000,0.003888,0.077779,0.004017,0.323162,26.073694,2018.617414,0.000750
0.010000,0.007548,0.077783,0.007677,0.366007,4.284506,-2178.918834,0.001458
0.010000,0.011636,0.077791,0.011766,0.408829,4.282144,-0.236218,0.002250
0.010000,0.016160,0.077803,0.016289,0.452367,4.353850,7.170676,0.003127
0.010000,0.021110,0.077821,0.021239,0.494997,4.263008,-9.084269,0.004090
0.010000,0.026493,0.077846,0.026623,0.538321,4.332407,6.939882,0.005138
0.010000,0.032304,0.077879,0.032434,0.581100,4.277906,-5.450057,0.006273
0.010000,0.038548,0.077922,0.038678,0.624400,4.329934,5.202829,0.007496
0.010000,0.045218,0.077976,0.045348,0.667004,4.260403,-6.953135,0.008805
0.010000,0.052323,0.078044,0.052453,0.710560,4.355632,9.522926,0.010204
0.010000,0.059855,0.078126,0.059986,0.753295,4.273504,-8.212816,0.011692
0.010000,0.067816,0.078226,0.067947,0.796097,4.280165,0.666092,0.013269
0.010000,0.076210,0.078344,0.076342,0.839495,4.339784,5.961946,0.014938
0.010000,0.085033,0.078484,0.085166,0.882397,4.290244,-4.954073,0.016698
0.010000,0.094284,0.078647,0.094419,0.925293,4.289555,-0.068917,0.018552
0.010000,0.103965,0.078836,0.104101,0.968228,4.293552,0.399765,0.020499
0.010000,0.114074,0.079053,0.114213,1.011192,4.296361,0.280898,0.022540
0.010000,0.124613,0.079302,0.124755,1.054172,4.297978,0.161645,0.024678
0.010000,0.135581,0.079585,0.135726,1.097156,4.298399,0.042145,0.026913
0.010000,0.146978,0.079905,0.147128,1.140132,4.297624,-0.077461,0.029246
0.010000,0.158803,0.080266,0.158959,1.183088,4.295654,-0.197023,0.031679
0.010000,0.171057,0.080669,0.171219,1.226013,4.292490,-0.316386,0.034213
0.010000,0.183738,0.081120,0.183908,1.268895,4.288136,-0.435390,0.036850
0.010000,0.196845,0.081621,0.197025,1.311721,4.282598,-0.553869,0.039590
0.010000,0.210379,0.082177,0.210570,1.354479,4.275881,-0.671649,0.042434
0.010000,0.224342,0.082790,0.224547,1.397695,4.321593,4.571130,0.045387
0.010000,0.238731,0.083466,0.238951,1.440468,4.277250,-4.434246,0.048447
0.010000,0.253543,0.084207,0.253782,1.483042,4.257419,-1.983120,0.051617
0.010000,0.268784,0.085020,0.269045,1.526287,4.324463,6.704388,0.054900
0.010000,0.284447,0.085907,0.284733,1.568823,4.253600,-7.086323,0.058296
0.010000,0.300536,0.086875,0.300851,1.611806,4.298353,4.475374,0.061807
0.010000,0.317047,0.087926,0.317395,1.654399,4.259239,-3.911453,0.065435
0.010000,0.333983,0.089068,0.334369,1.697452,4.305328,4.608948,0.069184
0.010000,0.351338,0.090304,0.351769,1.739911,4.245950,-5.937778,0.073052
0.010000,0.369116,0.091641,0.369597,1.782871,4.295969,5.001839,0.077045
0.010000,0.387316,0.093084,0.387854,1.825638,4.276741,-1.922805,0.081163
0.010000,0.405933,0.094638,0.406536,1.868227,4.258855,-1.788579,0.085408
0.010000,0.424969,0.096309,0.425645,1.910864,4.263708,0.485289,0.089783
0.010000,0.444421,0.098105,0.445180,1.953534,4.267030,0.332185,0.094291
0.010000,0.464292,0.100030,0.465143,1.996331,4.279632,1.260274,0.098932
0.010000,0.484577,0.102093,0.485533,2.038966,4.263573,-1.605959,0.103711
0.010000,0.505275,0.104299,0.506348,2.081549,4.258250,-0.532276,0.108629
0.010000,0.526385,0.106655,0.527590,2.124129,4.258024,-0.022597,0.113689
0.010000,0.547907,0.109169,0.549258,2.166857,4.272788,1.476357,0.118893
0.010000,0.569838,0.111848,0.571352,2.209413,4.255628,-1.715926,0.124244
0.010000,0.592176,0.114700,0.593871,2.251901,4.248743,-0.688511,0.129745
0.010000,0.614918,0.117733,0.616814,2.294306,4.240533,-0.821071,0.135397
0.010000,0.638063,0.120954,0.640183,2.336858,4.255205,1.467260,0.141204
0.010000,0.661611,0.124373,0.663978,2.379501,4.264244,0.903915,0.147169
0.010000,0.685555,0.127997,0.688195,2.421664,4.216314,-4.793074,0.153293
0.010000,0.709899,0.131837,0.712839,2.464456,4.279237,6.292379,0.159580
0.010000,0.734633,0.135900,0.737904,2.506510,4.205380,-7.385734,0.166033
0.010000,0.759761,0.140196,0.763397,2.549295,4.278495,7.311540,0.172654
0.010000,0.785275,0.144734,0.789312,2.591426,4.213071,-6.542476,0.179445
0.010000,0.811173,0.149525,0.815649,2.633743,4.231789,1.871871,0.186410
0.010000,0.837454,0.154579,0.842412,2.676303,4.255988,2.419902,0.193551
0.010000,0.864113,0.159906,0.869597,2.718531,4.222776,-3.321227,0.200871
0.010000,0.891145,0.165515,0.897205,2.760792,4.226052,0.327568,0.208371
0.010000,0.918547,0.171419,0.925236,2.803067,4.227557,0.150508,0.216055
0.010000,0.946314,0.177628,0.953689,2.845341,4.227381,-0.017548,0.223924
0.010000,0.974443,0.184153,0.982565,2.887597,4.225627,-0.175470,0.231982
0.010000,1.002929,0.191006,1.011864,2.929821,4.222405,-0.322140,0.240229
0.010000,1.031765,0.198199,1.041584,2.972000,4.217841,-0.456455,0.248668
0.010000,1.060947,0.205743,1.071725,3.014120,4.212067,-0.577341,0.257301
0.010000,1.090472,0.213651,1.102290,3.056528,4.240733,2.866544,0.266129
0.010000,1.120330,0.221935,1.133276,3.098629,4.210083,-3.065018,0.275153
0.010000,1.150516,0.230607,1.164683,3.140657,4.202837,-0.724517,0.284375
0.010000,1.181003,0.239674,1.196490,3.180685,4.002822,-20.001572,0.293789
0.010000,1.211735,0.249133,1.228645,3.215507,3.482167,-52.065437,0.303379
0.010000,1.242665,0.258981,1.261105,3.245976,3.046871,-43.529630,0.313133
0.010000,1.273738,0.269213,1.293819,3.271472,2.549656,-49.721530,0.323035
0.010000,1.304905,0.279820,1.326741,3.292181,2.070920,-47.873595,0.333068
0.010000,1.336116,0.290795,1.359826,3.308476,1.629513,-44.140731,0.343217
0.010000,1.367320,0.302127,1.393024,3.319806,1.132910,-49.660301,0.353464
0.010000,1.398468,0.313802,1.426288,3.326408,0.660225,-47.268498,0.363791
0.010000,1.429511,0.325806,1.459571,3.328316,0.190868,-46.935696,0.374179
0.010000,1.460425,0.338131,1.492851,3.327989,-0.032776,-22.364394,0.384618
0.010000,1.491204,0.350778,1.526128,3.327679,-0.030953,0.182351,0.395103
0.010000,1.521846,0.363747,1.559401,3.327324,-0.035554,-0.460158,0.405631
0.010000,1.552347,0.377036,1.592671,3.327012,-0.031134,0.441995,0.416195
0.010000,1.582703,0.390647,1.625939,3.326744,-0.026792,0.434243,0.426792
0.010000,1.612911,0.404577,1.659204,3.326519,-0.022514,0.427813,0.437417
0.010000,1.642967,0.418828,1.692467,3.326336,-0.018288,0.422545,0.448065
0.010000,1.672868,0.433397,1.725729,3.326195,-0.014106,0.418276,0.458731
0.010000,1.702611,0.448285,1.758990,3.326108,-0.008721,0.538466,0.469411
0.010000,1.732194,0.463489,1.792251,3.326072,-0.003571,0.515021,0.480098
0.010000,1.761611,0.479008,1.825511,3.326044,-0.002869,0.070157,0.490789
0.010000,1.790862,0.494841,1.858772,3.326057,0.001358,0.422716,0.501477
0.010000,1.819942,0.510986,1.892033,3.326113,0.005559,0.420121,0.512157
0.010000,1.848849,0.527441,1.925295,3.326210,0.009735,0.417540,0.522825
0.010000,1.877580,0.544204,1.958559,3.326349,0.013883,0.414834,0.533475
0.010000,1.906132,0.561272,1.991824,3.326529,0.018002,0.411879,0.544101
0.010000,1.934504,0.578644,2.025091,3.326750,0.022087,0.408560,0.554698
0.010000,1.962692,0.596316,2.058362,3.327011,0.026135,0.404775,0.565262
0.010000,1.990696,0.614286,2.091635,3.327313,0.030139,0.400437,0.575787
0.010000,2.018511,0.632551,2.124911,3.327660,0.034728,0.458820,0.586268
