dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000024,0.004856,0.485641,48.564103,6.281008
0.010000,0.000000,0.000000,0.000121,0.014569,0.971282,48.564103,6.281026
0.010000,0.000000,0.000000,0.000340,0.029138,1.456923,48.564103,6.281067
0.010000,0.000000,0.000000,0.000728,0.048564,1.942564,48.564103,6.281141
0.010000,0.000000,0.000000,0.001336,0.072846,2.428205,48.564103,6.281256
0.010000,0.000000,0.000000,0.002210,0.101985,2.913846,48.564103,6.281422
0.010000,0.000000,0.000000,0.003399,0.135979,3.399487,48.564103,6.281648
0.010000,0.000000,0.000000,0.004954,0.174831,3.885128,48.564103,6.281942
0.010000,0.000000,0.000000,0.006920,0.218538,4.370769,48.564103,6.282316
0.010000,0.000000,0.000000,0.009324,0.262246,4.370769,0.000000,6.282772
0.010000,0.000666,0.000000,0.012165,0.305954,4.370769,-0.000000,0.000127
0.010000,0.003946,0.000001,0.015443,0.349662,4.370769,0.000000,0.000750
0.010000,0.007661,0.000006,0.019159,0.393369,4.370769,-0.000000,0.001458
0.010000,0.011811,0.000013,0.023311,0.437077,4.370769,0.000000,0.002250
0.010000,0.016403,0.000026,0.027900,0.480785,4.370769,0.000000,0.003127
0.010000,0.021428,0.000044,0.032926,0.524492,4.370769,0.000000,0.004090
0.010000,0.026893,0.000069,0.038390,0.568200,4.370769,-0.000000,0.005138
0.010000,0.032792,0.000103,0.044290,0.611908,4.370769,0.000000,0.006273
0.010000,0.039131,0.000146,0.050628,0.655615,4.370769,0.000000,0.007496
0.010000,0.045903,0.000201,0.057403,0.699323,4.370769,0.000000,0.008805
0.010000,0.053117,0.000270,0.064615,0.743031,4.370769,-0.000000,0.010204
0.010000,0.060765,0.000354,0.072263,0.786738,4.370769,0.000000,0.011692
0.010000,0.068848,0.000455,0.080349,0.830446,4.370769,0.000000,0.013269
0.010000,0.077372,0.000575,0.088872,0.874154,4.370769,-0.000000,0.014938
0.010000,0.086332,0.000717,0.097832,0.917862,4.370769,0.000000,0.016698
0.010000,0.095727,0.000882,0.107230,0.961569,4.370769,0.000000,0.018552
0.010000,0.105559,0.001074,0.117064,1.005277,4.370769,-0.000000,0.020499
0.010000,0.115827,0.001295,0.127335,1.048985,4.370769,0.000000,0.022540
0.010000,0.126532,0.001548,0.138043,1.092692,4.370769,-0.000000,0.024678
0.010000,0.137674,0.001835,0.149189,1.136400,4.370769,0.000000,0.026913
0.010000,0.149252,0.002161,0.160771,1.180108,4.370769,0.000000,0.029246
0.010000,0.161267,0.002527,0.172791,1.223815,4.370769,-0.000000,0.031679
0.010000,0.173717,0.002937,0.185248,1.267523,4.370769,0.000000,0.034213
0.010000,0.186603,0.003395,0.198142,1.311231,4.370769,-0.000000,0.036850
0.010000,0.199924,0.003904,0.211472,1.354938,4.370769,0.000000,0.039590
0.010000,0.213678,0.004469,0.225240,1.398646,4.370769,-0.000000,0.042434
0.010000,0.227871,0.005092,0.239445,1.442354,4.370769,0.000000,0.045387
0.010000,0.242498,0.005779,0.254087,1.486062,4.370769,0.000000,0.048447
0.010000,0.257556,0.006533,0.269167,1.529769,4.370769,0.000000,0.051617
0.010000,0.273052,0.007359,0.284683,1.573477,4.370769,0.000000,0.054900
0.010000,0.288979,0.008262,0.300636,1.617185,4.370769,-0.000000,0.058296
0.010000,0.305340,0.009245,0.317026,1.660892,4.370769,0.000000,0.061807
0.010000,0.322133,0.010315,0.333854,1.704600,4.370769,-0.000000,0.065435
0.010000,0.339359,0.011476,0.351118,1.748308,4.370769,0.000000,0.069184
0.010000,0.357015,0.012734,0.368820,1.792015,4.370769,0.000000,0.073052
0.010000,0.375103,0.014094,0.386959,1.835723,4.370769,-0.000000,0.077045
0.010000,0.393621,0.015562,0.405535,1.879431,4.370769,0.000000,0.081163
0.010000,0.412568,0.017143,0.424547,1.923138,4.370769,-0.000000,0.085408
0.010000,0.431942,0.018845,0.443997,1.966846,4.370769,0.000000,0.089783
0.010000,0.451744,0.020672,0.463884,2.010554,4.370769,-0.000000,0.094291
0.010000,0.471974,0.022633,0.484208,2.054262,4.370769,0.000000,0.098932
