dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000169,-0.077778,0.000024,0.004856,0.485641,48.564103,6.281008
0.010000,-0.000168,-0.077778,0.000026,0.000143,-0.471323,-95.696424,6.281026
0.010000,-0.000165,-0.077778,0.000029,0.000322,0.017898,48.922163,6.281067
0.010000,-0.000159,-0.077778,0.000035,0.000573,0.025061,0.716259,6.281141
0.010000,-0.000150,-0.077778,0.000044,0.000895,0.032229,0.716754,6.281256
0.010000,-0.000137,-0.077778,0.000057,0.001289,0.039404,0.717564,6.281422
0.010000,-0.000120,-0.077778,0.000074,0.001755,0.046592,0.718769,6.281648
0.010000,-0.000097,-0.077778,0.000097,0.002293,0.053796,0.720445,6.281942
0.010000,-0.000068,-0.077778,0.000126,0.002903,0.061023,0.722673,6.282316
0.010000,-0.000032,-0.077778,0.000162,0.003550,0.064691,0.366832,6.282772
0.010000,0.000676,-0.077778,0.000870,0.070824,6.727346,666.265500,0.000127
0.010000,0.004005,-0.077776,0.004198,0.332867,26.204352,1947.700606,0.000750
0.010000,0.007775,-0.077772,0.007969,0.377015,4.414773,-2178.957951,0.001458
0.010000,0.011986,-0.077764,0.012180,0.421144,4.412939,-0.183408,0.002250
0.010000,0.016647,-0.077752,0.016840,0.466019,4.487482,7.454343,0.003127
0.010000,0.021746,-0.077733,0.021940,0.509966,4.394646,-9.283624,0.004090
0.010000,0.027292,-0.077708,0.027486,0.554635,4.466963,7.231697,0.005138
0.010000,0.033280,-0.077674,0.033474,0.598752,4.411706,-5.525737,0.006273
0.010000,0.039714,-0.077629,0.039908,0.643415,4.466284,5.457812,0.007496
0.010000,0.046587,-0.077573,0.046782,0.687372,4.395677,-7.060643,0.008805
0.010000,0.053910,-0.077504,0.054105,0.732321,4.494936,9.925908,0.010204
0.010000,0.061674,-0.077419,0.061869,0.776436,4.411494,-8.344288,0.011692
0.010000,0.069880,-0.077316,0.070076,0.820632,4.419626,0.813286,0.013269
0.010000,0.078534,-0.077194,0.078730,0.865457,4.482439,6.281246,0.014938
0.010000,0.087630,-0.077050,0.087828,0.909785,4.432803,-4.963610,0.016698
0.010000,0.097170,-0.076882,0.097369,0.954121,4.433601,0.079808,0.018552
0.010000,0.107153,-0.076687,0.107354,0.998514,4.439313,0.571224,0.020499
0.010000,0.117580,-0.076463,0.117784,1.042953,4.443883,0.457000,0.022540
0.010000,0.128452,-0.076206,0.128658,1.087426,4.447307,0.342416,0.024678
0.010000,0.139767,-0.075914,0.139977,1.131922,4.449583,0.227605,0.026913
0.010000,0.151527,-0.075584,0.151742,1.176429,4.450710,0.112702,0.029246
0.010000,0.163730,-0.075212,0.163951,1.220936,4.450689,-0.002150,0.031679
0.010000,0.176378,-0.074795,0.176605,1.265431,4.449521,-0.116805,0.034213
0.010000,0.189469,-0.074330,0.189704,1.309903,4.447210,-0.231110,0.036850
0.010000,0.203002,-0.073813,0.203248,1.354341,4.443761,-0.344907,0.039590
0.010000,0.216978,-0.073239,0.217235,1.398732,4.439180,-0.458035,0.042434
0.010000,0.231400,-0.072605,0.231671,1.443621,4.488840,4.965974,0.045387
0.010000,0.246264,-0.071907,0.246552,1.488077,4.445587,-4.325313,0.048447
0.010000,0.261569,-0.071141,0.261875,1.532354,4.427719,-1.786770,0.051617
0.010000,0.277320,-0.070301,0.277649,1.577351,4.499717,7.199786,0.054900
0.010000,0.293510,-0.069384,0.293865,1.621644,4.429299,-7.041840,0.058296
0.010000,0.310145,-0.068384,0.310530,1.666429,4.478459,4.916044,0.061807
0.010000,0.327218,-0.067296,0.327638,1.710839,4.441013,-3.744627,0.065435
0.010000,0.344736,-0.066116,0.345196,1.755756,4.491763,5.075044,0.069184
0.010000,0.362692,-0.064836,0.363197,1.800092,4.433522,-5.824160,0.073052
0.010000,0.381089,-0.063453,0.381646,1.844977,4.488534,5.501212,0.077045
0.010000,0.399927,-0.061960,0.400543,1.889697,4.472001,-1.653232,0.081163
0.010000,0.419203,-0.060351,0.419886,1.934266,4.456929,-1.507254,0.085408
0.010000,0.438916,-0.058620,0.439675,1.978921,4.465477,0.854765,0.089783
0.010000,0.459067,-0.056760,0.459912,2.023646,4.472529,0.705220,0.094291
0.010000,0.479656,-0.054765,0.480597,2.068539,4.489286,1.675717,0.098932
0.010000,0.500681,-0.052627,0.501730,2.113303,4.476427,-1.285894,0.103711
0.010000,0.522140,-0.050340,0.523311,2.158051,4.474760,-0.166709,0.108629
0.010000,0.544032,-0.047897,0.545339,2.202835,4.478446,0.368631,0.113689
0.010000,0.566358,-0.045289,0.567817,2.247813,4.497753,1.930670,0.118893
0.010000,0.589116,-0.042509,0.590744,2.292653,4.484011,-1.374155,0.124244
0.010000,0.612302,-0.039548,0.614118,2.337463,4.480972,-0.303933,0.129745
0.010000,0.635915,-0.036399,0.637941,2.382229,4.476598,-0.437419,0.135397
0.010000,0.659955,-0.033053,0.662212,2.427189,4.496027,1.942942,0.141204
0.010000,0.684422,-0.029501,0.686935,2.472286,4.509657,1.362944,0.147169
0.010000,0.709308,-0.025734,0.712105,2.516927,4.464103,-4.555396,0.153293
0.010000,0.734617,-0.021742,0.737727,2.562264,4.533769,6.966644,0.159580
0.010000,0.760341,-0.017517,0.763796,2.606877,4.461244,-7.252536,0.166033
0.010000,0.786485,-0.013047,0.790319,2.652292,4.541538,8.029443,0.172654
0.010000,0.813039,-0.008323,0.817290,2.697069,4.477699,-6.383908,0.179445
0.010000,0.840002,-0.003335,0.844710,2.742083,4.501342,2.364263,0.186410
0.010000,0.867375,0.001928,0.872584,2.787389,4.530660,2.931851,0.193551
0.010000,0.895150,0.007478,0.900908,2.832390,4.500109,-3.055146,0.200871
0.010000,0.923324,0.013324,0.929683,2.877465,4.507443,0.733448,0.208371
0.010000,0.951894,0.019480,0.958909,2.922593,4.512812,0.536915,0.216055
0.010000,0.980857,0.025956,0.988586,2.967756,4.516282,0.346975,0.223924
0.010000,1.010207,0.032764,1.018716,3.012935,4.517928,0.164630,0.231982
0.010000,1.039939,0.039918,1.049297,3.058113,4.517837,-0.009123,0.240229
0.010000,1.070050,0.047428,1.080330,3.103274,4.516104,-0.173303,0.248668
0.010000,1.100531,0.055308,1.111814,3.148403,4.512835,-0.326951,0.257301
0.010000,1.131382,0.063572,1.143752,3.193855,4.545248,3.241349,0.266129
0.010000,1.162594,0.072231,1.176142,3.239009,4.515353,-2.989470,0.275153
0.010000,1.194158,0.081299,1.208983,3.284104,4.509516,-0.583743,0.284375
0.010000,1.226049,0.090784,1.242254,3.327120,4.301573,-20.794289,0.293789
0.010000,1.258207,0.100681,1.275901,3.364693,3.757320,-54.425288,0.303379
0.010000,1.290582,0.110990,1.309878,3.397705,3.301226,-45.609408,0.313133
0.010000,1.323119,0.121703,1.344133,3.425497,2.779213,-52.201303,0.323035
0.010000,1.355763,0.132813,1.378616,3.448251,2.275425,-50.378813,0.333068
0.010000,1.388463,0.144312,1.413279,3.466348,1.809683,-46.574184,0.343217
0.010000,1.421166,0.156187,1.448071,3.479199,1.285115,-52.456838,0.353464
0.010000,1.453818,0.168426,1.482942,3.487046,0.784651,-50.046401,0.363791
0.010000,1.486368,0.181013,1.517841,3.489914,0.286812,-49.783868,0.374179
0.010000,1.518790,0.193940,1.552745,3.490373,0.045933,-24.087888,0.384618
0.010000,1.551078,0.207207,1.587653,3.490785,0.041134,-0.479891,0.395103
0.010000,1.583228,0.220814,1.622563,3.491078,0.029360,-1.177393,0.405631
0.010000,1.615236,0.234760,1.657477,3.491347,0.026830,-0.253029,0.416195
0.010000,1.647096,0.249045,1.692393,3.491587,0.024016,-0.281461,0.426792
0.010000,1.678804,0.263668,1.727311,3.491796,0.020946,-0.306976,0.437417
0.010000,1.710357,0.278628,1.762230,3.491973,0.017650,-0.329615,0.448065
0.010000,1.741750,0.293924,1.797152,3.492114,0.014155,-0.349434,0.458731
0.010000,1.772979,0.309555,1.832074,3.492232,0.011788,-0.236698,0.469411
0.010000,1.804040,0.325519,1.866997,3.492323,0.009060,-0.272791,0.480098
0.010000,1.834928,0.341814,1.901920,3.492338,0.001567,-0.749352,0.490789
0.010000,1.865641,0.358439,1.936844,3.492315,-0.002298,-0.386495,0.501477
0.010000,1.896173,0.375390,1.971766,3.492253,-0.006242,-0.394353,0.512157
0.010000,1.926522,0.392666,2.006688,3.492151,-0.010242,-0.399992,0.522825
0.010000,1.956684,0.410263,2.041608,3.492008,-0.014277,-0.403536,0.533475
0.010000,1.986655,0.428180,2.076526,3.491825,-0.018328,-0.405110,0.544101
0.010000,2.016433,0.446412,2.111442,3.491601,-0.022376,-0.404845,0.554698
0.010000,2.046014,0.464957,2.146355,3.491337,-0.026405,-0.402872,0.565262
