dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.206711,2.706704,0.000024,0.004856,0.485641,48.564103,0.000043
0.010000,0.206711,2.706704,0.000025,0.000028,-0.482871,-96.851166,0.000039
0.010000,0.206712,2.706704,0.000025,0.000062,0.003459,48.632976,0.000031
0.010000,0.206713,2.706704,0.000026,0.000111,0.004832,0.137283,0.000017
0.010000,0.206859,2.706704,0.000172,0.014585,1.447454,144.262199,6.283180
0.010000,0.207735,2.706704,0.001049,0.087663,7.307790,586.033597,6.283148
0.010000,0.208928,2.706703,0.002242,0.119318,3.165473,-414.231726,6.283105
0.010000,0.210487,2.706703,0.003800,0.155841,3.652346,48.687336,6.283049
0.010000,0.212459,2.706703,0.005773,0.197233,4.139145,48.679864,6.282979
0.010000,0.214870,2.706702,0.008183,0.241056,4.382360,24.321500,6.282893
0.010000,0.217718,2.706701,0.011032,0.284876,4.382006,-0.035364,6.282793
0.010000,0.221005,2.706700,0.014319,0.328692,4.381589,-0.041709,6.282680
0.010000,0.224730,2.706698,0.018044,0.372503,4.381106,-0.048295,6.282553
0.010000,0.228893,2.706695,0.022207,0.416309,4.380560,-0.054606,6.282413
0.010000,0.233495,2.706691,0.026808,0.460108,4.379950,-0.060946,6.282262
0.010000,0.238534,2.706686,0.031847,0.503901,4.379275,-0.067517,6.282099
0.010000,0.244010,2.706679,0.037324,0.547687,4.378536,-0.073878,6.281927
0.010000,0.249925,2.706672,0.043239,0.591464,4.377733,-0.080335,6.281746
0.010000,0.256277,2.706662,0.049591,0.635232,4.376866,-0.086763,6.281556
0.010000,0.263067,2.706650,0.056381,0.678992,4.375935,-0.093054,6.281361
0.010000,0.270295,2.706636,0.063608,0.722741,4.374938,-0.099674,6.281160
0.010000,0.277959,2.706620,0.071273,0.766480,4.373879,-0.105961,6.280954
0.010000,0.286061,2.706601,0.079375,0.810208,4.372755,-0.112402,6.280747
0.010000,0.294601,2.706579,0.087914,0.853923,4.371566,-0.118834,6.280538
0.010000,0.303577,2.706554,0.096891,0.897626,4.370314,-0.125225,6.280330
0.010000,0.312990,2.706527,0.106304,0.941316,4.368997,-0.131714,6.280124
0.010000,0.322840,2.706495,0.116154,0.984992,4.367615,-0.138139,6.279922
0.010000,0.333126,2.706461,0.126440,1.028654,4.366172,-0.144376,6.279726
0.010000,0.343849,2.706423,0.137163,1.072301,4.364662,-0.151000,6.279538
0.010000,0.355009,2.706381,0.148323,1.115932,4.363088,-0.157324,6.279360
0.010000,0.366604,2.706336,0.159918,1.159546,4.361451,-0.163717,6.279194
0.010000,0.378635,2.706287,0.171950,1.203144,4.359749,-0.170215,6.279042
0.010000,0.391102,2.706234,0.184417,1.246724,4.357983,-0.176604,6.278907
0.010000,0.404005,2.706178,0.197320,1.290285,4.356154,-0.182944,6.278790
0.010000,0.417343,2.706119,0.210658,1.333828,4.354259,-0.189472,6.278694
0.010000,0.431117,2.706057,0.224431,1.377351,4.352301,-0.195833,6.278623
0.010000,0.445325,2.705991,0.238640,1.420853,4.350278,-0.202309,6.278577
0.010000,0.459968,2.705924,0.253283,1.464335,4.348191,-0.208696,6.278561
0.010000,0.475046,2.705854,0.268361,1.507796,4.346039,-0.215139,6.278576
0.010000,0.490558,2.705783,0.283874,1.551234,4.343823,-0.221580,6.278626
0.010000,0.506505,2.705711,0.299820,1.594649,4.341543,-0.228003,6.278714
0.010000,0.522885,2.705639,0.316201,1.638041,4.339198,-0.234500,6.278842
0.010000,0.539699,2.705567,0.333015,1.681409,4.336790,-0.240866,6.279014
0.010000,0.556946,2.705497,0.350262,1.724752,4.334316,-0.247392,6.279233
0.010000,0.574627,2.705429,0.367943,1.768070,4.331778,-0.253824,6.279501
0.010000,0.592740,2.705365,0.386056,1.811362,4.329174,-0.260315,6.279824
0.010000,0.611286,2.705306,0.404603,1.854627,4.326507,-0.266710,6.280203
0.010000,0.630265,2.705254,0.423581,1.897865,4.323774,-0.273280,6.280643
0.010000,0.649676,2.705209,0.442992,1.941075,4.320978,-0.279689,6.281146
0.010000,0.669518,2.705175,0.462835,1.984256,4.318116,-0.286193,6.281718
0.010000,0.689792,2.705151,0.483109,2.027408,4.315189,-0.292660,6.282361
0.010000,0.710498,2.705141,0.503814,2.070530,4.312197,-0.299180,6.283079
0.010000,0.731634,2.705148,0.524950,2.113621,4.309142,-0.305509,0.000691
0.010000,0.753201,2.705172,0.546517,2.156681,4.306020,-0.312180,0.001572
0.010000,0.775198,2.705217,0.568514,2.199710,4.302836,-0.318424,0.002540
0.010000,0.797625,2.705286,0.590941,2.242705,4.299586,-0.325001,0.003599
0.010000,0.820481,2.705381,0.613798,2.285668,4.296273,-0.331262,0.004754
0.010000,0.843767,2.705506,0.637084,2.328597,4.292895,-0.337800,0.006010
0.010000,0.867481,2.705665,0.660799,2.371492,4.289457,-0.343897,0.007370
0.010000,0.891624,2.705860,0.684942,2.414351,4.285954,-0.350287,0.008839
0.010000,0.916194,2.706096,0.709514,2.457175,4.282388,-0.356530,0.010421
0.010000,0.941192,2.706378,0.734514,2.499963,4.278763,-0.362501,0.012122
0.010000,0.966617,2.706709,0.759941,2.542714,4.275078,-0.368582,0.013946
0.010000,0.992469,2.707095,0.785795,2.585427,4.271333,-0.374445,0.015898
0.010000,1.018746,2.707540,0.812076,2.628102,4.267532,-0.380132,0.017982
0.010000,1.045449,2.708050,0.838783,2.670739,4.263674,-0.385782,0.020205
0.010000,1.072576,2.708630,0.865917,2.713337,4.259764,-0.391009,0.022569
0.010000,1.100127,2.709286,0.893476,2.755895,4.255801,-0.396279,0.025082
0.010000,1.128101,2.710025,0.921460,2.798412,4.251792,-0.400862,0.027748
0.010000,1.156498,2.710853,0.949869,2.840890,4.247735,-0.405743,0.030572
0.010000,1.185317,2.711777,0.978702,2.883326,4.243638,-0.409680,0.033559
0.010000,1.214556,2.712804,1.007959,2.925721,4.239505,-0.413364,0.036715
0.010000,1.244215,2.713943,1.037640,2.968075,4.235337,-0.416756,0.040045
0.010000,1.274292,2.715200,1.067744,3.010386,4.231149,-0.418807,0.043555
0.010000,1.304787,2.716586,1.098270,3.052655,4.226919,-0.423024,0.047249
0.010000,1.335699,2.718107,1.129219,3.094882,4.222701,-0.421725,0.051134
0.010000,1.367025,2.719774,1.160590,3.137067,4.218453,-0.424819,0.055215
0.010000,1.395074,2.721378,1.188684,2.809454,-32.761296,-3697.974904,0.059611
0.010000,1.426336,2.723487,1.220018,3.133317,32.386269,6514.756466,0.075096
0.010000,1.457918,2.726110,1.251709,3.169092,3.577506,-2880.876302,0.090665
0.010000,1.489767,2.729257,1.283712,3.200367,3.127547,-44.995919,0.106272
0.010000,1.521828,2.732931,1.315984,3.227138,2.677111,-45.043599,0.121870
0.010000,1.554049,2.737132,1.348478,3.249401,2.226327,-45.078414,0.137414
0.010000,1.586378,2.741858,1.381150,3.267189,1.778710,-44.761653,0.152860
0.010000,1.618760,2.747101,1.413954,3.280430,1.324103,-45.460674,0.168163
0.010000,1.651145,2.752852,1.446845,3.289157,0.872742,-45.136123,0.183280
0.010000,1.683481,2.759096,1.479779,3.293339,0.418215,-45.452738,0.198173
0.010000,1.715741,2.765821,1.512732,3.295313,0.197361,-22.085341,0.212811
0.010000,1.747920,2.773017,1.545706,3.297402,0.208931,1.156957,0.227181
0.010000,1.780015,2.780676,1.578702,3.299620,0.221765,1.283448,0.241267
0.010000,1.812023,2.788787,1.611721,3.301926,0.230654,0.888884,0.255055
0.010000,1.843940,2.797340,1.644765,3.304347,0.242072,1.141774,0.268533
0.010000,1.875765,2.806324,1.677833,3.306843,0.249625,0.755362,0.281690
0.010000,1.907495,2.815728,1.710928,3.309422,0.257831,0.820539,0.294515
0.010000,1.939128,2.825541,1.744048,3.312074,0.265292,0.746148,0.307000
