dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.206714,2.628926,0.000024,0.004856,0.485641,48.564103,0.000043
0.010000,0.206714,2.628926,0.000121,0.014569,0.971282,48.564103,0.000039
0.010000,0.206714,2.628926,0.000340,0.029138,1.456923,48.564103,0.000031
0.010000,0.206714,2.628926,0.000728,0.048564,1.942564,48.564103,0.000017
0.010000,0.206858,2.628926,0.001336,0.072846,2.428205,48.564103,6.283180
0.010000,0.207732,2.628926,0.002210,0.101985,2.913846,48.564103,6.283148
0.010000,0.208922,2.628926,0.003399,0.135979,3.399487,48.564103,6.283105
0.010000,0.210476,2.628925,0.004954,0.174831,3.885128,48.564103,6.283049
0.010000,0.212443,2.628925,0.006920,0.218538,4.370769,48.564103,6.282979
0.010000,0.214847,2.628925,0.009324,0.262246,4.370769,0.000000,6.282893
0.010000,0.217688,2.628924,0.012165,0.305954,4.370769,-0.000000,6.282793
0.010000,0.220966,2.628922,0.015443,0.349662,4.370769,0.000000,6.282680
0.010000,0.224681,2.628920,0.019159,0.393369,4.370769,-0.000000,6.282553
0.010000,0.228833,2.628917,0.023311,0.437077,4.370769,0.000000,6.282413
0.010000,0.233423,2.628913,0.027900,0.480785,4.370769,0.000000,6.282262
0.010000,0.238449,2.628908,0.032926,0.524492,4.370769,0.000000,6.282099
0.010000,0.243913,2.628902,0.038390,0.568200,4.370769,-0.000000,6.281927
0.010000,0.249813,2.628894,0.044290,0.611908,4.370769,0.000000,6.281746
0.010000,0.256151,2.628884,0.050628,0.655615,4.370769,0.000000,6.281556
0.010000,0.262925,2.628872,0.057403,0.699323,4.370769,0.000000,6.281361
0.010000,0.270137,2.628858,0.064615,0.743031,4.370769,-0.000000,6.281160
0.010000,0.277786,2.628842,0.072263,0.786738,4.370769,0.000000,6.280954
0.010000,0.285872,2.628823,0.080349,0.830446,4.370769,0.000000,6.280747
0.010000,0.294395,2.628802,0.088872,0.874154,4.370769,-0.000000,6.280538
0.010000,0.303355,2.628777,0.097832,0.917862,4.370769,0.000000,6.280330
0.010000,0.312752,2.628749,0.107230,0.961569,4.370769,0.000000,6.280124
0.010000,0.322586,2.628718,0.117064,1.005277,4.370769,-0.000000,6.279922
0.010000,0.332857,2.628683,0.127335,1.048985,4.370769,0.000000,6.279726
0.010000,0.343566,2.628645,0.138043,1.092692,4.370769,-0.000000,6.279538
0.010000,0.354711,2.628604,0.149189,1.136400,4.370769,0.000000,6.279360
0.010000,0.366294,2.628558,0.160771,1.180108,4.370769,0.000000,6.279194
0.010000,0.378313,2.628510,0.172791,1.223815,4.370769,-0.000000,6.279042
0.010000,0.390770,2.628457,0.185248,1.267523,4.370769,0.000000,6.278907
0.010000,0.403663,2.628401,0.198142,1.311231,4.370769,-0.000000,6.278790
0.010000,0.416994,2.628342,0.211472,1.354938,4.370769,0.000000,6.278694
0.010000,0.430762,2.628280,0.225240,1.398646,4.370769,-0.000000,6.278623
0.010000,0.444967,2.628214,0.239445,1.442354,4.370769,0.000000,6.278577
0.010000,0.459609,2.628147,0.254087,1.486062,4.370769,0.000000,6.278561
0.010000,0.474688,2.628077,0.269167,1.529769,4.370769,0.000000,6.278576
0.010000,0.490204,2.628006,0.284683,1.573477,4.370769,0.000000,6.278626
0.010000,0.506157,2.627934,0.300636,1.617185,4.370769,-0.000000,6.278714
0.010000,0.522547,2.627861,0.317026,1.660892,4.370769,0.000000,6.278842
0.010000,0.539374,2.627790,0.333854,1.704600,4.370769,-0.000000,6.279014
0.010000,0.556639,2.627720,0.351118,1.748308,4.370769,0.000000,6.279233
0.010000,0.574340,2.627652,0.368820,1.792015,4.370769,0.000000,6.279501
0.010000,0.592479,2.627588,0.386959,1.835723,4.370769,-0.000000,6.279824
0.010000,0.611054,2.627529,0.405535,1.879431,4.370769,0.000000,6.280203
0.010000,0.630067,2.627476,0.424547,1.923138,4.370769,-0.000000,6.280643
0.010000,0.649517,2.627432,0.443997,1.966846,4.370769,0.000000,6.281146
0.010000,0.669404,2.627397,0.463884,2.010554,4.370769,-0.000000,6.281718
0.010000,0.689728,2.627373,0.484208,2.054262,4.370769,0.000000,6.282361
0.010000,0.710489,2.627364,0.504970,2.097969,4.370769,-0.000000,6.283079
