dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.206717,2.551148,0.000024,0.004856,0.485641,48.564103,0.000043
0.010000,0.206717,2.551148,0.000025,0.000028,-0.482871,-96.851166,0.000039
0.010000,0.206716,2.551148,0.000025,0.000062,0.003459,48.632976,0.000031
0.010000,0.206715,2.551148,0.000026,0.000111,0.004832,0.137283,0.000017
0.010000,0.206858,2.551148,0.000169,0.014240,1.412955,140.812270,6.283180
0.010000,0.207729,2.551148,0.001040,0.087168,7.292755,587.980075,6.283148
0.010000,0.208916,2.551148,0.002227,0.118646,3.147861,-414.489460,6.283105
0.010000,0.210466,2.551148,0.003777,0.154969,3.632269,48.440854,6.283049
0.010000,0.212427,2.551147,0.005738,0.196137,4.116753,48.448337,6.282979
0.010000,0.214824,2.551147,0.008135,0.239728,4.359179,24.242633,6.282893
0.010000,0.217657,2.551146,0.010968,0.283324,4.359532,0.035321,6.282793
0.010000,0.220927,2.551144,0.014238,0.326923,4.359951,0.041827,6.282680
0.010000,0.224632,2.551142,0.017943,0.370527,4.360431,0.048092,6.282553
0.010000,0.228773,2.551139,0.022084,0.414137,4.360978,0.054629,6.282413
0.010000,0.233351,2.551135,0.026662,0.457753,4.361589,0.061137,6.282262
0.010000,0.238365,2.551130,0.031676,0.501376,4.362263,0.067414,6.282099
0.010000,0.243815,2.551124,0.037126,0.545006,4.363002,0.073900,6.281927
0.010000,0.249701,2.551116,0.043012,0.588644,4.363805,0.080288,6.281746
0.010000,0.256024,2.551106,0.049335,0.632291,4.364672,0.086703,6.281556
0.010000,0.262783,2.551095,0.056094,0.675947,4.365605,0.093254,6.281361
0.010000,0.269980,2.551081,0.063291,0.719613,4.366599,0.099477,6.281160
0.010000,0.277612,2.551064,0.070923,0.763289,4.367660,0.106030,6.280954
0.010000,0.285682,2.551046,0.078993,0.806977,4.368784,0.112427,6.280747
0.010000,0.294189,2.551024,0.087500,0.850677,4.369972,0.118832,6.280538
0.010000,0.303133,2.550999,0.096444,0.894389,4.371225,0.125277,6.280330
0.010000,0.312514,2.550972,0.105825,0.938114,4.372541,0.131624,6.280124
0.010000,0.322332,2.550941,0.115644,0.981854,4.373922,0.138033,6.279922
0.010000,0.332588,2.550906,0.125900,1.025607,4.375368,0.144629,6.279726
0.010000,0.343282,2.550868,0.136593,1.069376,4.376876,0.150840,6.279538
0.010000,0.354414,2.550826,0.147725,1.113161,4.378450,0.157349,6.279360
0.010000,0.365983,2.550781,0.159295,1.156961,4.380088,0.163789,6.279194
0.010000,0.377991,2.550732,0.171302,1.200779,4.381789,0.170127,6.279042
0.010000,0.390437,2.550680,0.183749,1.244615,4.383555,0.176575,6.278907
0.010000,0.403321,2.550624,0.196633,1.288469,4.385386,0.183075,6.278790
0.010000,0.416645,2.550565,0.209957,1.332342,4.387279,0.189389,6.278694
0.010000,0.430407,2.550502,0.223719,1.376234,4.389238,0.195875,6.278623
0.010000,0.444608,2.550437,0.237920,1.420147,4.391261,0.202251,6.278577
0.010000,0.459249,2.550370,0.252561,1.464080,4.393348,0.208721,6.278561
0.010000,0.474329,2.550300,0.267642,1.508035,4.395499,0.215142,6.278576
0.010000,0.489849,2.550229,0.283162,1.552012,4.397715,0.221572,6.278626
0.010000,0.505809,2.550157,0.299122,1.596012,4.399995,0.228028,6.278714
0.010000,0.522209,2.550084,0.315522,1.640036,4.402340,0.234420,6.278842
0.010000,0.539050,2.550013,0.332363,1.684083,4.404749,0.240952,6.279014
0.010000,0.556331,2.549942,0.349645,1.728155,4.407222,0.247333,6.279233
0.010000,0.574054,2.549875,0.367367,1.772253,4.409761,0.253820,6.279501
0.010000,0.592217,2.549811,0.385531,1.816376,4.412363,0.260256,6.279824
0.010000,0.610822,2.549751,0.404136,1.860527,4.415031,0.266797,6.280203
0.010000,0.629869,2.549699,0.423183,1.904704,4.417763,0.273170,6.280643
0.010000,0.649358,2.549654,0.442672,1.948910,4.420560,0.279709,6.281146
0.010000,0.669290,2.549619,0.462604,1.993144,4.423421,0.286157,6.281718
0.010000,0.689664,2.549596,0.482978,2.037408,4.426348,0.292641,6.282361
0.010000,0.710481,2.549586,0.503795,2.081701,4.429339,0.299064,6.283079
0.010000,0.731741,2.549592,0.525055,2.126025,4.432395,0.305668,0.000691
0.010000,0.753445,2.549616,0.546759,2.170380,4.435514,0.311908,0.001572
0.010000,0.775593,2.549662,0.568907,2.214767,4.438700,0.318548,0.002540
0.010000,0.798184,2.549731,0.591498,2.259187,4.441948,0.324811,0.003599
0.010000,0.821221,2.549827,0.614535,2.303639,4.445261,0.331338,0.004754
0.010000,0.844702,2.549953,0.638016,2.348126,4.448636,0.337513,0.006010
0.010000,0.868627,2.550113,0.661943,2.392646,4.452077,0.344041,0.007370
0.010000,0.892999,2.550310,0.686315,2.437202,4.455578,0.350159,0.008839
0.010000,0.917815,2.550549,0.711133,2.481794,4.459141,0.356284,0.010421
0.010000,0.943078,2.550834,0.736397,2.526421,4.462766,0.362509,0.012122
0.010000,0.968787,2.551169,0.762108,2.571086,4.466450,0.368416,0.013946
0.010000,0.994942,2.551559,0.788265,2.615788,4.470193,0.374292,0.015898
0.010000,1.021543,2.552009,0.814871,2.660528,4.473994,0.380050,0.017982
0.010000,1.048591,2.552526,0.841924,2.705306,4.477849,0.385495,0.020205
0.010000,1.076086,2.553113,0.869425,2.750124,4.481758,0.390957,0.022569
0.010000,1.104028,2.553779,0.897375,2.794981,4.485717,0.395897,0.025082
0.010000,1.132417,2.554529,0.925774,2.839878,4.489727,0.400979,0.027748
0.010000,1.161253,2.555370,0.954622,2.884816,4.493778,0.405117,0.030572
0.010000,1.190536,2.556309,0.983920,2.929795,4.497873,0.409477,0.033559
0.010000,1.220266,2.557353,1.013668,2.974815,4.502006,0.413253,0.036715
0.010000,1.250442,2.558512,1.043867,3.019876,4.506169,0.416366,0.040045
0.010000,1.281065,2.559792,1.074516,3.064980,4.510367,0.419756,0.043555
0.010000,1.312134,2.561203,1.105618,3.110126,4.514564,0.419709,0.047249
0.010000,1.343649,2.562755,1.137171,3.155314,4.518803,0.423894,0.051134
0.010000,1.375610,2.564455,1.169176,3.200544,4.523023,0.422050,0.055215
0.010000,1.404341,2.566098,1.197955,2.877837,-32.270653,-3679.367662,0.059611
0.010000,1.438007,2.568369,1.231697,3.374197,49.635983,8190.663576,0.075096
0.010000,1.472002,2.571194,1.265809,3.411272,3.707423,-4592.855904,0.090665
0.010000,1.506267,2.574579,1.300241,3.443134,3.186272,-52.115185,0.106272
0.010000,1.540739,2.578529,1.334938,3.469777,2.664314,-52.195736,0.121870
0.010000,1.575358,2.583043,1.369850,3.491201,2.142395,-52.191908,0.137414
0.010000,1.610064,2.588116,1.404925,3.507451,1.624999,-51.739611,0.152860
0.010000,1.644796,2.593740,1.440110,3.518470,1.101917,-52.308216,0.168163
0.010000,1.679496,2.599902,1.475353,3.524319,0.584810,-51.710708,0.183280
0.010000,1.714107,2.606585,1.510603,3.524993,0.067415,-51.739465,0.198173
0.010000,1.748596,2.613774,1.545833,3.523026,-0.196647,-26.406205,0.212811
0.010000,1.782956,2.621458,1.581042,3.520928,-0.209816,-1.316897,0.227181
0.010000,1.817182,2.629626,1.616230,3.518730,-0.219846,-1.002976,0.241267
0.010000,1.851269,2.638264,1.651394,3.516407,-0.232250,-1.240418,0.255055
0.010000,1.885212,2.647359,1.686534,3.514006,-0.240102,-0.785203,0.268533
0.010000,1.919006,2.656899,1.721649,3.511504,-0.250210,-1.010802,0.281690
0.010000,1.952649,2.666870,1.756738,3.508926,-0.257785,-0.757468,0.294515
0.010000,1.986137,2.677258,1.791801,3.506283,-0.264351,-0.656662,0.307000
0.010000,2.019470,2.688050,1.826837,3.503571,-0.271159,-0.680745,0.319137
0.010000,2.052645,2.699230,1.861845,3.500810,-0.276144,-0.498509,0.330918
0.010000,2.085661,2.710785,1.896825,3.498001,-0.280829,-0.468500,0.342338
0.010000,2.118519,2.722701,1.931776,3.495154,-0.284705,-0.387677,0.353391
0.010000,2.151218,2.734963,1.966699,3.492276,-0.287867,-0.316118,0.364075
0.010000,2.183760,2.747557,2.001593,3.489372,-0.290392,-0.252548,0.374384
0.010000,2.216145,2.760469,2.036457,3.486450,-0.292154,-0.176161,0.384318
0.010000,2.248376,2.773684,2.071292,3.483510,-0.293987,-0.183337,0.393874
0.010000,2.280454,2.787190,2.106098,3.480566,-0.294460,-0.047304,0.403052
0.010000,2.312383,2.800972,2.140874,3.477616,-0.294978,-0.051768,0.411849
0.010000,2.344165,2.815016,2.175621,3.474661,-0.295472,-0.049390,0.420267
0.010000,2.375804,2.829309,2.210338,3.471715,-0.294588,0.088410,0.428306
0.010000,2.407302,2.843837,2.245026,3.468770,-0.294574,0.001348,0.435966
0.010000,2.438665,2.858588,2.279684,3.465834,-0.293535,0.103926,0.443249
0.010000,2.469895,2.873549,2.314313,3.462912,-0.292251,0.128366,0.450155
0.010000,2.500999,2.888706,2.348913,3.459993,-0.291856,0.039525,0.456687
0.010000,2.531979,2.904048,2.383484,3.457097,-0.289601,0.225535,0.462846
0.010000,2.562842,2.919561,2.418026,3.454208,-0.288952,0.064884,0.468633
0.010000,2.593591,2.935234,2.452539,3.451338,-0.287000,0.195176,0.474051
0.010000,2.624233,2.951054,2.487024,3.448482,-0.285593,0.140742,0.479102
0.010000,2.654772,2.967011,2.521481,3.445639,-0.284290,0.130259,0.483788
0.010000,2.685214,2.983091,2.555909,3.442816,-0.282285,0.200472,0.488110
0.010000,2.715564,2.999284,2.590309,3.440001,-0.281525,0.076042,0.492070
0.010000,2.745829,3.015579,2.624681,3.437208,-0.279268,0.225698,0.495671
0.010000,2.776012,3.031963,2.659025,3.434420,-0.278782,0.048546,0.498914
0.010000,2.806122,3.048427,2.693342,3.431653,-0.276740,0.204254,0.501801
0.010000,2.836162,3.064959,2.727631,3.428891,-0.276187,0.055278,0.504333
0.010000,2.866139,3.081549,2.761892,3.426144,-0.274693,0.149406,0.506512
0.010000,2.896059,3.098185,2.796126,3.423403,-0.274108,0.058470,0.508338
0.010000,2.925928,3.114857,2.830333,3.420672,-0.273093,0.101546,0.509813
0.010000,2.955751,3.131555,2.864512,3.417946,-0.272610,0.048295,0.510937
0.010000,2.985535,3.148268,2.898664,3.415226,-0.272018,0.059227,0.511712
0.010000,3.015285,3.164985,2.932790,3.412508,-0.271732,0.028519,0.512137
0.010000,3.045007,3.181696,2.966887,3.409793,-0.271519,0.021355,0.512213
0.010000,3.074707,3.198391,3.000958,3.407078,-0.271498,0.002109,0.511940
0.010000,3.104390,3.215060,3.035002,3.404362,-0.271621,-0.012285,0.511318
0.010000,3.134064,3.231692,3.069018,3.401643,-0.271912,-0.029122,0.510347
0.010000,3.163732,3.248276,3.103007,3.398920,-0.272319,-0.040734,0.509025
0.010000,3.193402,3.264803,3.136969,3.396190,-0.272965,-0.064607,0.507352
0.010000,3.223078,3.281261,3.170904,3.393454,-0.273583,-0.061800,0.505328
0.010000,3.252766,3.297641,3.204811,3.390708,-0.274632,-0.104886,0.502950
0.010000,3.282472,3.313931,3.238691,3.387954,-0.275355,-0.072240,0.500219
0.010000,3.312201,3.330122,3.272542,3.385186,-0.276867,-0.151215,0.497132
0.010000,3.341958,3.346203,3.306367,3.382410,-0.277548,-0.068177,0.493687
0.010000,3.371747,3.362162,3.340161,3.379462,-0.294847,-1.729815,0.489884
0.010000,3.401551,3.377976,3.373901,3.373953,-0.550916,-25.606898,0.485724
0.010000,3.431332,3.393613,3.407537,3.363621,-1.033127,-48.221108,0.481212
0.010000,3.461051,3.409040,3.441022,3.348503,-1.511845,-47.871852,0.476357
0.010000,3.490670,3.424227,3.474308,3.328595,-1.990810,-47.896529,0.471167
0.010000,3.520150,3.439145,3.507347,3.303933,-2.466132,-47.532200,0.465656
0.010000,3.549451,3.453763,3.540092,3.274516,-2.941789,-47.565680,0.459836
0.010000,3.578532,3.468056,3.572496,3.240369,-3.414682,-47.289304,0.453725
0.010000,3.607353,3.481998,3.604511,3.201513,-3.885582,-47.090013,0.447340
0.010000,3.635871,3.495565,3.636092,3.158107,-4.340633,-45.505034,0.440701
0.010000,3.664068,3.508746,3.667218,3.112556,-4.555042,-21.440892,0.433826
0.010000,3.691943,3.521540,3.697889,3.067105,-4.545123,0.991889,0.426726
0.010000,3.719496,3.533947,3.728106,3.021752,-4.535303,0.982019,0.419415
0.010000,3.746726,3.545967,3.757871,2.976493,-4.525867,0.943546,0.411905
0.010000,3.773632,3.557600,3.787185,2.931339,-4.515389,1.047794,0.404208
0.010000,3.800213,3.568847,3.816047,2.886280,-4.505898,0.949143,0.396338
0.010000,3.826467,3.579711,3.844461,2.841326,-4.495432,1.046608,0.388308
0.010000,3.852393,3.590194,3.872425,2.796472,-4.485444,0.998803,0.380130
0.010000,3.877988,3.600298,3.899943,2.751718,-4.475364,1.007937,0.371818
0.010000,3.903250,3.610028,3.927013,2.707066,-4.465152,1.021225,0.363385
0.010000,3.928176,3.619385,3.953638,2.662518,-4.454849,1.030323,0.354843
0.010000,3.952765,3.628376,3.979819,2.618070,-4.444802,1.004707,0.346207
0.010000,3.977013,3.637004,4.005556,2.573724,-4.434563,1.023911,0.337488
0.010000,4.000917,3.645275,4.030851,2.529480,-4.424428,1.013432,0.328700
0.010000,4.024475,3.653195,4.055705,2.485335,-4.414468,0.996003,0.319856
0.010000,4.047683,3.660768,4.080118,2.441292,-4.404384,1.008423,0.310969
0.010000,4.070539,3.668002,4.104091,2.397346,-4.394536,0.984812,0.302052
0.010000,4.093040,3.674903,4.127626,2.353499,-4.384760,0.977572,0.293116
