dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000945,3.133184,0.000024,0.004856,0.485641,48.564103,6.281659
0.010000,0.000943,3.133184,0.000026,0.000219,-0.463769,-94.941011,6.281687
0.010000,0.000938,3.133184,0.000031,0.000492,0.027338,49.110733,6.281751
0.010000,0.000930,3.133184,0.000040,0.000875,0.038269,1.093059,6.281863
0.010000,0.000916,3.133184,0.000054,0.001367,0.049192,1.092335,6.282039
0.010000,0.000896,3.133184,0.000073,0.001968,0.060104,1.091148,6.282292
0.010000,0.000869,3.133184,0.000100,0.002678,0.070997,1.089379,6.282636
0.010000,0.000835,3.133184,0.000135,0.003496,0.081867,1.086907,6.283086
0.010000,0.002413,3.133185,0.001713,0.157823,15.432646,1535.077973,0.000469
0.010000,0.004763,3.133187,0.004063,0.234984,7.716108,-771.653779,0.001164
0.010000,0.007540,3.133191,0.006840,0.277717,4.273331,-344.277775,0.001985
0.010000,0.010744,3.133199,0.010045,0.320429,4.271165,-0.216572,0.002932
0.010000,0.014376,3.133211,0.013677,0.363190,4.276105,0.493964,0.004005
0.010000,0.018435,3.133230,0.017736,0.405905,4.271492,-0.461220,0.005203
0.010000,0.022921,3.133256,0.022222,0.448633,4.272841,0.134882,0.006526
0.010000,0.027835,3.133292,0.027136,0.491371,4.273752,0.091121,0.007974
0.010000,0.033176,3.133339,0.032477,0.534113,4.274240,0.048783,0.009547
0.010000,0.038944,3.133399,0.038245,0.576856,4.274320,0.008015,0.011245
0.010000,0.045139,3.133474,0.044441,0.619597,4.274010,-0.031038,0.013066
0.010000,0.051762,3.133567,0.051065,0.662330,4.273328,-0.068237,0.015011
0.010000,0.058812,3.133680,0.058116,0.705097,4.276724,0.339676,0.017079
0.010000,0.066289,3.133816,0.065594,0.747851,4.275406,-0.131881,0.019269
0.010000,0.074194,3.133978,0.073500,0.790599,4.274791,-0.061436,0.021582
0.010000,0.082525,3.134168,0.081834,0.833366,4.276673,0.188143,0.024016
0.010000,0.091284,3.134389,0.090595,0.876145,4.277971,0.129791,0.026571
0.010000,0.100469,3.134646,0.099784,0.918906,4.276010,-0.196103,0.029246
0.010000,0.110082,3.134940,0.109401,0.961682,4.277652,0.164290,0.032040
0.010000,0.120121,3.135277,0.119446,1.004471,4.278894,0.124188,0.034953
0.010000,0.130586,3.135658,0.129919,1.047269,4.279766,0.087195,0.037984
0.010000,0.141479,3.136090,0.140819,1.090072,4.280301,0.053422,0.041131
0.010000,0.152797,3.136574,0.152148,1.132877,4.280530,0.022971,0.044394
0.010000,0.164541,3.137115,0.163905,1.175682,4.280490,-0.004066,0.047772
0.010000,0.176712,3.137719,0.176090,1.218515,4.283352,0.286286,0.051263
0.010000,0.189307,3.138388,0.188704,1.261356,4.284103,0.075049,0.054866
0.010000,0.202328,3.139127,0.201745,1.304191,4.283464,-0.063868,0.058580
0.010000,0.215774,3.139941,0.215216,1.347050,4.285918,0.245421,0.062404
0.010000,0.229645,3.140836,0.229115,1.389930,4.287946,0.202791,0.066335
0.010000,0.243939,3.141814,0.243443,1.432801,4.287138,-0.080822,0.070373
0.010000,0.258658,3.142882,0.258200,1.475694,4.289247,0.210918,0.074515
0.010000,0.273799,3.144045,0.273386,1.518604,4.291049,0.180193,0.078760
0.010000,0.289363,3.145307,0.289002,1.561530,4.292590,0.154046,0.083106
0.010000,0.305349,3.146675,0.305046,1.604469,4.293914,0.132474,0.087550
0.010000,0.321757,3.148153,0.321520,1.647420,4.295069,0.115459,0.092092
0.010000,0.338586,3.149746,0.338424,1.690386,4.296653,0.158430,0.096727
0.010000,0.355835,3.151461,0.355758,1.733400,4.301389,0.473570,0.101455
0.010000,0.373503,3.153303,0.373522,1.776387,4.298651,-0.273763,0.106272
0.010000,0.391590,3.155277,0.391717,1.819442,4.305556,0.690414,0.111176
0.010000,0.410095,3.157390,0.410341,1.862479,4.303705,-0.185065,0.116165
0.010000,0.429016,3.159646,0.429397,1.905550,4.307020,0.331531,0.121235
0.010000,0.448353,3.162053,0.448884,1.948663,4.311332,0.431167,0.126383
0.010000,0.468106,3.164615,0.468801,1.991781,4.311805,0.047341,0.131606
0.010000,0.488272,3.167339,0.489151,2.034926,4.314529,0.272400,0.136901
0.010000,0.508851,3.170230,0.509932,2.078098,4.317134,0.260481,0.142265
0.010000,0.529841,3.173295,0.531145,2.121305,4.320708,0.357420,0.147694
0.010000,0.551242,3.176539,0.552790,2.164537,4.323254,0.254554,0.153184
0.010000,0.573052,3.179969,0.574868,2.207788,4.325107,0.185286,0.158732
0.010000,0.595270,3.183589,0.597379,2.251082,4.329365,0.425872,0.164334
0.010000,0.617894,3.187407,0.620323,2.294400,4.331801,0.243597,0.169986
0.010000,0.640923,3.191427,0.643700,2.337757,4.335739,0.393793,0.175683
0.010000,0.664356,3.195656,0.667512,2.381138,4.338064,0.232487,0.181421
0.010000,0.688191,3.200100,0.691757,2.424557,4.341951,0.388720,0.187197
0.010000,0.712426,3.204764,0.716437,2.468018,4.346095,0.414404,0.193004
0.010000,0.737061,3.209653,0.741552,2.511508,4.348980,0.288480,0.198840
0.010000,0.762093,3.214773,0.767103,2.555035,4.352684,0.370369,0.204699
0.010000,0.787521,3.220131,0.793089,2.598604,4.356914,0.423056,0.210575
0.010000,0.813343,3.225730,0.819511,2.642208,4.360406,0.349115,0.216466
0.010000,0.839557,3.231576,0.846369,2.685849,4.364115,0.370979,0.222364
0.010000,0.866163,3.237674,0.873665,2.729533,4.368371,0.425571,0.228265
0.010000,0.893157,3.244030,0.901397,2.773259,4.372551,0.418034,0.234165
0.010000,0.920539,3.250647,0.929568,2.817023,4.376453,0.390135,0.240057
