dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000827,3.055406,0.000024,0.004856,0.485641,48.564103,6.281659
0.010000,0.000827,3.055406,0.000121,0.014569,0.971282,48.564103,6.281687
0.010000,0.000827,3.055406,0.000340,0.029138,1.456923,48.564103,6.281751
0.010000,0.000827,3.055406,0.000728,0.048564,1.942564,48.564103,6.281863
0.010000,0.000827,3.055406,0.001336,0.072846,2.428205,48.564103,6.282039
0.010000,0.000827,3.055406,0.002210,0.101985,2.913846,48.564103,6.282292
0.010000,0.000827,3.055406,0.003399,0.135979,3.399487,48.564103,6.282636
0.010000,0.000827,3.055406,0.004954,0.174831,3.885128,48.564103,6.283086
0.010000,0.002449,3.055407,0.006920,0.218538,4.370769,48.564103,0.000469
0.010000,0.004853,3.055409,0.009324,0.262246,4.370769,0.000000,0.001164
0.010000,0.007694,3.055413,0.012165,0.305954,4.370769,-0.000000,0.001985
0.010000,0.010972,3.055421,0.015443,0.349662,4.370769,0.000000,0.002932
0.010000,0.014687,3.055434,0.019159,0.393369,4.370769,-0.000000,0.004005
0.010000,0.018840,3.055453,0.023311,0.437077,4.370769,0.000000,0.005203
0.010000,0.023429,3.055480,0.027900,0.480785,4.370769,0.000000,0.006526
0.010000,0.028455,3.055517,0.032926,0.524492,4.370769,0.000000,0.007974
0.010000,0.033918,3.055564,0.038390,0.568200,4.370769,-0.000000,0.009547
0.010000,0.039818,3.055626,0.044290,0.611908,4.370769,0.000000,0.011245
0.010000,0.046156,3.055703,0.050628,0.655615,4.370769,0.000000,0.013066
0.010000,0.052930,3.055798,0.057403,0.699323,4.370769,0.000000,0.015011
0.010000,0.060140,3.055914,0.064615,0.743031,4.370769,-0.000000,0.017079
0.010000,0.067788,3.056053,0.072263,0.786738,4.370769,0.000000,0.019269
0.010000,0.075872,3.056218,0.080349,0.830446,4.370769,0.000000,0.021582
0.010000,0.084393,3.056412,0.088872,0.874154,4.370769,-0.000000,0.024016
0.010000,0.093350,3.056639,0.097832,0.917862,4.370769,0.000000,0.026571
0.010000,0.102744,3.056901,0.107230,0.961569,4.370769,0.000000,0.029246
0.010000,0.112573,3.057202,0.117064,1.005277,4.370769,-0.000000,0.032040
0.010000,0.122839,3.057546,0.127335,1.048985,4.370769,0.000000,0.034953
0.010000,0.133540,3.057937,0.138043,1.092692,4.370769,-0.000000,0.037984
0.010000,0.144677,3.058377,0.149189,1.136400,4.370769,0.000000,0.041131
0.010000,0.156249,3.058873,0.160771,1.180108,4.370769,0.000000,0.044394
0.010000,0.168256,3.059426,0.172791,1.223815,4.370769,-0.000000,0.047772
