dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000708,2.977629,0.000024,0.004856,0.485641,48.564103,6.281659
0.010000,0.000710,2.977629,0.000026,0.000219,-0.463769,-94.941011,6.281687
0.010000,0.000715,2.977629,0.000031,0.000492,0.027338,49.110733,6.281751
0.010000,0.000724,2.977629,0.000040,0.000875,0.038269,1.093059,6.281863
0.010000,0.000738,2.977629,0.000054,0.001367,0.049192,1.092335,6.282039
0.010000,0.000757,2.977629,0.000073,0.001968,0.060104,1.091148,6.282292
0.010000,0.000784,2.977629,0.000100,0.002678,0.070997,1.089379,6.282636
0.010000,0.000819,2.977629,0.000135,0.003496,0.081867,1.086907,6.283086
0.010000,0.002486,2.977629,0.001802,0.166671,16.317482,1623.561540,0.000469
0.010000,0.004944,2.977631,0.004260,0.245794,7.912260,-840.522184,0.001164
0.010000,0.007849,2.977636,0.007165,0.290488,4.469431,-344.282893,0.001985
0.010000,0.011200,2.977644,0.010516,0.335157,4.466918,-0.251319,0.002932
0.010000,0.014999,2.977657,0.014315,0.379875,4.471794,0.487600,0.004005
0.010000,0.019244,2.977676,0.018560,0.424542,4.466634,-0.515946,0.005203
0.010000,0.023936,2.977704,0.023253,0.469218,4.467663,0.102865,0.006526
0.010000,0.029075,2.977741,0.028392,0.513900,4.468185,0.052149,0.007974
0.010000,0.034661,2.977790,0.033978,0.558582,4.468211,0.002657,0.009547
0.010000,0.040693,2.977853,0.040010,0.603260,4.467756,-0.045481,0.011245
0.010000,0.047172,2.977932,0.046489,0.647928,4.466835,-0.092138,0.013066
0.010000,0.054097,2.978029,0.053415,0.692583,4.465463,-0.137187,0.015011
0.010000,0.061469,2.978147,0.060788,0.737266,4.468291,0.282819,0.017079
0.010000,0.069287,2.978289,0.068607,0.781927,4.466119,-0.217197,0.019269
0.010000,0.077551,2.978458,0.076873,0.826573,4.464611,-0.150837,0.021582
0.010000,0.086261,2.978657,0.085585,0.871229,4.465634,0.102346,0.024016
0.010000,0.095417,2.978888,0.094744,0.915889,4.465965,0.033102,0.026571
0.010000,0.105018,2.979156,0.104349,0.960517,4.462803,-0.316239,0.029246
0.010000,0.115065,2.979464,0.114401,1.005150,4.463317,0.051350,0.032040
0.010000,0.125557,2.979816,0.124899,1.049783,4.463314,-0.000257,0.034953
0.010000,0.136494,2.980215,0.135843,1.094412,4.462823,-0.049116,0.037984
0.010000,0.147875,2.980665,0.147233,1.139030,4.461872,-0.095123,0.041131
0.010000,0.159701,2.981171,0.159069,1.183635,4.460490,-0.138179,0.044394
0.010000,0.171970,2.981737,0.171352,1.228222,4.458708,-0.178197,0.047772
0.010000,0.184682,2.982367,0.184080,1.272821,4.459836,0.112765,0.051263
0.010000,0.197838,2.983066,0.197254,1.317407,4.458627,-0.120862,0.054866
0.010000,0.211436,2.983838,0.210873,1.361965,4.455833,-0.279399,0.058580
0.010000,0.225475,2.984689,0.224939,1.406526,4.456129,0.029572,0.062404
0.010000,0.239956,2.985622,0.239450,1.451085,4.455832,-0.029620,0.066335
0.010000,0.254877,2.986643,0.254406,1.495609,4.452424,-0.340867,0.070373
0.010000,0.270238,2.987758,0.269807,1.540128,4.451904,-0.051990,0.074515
0.010000,0.286038,2.988971,0.285653,1.584637,4.450900,-0.100352,0.078760
0.010000,0.302276,2.990289,0.301945,1.629132,4.449456,-0.144432,0.083106
0.010000,0.318951,2.991715,0.318681,1.673608,4.447614,-0.184213,0.087550
0.010000,0.336062,2.993256,0.335861,1.718062,4.445417,-0.219693,0.092092
0.010000,0.353609,2.994918,0.353486,1.762497,4.443486,-0.193062,0.096727
0.010000,0.371590,2.996705,0.371556,1.806943,4.444654,0.116788,0.101455
0.010000,0.390003,2.998625,0.390069,1.851322,4.437841,-0.681299,0.106272
0.010000,0.408848,3.000682,0.409026,1.895731,4.440884,0.304255,0.111176
0.010000,0.428124,3.002882,0.428427,1.940077,4.434606,-0.627811,0.116165
0.010000,0.447829,3.005232,0.448271,1.984412,4.433511,-0.109470,0.121235
0.010000,0.467961,3.007738,0.468559,2.028744,4.433250,-0.026100,0.126383
0.010000,0.488519,3.010405,0.489289,2.073032,4.428788,-0.446177,0.131606
0.010000,0.509501,3.013239,0.510462,2.117297,4.426465,-0.232347,0.136901
0.010000,0.530906,3.016246,0.532077,2.161535,4.423811,-0.265385,0.142265
0.010000,0.552732,3.019433,0.554135,2.205754,4.421959,-0.185238,0.147694
0.010000,0.574978,3.022805,0.576634,2.249943,4.418830,-0.312865,0.153184
0.010000,0.597640,3.026368,0.599575,2.294091,4.414777,-0.405292,0.158732
0.010000,0.620718,3.030129,0.622957,2.338221,4.413021,-0.175616,0.164334
0.010000,0.644209,3.034093,0.646780,2.382312,4.409169,-0.385148,0.169986
0.010000,0.668111,3.038266,0.671044,2.426379,4.406679,-0.249010,0.175683
0.010000,0.692423,3.042654,0.695748,2.470402,4.402320,-0.435933,0.181421
0.010000,0.717141,3.047262,0.720892,2.514396,4.399391,-0.292849,0.187197
0.010000,0.742263,3.052096,0.746476,2.558362,4.396542,-0.284917,0.193004
0.010000,0.767788,3.057162,0.772499,2.602284,4.392207,-0.433558,0.198840
0.010000,0.793713,3.062465,0.798960,2.646169,4.388545,-0.366127,0.204699
0.010000,0.820035,3.068011,0.825861,2.690022,4.385261,-0.328456,0.210575
0.010000,0.846753,3.073804,0.853199,2.733832,4.381049,-0.421204,0.216466
0.010000,0.873863,3.079850,0.880975,2.777601,4.376909,-0.413964,0.222364
0.010000,0.901363,3.086153,0.909188,2.821333,4.373187,-0.372168,0.228265
0.010000,0.929251,3.092719,0.937838,2.865026,4.369249,-0.393865,0.234165
0.010000,0.957524,3.099552,0.966925,2.908675,4.364892,-0.435709,0.240057
0.010000,0.986179,3.106656,0.996448,2.952282,4.360712,-0.417992,0.245936
0.010000,1.015215,3.114035,1.026407,2.995849,4.356765,-0.394708,0.251796
0.010000,1.044628,3.121693,1.056800,3.039371,4.352188,-0.457691,0.257633
0.010000,1.074416,3.129635,1.087629,3.082851,4.347914,-0.427378,0.263441
0.010000,1.104576,3.137863,1.118892,3.126286,4.343552,-0.436229,0.269214
0.010000,1.135107,3.146382,1.150588,3.169677,4.339141,-0.441047,0.274946
0.010000,1.166005,3.155193,1.182719,3.213025,4.334717,-0.442419,0.280631
0.010000,1.197269,3.164300,1.215282,3.256326,4.330151,-0.456634,0.286265
0.010000,1.228872,3.173699,1.248253,3.297123,4.079649,-25.050179,0.291836
0.010000,1.260766,3.183376,1.281583,3.332960,3.583711,-49.593756,0.297332
0.010000,1.292902,3.193319,1.315221,3.363837,3.087683,-49.602822,0.302739
0.010000,1.325231,3.203511,1.349119,3.389771,2.593455,-49.422785,0.308047
0.010000,1.357706,3.213937,1.383226,3.410757,2.098601,-49.485441,0.313243
0.010000,1.390279,3.224580,1.417495,3.426813,1.605621,-49.297939,0.318318
0.010000,1.422905,3.235420,1.451874,3.437940,1.112680,-49.294152,0.323262
0.010000,1.455536,3.246440,1.486315,3.444142,0.620226,-49.245348,0.328067
0.010000,1.488127,3.257618,1.520770,3.445436,0.129348,-49.087857,0.332727
0.010000,1.520655,3.268942,1.555212,3.444272,-0.116344,-24.569193,0.337236
0.010000,1.553121,3.280405,1.589644,3.443108,-0.116446,-0.010192,0.341596
0.010000,1.585528,3.292004,1.624063,3.441950,-0.115749,0.069741,0.345807
0.010000,1.617875,3.303733,1.658471,3.440791,-0.115951,-0.020215,0.349869
0.010000,1.650164,3.315587,1.692867,3.439633,-0.115800,0.015032,0.353783
0.010000,1.682397,3.327561,1.727252,3.438482,-0.115084,0.071609,0.357547
0.010000,1.714574,3.339649,1.761625,3.437328,-0.115395,-0.031084,0.361164
0.010000,1.746698,3.351847,1.795987,3.436179,-0.114905,0.048978,0.364633
0.010000,1.778769,3.364151,1.830338,3.435036,-0.114282,0.062342,0.367955
0.010000,1.810790,3.376554,1.864676,3.433889,-0.114752,-0.046990,0.371130
0.010000,1.842761,3.389052,1.899004,3.432750,-0.113861,0.089043,0.374158
0.010000,1.874685,3.401641,1.933320,3.431615,-0.113490,0.037188,0.377040
0.010000,1.906563,3.414315,1.967625,3.430476,-0.113938,-0.044859,0.379776
0.010000,1.938396,3.427069,2.001918,3.429348,-0.112836,0.110257,0.382366
0.010000,1.970187,3.439900,2.036200,3.428219,-0.112872,-0.003655,0.384811
0.010000,2.001936,3.452802,2.070471,3.427091,-0.112792,0.007964,0.387112
0.010000,2.033647,3.465770,2.104731,3.425971,-0.112020,0.077202,0.389268
0.010000,2.065320,3.478800,2.138980,3.424848,-0.112287,-0.026626,0.391280
0.010000,2.096957,3.491887,2.173217,3.423731,-0.111730,0.055710,0.393148
0.010000,2.128561,3.505026,2.207443,3.422617,-0.111340,0.039001,0.394873
0.010000,2.160132,3.518214,2.241658,3.421500,-0.111670,-0.033001,0.396455
0.010000,2.191673,3.531445,2.275862,3.420392,-0.110870,0.079987,0.397894
0.010000,2.223186,3.544715,2.310055,3.419282,-0.110940,-0.007013,0.399190
0.010000,2.254673,3.558019,2.344237,3.418174,-0.110799,0.014044,0.400344
0.010000,2.286135,3.571352,2.378407,3.417070,-0.110395,0.040486,0.401356
0.010000,2.317574,3.584711,2.412567,3.415965,-0.110586,-0.019136,0.402225
0.010000,2.348992,3.598091,2.446716,3.414863,-0.110196,0.038974,0.402953
