dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.206818,2.706704,0.000024,0.004856,0.485641,48.564103,6.281844
0.010000,0.206816,2.706704,0.000026,0.000188,-0.466884,-95.252551,6.281868
0.010000,0.206812,2.706704,0.000030,0.000422,0.023444,49.032848,6.281922
0.010000,0.206805,2.706704,0.000038,0.000750,0.032817,0.937289,6.282019
0.010000,0.206793,2.706704,0.000050,0.001172,0.042183,0.936567,6.282170
0.010000,0.206776,2.706704,0.000066,0.001687,0.051536,0.935383,6.282387
0.010000,0.206753,2.706704,0.000089,0.002296,0.060873,0.933620,6.282682
0.010000,0.206723,2.706704,0.000119,0.002998,0.070184,0.931159,6.283067
0.010000,0.208176,2.706704,0.001572,0.145292,14.229366,1415.918157,0.000370
0.010000,0.210534,2.706705,0.003930,0.235759,9.046745,-518.262102,0.000965
0.010000,0.213320,2.706709,0.006716,0.278625,4.286602,-476.014294,0.001669
0.010000,0.216535,2.706716,0.009931,0.321492,4.286696,0.009374,0.002480
0.010000,0.220179,2.706726,0.013575,0.364377,4.288512,0.181690,0.003399
0.010000,0.224251,2.706742,0.017647,0.407237,4.285993,-0.251987,0.004426
0.010000,0.228752,2.706765,0.022148,0.450109,4.287160,0.116699,0.005559
0.010000,0.233682,2.706795,0.027078,0.492989,4.288011,0.085145,0.006799
0.010000,0.239040,2.706835,0.032437,0.535874,4.288558,0.054655,0.008146
0.010000,0.244828,2.706887,0.038225,0.578762,4.288811,0.025332,0.009598
0.010000,0.251044,2.706951,0.044441,0.621650,4.288784,-0.002723,0.011156
0.010000,0.257689,2.707031,0.051086,0.664535,4.288490,-0.029413,0.012819
0.010000,0.264762,2.707128,0.058161,0.707415,4.287943,-0.054642,0.014587
0.010000,0.272265,2.707244,0.065664,0.750337,4.292231,0.428823,0.016459
0.010000,0.280196,2.707383,0.073596,0.793222,4.288540,-0.369162,0.018434
0.010000,0.288556,2.707546,0.081958,0.836143,4.292064,0.352418,0.020512
0.010000,0.297344,2.707735,0.090748,0.879035,4.289192,-0.287212,0.022693
0.010000,0.306561,2.707955,0.099968,0.921974,4.293909,0.471690,0.024974
0.010000,0.316207,2.708208,0.109617,0.964896,4.292213,-0.169549,0.027357
0.010000,0.326281,2.708496,0.119695,1.007822,4.292607,0.039342,0.029840
0.010000,0.336783,2.708823,0.130202,1.050758,4.293632,0.102581,0.032421
0.010000,0.347714,2.709192,0.141139,1.093703,4.294407,0.077447,0.035101
0.010000,0.359073,2.709607,0.152506,1.136652,4.294954,0.054727,0.037878
0.010000,0.370860,2.710070,0.164302,1.179605,4.295299,0.034480,0.040751
0.010000,0.383075,2.710587,0.176528,1.222595,4.299012,0.371283,0.043719
0.010000,0.395718,2.711159,0.189184,1.265564,4.296860,-0.215185,0.046780
0.010000,0.408788,2.711792,0.202269,1.308545,4.298106,0.124586,0.049935
0.010000,0.422285,2.712488,0.215785,1.351553,4.300772,0.266623,0.053180
0.010000,0.436210,2.713253,0.229730,1.394558,4.300587,-0.018502,0.056516
0.010000,0.450561,2.714089,0.244106,1.437568,4.300985,0.039767,0.059939
0.010000,0.465339,2.715002,0.258912,1.480609,4.304048,0.306352,0.063450
0.010000,0.480543,2.715996,0.274149,1.523657,4.304805,0.075655,0.067046
0.010000,0.496173,2.717074,0.289816,1.566711,4.305388,0.058375,0.070726
0.010000,0.512229,2.718242,0.305913,1.609779,4.306842,0.145328,0.074487
0.010000,0.528709,2.719504,0.322442,1.652861,4.308147,0.130543,0.078329
0.010000,0.545614,2.720864,0.339402,1.695974,4.311378,0.323036,0.082248
0.010000,0.562943,2.722327,0.356793,1.739087,4.311217,-0.016098,0.086244
0.010000,0.580696,2.723898,0.374615,1.782207,4.312065,0.084872,0.090313
0.010000,0.598872,2.725582,0.392868,1.825372,4.316486,0.442053,0.094455
0.010000,0.617470,2.727384,0.411554,1.868523,4.315099,-0.138640,0.098666
0.010000,0.636490,2.729308,0.430671,1.911726,4.320261,0.516151,0.102944
0.010000,0.655932,2.731359,0.450220,1.954922,4.319594,-0.066684,0.107286
0.010000,0.675793,2.733542,0.470202,1.998143,4.322174,0.257949,0.111691
0.010000,0.696075,2.735863,0.490615,2.041389,4.324586,0.241283,0.116155
0.010000,0.716776,2.738326,0.511462,2.084658,4.326871,0.228469,0.120676
0.010000,0.737894,2.740936,0.532742,2.127949,4.329065,0.219360,0.125251
0.010000,0.759431,2.743698,0.554454,2.171261,4.331203,0.213795,0.129876
