dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.206714,2.628926,0.000024,0.004856,0.485641,48.564103,6.281844
0.010000,0.206714,2.628926,0.000121,0.014569,0.971282,48.564103,6.281868
0.010000,0.206714,2.628926,0.000340,0.029138,1.456923,48.564103,6.281922
0.010000,0.206714,2.628926,0.000728,0.048564,1.942564,48.564103,6.282019
0.010000,0.206714,2.628926,0.001336,0.072846,2.428205,48.564103,6.282170
0.010000,0.206714,2.628926,0.002210,0.101985,2.913846,48.564103,6.282387
0.010000,0.206714,2.628926,0.003399,0.135979,3.399487,48.564103,6.282682
0.010000,0.206714,2.628926,0.004954,0.174831,3.885128,48.564103,6.283067
0.010000,0.208205,2.628926,0.006920,0.218538,4.370769,48.564103,0.000370
0.010000,0.210609,2.628928,0.009324,0.262246,4.370769,0.000000,0.000965
0.010000,0.213450,2.628931,0.012165,0.305954,4.370769,-0.000000,0.001669
0.010000,0.216728,2.628938,0.015443,0.349662,4.370769,0.000000,0.002480
0.010000,0.220443,2.628949,0.019159,0.393369,4.370769,-0.000000,0.003399
0.010000,0.224595,2.628965,0.023311,0.437077,4.370769,0.000000,0.004426
0.010000,0.229184,2.628988,0.027900,0.480785,4.370769,0.000000,0.005559
0.010000,0.234211,2.629019,0.032926,0.524492,4.370769,0.000000,0.006799
0.010000,0.239674,2.629060,0.038390,0.568200,4.370769,-0.000000,0.008146
0.010000,0.245574,2.629112,0.044290,0.611908,4.370769,0.000000,0.009598
0.010000,0.251912,2.629178,0.050628,0.655615,4.370769,0.000000,0.011156
0.010000,0.258686,2.629259,0.057403,0.699323,4.370769,0.000000,0.012819
0.010000,0.265897,2.629358,0.064615,0.743031,4.370769,-0.000000,0.014587
0.010000,0.273545,2.629477,0.072263,0.786738,4.370769,0.000000,0.016459
0.010000,0.281629,2.629618,0.080349,0.830446,4.370769,0.000000,0.018434
0.010000,0.290151,2.629784,0.088872,0.874154,4.370769,-0.000000,0.020512
0.010000,0.299109,2.629978,0.097832,0.917862,4.370769,0.000000,0.022693
0.010000,0.308503,2.630202,0.107230,0.961569,4.370769,0.000000,0.024974
0.010000,0.318334,2.630459,0.117064,1.005277,4.370769,-0.000000,0.027357
0.010000,0.328601,2.630753,0.127335,1.048985,4.370769,0.000000,0.029840
0.010000,0.339304,2.631086,0.138043,1.092692,4.370769,-0.000000,0.032421
0.010000,0.350444,2.631462,0.149189,1.136400,4.370769,0.000000,0.035101
0.010000,0.362018,2.631885,0.160771,1.180108,4.370769,0.000000,0.037878
0.010000,0.374029,2.632357,0.172791,1.223815,4.370769,-0.000000,0.040751
0.010000,0.386474,2.632883,0.185248,1.267523,4.370769,0.000000,0.043719
0.010000,0.399355,2.633466,0.198142,1.311231,4.370769,-0.000000,0.046780
0.010000,0.412670,2.634111,0.211472,1.354938,4.370769,0.000000,0.049935
0.010000,0.426420,2.634820,0.225240,1.398646,4.370769,-0.000000,0.053180
