dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.206610,2.551148,0.000024,0.004856,0.485641,48.564103,6.281844
0.010000,0.206612,2.551148,0.000026,0.000188,-0.466884,-95.252551,6.281868
0.010000,0.206616,2.551148,0.000030,0.000422,0.023444,49.032848,6.281922
0.010000,0.206623,2.551148,0.000038,0.000750,0.032817,0.937289,6.282019
0.010000,0.206635,2.551148,0.000050,0.001172,0.042183,0.936567,6.282170
0.010000,0.206652,2.551148,0.000066,0.001687,0.051536,0.935383,6.282387
0.010000,0.206675,2.551148,0.000089,0.002296,0.060873,0.933620,6.282682
0.010000,0.206705,2.551148,0.000119,0.002998,0.070184,0.931159,6.283067
0.010000,0.208234,2.551148,0.001648,0.152878,14.987968,1491.778410,0.000370
0.010000,0.210684,2.551150,0.004098,0.245026,9.214843,-577.312562,0.000965
0.010000,0.213580,2.551154,0.006994,0.289571,4.454517,-476.032524,0.001669
0.010000,0.216921,2.551161,0.010335,0.334114,4.454322,-0.019559,0.002480
0.010000,0.220707,2.551172,0.014122,0.378673,4.455869,0.154709,0.003399
0.010000,0.224939,2.551188,0.018354,0.423202,4.452860,-0.300916,0.004426
0.010000,0.229617,2.551212,0.023031,0.467738,4.453631,0.077164,0.005559
0.010000,0.234739,2.551243,0.028154,0.512278,4.454023,0.039127,0.006799
0.010000,0.240307,2.551285,0.033722,0.556819,4.454043,0.002026,0.008146
0.010000,0.246321,2.551338,0.039736,0.601356,4.453702,-0.034048,0.009598
0.010000,0.252779,2.551405,0.046195,0.645886,4.453012,-0.069002,0.011156
0.010000,0.259683,2.551488,0.053099,0.690406,4.451985,-0.102747,0.012819
0.010000,0.267031,2.551589,0.060448,0.734912,4.450633,-0.135197,0.014587
0.010000,0.274825,2.551710,0.068243,0.779454,4.454238,0.360537,0.016459
0.010000,0.283063,2.551853,0.076482,0.823949,4.449486,-0.475200,0.018434
0.010000,0.291746,2.552023,0.085167,0.868471,4.452160,0.267339,0.020512
0.010000,0.300874,2.552220,0.094296,0.912952,4.448116,-0.404353,0.022693
0.010000,0.310446,2.552448,0.103871,0.957471,4.451879,0.376240,0.024974
0.010000,0.320462,2.552710,0.113891,1.001960,4.448902,-0.297655,0.027357
0.010000,0.330922,2.553009,0.124355,1.046440,4.448013,-0.088907,0.029840
0.010000,0.341826,2.553349,0.135264,1.090917,4.447695,-0.031781,0.032421
0.010000,0.353173,2.553732,0.146618,1.135387,4.447028,-0.066747,0.035101
0.010000,0.364964,2.554163,0.158416,1.179848,4.446032,-0.099523,0.037878
0.010000,0.377197,2.554644,0.170659,1.224295,4.444732,-0.130050,0.040751
0.010000,0.389874,2.555179,0.183347,1.268763,4.446828,0.209613,0.043719
0.010000,0.402992,2.555773,0.196479,1.313190,4.442736,-0.409235,0.046780
0.010000,0.416552,2.556430,0.210055,1.357611,4.442065,-0.067122,0.049935
0.010000,0.430554,2.557152,0.224075,1.402039,4.442758,0.069324,0.053180
0.010000,0.444997,2.557945,0.238540,1.446443,4.440381,-0.237691,0.056516
0.010000,0.459880,2.558813,0.253448,1.490827,4.438494,-0.188727,0.059939
0.010000,0.475203,2.559759,0.268800,1.535220,4.439252,0.075863,0.063450
0.010000,0.490965,2.560789,0.284596,1.579595,4.437496,-0.175578,0.067046
0.010000,0.507166,2.561907,0.300836,1.623949,4.435437,-0.205928,0.070726
0.010000,0.523805,2.563117,0.317519,1.668291,4.434152,-0.128532,0.074487
0.010000,0.540881,2.564425,0.334645,1.712617,4.432583,-0.156895,0.078329
0.010000,0.558394,2.565834,0.352214,1.756945,4.432875,0.029210,0.082248
0.010000,0.576342,2.567350,0.370227,1.801241,4.429518,-0.335700,0.086244
0.010000,0.594726,2.568977,0.388682,1.845511,4.427070,-0.244776,0.090313
0.010000,0.613543,2.570720,0.407580,1.889793,4.428181,0.111071,0.094455
0.010000,0.632793,2.572585,0.426920,1.934024,4.423138,-0.504317,0.098666
0.010000,0.652476,2.574576,0.446703,1.978272,4.424730,0.159183,0.102944
0.010000,0.672589,2.576698,0.466927,2.022473,4.420145,-0.458490,0.107286
0.010000,0.693131,2.578956,0.487594,2.066661,4.418774,-0.137041,0.111691
0.010000,0.714103,2.581356,0.508702,2.110832,4.417085,-0.168946,0.116155
0.010000,0.735502,2.583902,0.530252,2.154983,4.415116,-0.196885,0.120676
0.010000,0.757327,2.586599,0.552243,2.199112,4.412906,-0.220982,0.125251
0.010000,0.779577,2.589453,0.574676,2.243217,4.410492,-0.241375,0.129876
0.010000,0.802250,2.592468,0.597548,2.287296,4.407910,-0.258213,0.134550
0.010000,0.825345,2.595650,0.620862,2.331348,4.405194,-0.271661,0.139269
0.010000,0.848861,2.599004,0.644616,2.375384,4.403577,-0.161625,0.144029
0.010000,0.872796,2.602534,0.668810,2.419389,4.400522,-0.305556,0.148828
0.010000,0.897149,2.606245,0.693443,2.463369,4.397962,-0.255964,0.153661
0.010000,0.921917,2.610143,0.718517,2.507318,4.394897,-0.306568,0.158526
0.010000,0.947100,2.614233,0.744029,2.551250,4.393214,-0.168280,0.163419
0.010000,0.972695,2.618518,0.769980,2.595144,4.389415,-0.379857,0.168337
0.010000,0.998701,2.623004,0.796371,2.639011,4.386723,-0.269191,0.173275
0.010000,1.025116,2.627695,0.823199,2.682850,4.383854,-0.286936,0.178229
0.010000,1.051939,2.632596,0.850466,2.726658,4.380845,-0.300925,0.183197
0.010000,1.079167,2.637711,0.878170,2.770435,4.377730,-0.311450,0.188174
0.010000,1.106799,2.643044,0.906312,2.814181,4.374542,-0.318814,0.193156
0.010000,1.134832,2.648600,0.934891,2.857898,4.371715,-0.282736,0.198139
0.010000,1.163266,2.654382,0.963907,2.901579,4.368146,-0.356894,0.203118
0.010000,1.192098,2.660396,0.993359,2.945228,4.364876,-0.326982,0.208090
0.010000,1.221326,2.666643,1.023247,2.988845,4.361706,-0.317024,0.213050
0.010000,1.250949,2.673128,1.053572,3.032428,4.358234,-0.347146,0.217994
0.010000,1.280964,2.679855,1.084331,3.075976,4.354801,-0.343298,0.222918
0.010000,1.311370,2.686826,1.115526,3.119490,4.351413,-0.338824,0.227816
0.010000,1.342165,2.694045,1.147156,3.162969,4.347909,-0.350434,0.232686
0.010000,1.373347,2.701514,1.179220,3.206412,4.344367,-0.354147,0.237521
0.010000,1.404914,2.709237,1.211718,3.249821,4.340833,-0.353429,0.242318
0.010000,1.436841,2.717209,1.244626,3.290737,4.091653,-24.918029,0.247068
0.010000,1.469079,2.725421,1.277893,3.326710,3.597268,-49.438454,0.251760
0.010000,1.501578,2.733861,1.311470,3.357745,3.103459,-49.380917,0.256384
