dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000224,0.077778,0.000024,0.004856,0.485641,48.564103,6.280301
0.010000,0.000222,0.077778,0.000027,0.000276,-0.458071,-94.371228,6.280336
0.010000,0.000215,0.077778,0.000033,0.000620,0.034465,49.253667,6.280416
0.010000,0.000204,0.077778,0.000044,0.001103,0.048261,1.379513,6.280558
0.010000,0.000187,0.077778,0.000062,0.001724,0.062069,1.380888,6.280779
0.010000,0.000162,0.077778,0.000086,0.002483,0.075901,1.383138,6.281099
0.010000,0.000128,0.077778,0.000120,0.003380,0.089766,1.386480,6.281533
0.010000,0.000084,0.077778,0.000164,0.004417,0.103677,1.391126,6.282101
0.010000,0.000028,0.077778,0.000220,0.005594,0.117650,1.397288,6.282820
0.010000,0.001368,0.077778,0.001559,0.133924,12.833066,1271.541664,0.000515
0.010000,0.004129,0.077781,0.004320,0.276090,14.216620,138.355315,0.001557
0.010000,0.007311,0.077788,0.007503,0.318268,4.217715,-999.890475,0.002760
0.010000,0.010922,0.077800,0.011114,0.361054,4.278607,6.089207,0.004128
0.010000,0.014953,0.077820,0.015145,0.403140,4.208608,-6.999843,0.005659
0.010000,0.019412,0.077849,0.019604,0.445901,4.276141,6.753233,0.007357
0.010000,0.024292,0.077890,0.024484,0.488042,4.214091,-6.204942,0.009221
0.010000,0.029597,0.077944,0.029790,0.530511,4.246892,3.280090,0.011254
0.010000,0.035327,0.078015,0.035520,0.573018,4.250700,0.380746,0.013458
0.010000,0.041479,0.078105,0.041673,0.615293,4.227457,-2.324225,0.015833
0.010000,0.048054,0.078217,0.048249,0.657609,4.231673,0.421505,0.018382
0.010000,0.055052,0.078355,0.055248,0.699950,4.234041,0.236848,0.021107
0.010000,0.062473,0.078523,0.062671,0.742295,4.234569,0.052770,0.024010
0.010000,0.070317,0.078723,0.070517,0.784628,4.233266,-0.130289,0.027093
0.010000,0.078583,0.078961,0.078787,0.826930,4.230147,-0.311872,0.030359
0.010000,0.087270,0.079240,0.087479,0.869182,4.225232,-0.491503,0.033811
0.010000,0.096378,0.079564,0.096592,0.911367,4.218545,-0.668690,0.037450
0.010000,0.105906,0.079939,0.106127,0.953473,4.210536,-0.800955,0.041279
0.010000,0.115856,0.080371,0.116087,0.996013,4.254055,4.351913,0.045303
0.010000,0.126225,0.080862,0.126467,1.037984,4.197057,-5.699727,0.049523
0.010000,0.137012,0.081421,0.137268,1.080144,4.216055,1.899709,0.053943
0.010000,0.148217,0.082052,0.148492,1.122317,4.217303,0.124871,0.058566
0.010000,0.159839,0.082762,0.160136,1.164411,4.209330,-0.797340,0.063396
0.010000,0.171876,0.083556,0.172199,1.206322,4.191174,-1.815598,0.068435
0.010000,0.184332,0.084443,0.184685,1.248657,4.233440,4.226653,0.073689
0.010000,0.197199,0.085428,0.197591,1.290556,4.189967,-4.347380,0.079159
0.010000,0.210480,0.086519,0.210916,1.332494,4.193729,0.376217,0.084851
0.010000,0.224171,0.087725,0.224660,1.374447,4.195336,0.160761,0.090767
0.010000,0.238273,0.089052,0.238824,1.416396,4.194844,-0.049249,0.096913
0.010000,0.252783,0.090509,0.253408,1.458319,4.192317,-0.252648,0.103291
0.010000,0.267700,0.092105,0.268410,1.500197,4.187835,-0.448234,0.109906
0.010000,0.283021,0.093849,0.283830,1.542012,4.181487,-0.634774,0.116762
0.010000,0.298744,0.095750,0.299667,1.583746,4.173377,-0.811003,0.123863
0.010000,0.314867,0.097817,0.315922,1.625531,4.178545,0.516770,0.131212
0.010000,0.331390,0.100062,0.332597,1.667411,4.188010,0.946514,0.138815
0.010000,0.348305,0.102493,0.349685,1.708883,4.147131,-4.087886,0.146674
0.010000,0.365615,0.105122,0.367194,1.750841,4.195816,4.868499,0.154795
0.010000,0.383311,0.107959,0.385116,1.792261,4.142029,-5.378758,0.163179
0.010000,0.401395,0.111017,0.403457,1.834013,4.175176,3.314682,0.171832
0.010000,0.419860,0.114306,0.422213,1.875622,4.160874,-1.430194,0.180757
0.010000,0.438703,0.117839,0.441384,1.917137,4.151560,-0.931351,0.189955
0.010000,0.457920,0.121628,0.460971,1.958676,4.153909,0.234869,0.199431
0.010000,0.477506,0.125686,0.480973,2.000218,4.154227,0.031843,0.209187
0.010000,0.497457,0.130026,0.501391,2.041746,4.152733,-0.149443,0.219225
0.010000,0.517767,0.134662,0.522223,2.083242,4.149664,-0.306908,0.229548
0.010000,0.538431,0.139606,0.543470,2.124695,4.145278,-0.438601,0.240155
0.010000,0.559442,0.144872,0.565131,2.166111,4.141573,-0.370428,0.251049
0.010000,0.580797,0.150476,0.587209,2.207785,4.167393,2.581930,0.262229
0.010000,0.602485,0.156431,0.609700,2.249106,4.132127,-3.526608,0.273695
0.010000,0.624503,0.162752,0.632607,2.290708,4.160184,2.805749,0.285447
0.010000,0.646840,0.169453,0.655928,2.332074,4.136582,-2.360206,0.297480
0.010000,0.669492,0.176550,0.679665,2.373747,4.167359,3.077698,0.309795
0.010000,0.692448,0.184058,0.703818,2.415264,4.151626,-1.573310,0.322386
0.010000,0.715700,0.191992,0.728386,2.456828,4.156484,0.485830,0.335249
0.010000,0.739239,0.200366,0.753371,2.498461,4.163251,0.676639,0.348378
0.010000,0.763056,0.209197,0.778772,2.540151,4.169035,0.578435,0.361768
0.010000,0.787141,0.218500,0.804591,2.581894,4.174227,0.519195,0.375409
0.010000,0.811483,0.228289,0.830828,2.623686,4.179214,0.498728,0.389294
0.010000,0.836073,0.238579,0.857484,2.665573,4.188742,0.952757,0.403413
0.010000,0.860899,0.249387,0.884560,2.707627,4.205334,1.659216,0.417753
0.010000,0.885948,0.260725,0.912056,2.749610,4.198317,-0.701677,0.432303
0.010000,0.911212,0.272608,0.939975,2.791881,4.227125,2.880785,0.447050
0.010000,0.936675,0.285051,0.968316,2.834104,4.222347,-0.477837,0.461977
0.010000,0.962328,0.298066,0.997082,2.876561,4.245709,2.336198,0.477070
0.010000,0.988157,0.311668,1.026273,2.919127,4.256600,1.089166,0.492311
0.010000,1.014149,0.325868,1.055891,2.961808,4.268052,1.145131,0.507681
0.010000,1.040292,0.340678,1.085937,3.004649,4.284090,1.603876,0.523163
0.010000,1.066572,0.356110,1.116414,3.047648,4.299956,1.586551,0.538736
0.010000,1.092978,0.372175,1.147322,3.090808,4.315928,1.597172,0.554379
0.010000,1.119475,0.388870,1.178640,3.131793,4.098502,-21.742519,0.570058
0.010000,1.146012,0.406177,1.210323,3.168289,3.649612,-44.889078,0.585730
0.010000,1.172541,0.424077,1.242325,3.200260,3.197149,-45.246301,0.601351
0.010000,1.199013,0.442544,1.274602,3.227687,2.742685,-45.446331,0.616878
0.010000,1.225382,0.461553,1.307108,3.250600,2.291242,-45.144345,0.632270
0.010000,1.251604,0.481072,1.339798,3.268947,1.834751,-45.649130,0.647488
0.010000,1.277637,0.501069,1.372625,3.282727,1.377992,-45.675874,0.662495
0.010000,1.303442,0.521509,1.405544,3.291920,0.919249,-45.874312,0.677257
0.010000,1.328980,0.542353,1.438509,3.296504,0.458436,-46.081278,0.691743
0.010000,1.354235,0.563576,1.471497,3.298803,0.229899,-22.853735,0.705932
0.010000,1.379207,0.585167,1.504509,3.301170,0.236728,0.682989,0.719819
0.010000,1.403899,0.607114,1.537545,3.303566,0.239600,0.287201,0.733396
0.010000,1.428312,0.629408,1.570605,3.306032,0.246550,0.694910,0.746658
0.010000,1.452448,0.652036,1.603690,3.308488,0.245609,-0.094042,0.759602
0.010000,1.476312,0.674988,1.636800,3.311020,0.253225,0.761567,0.772224
0.010000,1.499905,0.698254,1.669935,3.313512,0.249236,-0.398831,0.784521
0.010000,1.523233,0.721822,1.703096,3.316071,0.255895,0.665831,0.796494
0.010000,1.546298,0.745683,1.736282,3.318595,0.252348,-0.354640,0.808139
0.010000,1.569105,0.769825,1.769493,3.321141,0.254617,0.226824,0.819458
0.010000,1.591658,0.794238,1.802730,3.323686,0.254544,-0.007311,0.830452
0.010000,1.613963,0.818913,1.835992,3.326188,0.250140,-0.440382,0.841121
0.010000,1.636024,0.843841,1.869279,3.328734,0.254636,0.449670,0.851467
0.010000,1.657846,0.869010,1.902591,3.331195,0.246131,-0.850514,0.861492
0.010000,1.679434,0.894412,1.935928,3.333687,0.249117,0.298576,0.871199
0.010000,1.700795,0.920038,1.969290,3.336161,0.247396,-0.172080,0.880591
0.010000,1.721934,0.945879,2.002675,3.338547,0.238609,-0.878727,0.889670
0.010000,1.742856,0.971926,2.036085,3.340977,0.243057,0.444837,0.898441
0.010000,1.763568,0.998172,2.069519,3.343360,0.238259,-0.479880,0.906907
0.010000,1.784075,1.024607,2.102975,3.345669,0.230910,-0.734857,0.915071
0.010000,1.804384,1.051224,2.136455,3.348007,0.233762,0.285160,0.922938
0.010000,1.824501,1.078015,2.169958,3.350309,0.230267,-0.349491,0.930512
0.010000,1.844431,1.104973,2.203484,3.352511,0.220192,-1.007428,0.937797
0.010000,1.864181,1.132091,2.237031,3.354749,0.223811,0.361906,0.944796
0.010000,1.883757,1.159361,2.270601,3.356953,0.220350,-0.346140,0.951514
0.010000,1.903166,1.186777,2.304192,3.359099,0.214628,-0.572248,0.957956
0.010000,1.922414,1.214333,2.337804,3.361201,0.210164,-0.446346,0.964125
0.010000,1.941507,1.242021,2.371437,3.363306,0.210512,0.034757,0.970025
0.010000,1.960452,1.269836,2.405090,3.365378,0.207212,-0.330001,0.975660
0.010000,1.979255,1.297771,2.438765,3.367411,0.203258,-0.395414,0.981034
0.010000,1.997922,1.325821,2.472458,3.369383,0.197269,-0.598814,0.986151
0.010000,2.016460,1.353981,2.506172,3.371366,0.198235,0.096592,0.991014
0.010000,2.034874,1.382245,2.539905,3.373319,0.195305,-0.293058,0.995627
0.010000,2.053172,1.410607,2.573658,3.375243,0.192486,-0.281839,0.999994
0.010000,2.071360,1.439062,2.607429,3.377140,0.189652,-0.283401,1.004118
0.010000,2.089444,1.467606,2.641219,3.378985,0.184453,-0.519896,1.008001
0.010000,2.107430,1.496233,2.675027,3.380836,0.185150,0.069615,1.011647
0.010000,2.125324,1.524939,2.708854,3.382664,0.182829,-0.232097,1.015058
0.010000,2.143133,1.553719,2.742699,3.384471,0.180641,-0.218718,1.018238
0.010000,2.160863,1.582569,2.776561,3.386257,0.178590,-0.205111,1.021188
0.010000,2.178521,1.611484,2.810441,3.388023,0.176677,-0.191336,1.023912
0.010000,2.196112,1.640460,2.844339,3.389764,0.174019,-0.265756,1.026411
0.010000,2.213643,1.669493,2.878254,3.391492,0.172834,-0.118491,1.028687
0.010000,2.231119,1.698578,2.912186,3.393213,0.172068,-0.076597,1.030742
0.010000,2.248548,1.727712,2.946135,3.394920,0.170704,-0.136400,1.032578
0.010000,2.265935,1.756890,2.980101,3.396614,0.169481,-0.122367,1.034197
0.010000,2.283287,1.786110,3.014084,3.398298,0.168397,-0.108350,1.035599
0.010000,2.300609,1.815366,3.048084,3.399973,0.167454,-0.094364,1.036786
0.010000,2.317908,1.844655,3.082101,3.401639,0.166649,-0.080422,1.037758
0.010000,2.335191,1.873973,3.116134,3.403298,0.165879,-0.077029,1.038517
0.010000,2.352462,1.903317,3.150183,3.404952,0.165348,-0.053134,1.039063
0.010000,2.369729,1.932683,3.184249,3.406605,0.165299,-0.004888,1.039397
0.010000,2.386998,1.962067,3.218332,3.408255,0.165044,-0.025445,1.039519
0.010000,2.404275,1.991465,3.252431,3.409904,0.164927,-0.011722,1.039429
0.010000,2.421565,2.020874,3.286546,3.411554,0.164946,0.001925,1.039126
0.010000,2.438876,2.050291,3.320678,3.413205,0.165101,0.015493,1.038611
0.010000,2.456214,2.079710,3.354827,3.414859,0.165391,0.028976,1.037884
0.010000,2.473585,2.109130,3.388992,3.416517,0.165815,0.042369,1.036943
0.010000,2.490995,2.138546,3.423174,3.418182,0.166487,0.067175,1.035788
0.010000,2.508451,2.167954,3.457372,3.419860,0.167824,0.133759,1.034418
0.010000,2.525958,2.197351,3.491588,3.421542,0.168141,0.031670,1.032832
0.010000,2.543525,2.226733,3.525820,3.423232,0.169098,0.095735,1.031028
0.010000,2.561156,2.256095,3.560070,3.424934,0.170184,0.108627,1.029006
0.010000,2.578858,2.285435,3.594336,3.426648,0.171398,0.121364,1.026762
0.010000,2.596639,2.314747,3.628620,3.428376,0.172737,0.133932,1.024297
0.010000,2.614504,2.344029,3.662921,3.430118,0.174201,0.146315,1.021606
0.010000,2.632461,2.373275,3.697240,3.431883,0.176562,0.236174,1.018690
0.010000,2.650515,2.402482,3.731577,3.433674,0.179066,0.250360,1.015544
0.010000,2.668674,2.431645,3.765931,3.435471,0.179669,0.060293,1.012167
0.010000,2.686945,2.460760,3.800304,3.437287,0.181614,0.194508,1.008556
0.010000,2.705333,2.489822,3.834695,3.439124,0.183669,0.205546,1.004708
0.010000,2.723847,2.518827,3.869105,3.440982,0.185832,0.216237,1.000621
0.010000,2.742493,2.547770,3.903534,3.442874,0.189248,0.341612,0.996290
0.010000,2.761279,2.576645,3.937982,3.444807,0.193236,0.398819,0.991714
0.010000,2.780210,2.605448,3.972449,3.446740,0.193343,0.010734,0.986888
0.010000,2.799295,2.634173,4.006936,3.448699,0.195891,0.254760,0.981809
0.010000,2.818540,2.662814,4.041443,3.450684,0.198520,0.262907,0.976473
0.010000,2.837953,2.691367,4.075970,3.452721,0.203707,0.518685,0.970877
0.010000,2.857541,2.719826,4.110518,3.454792,0.207039,0.333245,0.965016
0.010000,2.877310,2.748183,4.145087,3.456864,0.207256,0.021646,0.958888
0.010000,2.897270,2.776433,4.179677,3.458965,0.210126,0.286991,0.952487
0.010000,2.917426,2.804570,4.214288,3.461124,0.215875,0.574879,0.945810
0.010000,2.937786,2.832586,4.248921,3.463324,0.219957,0.408250,0.938852
0.010000,2.958358,2.860475,4.283576,3.465517,0.219302,-0.065464,0.931610
0.010000,2.979148,2.888229,4.318254,3.467739,0.222238,0.293539,0.924080
0.010000,3.000165,2.915841,4.352954,3.470063,0.232330,1.009230,0.916256
0.010000,3.021416,2.943302,4.387678,3.472351,0.228849,-0.348129,0.908136
0.010000,3.042907,2.970605,4.422424,3.474662,0.231149,0.229985,0.899715
0.010000,3.064647,2.997742,4.457195,3.477070,0.240747,0.959848,0.890990
0.010000,3.086641,3.024703,4.491990,3.479452,0.238238,-0.250865,0.881956
0.010000,3.108898,3.051479,4.526808,3.481844,0.239204,0.096555,0.872611
0.010000,3.131424,3.078062,4.561652,3.484346,0.250180,1.097564,0.862951
0.010000,3.154226,3.104440,4.596519,3.486785,0.243895,-0.628445,0.852973
0.010000,3.177311,3.130605,4.631412,3.489274,0.248885,0.498994,0.842675
0.010000,3.200686,3.156545,4.666330,3.491803,0.252905,0.401982,0.832054
0.010000,3.224355,3.182251,4.701273,3.494289,0.248641,-0.426373,0.821109
0.010000,3.248326,3.207710,4.736242,3.496863,0.257328,0.868655,0.809838
0.010000,3.272604,3.232912,4.771235,3.499372,0.250891,-0.643644,0.798241
0.010000,3.297195,3.257845,4.806255,3.501921,0.254897,0.400514,0.786317
0.010000,3.322103,3.282496,4.841299,3.504451,0.253075,-0.182142,0.774067
0.010000,3.347334,3.306854,4.876369,3.506966,0.251479,-0.159619,0.761493
0.010000,3.372890,3.330906,4.911464,3.509484,0.251757,0.027787,0.748597
0.010000,3.398777,3.354639,4.946583,3.511949,0.246536,-0.522036,0.735382
0.010000,3.424998,3.378040,4.981727,3.514416,0.246734,0.019771,0.721851
0.010000,3.451554,3.401096,5.016895,3.516812,0.239516,-0.721800,0.708010
0.010000,3.478448,3.423793,5.052087,3.519190,0.237853,-0.166271,0.693865
0.010000,3.505665,3.446104,5.087280,3.519264,0.007382,-23.047108,0.679432
0.010000,3.533167,3.467987,5.122425,3.514547,-0.471731,-47.911340,0.664741
0.010000,3.560911,3.489400,5.157473,3.504715,-0.983157,-51.142622,0.649822
0.010000,3.588855,3.510305,5.192370,3.489749,-1.496577,-51.341990,0.634712
0.010000,3.616950,3.530665,5.227066,3.469644,-2.010505,-51.392741,0.619449
0.010000,3.645146,3.550446,5.261510,3.444381,-2.526362,-51.585696,0.604070
0.010000,3.673393,3.569620,5.295649,3.413912,-3.046855,-52.049312,0.588619
0.010000,3.701634,3.588159,5.329432,3.378283,-3.562953,-51.609813,0.573137
0.010000,3.729814,3.606040,5.362807,3.337453,-4.082943,-51.999011,0.557669
0.010000,3.757894,3.623255,5.395743,3.293651,-4.380250,-29.730734,0.542248
0.010000,3.785854,3.639810,5.428237,3.249396,-4.425415,-4.516514,0.526897
0.010000,3.813679,3.655715,5.460287,3.204984,-4.441244,-1.582820,0.511636
0.010000,3.841353,3.670979,5.491891,3.160426,-4.455755,-1.451145,0.496485
0.010000,3.868859,3.685615,5.523049,3.115742,-4.468483,-1.272815,0.481461
0.010000,3.896182,3.699633,5.553758,3.070913,-4.482830,-1.434704,0.466583
0.010000,3.923306,3.713045,5.584017,3.025885,-4.502831,-2.000027,0.451868
0.010000,3.950217,3.725866,5.613826,2.980892,-4.499313,0.351766,0.437330
0.010000,3.976898,3.738108,5.643181,2.935572,-4.531958,-3.264557,0.422984
0.010000,4.003338,3.749786,5.672085,2.890338,-4.523424,0.853425,0.408844
0.010000,4.029521,3.760914,5.700535,2.844980,-4.535804,-1.237943,0.394921
0.010000,4.055433,3.771507,5.728529,2.799410,-4.556976,-2.117232,0.381228
0.010000,4.081063,3.781581,5.756067,2.753863,-4.554771,0.220531,0.367773
0.010000,4.106398,3.791151,5.783150,2.708250,-4.561255,-0.648432,0.354565
0.010000,4.131427,3.800233,5.809776,2.662582,-4.566811,-0.555580,0.341612
0.010000,4.156139,3.808843,5.835944,2.616848,-4.573386,-0.657533,0.328920
0.010000,4.180522,3.816996,5.861654,2.570968,-4.588023,-1.463651,0.316496
0.010000,4.204567,3.824709,5.886906,2.525206,-4.576207,1.181568,0.304343
0.010000,4.228265,3.831999,5.911700,2.479448,-4.575803,0.040422,0.292465
0.010000,4.251607,3.838879,5.936034,2.433409,-4.603832,-2.802885,0.280866
0.010000,4.274585,3.845367,5.959911,2.387673,-4.573657,3.017437,0.269547
0.010000,4.297190,3.851478,5.983328,2.341700,-4.597252,-2.359438,0.258509
0.010000,4.319417,3.857228,6.006286,2.295771,-4.592904,0.434796,0.247753
0.010000,4.341257,3.862631,6.028785,2.249925,-4.584593,0.831085,0.237279
0.010000,4.362706,3.867702,6.050826,2.204043,-4.588255,-0.366205,0.227086
0.010000,4.383758,3.872457,6.072407,2.158144,-4.589889,-0.163430,0.217174
0.010000,4.404406,3.876908,6.093529,2.112251,-4.589300,0.058889,0.207540
0.010000,4.424646,3.881071,6.114193,2.066388,-4.586309,0.299129,0.198182
0.010000,4.444474,3.884960,6.134399,2.020580,-4.580753,0.555561,0.189098
0.010000,4.463887,3.888586,6.154148,1.974855,-4.572490,0.826368,0.180286
