dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000024,0.004856,0.485641,48.564103,6.280301
0.010000,0.000000,0.000000,0.000121,0.014569,0.971282,48.564103,6.280336
0.010000,0.000000,0.000000,0.000340,0.029138,1.456923,48.564103,6.280416
0.010000,0.000000,0.000000,0.000728,0.048564,1.942564,48.564103,6.280558
0.010000,0.000000,0.000000,0.001336,0.072846,2.428205,48.564103,6.280779
0.010000,0.000000,0.000000,0.002210,0.101985,2.913846,48.564103,6.281099
0.010000,0.000000,0.000000,0.003399,0.135979,3.399487,48.564103,6.281533
0.010000,0.000000,0.000000,0.004954,0.174831,3.885128,48.564103,6.282101
0.010000,0.000000,0.000000,0.006920,0.218538,4.370769,48.564103,6.282820
0.010000,0.001408,0.000000,0.009324,0.262246,4.370769,0.000000,0.000515
0.010000,0.004250,0.000003,0.012165,0.305954,4.370769,-0.000000,0.001557
0.010000,0.007526,0.000010,0.015443,0.349662,4.370769,0.000000,0.002760
0.010000,0.011243,0.000023,0.019159,0.393369,4.370769,-0.000000,0.004128
0.010000,0.015393,0.000043,0.023311,0.437077,4.370769,0.000000,0.005659
0.010000,0.019984,0.000073,0.027900,0.480785,4.370769,0.000000,0.007357
0.010000,0.025009,0.000115,0.032926,0.524492,4.370769,0.000000,0.009221
0.010000,0.030472,0.000171,0.038390,0.568200,4.370769,-0.000000,0.011254
0.010000,0.036373,0.000244,0.044290,0.611908,4.370769,0.000000,0.013458
0.010000,0.042710,0.000337,0.050628,0.655615,4.370769,0.000000,0.015833
0.010000,0.049484,0.000453,0.057403,0.699323,4.370769,0.000000,0.018382
0.010000,0.056694,0.000595,0.064615,0.743031,4.370769,-0.000000,0.021107
0.010000,0.064341,0.000767,0.072263,0.786738,4.370769,0.000000,0.024010
0.010000,0.072424,0.000974,0.080349,0.830446,4.370769,0.000000,0.027093
0.010000,0.080944,0.001219,0.088872,0.874154,4.370769,-0.000000,0.030359
0.010000,0.089900,0.001506,0.097832,0.917862,4.370769,0.000000,0.033811
0.010000,0.099290,0.001841,0.107230,0.961569,4.370769,0.000000,0.037450
0.010000,0.109115,0.002228,0.117064,1.005277,4.370769,-0.000000,0.041279
0.010000,0.119379,0.002672,0.127335,1.048985,4.370769,0.000000,0.045303
0.010000,0.130075,0.003180,0.138043,1.092692,4.370769,-0.000000,0.049523
0.010000,0.141205,0.003756,0.149189,1.136400,4.370769,0.000000,0.053943
0.010000,0.152770,0.004407,0.160771,1.180108,4.370769,0.000000,0.058566
0.010000,0.164767,0.005140,0.172791,1.223815,4.370769,-0.000000,0.063396
0.010000,0.177195,0.005960,0.185248,1.267523,4.370769,0.000000,0.068435
0.010000,0.190058,0.006876,0.198142,1.311231,4.370769,-0.000000,0.073689
0.010000,0.203350,0.007894,0.211472,1.354938,4.370769,0.000000,0.079159
0.010000,0.217071,0.009021,0.225240,1.398646,4.370769,-0.000000,0.084851
0.010000,0.231221,0.010267,0.239445,1.442354,4.370769,0.000000,0.090767
0.010000,0.245799,0.011639,0.254087,1.486062,4.370769,0.000000,0.096913
0.010000,0.260802,0.013146,0.269167,1.529769,4.370769,0.000000,0.103291
0.010000,0.276231,0.014797,0.284683,1.573477,4.370769,0.000000,0.109906
0.010000,0.292082,0.016601,0.300636,1.617185,4.370769,-0.000000,0.116762
0.010000,0.308353,0.018568,0.317026,1.660892,4.370769,0.000000,0.123863
0.010000,0.325043,0.020708,0.333854,1.704600,4.370769,-0.000000,0.131212
0.010000,0.342152,0.023032,0.351118,1.748308,4.370769,0.000000,0.138815
0.010000,0.359672,0.025550,0.368820,1.792015,4.370769,0.000000,0.146674
0.010000,0.377606,0.028274,0.386959,1.835723,4.370769,-0.000000,0.154795
0.010000,0.395947,0.031214,0.405535,1.879431,4.370769,0.000000,0.163179
0.010000,0.414694,0.034384,0.424547,1.923138,4.370769,-0.000000,0.171832
0.010000,0.433843,0.037795,0.443997,1.966846,4.370769,0.000000,0.180757
0.010000,0.453389,0.041460,0.463884,2.010554,4.370769,-0.000000,0.189955
0.010000,0.473329,0.045392,0.484208,2.054262,4.370769,0.000000,0.199431
0.010000,0.493658,0.049604,0.504970,2.097969,4.370769,-0.000000,0.209187
0.010000,0.514372,0.054110,0.526168,2.141677,4.370769,0.000000,0.219225
0.010000,0.535464,0.058924,0.547803,2.185385,4.370769,0.000000,0.229548
0.010000,0.556931,0.064060,0.569875,2.229092,4.370769,0.000000,0.240155
0.010000,0.578764,0.069533,0.592385,2.272800,4.370769,-0.000000,0.251049
0.010000,0.600959,0.075357,0.615331,2.316508,4.370769,0.000000,0.262229
0.010000,0.623508,0.081548,0.638715,2.360215,4.370769,0.000000,0.273695
0.010000,0.646404,0.088121,0.662536,2.403923,4.370769,-0.000000,0.285447
0.010000,0.669638,0.095091,0.686794,2.447631,4.370769,0.000000,0.297480
0.010000,0.693203,0.102475,0.711488,2.491338,4.370769,-0.000000,0.309795
0.010000,0.717090,0.110287,0.736620,2.535046,4.370769,0.000000,0.322386
0.010000,0.741289,0.118544,0.762189,2.578754,4.370769,-0.000000,0.335249
0.010000,0.765791,0.127261,0.788195,2.622462,4.370769,0.000000,0.348378
0.010000,0.790584,0.136454,0.814639,2.666169,4.370769,-0.000000,0.361768
0.010000,0.815659,0.146139,0.841519,2.709877,4.370769,0.000000,0.375409
0.010000,0.841003,0.156331,0.868836,2.753585,4.370769,-0.000000,0.389294
0.010000,0.866605,0.167045,0.896590,2.797292,4.370769,0.000000,0.403413
0.010000,0.892454,0.178298,0.924782,2.841000,4.370769,-0.000000,0.417753
0.010000,0.918534,0.190102,0.953410,2.884708,4.370769,0.000000,0.432303
0.010000,0.944836,0.202474,0.982476,2.928415,4.370769,0.000000,0.447050
0.010000,0.971342,0.215426,1.011979,2.972123,4.370769,-0.000000,0.461977
0.010000,0.998042,0.228973,1.041919,3.015831,4.370769,0.000000,0.477070
0.010000,1.024920,0.243127,1.072295,3.059538,4.370769,-0.000000,0.492311
0.010000,1.051961,0.257899,1.103109,3.103246,4.370769,0.000000,0.507681
0.010000,1.079152,0.273303,1.134360,3.146954,4.370769,0.000000,0.523163
0.010000,1.106476,0.289349,1.166048,3.190662,4.370769,-0.000000,0.538736
0.010000,1.133921,0.306046,1.198174,3.234369,4.370769,-0.000000,0.554379
0.010000,1.161450,0.323391,1.230711,3.273221,3.885128,-48.564103,0.570058
0.010000,1.189009,0.341364,1.263614,3.307215,3.399487,-48.564103,0.585730
0.010000,1.216544,0.359943,1.296832,3.336354,2.913846,-48.564103,0.601351
0.010000,1.244007,0.379102,1.330316,3.360636,2.428205,-48.564103,0.616878
0.010000,1.271347,0.398810,1.364020,3.380062,1.942564,-48.564103,0.632270
0.010000,1.298518,0.419036,1.397893,3.394631,1.456923,-48.564103,0.647488
0.010000,1.325477,0.439745,1.431888,3.404344,0.971282,-48.564103,0.662495
0.010000,1.352182,0.460897,1.465956,3.409200,0.485641,-48.564103,0.677257
0.010000,1.378593,0.482454,1.500048,3.409200,0.000000,-48.564103,0.691743
0.010000,1.404693,0.504387,1.534140,3.409200,0.000000,0.000000,0.705932
0.010000,1.430482,0.526684,1.568232,3.409200,0.000000,0.000000,0.719819
0.010000,1.455963,0.549333,1.602324,3.409200,0.000000,0.000000,0.733396
0.010000,1.481138,0.572322,1.636416,3.409200,0.000000,0.000000,0.746658
0.010000,1.506009,0.595638,1.670508,3.409200,0.000000,0.000000,0.759602
0.010000,1.530580,0.619271,1.704600,3.409200,0.000000,0.000000,0.772224
0.010000,1.554854,0.643209,1.738692,3.409200,0.000000,0.000000,0.784521
0.010000,1.578837,0.667439,1.772784,3.409200,0.000000,0.000000,0.796494
0.010000,1.602531,0.691950,1.806876,3.409200,0.000000,0.000000,0.808139
0.010000,1.625943,0.716732,1.840968,3.409200,0.000000,0.000000,0.819458
0.010000,1.649076,0.741774,1.875060,3.409200,0.000000,0.000000,0.830452
0.010000,1.671937,0.767065,1.909152,3.409200,0.000000,0.000000,0.841121
0.010000,1.694532,0.792594,1.943244,3.409200,0.000000,0.000000,0.851467
0.010000,1.716865,0.818353,1.977336,3.409200,0.000000,0.000000,0.861492
0.010000,1.738942,0.844330,2.011428,3.409200,0.000000,0.000000,0.871199
0.010000,1.760771,0.870517,2.045520,3.409200,0.000000,0.000000,0.880591
0.010000,1.782357,0.896905,2.079612,3.409200,0.000000,0.000000,0.889670
0.010000,1.803706,0.923484,2.113704,3.409200,0.000000,0.000000,0.898441
0.010000,1.824826,0.950246,2.147796,3.409200,0.000000,0.000000,0.906907
0.010000,1.845723,0.977183,2.181888,3.409200,0.000000,0.000000,0.915071
0.010000,1.866402,1.004286,2.215980,3.409200,0.000000,0.000000,0.922938
0.010000,1.886873,1.031549,2.250072,3.409200,0.000000,0.000000,0.930512
0.010000,1.907139,1.058963,2.284164,3.409200,0.000000,0.000000,0.937797
0.010000,1.927210,1.086520,2.318256,3.409200,0.000000,0.000000,0.944796
0.010000,1.947091,1.114215,2.352348,3.409200,0.000000,0.000000,0.951514
0.010000,1.966790,1.142040,2.386440,3.409200,0.000000,0.000000,0.957956
0.010000,1.986313,1.169989,2.420532,3.409200,0.000000,0.000000,0.964125
0.010000,2.005666,1.198054,2.454624,3.409200,0.000000,0.000000,0.970025
0.010000,2.024858,1.226232,2.488716,3.409200,0.000000,0.000000,0.975660
0.010000,2.043894,1.254514,2.522808,3.409200,0.000000,0.000000,0.981034
0.010000,2.062782,1.282896,2.556900,3.409200,0.000000,0.000000,0.986151
0.010000,2.081527,1.311371,2.590992,3.409200,0.000000,0.000000,0.991014
0.010000,2.100138,1.339935,2.625084,3.409200,0.000000,0.000000,0.995627
0.010000,2.118620,1.368583,2.659176,3.409200,0.000000,0.000000,0.999994
0.010000,2.136980,1.397308,2.693268,3.409200,0.000000,0.000000,1.004118
0.010000,2.155226,1.426107,2.727360,3.409200,0.000000,0.000000,1.008001
0.010000,2.173362,1.454975,2.761452,3.409200,0.000000,0.000000,1.011647
0.010000,2.191397,1.483906,2.795544,3.409200,0.000000,0.000000,1.015058
0.010000,2.209336,1.512896,2.829636,3.409200,0.000000,0.000000,1.018238
0.010000,2.227187,1.541941,2.863728,3.409200,0.000000,0.000000,1.021188
0.010000,2.244955,1.571037,2.897820,3.409200,0.000000,0.000000,1.023912
