dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000224,-0.077778,0.000024,0.004856,0.485641,48.564103,6.280301
0.010000,-0.000222,-0.077778,0.000027,0.000276,-0.458071,-94.371228,6.280336
0.010000,-0.000215,-0.077778,0.000033,0.000620,0.034465,49.253667,6.280416
0.010000,-0.000204,-0.077778,0.000044,0.001103,0.048261,1.379513,6.280558
0.010000,-0.000187,-0.077778,0.000062,0.001724,0.062069,1.380888,6.280779
0.010000,-0.000162,-0.077778,0.000086,0.002483,0.075901,1.383138,6.281099
0.010000,-0.000128,-0.077778,0.000120,0.003380,0.089766,1.386480,6.281533
0.010000,-0.000084,-0.077778,0.000164,0.004417,0.103677,1.391126,6.282101
0.010000,-0.000028,-0.077778,0.000220,0.005594,0.117650,1.397288,6.282820
0.010000,0.001448,-0.077777,0.001696,0.147616,14.202272,1408.462232,0.000515
0.010000,0.004371,-0.077774,0.004619,0.292293,14.467711,26.543912,0.001557
0.010000,0.007741,-0.077767,0.007989,0.336982,4.468846,-999.886487,0.002760
0.010000,0.011564,-0.077754,0.011812,0.382331,4.534870,6.602351,0.004128
0.010000,0.015833,-0.077733,0.016082,0.426956,4.462504,-7.236582,0.005659
0.010000,0.020556,-0.077702,0.020805,0.472316,4.535993,7.348895,0.007357
0.010000,0.025727,-0.077660,0.025976,0.517040,4.472446,-6.354696,0.009221
0.010000,0.031348,-0.077602,0.031597,0.562136,4.509577,3.713098,0.011254
0.010000,0.037420,-0.077527,0.037670,0.607298,4.516215,0.663752,0.013458
0.010000,0.043942,-0.077431,0.044192,0.652242,4.494391,-2.182349,0.015833
0.010000,0.050913,-0.077312,0.051165,0.697261,4.501874,0.748294,0.018382
0.010000,0.058335,-0.077166,0.058588,0.742337,4.507614,0.574048,0.021107
0.010000,0.066208,-0.076988,0.066463,0.787453,4.511617,0.400238,0.024010
0.010000,0.074531,-0.076775,0.074789,0.832592,4.513889,0.227259,0.027093
0.010000,0.083305,-0.076523,0.083566,0.877736,4.514445,0.055519,0.030359
0.010000,0.092529,-0.076227,0.092795,0.922869,4.513299,-0.114559,0.033811
0.010000,0.102202,-0.075882,0.102475,0.967974,4.510474,-0.282539,0.037450
0.010000,0.112325,-0.075484,0.112605,1.013038,4.506440,-0.403378,0.041279
0.010000,0.122901,-0.075026,0.123191,1.058612,4.557375,5.093483,0.045303
0.010000,0.133925,-0.074503,0.134227,1.103629,4.501686,-5.568905,0.049523
0.010000,0.145399,-0.073908,0.145716,1.148898,4.526949,2.526298,0.053943
0.010000,0.157322,-0.073237,0.157659,1.194234,4.533544,0.659553,0.058566
0.010000,0.169694,-0.072482,0.170054,1.239539,4.530507,-0.303680,0.063396
0.010000,0.182514,-0.071635,0.182901,1.284707,4.516786,-1.372110,0.068435
0.010000,0.195784,-0.070691,0.196205,1.330383,4.567589,5.080303,0.073689
0.010000,0.209500,-0.069641,0.209961,1.375655,4.527216,-4.037343,0.079159
0.010000,0.223663,-0.068477,0.224172,1.421028,4.537286,1.007050,0.084851
0.010000,0.238271,-0.067191,0.238837,1.466480,4.545193,0.790678,0.090767
0.010000,0.253324,-0.065774,0.253956,1.511989,4.550972,0.577916,0.096913
0.010000,0.268822,-0.064218,0.269532,1.557536,4.554670,0.369729,0.103291
0.010000,0.284762,-0.062512,0.285563,1.603099,4.556341,0.167110,0.109906
0.010000,0.301143,-0.060648,0.302049,1.648660,4.556051,-0.028930,0.116762
0.010000,0.317962,-0.058614,0.318991,1.694199,4.553878,-0.217361,0.123863
0.010000,0.335220,-0.056401,0.336390,1.739858,4.565884,1.200671,0.131212
0.010000,0.352914,-0.053998,0.354247,1.785682,4.582455,1.657087,0.138815
0.010000,0.371039,-0.051393,0.372558,1.831132,4.544997,-3.745801,0.146674
0.010000,0.389598,-0.048574,0.391330,1.877166,4.603357,5.835995,0.154795
0.010000,0.408582,-0.045530,0.410557,1.922683,4.551692,-5.166487,0.163179
0.010000,0.427993,-0.042248,0.430243,1.968613,4.592999,4.130610,0.171832
0.010000,0.447825,-0.038715,0.450387,2.014444,4.583116,-0.988215,0.180757
0.010000,0.468074,-0.034919,0.470989,2.060226,4.578202,-0.491407,0.189955
0.010000,0.488737,-0.030844,0.492050,2.106080,4.585382,0.717927,0.199431
0.010000,0.509809,-0.026478,0.513570,2.151978,4.589881,0.449965,0.209187
0.010000,0.531286,-0.021806,0.535549,2.197897,4.591850,0.196913,0.219225
0.010000,0.553162,-0.016814,0.557987,2.243812,4.591456,-0.039389,0.229548
0.010000,0.575430,-0.011486,0.580884,2.289700,4.588885,-0.257189,0.240155
0.010000,0.598085,-0.005807,0.604240,2.335562,4.586194,-0.269018,0.251049
0.010000,0.621122,0.000238,0.628057,2.381706,4.614414,2.821954,0.262229
0.010000,0.644530,0.006665,0.652331,2.427463,4.575703,-3.871064,0.273695
0.010000,0.668305,0.013491,0.677066,2.473505,4.604173,2.846950,0.285447
0.010000,0.692435,0.020730,0.702259,2.519262,4.575636,-2.853690,0.297480
0.010000,0.716915,0.028400,0.727912,2.565306,4.604492,2.885588,0.309795
0.010000,0.741733,0.036516,0.754023,2.611123,4.581663,-2.282920,0.322386
0.010000,0.766878,0.045096,0.780593,2.656919,4.579540,-0.212246,0.335249
0.010000,0.792342,0.054155,0.807620,2.702697,4.577857,-0.168319,0.348378
0.010000,0.818112,0.063710,0.835104,2.748431,4.573403,-0.445404,0.361768
0.010000,0.844176,0.073777,0.863045,2.794096,4.566523,-0.688026,0.375409
0.010000,0.870522,0.084372,0.891442,2.839672,4.557572,-0.895090,0.389294
0.010000,0.897137,0.095511,0.920293,2.885188,4.551637,-0.593471,0.403413
0.010000,0.924009,0.107208,0.949600,2.930703,4.551418,-0.021945,0.417753
0.010000,0.951120,0.119480,0.979360,2.975940,4.523696,-2.772142,0.432303
0.010000,0.978459,0.132340,1.009573,3.021268,4.532804,0.910796,0.447050
0.010000,1.006009,0.145802,1.040236,3.066304,4.503644,-2.916002,0.461977
0.010000,1.033756,0.159879,1.071349,3.111335,4.503063,-0.058151,0.477070
0.010000,1.061682,0.174585,1.102911,3.156206,4.487184,-1.587885,0.492311
0.010000,1.089773,0.189931,1.134920,3.200909,4.470206,-1.697807,0.507681
0.010000,1.118011,0.205929,1.167375,3.245475,4.456598,-1.360775,0.523163
0.010000,1.146380,0.222587,1.200274,3.289888,4.441352,-1.524611,0.538736
0.010000,1.174864,0.239917,1.233615,3.334137,4.424932,-1.641953,0.554379
0.010000,1.203425,0.257912,1.267372,3.375697,4.155939,-26.899328,0.570058
0.010000,1.232005,0.276551,1.301493,3.412075,3.637793,-51.814611,0.585730
0.010000,1.260548,0.295810,1.335925,3.443247,3.117208,-52.058523,0.601351
0.010000,1.289000,0.315659,1.370617,3.469212,2.596482,-52.072606,0.616878
0.010000,1.317312,0.336068,1.405518,3.490027,2.081568,-51.491361,0.632270
0.010000,1.345432,0.357001,1.440574,3.505670,1.564305,-51.726341,0.647488
0.010000,1.373317,0.378420,1.475736,3.516173,1.050280,-51.402415,0.662495
0.010000,1.400922,0.400286,1.510952,3.521553,0.538031,-51.224950,0.677257
0.010000,1.428206,0.422554,1.546170,3.521831,0.027770,-51.026050,0.691743
0.010000,1.455151,0.445197,1.581365,3.519527,-0.230421,-25.819116,0.705932
0.010000,1.481757,0.468200,1.616537,3.517178,-0.234848,-0.442720,0.719819
0.010000,1.508027,0.491551,1.651685,3.514761,-0.241732,-0.688423,0.733396
0.010000,1.533963,0.515236,1.686808,3.512335,-0.242591,-0.085850,0.746658
0.010000,1.559569,0.539241,1.721906,3.509833,-0.250228,-0.763703,0.759602
0.010000,1.584848,0.563554,1.756980,3.507360,-0.247269,0.295867,0.772224
0.010000,1.609803,0.588163,1.792028,3.504808,-0.255190,-0.792103,0.784521
0.010000,1.634441,0.613055,1.827051,3.502303,-0.250521,0.466894,0.796494
0.010000,1.658765,0.638218,1.862048,3.499749,-0.255425,-0.490373,0.808139
0.010000,1.682781,0.663640,1.897021,3.497218,-0.253071,0.235374,0.819458
0.010000,1.706495,0.689309,1.931968,3.494696,-0.252180,0.089134,0.830452
0.010000,1.729912,0.715216,1.966889,3.492147,-0.254922,-0.274259,0.841121
0.010000,1.753040,0.741348,2.001786,3.489672,-0.247504,0.741805,0.851467
0.010000,1.775884,0.767695,2.036657,3.487142,-0.253001,-0.549646,0.861492
0.010000,1.798450,0.794248,2.071504,3.484684,-0.245820,0.718057,0.871199
0.010000,1.820747,0.820996,2.106327,3.482254,-0.243031,0.278957,0.880591
0.010000,1.842780,0.847930,2.141124,3.479782,-0.247136,-0.410498,0.889670
0.010000,1.864556,0.875041,2.175899,3.477412,-0.237043,1.009268,0.898441
0.010000,1.886084,0.902321,2.210649,3.475049,-0.236272,0.077124,0.906907
0.010000,1.907370,0.929759,2.245376,3.472670,-0.237873,-0.160138,0.915071
0.010000,1.928421,0.957349,2.280080,3.470384,-0.228682,0.919070,0.922938
0.010000,1.949245,0.985083,2.314761,3.468124,-0.225943,0.273977,0.930512
0.010000,1.969848,1.012952,2.349419,3.465825,-0.229900,-0.395728,0.937797
0.010000,1.990239,1.040950,2.384055,3.463629,-0.219638,1.026153,0.944796
0.010000,2.010425,1.069069,2.418670,3.461462,-0.216697,0.294137,0.951514
0.010000,2.030414,1.097303,2.453263,3.459301,-0.216105,0.059186,0.957956
0.010000,2.050211,1.125645,2.487835,3.457158,-0.214263,0.184233,0.964125
0.010000,2.069825,1.154088,2.522385,3.455082,-0.207561,0.670201,0.970025
0.010000,2.089264,1.182628,2.556916,3.453035,-0.204728,0.283231,0.975660
0.010000,2.108533,1.211257,2.591426,3.451008,-0.202700,0.202857,0.981034
0.010000,2.127641,1.239970,2.625916,3.448979,-0.202903,-0.020296,0.986151
0.010000,2.146595,1.268761,2.660386,3.447018,-0.196159,0.674430,0.991014
0.010000,2.165401,1.297626,2.694837,3.445082,-0.193598,0.256045,0.995627
0.010000,2.184068,1.326559,2.729268,3.443170,-0.191125,0.247344,0.999994
0.010000,2.202601,1.355555,2.763681,3.441282,-0.188880,0.224430,1.004118
0.010000,2.221008,1.384609,2.798075,3.439389,-0.189265,-0.038446,1.008001
0.010000,2.239295,1.413716,2.832451,3.437550,-0.183879,0.538561,1.011647
0.010000,2.257470,1.442872,2.866808,3.435732,-0.181810,0.206933,1.015058
0.010000,2.275540,1.472073,2.901147,3.433933,-0.179851,0.195911,1.018238
0.010000,2.293510,1.501314,2.935469,3.432153,-0.178005,0.184574,1.021188
0.010000,2.311389,1.530591,2.969773,3.430391,-0.176276,0.172948,1.023912
0.010000,2.329181,1.559899,3.004059,3.428635,-0.175558,0.071779,1.026411
0.010000,2.346895,1.589235,3.038328,3.426899,-0.173611,0.194630,1.028687
0.010000,2.364536,1.618594,3.072580,3.425184,-0.171509,0.210227,1.030742
0.010000,2.382112,1.647973,3.106815,3.423481,-0.170279,0.122974,1.032578
0.010000,2.399628,1.677368,3.141032,3.421789,-0.169177,0.110270,1.034197
0.010000,2.417091,1.706774,3.175234,3.420107,-0.168203,0.097414,1.035599
0.010000,2.434507,1.736189,3.209418,3.418434,-0.167358,0.084419,1.036786
0.010000,2.451883,1.765609,3.243586,3.416767,-0.166645,0.071294,1.037758
0.010000,2.469226,1.795029,3.277737,3.415106,-0.166170,0.047525,1.038517
0.010000,2.486540,1.824446,3.311871,3.413448,-0.165727,0.044303,1.039063
0.010000,2.503834,1.853856,3.345989,3.411798,-0.165073,0.065372,1.039397
0.010000,2.521112,1.883257,3.380091,3.410149,-0.164899,0.017443,1.039519
0.010000,2.538381,1.912643,3.414176,3.408500,-0.164860,0.003916,1.039429
0.010000,2.555648,1.942012,3.448244,3.406850,-0.164957,-0.009691,1.039126
0.010000,2.572919,1.971359,3.482296,3.405199,-0.165191,-0.023375,1.038611
0.010000,2.590199,2.000681,3.516331,3.403543,-0.165562,-0.037130,1.037884
0.010000,2.607495,2.029975,3.550350,3.401882,-0.166071,-0.050954,1.036943
0.010000,2.624814,2.059236,3.584352,3.400216,-0.166605,-0.053397,1.035788
0.010000,2.642161,2.088461,3.618338,3.398549,-0.166749,-0.014353,1.034418
0.010000,2.659542,2.117646,3.652307,3.396867,-0.168178,-0.142884,1.032832
0.010000,2.676965,2.146787,3.686258,3.395174,-0.169238,-0.106060,1.031028
0.010000,2.694434,2.175879,3.720193,3.393470,-0.170439,-0.120060,1.029006
0.010000,2.711956,2.204920,3.754111,3.391752,-0.171780,-0.134083,1.026762
0.010000,2.729538,2.233905,3.788011,3.390020,-0.173261,-0.148108,1.024297
0.010000,2.747185,2.262829,3.821893,3.388271,-0.174882,-0.162114,1.021606
0.010000,2.764904,2.291689,3.855759,3.386512,-0.175877,-0.099458,1.018690
0.010000,2.782701,2.320480,3.889606,3.384742,-0.176991,-0.111455,1.015544
0.010000,2.800583,2.349197,3.923435,3.382940,-0.180232,-0.324128,1.012167
0.010000,2.818555,2.377836,3.957247,3.381116,-0.182397,-0.216493,1.008556
0.010000,2.836623,2.406393,3.991039,3.379269,-0.184697,-0.229944,1.004708
0.010000,2.854795,2.434861,4.024813,3.377398,-0.187128,-0.243115,1.000621
0.010000,2.873076,2.463237,4.058568,3.375512,-0.188560,-0.143181,0.996290
0.010000,2.891473,2.491516,4.092305,3.373615,-0.189657,-0.109753,0.991714
0.010000,2.909992,2.519691,4.126021,3.371668,-0.194767,-0.510959,0.986888
0.010000,2.928640,2.547758,4.159718,3.369691,-0.197682,-0.291515,0.981809
0.010000,2.947422,2.575711,4.193395,3.367684,-0.200703,-0.302141,0.976473
0.010000,2.966345,2.603544,4.227052,3.365670,-0.201403,-0.070010,0.970877
0.010000,2.985416,2.631252,4.260688,3.363629,-0.204073,-0.266936,0.965016
0.010000,3.004641,2.658827,4.294303,3.361530,-0.209907,-0.583392,0.958888
0.010000,3.024026,2.686264,4.327897,3.359397,-0.213264,-0.335727,0.952487
0.010000,3.043577,2.713556,4.361470,3.357258,-0.213917,-0.065272,0.945810
0.010000,3.063301,2.740697,4.395021,3.355096,-0.216255,-0.233816,0.938852
0.010000,3.083204,2.767679,4.428549,3.352864,-0.223206,-0.695110,0.931610
0.010000,3.103292,2.794496,4.462055,3.350597,-0.226664,-0.345839,0.924080
0.010000,3.123572,2.821139,4.495539,3.348365,-0.223175,0.348973,0.916256
0.010000,3.144050,2.847602,4.528999,3.346038,-0.232704,-0.952937,0.908136
0.010000,3.164731,2.873876,4.562436,3.343673,-0.236505,-0.380052,0.899715
0.010000,3.185621,2.899953,4.595850,3.341342,-0.233106,0.339863,0.890990
0.010000,3.206728,2.925825,4.629239,3.338931,-0.241111,-0.800517,0.881956
0.010000,3.228055,2.951484,4.662604,3.336476,-0.245458,-0.434689,0.872611
0.010000,3.249610,2.976920,4.695944,3.334078,-0.239856,0.560201,0.862951
0.010000,3.271397,3.002124,4.729260,3.331574,-0.250343,-1.048685,0.852973
0.010000,3.293422,3.027087,4.762551,3.329079,-0.249520,0.082233,0.842675
0.010000,3.315690,3.051801,4.795817,3.326589,-0.249046,0.047409,0.832054
0.010000,3.338207,3.076254,4.829057,3.324031,-0.255784,-0.673766,0.821109
0.010000,3.360976,3.100437,4.862273,3.321537,-0.249435,0.634860,0.809838
0.010000,3.384002,3.124339,4.895462,3.318971,-0.256610,-0.717456,0.798241
0.010000,3.407291,3.147952,4.928627,3.316441,-0.252918,0.369221,0.786317
0.010000,3.430844,3.171263,4.961766,3.313904,-0.253713,-0.079486,0.774067
0.010000,3.454668,3.194262,4.994879,3.311373,-0.253151,0.056137,0.761493
0.010000,3.478764,3.216939,5.027968,3.308877,-0.249590,0.356083,0.748597
0.010000,3.503135,3.239283,5.061032,3.306378,-0.249890,-0.029912,0.735382
0.010000,3.527785,3.261283,5.094071,3.303941,-0.243671,0.621885,0.721851
0.010000,3.552715,3.282927,5.127086,3.301512,-0.242930,0.074065,0.708010
0.010000,3.577928,3.304205,5.160078,3.299158,-0.235395,0.753528,0.693865
0.010000,3.603409,3.325093,5.193026,3.294755,-0.440304,-20.490928,0.679432
0.010000,3.629122,3.345553,5.225886,3.286007,-0.874750,-43.444574,0.664741
0.010000,3.655030,3.365548,5.258612,3.272653,-1.335467,-46.071718,0.649822
0.010000,3.681091,3.385045,5.291159,3.254710,-1.794247,-45.877971,0.634712
0.010000,3.707263,3.404011,5.323481,3.232210,-2.250009,-45.576225,0.619449
0.010000,3.733502,3.422419,5.355533,3.205166,-2.704453,-45.444417,0.604070
0.010000,3.759759,3.440243,5.387269,3.173560,-3.160522,-45.606909,0.588619
0.010000,3.785987,3.457461,5.418643,3.137457,-3.610300,-44.977758,0.573137
0.010000,3.812136,3.474053,5.449612,3.096837,-4.062017,-45.171690,0.557669
0.010000,3.838171,3.490014,5.480149,3.053775,-4.306212,-24.419551,0.542248
0.010000,3.864076,3.505352,5.510255,3.010607,-4.316852,-1.063933,0.526897
0.010000,3.889840,3.520079,5.539931,2.967594,-4.301248,1.560365,0.511636
0.010000,3.915450,3.534205,5.569179,2.924738,-4.285573,1.567488,0.496485
0.010000,3.940893,3.547743,5.597999,2.882043,-4.269538,1.603477,0.481461
0.010000,3.966157,3.560704,5.626394,2.839479,-4.256413,1.312529,0.466583
0.010000,3.991229,3.573102,5.654364,2.796979,-4.250025,0.638825,0.451868
0.010000,4.016098,3.584950,5.681911,2.754744,-4.223495,2.652947,0.437330
0.010000,4.040751,3.596262,5.709035,2.712423,-4.232046,-0.855070,0.422984
0.010000,4.065179,3.607051,5.735739,2.670381,-4.204243,2.780264,0.408844
0.010000,4.089368,3.617332,5.762023,2.628406,-4.197489,0.675446,0.394921
0.010000,4.113309,3.627119,5.787887,2.586400,-4.200583,-0.309451,0.381228
0.010000,4.136991,3.636427,5.813333,2.544562,-4.183794,1.678970,0.367773
0.010000,4.160405,3.645271,5.838361,2.502795,-4.176716,0.707721,0.354565
0.010000,4.183539,3.653666,5.862972,2.461091,-4.170423,0.629312,0.341612
0.010000,4.206387,3.661626,5.887166,2.419424,-4.166661,0.376204,0.328920
0.010000,4.228936,3.669166,5.910943,2.377705,-4.171882,-0.522080,0.316496
0.010000,4.251182,3.676302,5.934305,2.336164,-4.154093,1.778909,0.304343
0.010000,4.273114,3.683048,5.957252,2.294682,-4.148221,0.587155,0.292465
0.010000,4.294725,3.689419,5.979781,2.252983,-4.169966,-2.174410,0.280866
0.010000,4.316008,3.695429,6.001897,2.211592,-4.139033,3.093288,0.269547
0.010000,4.336957,3.701091,6.023597,2.170002,-4.159002,-1.996919,0.258509
0.010000,4.357563,3.706422,6.044882,2.128461,-4.154126,0.487581,0.247753
0.010000,4.377822,3.711434,6.065752,2.086996,-4.146505,0.762073,0.237279
0.010000,4.397728,3.716140,6.086207,2.045487,-4.150837,-0.433165,0.227086
0.010000,4.417275,3.720555,6.106246,2.003947,-4.154063,-0.322559,0.217174
