dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.015520,0.750775,0.000024,0.004856,0.485641,48.564103,0.000163
0.010000,0.015521,0.750775,0.000025,0.000030,-0.482594,-96.823460,0.000159
0.010000,0.015521,0.750775,0.000025,0.000069,0.003807,48.640070,0.000150
0.010000,0.015523,0.750775,0.000026,0.000122,0.005324,0.151673,0.000135
0.010000,0.015524,0.750775,0.000028,0.000190,0.006831,0.150734,0.000110
0.010000,0.015527,0.750775,0.000031,0.000273,0.008323,0.149197,0.000075
0.010000,0.015531,0.750775,0.000035,0.000371,0.009792,0.146911,0.000028
0.010000,0.016403,0.750775,0.000907,0.087176,8.680513,867.072108,6.283151
0.010000,0.018376,0.750775,0.002880,0.197294,11.011780,233.126634,6.283072
0.010000,0.020787,0.750774,0.005291,0.241134,4.384014,-662.776592,6.282977
0.010000,0.023637,0.750774,0.008141,0.284973,4.383867,-0.014630,6.282865
0.010000,0.026925,0.750772,0.011429,0.328807,4.383389,-0.047876,6.282736
0.010000,0.030651,0.750770,0.015155,0.372640,4.383328,-0.006079,6.282592
0.010000,0.034816,0.750768,0.019320,0.416470,4.382990,-0.033842,6.282431
0.010000,0.039419,0.750764,0.023923,0.460297,4.382648,-0.034149,6.282256
0.010000,0.044460,0.750759,0.028964,0.504119,4.382249,-0.039872,6.282065
0.010000,0.049939,0.750752,0.034443,0.547936,4.381692,-0.055766,6.281861
0.010000,0.055857,0.750743,0.040361,0.591751,4.381499,-0.019299,6.281643
0.010000,0.062212,0.750733,0.046716,0.635559,4.380783,-0.071603,6.281412
0.010000,0.069006,0.750720,0.053510,0.679364,4.380481,-0.030156,6.281168
0.010000,0.076238,0.750704,0.060742,0.723160,4.379649,-0.083255,6.280913
0.010000,0.083907,0.750686,0.068411,0.766952,4.379210,-0.043835,6.280647
0.010000,0.092014,0.750664,0.076519,0.810738,4.378577,-0.063283,6.280371
0.010000,0.100560,0.750639,0.085064,0.854517,4.377900,-0.067746,6.280086
0.010000,0.109542,0.750610,0.094047,0.898289,4.377215,-0.068483,6.279793
0.010000,0.118963,0.750577,0.103467,0.942052,4.376334,-0.088070,6.279493
0.010000,0.128821,0.750539,0.113325,0.985809,4.375684,-0.065063,6.279186
0.010000,0.139116,0.750496,0.123621,1.029558,4.374905,-0.077829,6.278874
0.010000,0.149849,0.750448,0.134354,1.073298,4.373935,-0.097014,6.278557
0.010000,0.161019,0.750394,0.145524,1.117029,4.373106,-0.082965,6.278238
0.010000,0.172627,0.750335,0.157132,1.160751,4.372229,-0.087672,6.277917
0.010000,0.184671,0.750270,0.169176,1.204463,4.371234,-0.099472,6.277596
0.010000,0.197153,0.750198,0.181658,1.248166,4.370231,-0.100290,6.277275
0.010000,0.210071,0.750119,0.194576,1.291858,4.369216,-0.101504,6.276956
0.010000,0.223426,0.750034,0.207932,1.335540,4.368185,-0.103136,6.276640
0.010000,0.237218,0.749942,0.221724,1.379211,4.367084,-0.110128,6.276329
0.010000,0.251446,0.749842,0.235953,1.422869,4.365849,-0.123428,6.276025
0.010000,0.266111,0.749735,0.250618,1.466517,4.364845,-0.100419,6.275728
0.010000,0.281212,0.749620,0.265719,1.510153,4.363521,-0.132427,6.275440
0.010000,0.296749,0.749497,0.281257,1.553776,4.362311,-0.120955,6.275163
0.010000,0.312723,0.749367,0.297231,1.597386,4.361071,-0.124047,6.274899
0.010000,0.329132,0.749229,0.313641,1.640984,4.359746,-0.132462,6.274649
0.010000,0.345977,0.749083,0.330486,1.684568,4.358402,-0.134392,6.274414
0.010000,0.363258,0.748930,0.347768,1.728138,4.357033,-0.136910,6.274198
0.010000,0.380974,0.748769,0.365485,1.771694,4.355584,-0.144909,6.274001
0.010000,0.399126,0.748600,0.383637,1.815236,4.354146,-0.143841,6.273825
0.010000,0.417712,0.748425,0.402225,1.858763,4.352691,-0.145457,6.273673
0.010000,0.436734,0.748243,0.421248,1.902274,4.351128,-0.156327,6.273546
0.010000,0.456191,0.748054,0.440705,1.945770,4.349584,-0.154355,6.273446
0.010000,0.476083,0.747860,0.460598,1.989250,4.347996,-0.158789,6.273375
0.010000,0.496409,0.747660,0.480925,2.032713,4.346357,-0.163946,6.273336
0.010000,0.517169,0.747455,0.501686,2.076160,4.344688,-0.166915,6.273330
0.010000,0.538364,0.747247,0.522882,2.119590,4.342981,-0.170648,6.273360
0.010000,0.559993,0.747035,0.544512,2.163002,4.341230,-0.175165,6.273428
0.010000,0.582056,0.746821,0.566576,2.206397,4.339470,-0.175942,6.273536
0.010000,0.604553,0.746605,0.589074,2.249773,4.337623,-0.184745,6.273687
0.010000,0.627483,0.746389,0.612005,2.293131,4.335792,-0.183116,6.273883
0.010000,0.650847,0.746175,0.635370,2.336470,4.333851,-0.194109,6.274126
0.010000,0.674644,0.745963,0.659168,2.379789,4.331948,-0.190301,6.274419
0.010000,0.698874,0.745754,0.683399,2.423089,4.329984,-0.196323,6.274765
0.010000,0.723537,0.745552,0.708063,2.466368,4.327930,-0.205468,6.275166
0.010000,0.748632,0.745356,0.733159,2.509627,4.325884,-0.204537,6.275624
0.010000,0.774160,0.745169,0.758687,2.552865,4.323838,-0.204652,6.276143
0.010000,0.800120,0.744994,0.784648,2.596081,4.321607,-0.223097,6.276725
0.010000,0.826513,0.744832,0.811041,2.639276,4.319416,-0.219099,6.277373
0.010000,0.853337,0.744685,0.837866,2.682449,4.317298,-0.211749,6.278089
0.010000,0.880592,0.744557,0.865121,2.725598,4.314929,-0.236908,6.278878
0.010000,0.908279,0.744450,0.892809,2.768724,4.312587,-0.234225,6.279741
0.010000,0.936397,0.744366,0.920927,2.811826,4.310272,-0.231477,6.280682
0.010000,0.964946,0.744309,0.949476,2.854905,4.307894,-0.237866,6.281704
0.010000,0.993926,0.744282,0.978456,2.897960,4.305441,-0.245279,6.282810
0.010000,1.023336,0.744288,1.007866,2.940989,4.302904,-0.253678,0.000818
0.010000,1.053176,0.744332,1.037705,2.983992,4.300274,-0.263010,0.002102
0.010000,1.083445,0.744416,1.067975,3.026969,4.297717,-0.255686,0.003480
0.010000,1.114144,0.744545,1.098674,3.069920,4.295161,-0.255646,0.004955
0.010000,1.145272,0.744724,1.129803,3.112844,4.292345,-0.281516,0.006530
0.010000,1.176829,0.744956,1.161360,3.155739,4.289528,-0.281758,0.008211
0.010000,1.208814,0.745247,1.193346,3.198607,4.286823,-0.270518,0.009999
0.010000,1.241202,0.745601,1.225737,3.239031,4.042328,-24.449424,0.011897
0.010000,1.273945,0.746024,1.258482,3.274592,3.556191,-48.613763,0.013906
0.010000,1.306994,0.746518,1.291535,3.305299,3.070623,-48.556790,0.016025
0.010000,1.340301,0.747089,1.324847,3.331151,2.585237,-48.538634,0.018255
0.010000,1.373816,0.747740,1.358369,3.352154,2.100281,-48.495587,0.020595
0.010000,1.407491,0.748474,1.392052,3.368311,1.615730,-48.455116,0.023042
0.010000,1.441278,0.749296,1.425848,3.379632,1.132088,-48.364198,0.025594
0.010000,1.475127,0.750207,1.459709,3.386112,0.648007,-48.408011,0.028251
0.010000,1.508989,0.751210,1.493587,3.387760,0.164808,-48.319970,0.031007
0.010000,1.542841,0.752308,1.527457,3.386997,-0.076362,-24.116942,0.033862
0.010000,1.576683,0.753504,1.561319,3.386226,-0.077055,-0.069298,0.036815
0.010000,1.610512,0.754802,1.595173,3.385457,-0.076933,0.012198,0.039868
0.010000,1.644330,0.756204,1.629020,3.384685,-0.077145,-0.021248,0.043019
0.010000,1.678135,0.757714,1.662859,3.383909,-0.077620,-0.047460,0.046271
0.010000,1.711928,0.759335,1.696691,3.383137,-0.077214,0.040557,0.049622
0.010000,1.745707,0.761071,1.730514,3.382358,-0.077922,-0.070757,0.053073
0.010000,1.779472,0.762924,1.764330,3.381579,-0.077869,0.005233,0.056624
0.010000,1.813222,0.764899,1.798138,3.380800,-0.077891,-0.002204,0.060275
0.010000,1.846957,0.766998,1.831938,3.380016,-0.078392,-0.050101,0.064027
0.010000,1.880676,0.769225,1.865731,3.379237,-0.077967,0.042587,0.067879
0.010000,1.914378,0.771583,1.899515,3.378451,-0.078558,-0.059095,0.071832
0.010000,1.948063,0.774075,1.933292,3.377667,-0.078437,0.012055,0.075886
0.010000,1.981729,0.776704,1.967061,3.376882,-0.078452,-0.001543,0.080041
0.010000,2.015376,0.779475,2.000822,3.376094,-0.078791,-0.033885,0.084297
0.010000,2.049003,0.782390,2.034575,3.375311,-0.078319,0.047221,0.088654
0.010000,2.082609,0.785452,2.068320,3.374523,-0.078835,-0.051575,0.093112
0.010000,2.116193,0.788666,2.102057,3.373738,-0.078499,0.033536,0.097671
0.010000,2.149754,0.792033,2.135787,3.372952,-0.078592,-0.009219,0.102331
0.010000,2.183291,0.795557,2.169508,3.372166,-0.078551,0.004113,0.107092
0.010000,2.216803,0.799242,2.203222,3.371383,-0.078280,0.027012,0.111954
0.010000,2.250289,0.803090,2.236928,3.370599,-0.078403,-0.012239,0.116916
0.010000,2.283747,0.807105,2.270627,3.369820,-0.077948,0.045460,0.121979
0.010000,2.317176,0.811291,2.304317,3.369040,-0.077995,-0.004698,0.127142
0.010000,2.350576,0.815649,2.338000,3.368264,-0.077626,0.036913,0.132405
0.010000,2.383944,0.820184,2.371674,3.367490,-0.077398,0.022773,0.137767
0.010000,2.417279,0.824899,2.405342,3.366719,-0.077083,0.031579,0.143228
0.010000,2.450581,0.829795,2.439001,3.365952,-0.076711,0.037196,0.148788
0.010000,2.483846,0.834878,2.472653,3.365189,-0.076295,0.041535,0.154446
0.010000,2.517075,0.840149,2.506297,3.364430,-0.075923,0.037202,0.160201
0.010000,2.550266,0.845611,2.539934,3.363676,-0.075316,0.060758,0.166054
0.010000,2.583416,0.851268,2.573563,3.362928,-0.074883,0.043232,0.172002
0.010000,2.616524,0.857123,2.607185,3.362185,-0.074216,0.066680,0.178047
0.010000,2.649589,0.863177,2.640800,3.361450,-0.073541,0.067545,0.184185
0.010000,2.682608,0.869435,2.674407,3.360720,-0.073013,0.052806,0.190417
0.010000,2.715581,0.875898,2.708007,3.360001,-0.071885,0.112782,0.196742
0.010000,2.748504,0.882570,2.741600,3.359284,-0.071669,0.021617,0.203159
0.010000,2.781377,0.889454,2.775186,3.358582,-0.070182,0.148653,0.209666
0.010000,2.814197,0.896551,2.808764,3.357886,-0.069638,0.054482,0.216263
0.010000,2.846963,0.903864,2.842336,3.357201,-0.068557,0.108114,0.222948
0.010000,2.879672,0.911396,2.875902,3.356529,-0.067174,0.138300,0.229719
0.010000,2.912323,0.919149,2.909460,3.355860,-0.066889,0.028404,0.236576
0.010000,2.944913,0.927126,2.943012,3.355213,-0.064728,0.216131,0.243516
0.010000,2.977441,0.935328,2.976558,3.354571,-0.064206,0.052190,0.250539
0.010000,3.009903,0.943759,3.010098,3.353944,-0.062686,0.152000,0.257642
0.010000,3.042299,0.952419,3.043631,3.353337,-0.060716,0.197025,0.264824
0.010000,3.074626,0.961312,3.077158,3.352729,-0.060790,-0.007365,0.272083
0.010000,3.106881,0.970438,3.110680,3.352150,-0.057845,0.294450,0.279417
0.010000,3.139062,0.979801,3.144196,3.351585,-0.056557,0.128830,0.286825
0.010000,3.171168,0.989401,3.177706,3.351025,-0.055996,0.056080,0.294303
0.010000,3.203195,0.999241,3.211211,3.350495,-0.052933,0.306295,0.301849
0.010000,3.235143,1.009321,3.244711,3.349979,-0.051623,0.131010,0.309463
0.010000,3.267007,1.019644,3.278205,3.349470,-0.050886,0.073664,0.317140
0.010000,3.298786,1.030211,3.311695,3.348994,-0.047581,0.330559,0.324880
0.010000,3.330478,1.041023,3.345181,3.348538,-0.045653,0.192770,0.332679
0.010000,3.362080,1.052081,3.378661,3.348081,-0.045712,-0.005925,0.340535
0.010000,3.393590,1.063387,3.412138,3.347662,-0.041884,0.382830,0.348446
0.010000,3.425005,1.074940,3.445611,3.347264,-0.039747,0.213661,0.356408
0.010000,3.456324,1.086743,3.479080,3.346886,-0.037896,0.185165,0.364420
0.010000,3.487543,1.098796,3.512545,3.346511,-0.037414,0.048187,0.372477
0.010000,3.518661,1.111100,3.546006,3.346177,-0.033473,0.394133,0.380579
0.010000,3.549674,1.123655,3.579465,3.345864,-0.031301,0.217171,0.388721
0.010000,3.580582,1.136461,3.612921,3.345573,-0.029109,0.219189,0.396901
0.010000,3.611381,1.149519,3.646374,3.345304,-0.026900,0.220937,0.405116
0.010000,3.642070,1.162829,3.679824,3.345042,-0.026162,0.073770,0.413363
0.010000,3.672645,1.176392,3.713272,3.344817,-0.022477,0.368460,0.421638
0.010000,3.703105,1.190206,3.746719,3.344616,-0.020071,0.240657,0.429940
0.010000,3.733447,1.204273,3.780163,3.344439,-0.017781,0.228994,0.438265
0.010000,3.763670,1.218591,3.813606,3.344284,-0.015480,0.230054,0.446610
0.010000,3.793770,1.233161,3.847047,3.344152,-0.013170,0.231058,0.454972
0.010000,3.823747,1.247982,3.880488,3.344044,-0.010849,0.232054,0.463348
0.010000,3.853598,1.263053,3.913927,3.343958,-0.008518,0.233097,0.471735
0.010000,3.883321,1.278373,3.947366,3.343897,-0.006176,0.234244,0.480130
0.010000,3.912914,1.293943,3.980805,3.343859,-0.003820,0.235552,0.488529
0.010000,3.942374,1.309760,4.014243,3.343844,-0.001449,0.237085,0.496931
