dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.015533,0.672997,0.000024,0.004856,0.485641,48.564103,0.000163
0.010000,0.015533,0.672997,0.000121,0.014569,0.971282,48.564103,0.000159
0.010000,0.015533,0.672997,0.000340,0.029138,1.456923,48.564103,0.000150
0.010000,0.015533,0.672997,0.000728,0.048564,1.942564,48.564103,0.000135
0.010000,0.015533,0.672997,0.001336,0.072846,2.428205,48.564103,0.000110
0.010000,0.015533,0.672997,0.002210,0.101985,2.913846,48.564103,0.000075
0.010000,0.015533,0.672997,0.003399,0.135979,3.399487,48.564103,0.000028
0.010000,0.016400,0.672997,0.004954,0.174831,3.885128,48.564103,6.283151
0.010000,0.018367,0.672997,0.006920,0.218538,4.370769,48.564103,6.283072
0.010000,0.020771,0.672997,0.009324,0.262246,4.370769,0.000000,6.282977
0.010000,0.023612,0.672996,0.012165,0.305954,4.370769,-0.000000,6.282865
0.010000,0.026890,0.672995,0.015443,0.349662,4.370769,0.000000,6.282736
0.010000,0.030605,0.672993,0.019159,0.393369,4.370769,-0.000000,6.282592
0.010000,0.034757,0.672990,0.023311,0.437077,4.370769,0.000000,6.282431
0.010000,0.039346,0.672986,0.027900,0.480785,4.370769,0.000000,6.282256
0.010000,0.044373,0.672981,0.032926,0.524492,4.370769,0.000000,6.282065
0.010000,0.049836,0.672974,0.038390,0.568200,4.370769,-0.000000,6.281861
0.010000,0.055737,0.672966,0.044290,0.611908,4.370769,0.000000,6.281643
0.010000,0.062074,0.672955,0.050628,0.655615,4.370769,0.000000,6.281412
0.010000,0.068849,0.672942,0.057403,0.699323,4.370769,0.000000,6.281168
0.010000,0.076061,0.672927,0.064615,0.743031,4.370769,-0.000000,6.280913
0.010000,0.083710,0.672908,0.072263,0.786738,4.370769,0.000000,6.280647
0.010000,0.091796,0.672887,0.080349,0.830446,4.370769,0.000000,6.280371
0.010000,0.100319,0.672862,0.088872,0.874154,4.370769,-0.000000,6.280086
0.010000,0.109279,0.672832,0.097832,0.917862,4.370769,0.000000,6.279793
0.010000,0.118676,0.672799,0.107230,0.961569,4.370769,0.000000,6.279493
0.010000,0.128510,0.672761,0.117064,1.005277,4.370769,-0.000000,6.279186
0.010000,0.138781,0.672719,0.127335,1.048985,4.370769,0.000000,6.278874
0.010000,0.149489,0.672671,0.138043,1.092692,4.370769,-0.000000,6.278557
0.010000,0.160635,0.672617,0.149189,1.136400,4.370769,0.000000,6.278238
0.010000,0.172217,0.672558,0.160771,1.180108,4.370769,0.000000,6.277917
0.010000,0.184236,0.672493,0.172791,1.223815,4.370769,-0.000000,6.277596
0.010000,0.196693,0.672421,0.185248,1.267523,4.370769,0.000000,6.277275
0.010000,0.209587,0.672343,0.198142,1.311231,4.370769,-0.000000,6.276956
0.010000,0.222917,0.672258,0.211472,1.354938,4.370769,0.000000,6.276640
0.010000,0.236685,0.672166,0.225240,1.398646,4.370769,-0.000000,6.276329
0.010000,0.250889,0.672066,0.239445,1.442354,4.370769,0.000000,6.276025
0.010000,0.265531,0.671959,0.254087,1.486062,4.370769,0.000000,6.275728
0.010000,0.280610,0.671844,0.269167,1.529769,4.370769,0.000000,6.275440
0.010000,0.296126,0.671722,0.284683,1.573477,4.370769,0.000000,6.275163
0.010000,0.312078,0.671592,0.300636,1.617185,4.370769,-0.000000,6.274899
0.010000,0.328468,0.671454,0.317026,1.660892,4.370769,0.000000,6.274649
0.010000,0.345295,0.671308,0.333854,1.704600,4.370769,-0.000000,6.274414
0.010000,0.362559,0.671155,0.351118,1.748308,4.370769,0.000000,6.274198
0.010000,0.380260,0.670994,0.368820,1.792015,4.370769,0.000000,6.274001
0.010000,0.398398,0.670826,0.386959,1.835723,4.370769,-0.000000,6.273825
0.010000,0.416973,0.670651,0.405535,1.879431,4.370769,0.000000,6.273673
0.010000,0.435984,0.670469,0.424547,1.923138,4.370769,-0.000000,6.273546
0.010000,0.455434,0.670280,0.443997,1.966846,4.370769,0.000000,6.273446
0.010000,0.475320,0.670086,0.463884,2.010554,4.370769,-0.000000,6.273375
0.010000,0.495643,0.669886,0.484208,2.054262,4.370769,0.000000,6.273336
0.010000,0.516403,0.669681,0.504970,2.097969,4.370769,-0.000000,6.273330
0.010000,0.537600,0.669472,0.526168,2.141677,4.370769,0.000000,6.273360
0.010000,0.559234,0.669261,0.547803,2.185385,4.370769,0.000000,6.273428
0.010000,0.581306,0.669046,0.569875,2.229092,4.370769,0.000000,6.273536
0.010000,0.603814,0.668831,0.592385,2.272800,4.370769,-0.000000,6.273687
0.010000,0.626760,0.668615,0.615331,2.316508,4.370769,0.000000,6.273883
0.010000,0.650142,0.668400,0.638715,2.360215,4.370769,0.000000,6.274126
0.010000,0.673962,0.668188,0.662536,2.403923,4.370769,-0.000000,6.274419
0.010000,0.698219,0.667979,0.686794,2.447631,4.370769,0.000000,6.274765
0.010000,0.722913,0.667776,0.711488,2.491338,4.370769,-0.000000,6.275166
0.010000,0.748044,0.667580,0.736620,2.535046,4.370769,0.000000,6.275624
0.010000,0.773612,0.667393,0.762189,2.578754,4.370769,-0.000000,6.276143
0.010000,0.799618,0.667218,0.788195,2.622462,4.370769,0.000000,6.276725
0.010000,0.826060,0.667055,0.814639,2.666169,4.370769,-0.000000,6.277373
0.010000,0.852940,0.666909,0.841519,2.709877,4.370769,0.000000,6.278089
0.010000,0.880257,0.666780,0.868836,2.753585,4.370769,-0.000000,6.278878
0.010000,0.908011,0.666672,0.896590,2.797292,4.370769,0.000000,6.279741
0.010000,0.936203,0.666588,0.924782,2.841000,4.370769,-0.000000,6.280682
0.010000,0.964831,0.666531,0.953410,2.884708,4.370769,0.000000,6.281704
0.010000,0.993897,0.666504,0.982476,2.928415,4.370769,0.000000,6.282810
0.010000,1.023400,0.666510,1.011979,2.972123,4.370769,-0.000000,0.000818
0.010000,1.053339,0.666554,1.041919,3.015831,4.370769,0.000000,0.002102
0.010000,1.083716,0.666639,1.072295,3.059538,4.370769,-0.000000,0.003480
0.010000,1.114530,0.666768,1.103109,3.103246,4.370769,0.000000,0.004955
0.010000,1.145780,0.666948,1.134360,3.146954,4.370769,0.000000,0.006530
0.010000,1.177467,0.667181,1.166048,3.190662,4.370769,-0.000000,0.008211
0.010000,1.209591,0.667473,1.198174,3.234369,4.370769,-0.000000,0.009999
0.010000,1.242127,0.667829,1.230711,3.273221,3.885128,-48.564103,0.011897
0.010000,1.275027,0.668253,1.263614,3.307215,3.399487,-48.564103,0.013906
0.010000,1.308241,0.668750,1.296832,3.336354,2.913846,-48.564103,0.016025
0.010000,1.341721,0.669324,1.330316,3.360636,2.428205,-48.564103,0.018255
0.010000,1.375418,0.669978,1.364020,3.380062,1.942564,-48.564103,0.020595
0.010000,1.409283,0.670717,1.397893,3.394631,1.456923,-48.564103,0.023042
0.010000,1.443268,0.671543,1.431888,3.404344,0.971282,-48.564103,0.025594
0.010000,1.477324,0.672460,1.465956,3.409200,0.485641,-48.564103,0.028251
0.010000,1.511401,0.673470,1.500048,3.409200,0.000000,-48.564103,0.031007
0.010000,1.545475,0.674575,1.534140,3.409200,0.000000,0.000000,0.033862
0.010000,1.579545,0.675779,1.568232,3.409200,0.000000,0.000000,0.036815
0.010000,1.613612,0.677086,1.602324,3.409200,0.000000,0.000000,0.039868
0.010000,1.647675,0.678498,1.636416,3.409200,0.000000,0.000000,0.043019
0.010000,1.681733,0.680019,1.670508,3.409200,0.000000,0.000000,0.046271
0.010000,1.715786,0.681653,1.704600,3.409200,0.000000,0.000000,0.049622
0.010000,1.749833,0.683402,1.738692,3.409200,0.000000,0.000000,0.053073
0.010000,1.783874,0.685271,1.772784,3.409200,0.000000,0.000000,0.056624
0.010000,1.817907,0.687262,1.806876,3.409200,0.000000,0.000000,0.060275
0.010000,1.851934,0.689379,1.840968,3.409200,0.000000,0.000000,0.064027
0.010000,1.885951,0.691626,1.875060,3.409200,0.000000,0.000000,0.067879
0.010000,1.919960,0.694005,1.909152,3.409200,0.000000,0.000000,0.071832
0.010000,1.953959,0.696521,1.943244,3.409200,0.000000,0.000000,0.075886
0.010000,1.987948,0.699176,1.977336,3.409200,0.000000,0.000000,0.080041
0.010000,2.021925,0.701973,2.011428,3.409200,0.000000,0.000000,0.084297
0.010000,2.055889,0.704918,2.045520,3.409200,0.000000,0.000000,0.088654
0.010000,2.089841,0.708011,2.079612,3.409200,0.000000,0.000000,0.093112
0.010000,2.123778,0.711258,2.113704,3.409200,0.000000,0.000000,0.097671
0.010000,2.157699,0.714662,2.147796,3.409200,0.000000,0.000000,0.102331
0.010000,2.191605,0.718225,2.181888,3.409200,0.000000,0.000000,0.107092
0.010000,2.225492,0.721951,2.215980,3.409200,0.000000,0.000000,0.111954
0.010000,2.259361,0.725843,2.250072,3.409200,0.000000,0.000000,0.116916
0.010000,2.293210,0.729906,2.284164,3.409200,0.000000,0.000000,0.121979
0.010000,2.327038,0.734141,2.318256,3.409200,0.000000,0.000000,0.127142
0.010000,2.360844,0.738552,2.352348,3.409200,0.000000,0.000000,0.132405
0.010000,2.394625,0.743143,2.386440,3.409200,0.000000,0.000000,0.137767
0.010000,2.428381,0.747917,2.420532,3.409200,0.000000,0.000000,0.143228
0.010000,2.462110,0.752877,2.454624,3.409200,0.000000,0.000000,0.148788
0.010000,2.495811,0.758026,2.488716,3.409200,0.000000,0.000000,0.154446
0.010000,2.529482,0.763367,2.522808,3.409200,0.000000,0.000000,0.160201
0.010000,2.563122,0.768903,2.556900,3.409200,0.000000,0.000000,0.166054
0.010000,2.596728,0.774638,2.590992,3.409200,0.000000,0.000000,0.172002
0.010000,2.630299,0.780574,2.625084,3.409200,0.000000,0.000000,0.178047
0.010000,2.663833,0.786715,2.659176,3.409200,0.000000,0.000000,0.184185
0.010000,2.697329,0.793063,2.693268,3.409200,0.000000,0.000000,0.190417
0.010000,2.730784,0.799621,2.727360,3.409200,0.000000,0.000000,0.196742
0.010000,2.764197,0.806392,2.761452,3.409200,0.000000,0.000000,0.203159
0.010000,2.797565,0.813379,2.795544,3.409200,0.000000,0.000000,0.209666
0.010000,2.830887,0.820584,2.829636,3.409200,0.000000,0.000000,0.216263
0.010000,2.864160,0.828011,2.863728,3.409200,0.000000,0.000000,0.222948
0.010000,2.897383,0.835661,2.897820,3.409200,0.000000,0.000000,0.229719
0.010000,2.930552,0.843538,2.931912,3.409200,0.000000,0.000000,0.236576
0.010000,2.963667,0.851643,2.966004,3.409200,0.000000,0.000000,0.243516
0.010000,2.996724,0.859979,3.000096,3.409200,0.000000,0.000000,0.250539
0.010000,3.029721,0.868548,3.034188,3.409200,0.000000,0.000000,0.257642
0.010000,3.062657,0.877353,3.068280,3.409200,0.000000,0.000000,0.264824
0.010000,3.095527,0.886395,3.102372,3.409200,0.000000,0.000000,0.272083
0.010000,3.128331,0.895677,3.136464,3.409200,0.000000,0.000000,0.279417
0.010000,3.161066,0.905201,3.170556,3.409200,0.000000,0.000000,0.286825
0.010000,3.193729,0.914967,3.204648,3.409200,0.000000,0.000000,0.294303
0.010000,3.226318,0.924979,3.238740,3.409200,0.000000,0.000000,0.301849
0.010000,3.258830,0.935238,3.272832,3.409200,0.000000,0.000000,0.309463
0.010000,3.291262,0.945745,3.306924,3.409200,0.000000,0.000000,0.317140
0.010000,3.323612,0.956502,3.341016,3.409200,0.000000,0.000000,0.324880
0.010000,3.355878,0.967510,3.375108,3.409200,0.000000,0.000000,0.332679
0.010000,3.388057,0.978770,3.409200,3.409200,0.000000,0.000000,0.340535
0.010000,3.420146,0.990283,3.443292,3.409200,0.000000,0.000000,0.348446
0.010000,3.452143,1.002050,3.477384,3.409200,0.000000,0.000000,0.356408
0.010000,3.484044,1.014073,3.511476,3.409200,0.000000,0.000000,0.364420
0.010000,3.515848,1.026352,3.545568,3.409200,0.000000,0.000000,0.372477
0.010000,3.547552,1.038887,3.579660,3.409200,0.000000,0.000000,0.380579
0.010000,3.579153,1.051680,3.613752,3.409200,0.000000,0.000000,0.388721
0.010000,3.610648,1.064729,3.647844,3.409200,0.000000,0.000000,0.396901
0.010000,3.642035,1.078037,3.681936,3.409200,0.000000,0.000000,0.405116
0.010000,3.673312,1.091602,3.716028,3.409200,0.000000,0.000000,0.413363
0.010000,3.704476,1.105426,3.750120,3.409200,0.000000,0.000000,0.421638
0.010000,3.735524,1.119507,3.784212,3.409200,0.000000,0.000000,0.429940
0.010000,3.766453,1.133846,3.818304,3.409200,0.000000,0.000000,0.438265
0.010000,3.797263,1.148442,3.852396,3.409200,0.000000,0.000000,0.446610
0.010000,3.827949,1.163295,3.886488,3.409200,0.000000,0.000000,0.454972
0.010000,3.858510,1.178405,3.920580,3.409200,0.000000,0.000000,0.463348
0.010000,3.888943,1.193769,3.954672,3.409200,0.000000,0.000000,0.471735
0.010000,3.919246,1.209389,3.988764,3.409200,0.000000,0.000000,0.480130
0.010000,3.949417,1.225263,4.022856,3.409200,0.000000,0.000000,0.488529
0.010000,3.979453,1.241390,4.056948,3.409200,0.000000,0.000000,0.496931
0.010000,4.009353,1.257768,4.091040,3.409200,0.000000,0.000000,0.505331
0.010000,4.035983,1.272322,4.125132,3.409200,0.000000,0.000000,0.489580
0.010000,4.066269,1.287974,4.159224,3.409200,0.000000,0.000000,0.464561
0.010000,4.096930,1.302877,4.193316,3.409200,0.000000,0.000000,0.440466
0.010000,4.127935,1.317051,4.227408,3.409200,0.000000,0.000000,0.417311
0.010000,4.159253,1.330519,4.261500,3.409200,0.000000,0.000000,0.395106
0.010000,4.190856,1.343304,4.295592,3.409200,0.000000,0.000000,0.373856
0.010000,4.222719,1.355429,4.329684,3.409200,0.000000,0.000000,0.353554
0.010000,4.254815,1.366920,4.363776,3.409200,0.000000,0.000000,0.334193
0.010000,4.287123,1.377802,4.397868,3.409200,0.000000,0.000000,0.315758
0.010000,4.319622,1.388102,4.431960,3.409200,0.000000,0.000000,0.298232
0.010000,4.352291,1.397846,4.466052,3.409200,0.000000,0.000000,0.281594
0.010000,4.385114,1.407058,4.500144,3.409200,0.000000,0.000000,0.265822
0.010000,4.418075,1.415766,4.534236,3.409200,0.000000,0.000000,0.250893
0.010000,4.451159,1.423995,4.568328,3.409200,0.000000,0.000000,0.236781
0.010000,4.484353,1.431769,4.602420,3.409200,0.000000,0.000000,0.223462
0.010000,4.517644,1.439113,4.636512,3.409200,0.000000,0.000000,0.210910
0.010000,4.551022,1.446051,4.670604,3.409200,0.000000,0.000000,0.199101
0.010000,4.584478,1.452607,4.704696,3.409200,0.000000,0.000000,0.188010
0.010000,4.618002,1.458802,4.738788,3.409200,0.000000,0.000000,0.177613
0.010000,4.651587,1.464661,4.772880,3.409200,0.000000,0.000000,0.167889
0.010000,4.685225,1.470203,4.806972,3.409200,0.000000,0.000000,0.158814
0.010000,4.718911,1.475451,4.841064,3.409200,0.000000,0.000000,0.150369
0.010000,4.752638,1.480424,4.875156,3.409200,0.000000,0.000000,0.142535
0.010000,4.786402,1.485143,4.909248,3.409200,0.000000,0.000000,0.135291
0.010000,4.820197,1.489627,4.943340,3.409200,0.000000,0.000000,0.128623
0.010000,4.854021,1.493895,4.977432,3.409200,0.000000,0.000000,0.122513
0.010000,4.887869,1.497966,5.011524,3.409200,0.000000,0.000000,0.116948
0.010000,4.921739,1.501857,5.045616,3.409200,0.000000,0.000000,0.111914
0.010000,4.955626,1.505586,5.079708,3.409200,0.000000,0.000000,0.107398
0.010000,4.989529,1.509171,5.113800,3.409200,0.000000,0.000000,0.103391
0.010000,5.023445,1.512629,5.147892,3.409200,0.000000,0.000000,0.099882
0.010000,5.057372,1.515976,5.181984,3.409200,0.000000,0.000000,0.096863
0.010000,5.091309,1.519229,5.216076,3.409200,0.000000,0.000000,0.094327
0.010000,5.125253,1.522403,5.250168,3.409200,0.000000,0.000000,0.092267
0.010000,5.159202,1.525516,5.284260,3.409200,0.000000,0.000000,0.090679
0.010000,5.193156,1.528583,5.318352,3.409200,0.000000,0.000000,0.089558
0.010000,5.227113,1.531620,5.352444,3.409200,0.000000,0.000000,0.088903
0.010000,5.261070,1.534642,5.386536,3.409200,0.000000,0.000000,0.088711
0.010000,5.295028,1.537666,5.420628,3.409200,0.000000,0.000000,0.088982
0.010000,5.328984,1.540707,5.454720,3.409200,0.000000,0.000000,0.089716
0.010000,5.362937,1.543780,5.488812,3.409200,0.000000,0.000000,0.090916
0.010000,5.396886,1.546902,5.522904,3.409200,0.000000,0.000000,0.092584
0.010000,5.430829,1.550089,5.556996,3.409200,0.000000,0.000000,0.094725
0.010000,5.464764,1.553357,5.591088,3.409200,0.000000,0.000000,0.097343
0.010000,5.498690,1.556721,5.625180,3.409200,0.000000,0.000000,0.100444
0.010000,5.532604,1.560199,5.659272,3.409200,0.000000,0.000000,0.104037
0.010000,5.566504,1.563808,5.693364,3.409200,0.000000,0.000000,0.108130
