dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.015546,0.595219,0.000024,0.004856,0.485641,48.564103,0.000163
0.010000,0.015545,0.595219,0.000025,0.000030,-0.482594,-96.823460,0.000159
0.010000,0.015545,0.595219,0.000025,0.000069,0.003807,48.640070,0.000150
0.010000,0.015543,0.595219,0.000026,0.000122,0.005324,0.151673,0.000135
0.010000,0.015542,0.595219,0.000028,0.000190,0.006831,0.150734,0.000110
0.010000,0.015539,0.595219,0.000031,0.000273,0.008323,0.149197,0.000075
0.010000,0.015535,0.595219,0.000035,0.000371,0.009792,0.146911,0.000028
0.010000,0.016397,0.595219,0.000897,0.086209,8.583805,857.401243,6.283151
0.010000,0.018358,0.595219,0.002858,0.196075,10.986531,240.272668,6.283072
0.010000,0.020754,0.595219,0.005254,0.239650,4.357580,-662.895103,6.282977
0.010000,0.023587,0.595218,0.008086,0.283229,4.357835,0.025425,6.282865
0.010000,0.026855,0.595217,0.011355,0.326807,4.357831,-0.000364,6.282736
0.010000,0.030559,0.595215,0.015058,0.370390,4.358315,0.048427,6.282592
0.010000,0.034698,0.595212,0.019198,0.413976,4.358596,0.028077,6.282431
0.010000,0.039274,0.595208,0.023774,0.457566,4.358946,0.035008,6.282256
0.010000,0.044286,0.595203,0.028785,0.501159,4.359312,0.036547,6.282065
0.010000,0.049733,0.595196,0.034233,0.544755,4.359591,0.027965,6.281861
0.010000,0.055617,0.595188,0.040117,0.588358,4.360306,0.071431,6.281643
0.010000,0.061936,0.595177,0.046436,0.631963,4.360572,0.026632,6.281412
0.010000,0.068692,0.595165,0.053192,0.675577,4.361322,0.075034,6.281168
0.010000,0.075884,0.595149,0.060384,0.719193,4.361616,0.029414,6.280913
0.010000,0.083512,0.595131,0.068012,0.762817,4.362374,0.075785,6.280647
0.010000,0.091577,0.595109,0.076077,0.806447,4.363010,0.063606,6.280371
0.010000,0.100078,0.595084,0.084577,0.850083,4.363673,0.066316,6.280086
0.010000,0.109015,0.595055,0.093515,0.893727,4.364401,0.072721,6.279793
0.010000,0.118388,0.595022,0.102888,0.937377,4.365004,0.060358,6.279493
0.010000,0.128199,0.594984,0.112699,0.981037,4.365908,0.090366,6.279186
0.010000,0.138446,0.594942,0.122946,1.024704,4.366756,0.084771,6.278874
0.010000,0.149129,0.594894,0.133630,1.068379,4.367483,0.072770,6.278557
0.010000,0.160250,0.594841,0.144750,1.112063,4.368422,0.093837,6.278238
0.010000,0.171807,0.594781,0.156308,1.155757,4.369384,0.096231,6.277917
0.010000,0.183802,0.594716,0.168302,1.199460,4.370299,0.091551,6.277596
0.010000,0.196233,0.594645,0.180734,1.243173,4.371277,0.097796,6.277275
