dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.030433,0.736068,0.000024,0.004856,0.485641,48.564103,6.280695
0.010000,0.030429,0.736068,0.000028,0.000395,-0.446110,-93.175074,6.280746
0.010000,0.030420,0.736069,0.000037,0.000889,0.049413,49.552232,6.280860
0.010000,0.030404,0.736069,0.000053,0.001581,0.069173,1.976073,6.281063
0.010000,0.030380,0.736069,0.000078,0.002470,0.088927,1.975409,6.281381
0.010000,0.030344,0.736069,0.000113,0.003557,0.108671,1.974310,6.281838
0.010000,0.030296,0.736069,0.000162,0.004841,0.128397,1.972655,6.282461
0.010000,0.030401,0.736069,0.000267,0.010550,0.570910,44.251251,0.000088
0.010000,0.032288,0.736070,0.002154,0.188725,17.817463,1724.655349,0.001117
0.010000,0.034594,0.736074,0.004460,0.230572,4.184725,-1363.273820,0.002375
0.010000,0.037320,0.736082,0.007186,0.272577,4.200533,1.580793,0.003861
0.010000,0.040464,0.736097,0.010330,0.314451,4.187375,-1.315767,0.005577
0.010000,0.044028,0.736121,0.013894,0.356359,4.190737,0.336214,0.007521
0.010000,0.048011,0.736155,0.017877,0.398335,4.197666,0.692833,0.009695
0.010000,0.052413,0.736203,0.022280,0.440246,4.191040,-0.662593,0.012098
0.010000,0.057234,0.736267,0.027101,0.482157,4.191117,0.007735,0.014730
0.010000,0.062474,0.736352,0.032342,0.524079,4.192175,0.105795,0.017591
0.010000,0.068134,0.736460,0.038003,0.566041,4.196249,0.407448,0.020683
0.010000,0.074212,0.736596,0.044082,0.607941,4.189984,-0.626500,0.024003
0.010000,0.080708,0.736764,0.050580,0.649826,4.188489,-0.149535,0.027553
0.010000,0.087623,0.736967,0.057498,0.691821,4.199507,1.101769,0.031331
0.010000,0.094956,0.737212,0.064835,0.733697,4.187612,-1.189453,0.035339
0.010000,0.102707,0.737502,0.072592,0.775634,4.193747,0.613459,0.039575
0.010000,0.110876,0.737844,0.080768,0.817597,4.196295,0.254774,0.044039
0.010000,0.119462,0.738243,0.089363,0.859521,4.192386,-0.390819,0.048730
0.010000,0.128464,0.738704,0.098378,0.901461,4.193936,0.154973,0.053649
0.010000,0.137884,0.739234,0.107812,0.943407,4.194687,0.075048,0.058793
0.010000,0.147719,0.739839,0.117665,0.985355,4.194737,0.005006,0.064161
0.010000,0.157969,0.740527,0.127939,1.027344,4.198929,0.419273,0.069754
0.010000,0.168634,0.741303,0.138632,1.069337,4.199261,0.033200,0.075568
0.010000,0.179713,0.742176,0.149745,1.111282,4.194526,-0.473504,0.081603
0.010000,0.191205,0.743152,0.161278,1.153353,4.207095,1.256846,0.087856
0.010000,0.203109,0.744239,0.173232,1.195343,4.198969,-0.812607,0.094325
0.010000,0.215423,0.745446,0.185605,1.237374,4.203173,0.420472,0.101008
0.010000,0.228148,0.746780,0.198400,1.279467,4.209239,0.606601,0.107902
0.010000,0.241282,0.748250,0.211616,1.321557,4.208996,-0.024302,0.115004
0.010000,0.254823,0.749864,0.225252,1.363667,4.210980,0.198358,0.122309
0.010000,0.268769,0.751631,0.239311,1.405829,4.216223,0.524341,0.129815
0.010000,0.283120,0.753561,0.253791,1.448018,4.218925,0.270113,0.137518
0.010000,0.297874,0.755662,0.268693,1.490217,4.219946,0.102103,0.145411
0.010000,0.313028,0.757944,0.284018,1.532480,4.226209,0.626357,0.153491
0.010000,0.328580,0.760416,0.299766,1.574781,4.230163,0.395429,0.161752
0.010000,0.344529,0.763088,0.315937,1.617136,4.235443,0.527925,0.170188
0.010000,0.360873,0.765969,0.332532,1.659520,4.238425,0.298232,0.178792
0.010000,0.377608,0.769069,0.349552,1.701970,4.245007,0.658219,0.187557
0.010000,0.394732,0.772399,0.366997,1.744482,4.251257,0.624927,0.196477
0.010000,0.412242,0.775967,0.384867,1.787056,4.257339,0.608235,0.205544
0.010000,0.430137,0.779784,0.403164,1.829690,4.263412,0.607335,0.214749
0.010000,0.448412,0.783859,0.421888,1.872386,4.269625,0.621272,0.224083
0.010000,0.467064,0.788203,0.441039,1.915147,4.276114,0.648954,0.233537
0.010000,0.486091,0.792826,0.460620,1.958013,4.286510,1.039561,0.243102
0.010000,0.505488,0.797736,0.480629,2.000920,4.290783,0.427337,0.252768
0.010000,0.525253,0.802944,0.501068,2.043944,4.302364,1.158045,0.262523
0.010000,0.545381,0.808460,0.521939,2.087029,4.308465,0.610153,0.272358
0.010000,0.565869,0.814292,0.543241,2.130207,4.317818,0.935293,0.282261
0.010000,0.586713,0.820450,0.564975,2.173478,4.327071,0.925211,0.292219
0.010000,0.607910,0.826942,0.587144,2.216841,4.336356,0.928582,0.302223
0.010000,0.629454,0.833779,0.609747,2.260299,4.345792,0.943609,0.312258
0.010000,0.651343,0.840967,0.632785,2.303854,4.355477,0.968451,0.322313
0.010000,0.673571,0.848515,0.656260,2.347509,4.365477,1.000007,0.332374
0.010000,0.696135,0.856431,0.680173,2.391263,4.375424,0.994664,0.342430
0.010000,0.719031,0.864723,0.704524,2.435120,4.385698,1.027394,0.352466
0.010000,0.742255,0.873398,0.729315,2.479077,4.395733,1.003535,0.362470
0.010000,0.765802,0.882462,0.754546,2.523137,4.406001,1.026810,0.372429
0.010000,0.789668,0.891923,0.780219,2.567303,4.416546,1.054476,0.382329
0.010000,0.813850,0.901786,0.806335,2.611570,4.426744,1.019779,0.392158
0.010000,0.838343,0.912056,0.832895,2.655939,4.436921,1.017694,0.401901
0.010000,0.863144,0.922740,0.859899,2.700411,4.447140,1.021903,0.411546
0.010000,0.888249,0.933841,0.887348,2.744985,4.457445,1.030564,0.421079
0.010000,0.913654,0.945364,0.915245,2.789664,4.467865,1.041958,0.430489
