dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.030239,0.658291,0.000024,0.004856,0.485641,48.564103,6.280695
0.010000,0.030239,0.658291,0.000121,0.014569,0.971282,48.564103,6.280746
0.010000,0.030239,0.658291,0.000340,0.029138,1.456923,48.564103,6.280860
0.010000,0.030239,0.658291,0.000728,0.048564,1.942564,48.564103,6.281063
0.010000,0.030239,0.658291,0.001336,0.072846,2.428205,48.564103,6.281381
0.010000,0.030239,0.658291,0.002210,0.101985,2.913846,48.564103,6.281838
0.010000,0.030239,0.658291,0.003399,0.135979,3.399487,48.564103,6.282461
0.010000,0.030408,0.658291,0.004954,0.174831,3.885128,48.564103,0.000088
0.010000,0.032375,0.658292,0.006920,0.218538,4.370769,48.564103,0.001117
0.010000,0.034779,0.658296,0.009324,0.262246,4.370769,0.000000,0.002375
0.010000,0.037620,0.658305,0.012165,0.305954,4.370769,-0.000000,0.003861
0.010000,0.040898,0.658321,0.015443,0.349662,4.370769,0.000000,0.005577
0.010000,0.044613,0.658345,0.019159,0.393369,4.370769,-0.000000,0.007521
0.010000,0.048765,0.658381,0.023311,0.437077,4.370769,0.000000,0.009695
0.010000,0.053354,0.658431,0.027900,0.480785,4.370769,0.000000,0.012098
0.010000,0.058380,0.658498,0.032926,0.524492,4.370769,0.000000,0.014730
0.010000,0.063843,0.658586,0.038390,0.568200,4.370769,-0.000000,0.017591
0.010000,0.069742,0.658699,0.044290,0.611908,4.370769,0.000000,0.020683
0.010000,0.076078,0.658841,0.050628,0.655615,4.370769,0.000000,0.024003
0.010000,0.082851,0.659015,0.057403,0.699323,4.370769,0.000000,0.027553
0.010000,0.090060,0.659228,0.064615,0.743031,4.370769,-0.000000,0.031331
0.010000,0.097704,0.659483,0.072263,0.786738,4.370769,0.000000,0.035339
0.010000,0.105784,0.659786,0.080349,0.830446,4.370769,0.000000,0.039575
0.010000,0.114300,0.660142,0.088872,0.874154,4.370769,-0.000000,0.044039
0.010000,0.123250,0.660557,0.097832,0.917862,4.370769,0.000000,0.048730
0.010000,0.132635,0.661038,0.107230,0.961569,4.370769,0.000000,0.053649
0.010000,0.142454,0.661591,0.117064,1.005277,4.370769,-0.000000,0.058793
0.010000,0.152705,0.662222,0.127335,1.048985,4.370769,0.000000,0.064161
0.010000,0.163390,0.662938,0.138043,1.092692,4.370769,-0.000000,0.069754
0.010000,0.174506,0.663747,0.149189,1.136400,4.370769,0.000000,0.075568
0.010000,0.186052,0.664657,0.160771,1.180108,4.370769,0.000000,0.081603
0.010000,0.198029,0.665674,0.172791,1.223815,4.370769,-0.000000,0.087856
0.010000,0.210434,0.666807,0.185248,1.267523,4.370769,0.000000,0.094325
0.010000,0.223266,0.668064,0.198142,1.311231,4.370769,-0.000000,0.101008
0.010000,0.236524,0.669454,0.211472,1.354938,4.370769,0.000000,0.107902
0.010000,0.250207,0.670985,0.225240,1.398646,4.370769,-0.000000,0.115004
0.010000,0.264312,0.672667,0.239445,1.442354,4.370769,0.000000,0.122309
0.010000,0.278838,0.674508,0.254087,1.486062,4.370769,0.000000,0.129815
0.010000,0.293783,0.676518,0.269167,1.529769,4.370769,0.000000,0.137518
0.010000,0.309144,0.678705,0.284683,1.573477,4.370769,0.000000,0.145411
0.010000,0.324919,0.681081,0.300636,1.617185,4.370769,-0.000000,0.153491
0.010000,0.341106,0.683654,0.317026,1.660892,4.370769,0.000000,0.161752
0.010000,0.357702,0.686434,0.333854,1.704600,4.370769,-0.000000,0.170188
0.010000,0.374705,0.689431,0.351118,1.748308,4.370769,0.000000,0.178792
0.010000,0.392110,0.692655,0.368820,1.792015,4.370769,0.000000,0.187557
0.010000,0.409915,0.696117,0.386959,1.835723,4.370769,-0.000000,0.196477
0.010000,0.428117,0.699826,0.405535,1.879431,4.370769,0.000000,0.205544
0.010000,0.446711,0.703792,0.424547,1.923138,4.370769,-0.000000,0.214749
0.010000,0.465695,0.708026,0.443997,1.966846,4.370769,0.000000,0.224083
0.010000,0.485063,0.712537,0.463884,2.010554,4.370769,-0.000000,0.233537
0.010000,0.504813,0.717335,0.484208,2.054262,4.370769,0.000000,0.243102
0.010000,0.524939,0.722430,0.504970,2.097969,4.370769,-0.000000,0.252768
0.010000,0.545437,0.727831,0.526168,2.141677,4.370769,0.000000,0.262523
0.010000,0.566304,0.733549,0.547803,2.185385,4.370769,0.000000,0.272358
0.010000,0.587532,0.739592,0.569875,2.229092,4.370769,0.000000,0.282261
0.010000,0.609119,0.745969,0.592385,2.272800,4.370769,-0.000000,0.292219
0.010000,0.631060,0.752690,0.615331,2.316508,4.370769,0.000000,0.302223
0.010000,0.653348,0.759762,0.638715,2.360215,4.370769,0.000000,0.312258
0.010000,0.675980,0.767194,0.662536,2.403923,4.370769,-0.000000,0.322313
0.010000,0.698949,0.774994,0.686794,2.447631,4.370769,0.000000,0.332374
0.010000,0.722251,0.783169,0.711488,2.491338,4.370769,-0.000000,0.342430
0.010000,0.745881,0.791727,0.736620,2.535046,4.370769,0.000000,0.352466
0.010000,0.769834,0.800674,0.762189,2.578754,4.370769,-0.000000,0.362470
0.010000,0.794103,0.810017,0.788195,2.622462,4.370769,0.000000,0.372429
0.010000,0.818686,0.819761,0.814639,2.666169,4.370769,-0.000000,0.382329
0.010000,0.843575,0.829912,0.841519,2.709877,4.370769,0.000000,0.392158
0.010000,0.868767,0.840476,0.868836,2.753585,4.370769,-0.000000,0.401901
0.010000,0.894257,0.851456,0.896590,2.797292,4.370769,0.000000,0.411546
0.010000,0.920040,0.862857,0.924782,2.841000,4.370769,-0.000000,0.421079
0.010000,0.946112,0.874682,0.953410,2.884708,4.370769,0.000000,0.430489
0.010000,0.972469,0.886934,0.982476,2.928415,4.370769,0.000000,0.439761
0.010000,0.999107,0.899617,1.011979,2.972123,4.370769,-0.000000,0.448885
0.010000,1.026022,0.912731,1.041919,3.015831,4.370769,0.000000,0.457846
0.010000,1.053210,0.926278,1.072295,3.059538,4.370769,-0.000000,0.466634
0.010000,1.080669,0.940260,1.103109,3.103246,4.370769,0.000000,0.475236
0.010000,1.108396,0.954676,1.134360,3.146954,4.370769,0.000000,0.483640
0.010000,1.136389,0.969526,1.166048,3.190662,4.370769,-0.000000,0.491836
0.010000,1.164645,0.984811,1.198174,3.234369,4.370769,-0.000000,0.499812
0.010000,1.193142,1.000516,1.230711,3.273221,3.885128,-48.564103,0.507552
0.010000,1.221835,1.016616,1.263614,3.307215,3.399487,-48.564103,0.515034
0.010000,1.250685,1.033083,1.296832,3.336354,2.913846,-48.564103,0.522241
0.010000,1.279648,1.049887,1.330316,3.360636,2.428205,-48.564103,0.529156
0.010000,1.308685,1.066998,1.364020,3.380062,1.942564,-48.564103,0.535764
0.010000,1.337757,1.084383,1.397893,3.394631,1.456923,-48.564103,0.542055
0.010000,1.366825,1.102008,1.431888,3.404344,0.971282,-48.564103,0.548018
0.010000,1.395854,1.119840,1.465956,3.409200,0.485641,-48.564103,0.553645
0.010000,1.424805,1.137842,1.500048,3.409200,0.000000,-48.564103,0.558932
0.010000,1.453663,1.155993,1.534140,3.409200,0.000000,0.000000,0.563876
0.010000,1.482435,1.174281,1.568232,3.409200,0.000000,0.000000,0.568482
0.010000,1.511125,1.192697,1.602324,3.409200,0.000000,0.000000,0.572752
0.010000,1.539739,1.211230,1.636416,3.409200,0.000000,0.000000,0.576691
0.010000,1.568284,1.229871,1.670508,3.409200,0.000000,0.000000,0.580301
0.010000,1.596764,1.248610,1.704600,3.409200,0.000000,0.000000,0.583585
0.010000,1.625185,1.267439,1.738692,3.409200,0.000000,0.000000,0.586546
0.010000,1.653553,1.286346,1.772784,3.409200,0.000000,0.000000,0.589185
