dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.030046,0.580513,0.000024,0.004856,0.485641,48.564103,6.280695
0.010000,0.030049,0.580513,0.000028,0.000395,-0.446110,-93.175074,6.280746
0.010000,0.030058,0.580513,0.000037,0.000889,0.049413,49.552232,6.280860
0.010000,0.030074,0.580513,0.000053,0.001581,0.069173,1.976073,6.281063
0.010000,0.030099,0.580513,0.000078,0.002470,0.088927,1.975409,6.281381
0.010000,0.030134,0.580513,0.000113,0.003557,0.108671,1.974310,6.281838
0.010000,0.030183,0.580513,0.000162,0.004841,0.128397,1.972655,6.282461
0.010000,0.030415,0.580513,0.000394,0.023195,1.835393,170.699598,0.000088
0.010000,0.032462,0.580514,0.002441,0.204731,18.153632,1631.823857,0.001117
0.010000,0.034963,0.580519,0.004942,0.250131,4.539931,-1361.370036,0.002375
0.010000,0.037920,0.580528,0.007899,0.295703,4.557232,1.730056,0.003861
0.010000,0.041332,0.580544,0.011311,0.341134,4.543121,-1.411111,0.005577
0.010000,0.045198,0.580569,0.015177,0.386604,4.546934,0.381287,0.007521
0.010000,0.049519,0.580606,0.019498,0.432150,4.554609,0.767520,0.009695
0.010000,0.054295,0.580658,0.024274,0.477625,4.547561,-0.704734,0.012098
0.010000,0.059526,0.580729,0.029505,0.523103,4.547756,0.019468,0.014730
0.010000,0.065211,0.580821,0.035191,0.568593,4.548971,0.121476,0.017591
0.010000,0.071351,0.580938,0.041333,0.614127,4.553400,0.442872,0.020683
0.010000,0.077945,0.581085,0.047928,0.659592,4.546535,-0.686451,0.024003
0.010000,0.084993,0.581267,0.054979,0.705039,4.544752,-0.178310,0.027553
0.010000,0.092496,0.581488,0.062485,0.750604,4.556433,1.168062,0.031331
0.010000,0.100452,0.581753,0.070445,0.796035,4.543121,-1.331170,0.035339
0.010000,0.108861,0.582069,0.078861,0.841527,4.549215,0.609395,0.039575
0.010000,0.117724,0.582439,0.087731,0.887039,4.551238,0.202337,0.044039
0.010000,0.127039,0.582872,0.097056,0.932500,4.546054,-0.518452,0.048730
0.010000,0.136806,0.583372,0.106836,0.977966,4.546561,0.050740,0.053649
0.010000,0.147024,0.583947,0.117070,1.023425,4.545944,-0.061665,0.058793
0.010000,0.157692,0.584604,0.127759,1.068868,4.544283,-0.166167,0.064161
0.010000,0.168811,0.585349,0.138902,1.114336,4.546800,0.251721,0.069754
0.010000,0.180378,0.586191,0.150500,1.159784,4.544784,-0.201605,0.075568
0.010000,0.192392,0.587138,0.162551,1.205153,4.536897,-0.788667,0.081603
0.010000,0.204854,0.588196,0.175058,1.250626,4.547368,1.047058,0.087856
0.010000,0.217760,0.589375,0.188017,1.295976,4.534957,-1.241071,0.094325
0.010000,0.231109,0.590683,0.201431,1.341330,4.535447,0.048955,0.101008
0.010000,0.244901,0.592129,0.215298,1.386705,4.537448,0.200141,0.107902
0.010000,0.259132,0.593721,0.229618,1.432026,4.532075,-0.537321,0.115004
0.010000,0.273801,0.595470,0.244391,1.477311,4.528549,-0.352540,0.122309
0.010000,0.288906,0.597385,0.259617,1.522591,4.527959,-0.059089,0.129815
0.010000,0.304445,0.599474,0.275295,1.567831,4.523988,-0.397096,0.137518
0.010000,0.320414,0.601748,0.291425,1.613006,4.517547,-0.644052,0.145411
0.010000,0.336810,0.604217,0.308007,1.658167,4.516105,-0.144180,0.153491
0.010000,0.353632,0.606891,0.325040,1.703282,4.511464,-0.464159,0.161752
0.010000,0.370875,0.609780,0.342523,1.748357,4.507537,-0.392718,0.170188
0.010000,0.388537,0.612893,0.360457,1.793361,4.500392,-0.714442,0.178792
0.010000,0.406612,0.616242,0.378840,1.838325,4.496393,-0.399949,0.187557
0.010000,0.425099,0.619836,0.397673,1.883238,4.491276,-0.511628,0.196477
0.010000,0.443991,0.623685,0.416953,1.928090,4.485220,-0.605638,0.205544
0.010000,0.463286,0.627801,0.436682,1.972874,4.478396,-0.682403,0.214749
0.010000,0.482978,0.632193,0.456858,2.017584,4.470971,-0.742491,0.224083
0.010000,0.503063,0.636870,0.477480,2.062215,4.463105,-0.786605,0.233537
0.010000,0.523535,0.641844,0.498548,2.106802,4.458718,-0.438698,0.243102
0.010000,0.544390,0.647123,0.520061,2.151272,4.447039,-1.167912,0.252768
0.010000,0.565622,0.652718,0.542018,2.195698,4.442543,-0.449591,0.262523
0.010000,0.587226,0.658638,0.564418,2.240013,4.431513,-1.102969,0.272358
0.010000,0.609196,0.664892,0.587260,2.284246,4.423372,-0.814135,0.282261
0.010000,0.631526,0.671489,0.610544,2.328392,4.414557,-0.881490,0.292219
0.010000,0.654210,0.678437,0.634269,2.372445,4.405261,-0.929625,0.302223
0.010000,0.677242,0.685745,0.658433,2.416401,4.395659,-0.960133,0.312258
0.010000,0.700617,0.693421,0.683035,2.460260,4.385912,-0.974712,0.322313
0.010000,0.724327,0.701473,0.708076,2.504022,4.376148,-0.976459,0.332374
