dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000145,0.077778,0.000024,0.004856,0.485641,48.564103,6.281325
0.010000,0.000143,0.077778,0.000026,0.000130,-0.472601,-95.824215,6.281342
0.010000,0.000140,0.077778,0.000029,0.000293,0.016301,48.890199,6.281380
0.010000,0.000135,0.077778,0.000034,0.000522,0.022824,0.652313,6.281447
0.010000,0.000127,0.077778,0.000042,0.000815,0.029351,0.652739,6.281552
0.010000,0.000115,0.077778,0.000054,0.001174,0.035886,0.653436,6.281703
0.010000,0.000099,0.077778,0.000070,0.001598,0.042430,0.654474,6.281908
0.010000,0.000078,0.077778,0.000090,0.002088,0.048990,0.655918,6.282177
0.010000,0.000052,0.077778,0.000117,0.002644,0.055568,0.657837,6.282516
0.010000,0.000020,0.077778,0.000149,0.003233,0.058905,0.333653,6.282932
0.010000,0.001360,0.077778,0.001490,0.134035,13.080171,1302.126693,0.000239
0.010000,0.004595,0.077780,0.004725,0.323523,18.948821,586.864927,0.000807
0.010000,0.008260,0.077784,0.008389,0.366433,4.290980,-1465.784032,0.001451
0.010000,0.012355,0.077791,0.012485,0.409576,4.314304,2.332367,0.002172
0.010000,0.016884,0.077803,0.017013,0.452824,4.324791,1.048663,0.002971
0.010000,0.021840,0.077820,0.021970,0.495638,4.281425,-4.336598,0.003847
0.010000,0.027231,0.077843,0.027361,0.539111,4.347360,6.593516,0.004801
0.010000,0.033050,0.077874,0.033179,0.581879,4.276704,-7.065546,0.005834
0.010000,0.039302,0.077914,0.039432,0.625215,4.333648,5.694376,0.006946
0.010000,0.045984,0.077964,0.046114,0.668215,4.299995,-3.365367,0.008138
0.010000,0.053094,0.078027,0.053225,0.711078,4.286279,-1.371572,0.009410
0.010000,0.060639,0.078103,0.060770,0.754540,4.346183,5.990427,0.010763
0.010000,0.068613,0.078194,0.068745,0.797483,4.294364,-5.181878,0.012198
0.010000,0.077017,0.078303,0.077149,0.840456,4.297313,0.294872,0.013715
0.010000,0.085851,0.078432,0.085984,0.883473,4.301638,0.432536,0.015315
0.010000,0.095115,0.078581,0.095249,0.926522,4.304878,0.324002,0.016999
0.010000,0.104811,0.078755,0.104946,0.969702,4.318088,1.320942,0.018768
0.010000,0.114936,0.078954,0.115074,1.012728,4.302580,-1.550803,0.020622
0.010000,0.125491,0.079182,0.125631,1.055727,4.299854,-0.272629,0.022564
0.010000,0.136475,0.079441,0.136618,1.098714,4.298760,-0.109367,0.024593
