dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000024,0.004856,0.485641,48.564103,6.281325
0.010000,0.000000,0.000000,0.000121,0.014569,0.971282,48.564103,6.281342
0.010000,0.000000,0.000000,0.000340,0.029138,1.456923,48.564103,6.281380
0.010000,0.000000,0.000000,0.000728,0.048564,1.942564,48.564103,6.281447
0.010000,0.000000,0.000000,0.001336,0.072846,2.428205,48.564103,6.281552
0.010000,0.000000,0.000000,0.002210,0.101985,2.913846,48.564103,6.281703
0.010000,0.000000,0.000000,0.003399,0.135979,3.399487,48.564103,6.281908
0.010000,0.000000,0.000000,0.004954,0.174831,3.885128,48.564103,6.282177
0.010000,0.000000,0.000000,0.006920,0.218538,4.370769,48.564103,6.282516
0.010000,0.000000,0.000000,0.009324,0.262246,4.370769,0.000000,6.282932
0.010000,0.001379,0.000000,0.012165,0.305954,4.370769,-0.000000,0.000239
0.010000,0.004658,0.000002,0.015443,0.349662,4.370769,0.000000,0.000807
0.010000,0.008372,0.000006,0.019159,0.393369,4.370769,-0.000000,0.001451
0.010000,0.012524,0.000014,0.023311,0.437077,4.370769,0.000000,0.002172
0.010000,0.017115,0.000025,0.027900,0.480785,4.370769,0.000000,0.002971
0.010000,0.022139,0.000043,0.032926,0.524492,4.370769,0.000000,0.003847
0.010000,0.027604,0.000066,0.038390,0.568200,4.370769,-0.000000,0.004801
0.010000,0.033503,0.000098,0.044290,0.611908,4.370769,0.000000,0.005834
0.010000,0.039842,0.000138,0.050628,0.655615,4.370769,0.000000,0.006946
0.010000,0.046617,0.000189,0.057403,0.699323,4.370769,0.000000,0.008138
0.010000,0.053826,0.000252,0.064615,0.743031,4.370769,-0.000000,0.009410
0.010000,0.061476,0.000330,0.072263,0.786738,4.370769,0.000000,0.010763
0.010000,0.069562,0.000422,0.080349,0.830446,4.370769,0.000000,0.012198
0.010000,0.078084,0.000533,0.088872,0.874154,4.370769,-0.000000,0.013715
0.010000,0.087042,0.000663,0.097832,0.917862,4.370769,0.000000,0.015315
0.010000,0.096437,0.000815,0.107230,0.961569,4.370769,0.000000,0.016999
0.010000,0.106270,0.000990,0.117064,1.005277,4.370769,-0.000000,0.018768
0.010000,0.116540,0.001193,0.127335,1.048985,4.370769,0.000000,0.020622
0.010000,0.127246,0.001424,0.138043,1.092692,4.370769,-0.000000,0.022564
0.010000,0.138387,0.001687,0.149189,1.136400,4.370769,0.000000,0.024593
0.010000,0.149967,0.001984,0.160771,1.180108,4.370769,0.000000,0.026711
0.010000,0.161983,0.002318,0.172791,1.223815,4.370769,-0.000000,0.028919
0.010000,0.174434,0.002693,0.185248,1.267523,4.370769,0.000000,0.031218
0.010000,0.187321,0.003110,0.198142,1.311231,4.370769,-0.000000,0.033608
0.010000,0.200642,0.003575,0.211472,1.354938,4.370769,0.000000,0.036092
0.010000,0.214402,0.004089,0.225240,1.398646,4.370769,-0.000000,0.038671
0.010000,0.228596,0.004658,0.239445,1.442354,4.370769,0.000000,0.041346
0.010000,0.243223,0.005283,0.254087,1.486062,4.370769,0.000000,0.044118
0.010000,0.258288,0.005970,0.269167,1.529769,4.370769,0.000000,0.046990
0.010000,0.273784,0.006721,0.284683,1.573477,4.370769,0.000000,0.049961
0.010000,0.289718,0.007543,0.300636,1.617185,4.370769,-0.000000,0.053034
0.010000,0.306083,0.008437,0.317026,1.660892,4.370769,0.000000,0.056211
0.010000,0.322883,0.009410,0.333854,1.704600,4.370769,-0.000000,0.059493
0.010000,0.340116,0.010466,0.351118,1.748308,4.370769,0.000000,0.062881
0.010000,0.357780,0.011609,0.368820,1.792015,4.370769,0.000000,0.066378
0.010000,0.375875,0.012845,0.386959,1.835723,4.370769,-0.000000,0.069985
0.010000,0.394403,0.014178,0.405535,1.879431,4.370769,0.000000,0.073705
0.010000,0.413363,0.015615,0.424547,1.923138,4.370769,-0.000000,0.077538
0.010000,0.432751,0.017160,0.443997,1.966846,4.370769,0.000000,0.081488
0.010000,0.452569,0.018819,0.463884,2.010554,4.370769,-0.000000,0.085555
0.010000,0.472815,0.020598,0.484208,2.054262,4.370769,0.000000,0.089743
0.010000,0.493488,0.022503,0.504970,2.097969,4.370769,-0.000000,0.094052
0.010000,0.514587,0.024540,0.526168,2.141677,4.370769,0.000000,0.098486
0.010000,0.536113,0.026717,0.547803,2.185385,4.370769,0.000000,0.103046
0.010000,0.558064,0.029039,0.569875,2.229092,4.370769,0.000000,0.107736
0.010000,0.580437,0.031513,0.592385,2.272800,4.370769,-0.000000,0.112556
0.010000,0.603230,0.034146,0.615331,2.316508,4.370769,0.000000,0.117509
0.010000,0.626447,0.036947,0.638715,2.360215,4.370769,0.000000,0.122598
0.010000,0.650080,0.039922,0.662536,2.403923,4.370769,-0.000000,0.127825
0.010000,0.674133,0.043079,0.686794,2.447631,4.370769,0.000000,0.133193
0.010000,0.698598,0.046425,0.711488,2.491338,4.370769,-0.000000,0.138703
0.010000,0.723480,0.049970,0.736620,2.535046,4.370769,0.000000,0.144360
0.010000,0.748772,0.053722,0.762189,2.578754,4.370769,-0.000000,0.150164
0.010000,0.774473,0.057689,0.788195,2.622462,4.370769,0.000000,0.156119
0.010000,0.800582,0.061880,0.814639,2.666169,4.370769,-0.000000,0.162227
0.010000,0.827096,0.066305,0.841519,2.709877,4.370769,0.000000,0.168490
0.010000,0.854012,0.070972,0.868836,2.753585,4.370769,-0.000000,0.174912
0.010000,0.881327,0.075892,0.896590,2.797292,4.370769,0.000000,0.181494
0.010000,0.909038,0.081073,0.924782,2.841000,4.370769,-0.000000,0.188240
0.010000,0.937141,0.086528,0.953410,2.884708,4.370769,0.000000,0.195151
0.010000,0.965634,0.092264,0.982476,2.928415,4.370769,0.000000,0.202231
0.010000,0.994515,0.098295,1.011979,2.972123,4.370769,-0.000000,0.209481
0.010000,1.023777,0.104630,1.041919,3.015831,4.370769,0.000000,0.216904
0.010000,1.053416,0.111279,1.072295,3.059538,4.370769,-0.000000,0.224502
0.010000,1.083431,0.118256,1.103109,3.103246,4.370769,0.000000,0.232277
0.010000,1.113813,0.125570,1.134360,3.146954,4.370769,0.000000,0.240232
0.010000,1.144561,0.133235,1.166048,3.190662,4.370769,-0.000000,0.248368
0.010000,1.175666,0.141261,1.198174,3.234369,4.370769,-0.000000,0.256687
0.010000,1.207103,0.149655,1.230711,3.273221,3.885128,-48.564103,0.265185
0.010000,1.238817,0.158416,1.263614,3.307215,3.399487,-48.564103,0.273850
0.010000,1.270757,0.167540,1.296832,3.336354,2.913846,-48.564103,0.282669
0.010000,1.302870,0.177023,1.330316,3.360636,2.428205,-48.564103,0.291631
0.010000,1.335106,0.186859,1.364020,3.380062,1.942564,-48.564103,0.300721
0.010000,1.367413,0.197042,1.397893,3.394631,1.456923,-48.564103,0.309926
0.010000,1.399740,0.207560,1.431888,3.404344,0.971282,-48.564103,0.319232
0.010000,1.432036,0.218403,1.465956,3.409200,0.485641,-48.564103,0.328622
0.010000,1.464251,0.229558,1.500048,3.409200,0.000000,-48.564103,0.338082
0.010000,1.496359,0.241019,1.534140,3.409200,0.000000,0.000000,0.347602
0.010000,1.528356,0.252785,1.568232,3.409200,0.000000,0.000000,0.357179
0.010000,1.560238,0.264858,1.602324,3.409200,0.000000,0.000000,0.366811
0.010000,1.592002,0.277239,1.636416,3.409200,0.000000,0.000000,0.376494
0.010000,1.623645,0.289927,1.670508,3.409200,0.000000,0.000000,0.386226
0.010000,1.655163,0.302924,1.704600,3.409200,0.000000,0.000000,0.396002
0.010000,1.686552,0.316228,1.738692,3.409200,0.000000,0.000000,0.405820
0.010000,1.717808,0.329841,1.772784,3.409200,0.000000,0.000000,0.415675
0.010000,1.748928,0.343761,1.806876,3.409200,0.000000,0.000000,0.425564
0.010000,1.779909,0.357989,1.840968,3.409200,0.000000,0.000000,0.435484
0.010000,1.810746,0.372524,1.875060,3.409200,0.000000,0.000000,0.445431
0.010000,1.841439,0.387366,1.909152,3.409200,0.000000,0.000000,0.455400
0.010000,1.871981,0.402513,1.943244,3.409200,0.000000,0.000000,0.465388
0.010000,1.902370,0.417964,1.977336,3.409200,0.000000,0.000000,0.475390
0.010000,1.932602,0.433719,2.011428,3.409200,0.000000,0.000000,0.485403
0.010000,1.962677,0.449776,2.045520,3.409200,0.000000,0.000000,0.495422
0.010000,1.992588,0.466133,2.079612,3.409200,0.000000,0.000000,0.505443
0.010000,2.022334,0.482790,2.113704,3.409200,0.000000,0.000000,0.515462
0.010000,2.051911,0.499743,2.147796,3.409200,0.000000,0.000000,0.525473
0.010000,2.081318,0.516992,2.181888,3.409200,0.000000,0.000000,0.535475
0.010000,2.110551,0.534533,2.215980,3.409200,0.000000,0.000000,0.545460
0.010000,2.139607,0.552365,2.250072,3.409200,0.000000,0.000000,0.555426
0.010000,2.168484,0.570486,2.284164,3.409200,0.000000,0.000000,0.565369
0.010000,2.197180,0.588893,2.318256,3.409200,0.000000,0.000000,0.575283
0.010000,2.225692,0.607582,2.352348,3.409200,0.000000,0.000000,0.585165
0.010000,2.254019,0.626552,2.386440,3.409200,0.000000,0.000000,0.595010
0.010000,2.282157,0.645799,2.420532,3.409200,0.000000,0.000000,0.604815
0.010000,2.310107,0.665321,2.454624,3.409200,0.000000,0.000000,0.614575
0.010000,2.337865,0.685114,2.488716,3.409200,0.000000,0.000000,0.624286
0.010000,2.365429,0.705175,2.522808,3.409200,0.000000,0.000000,0.633945
0.010000,2.392800,0.725500,2.556900,3.409200,0.000000,0.000000,0.643547
0.010000,2.419974,0.746086,2.590992,3.409200,0.000000,0.000000,0.653089
0.010000,2.446952,0.766930,2.625084,3.409200,0.000000,0.000000,0.662567
0.010000,2.473731,0.788028,2.659176,3.409200,0.000000,0.000000,0.671978
0.010000,2.500312,0.809376,2.693268,3.409200,0.000000,0.000000,0.681318
0.010000,2.526692,0.830970,2.727360,3.409200,0.000000,0.000000,0.690583
0.010000,2.552873,0.852807,2.761452,3.409200,0.000000,0.000000,0.699772
0.010000,2.578852,0.874882,2.795544,3.409200,0.000000,0.000000,0.708881
0.010000,2.604630,0.897192,2.829636,3.409200,0.000000,0.000000,0.717906
0.010000,2.630207,0.919733,2.863728,3.409200,0.000000,0.000000,0.726846
0.010000,2.655582,0.942500,2.897820,3.409200,0.000000,0.000000,0.735696
