dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000145,-0.077778,0.000024,0.004856,0.485641,48.564103,6.281325
0.010000,-0.000143,-0.077778,0.000026,0.000130,-0.472601,-95.824215,6.281342
0.010000,-0.000140,-0.077778,0.000029,0.000293,0.016301,48.890199,6.281380
0.010000,-0.000135,-0.077778,0.000034,0.000522,0.022824,0.652313,6.281447
0.010000,-0.000127,-0.077778,0.000042,0.000815,0.029351,0.652739,6.281552
0.010000,-0.000115,-0.077778,0.000054,0.001174,0.035886,0.653436,6.281703
0.010000,-0.000099,-0.077778,0.000070,0.001598,0.042430,0.654474,6.281908
0.010000,-0.000078,-0.077778,0.000090,0.002088,0.048990,0.655918,6.282177
0.010000,-0.000052,-0.077778,0.000117,0.002644,0.055568,0.657837,6.282516
0.010000,-0.000020,-0.077778,0.000149,0.003233,0.058905,0.333653,6.282932
0.010000,0.001397,-0.077778,0.001566,0.141684,13.845094,1378.618943,0.000239
0.010000,0.004721,-0.077776,0.004890,0.332359,19.067499,522.240525,0.000807
0.010000,0.008485,-0.077772,0.008654,0.376454,4.409543,-1465.795663,0.001451
0.010000,0.012693,-0.077764,0.012862,0.420794,4.434018,2.447559,0.002172
0.010000,0.017346,-0.077752,0.017515,0.465248,4.445370,1.135193,0.002971
0.010000,0.022438,-0.077735,0.022607,0.509263,4.401452,-4.391784,0.003847
0.010000,0.027978,-0.077711,0.028147,0.553962,4.469903,6.845032,0.004801
0.010000,0.033957,-0.077679,0.034126,0.597942,4.398066,-7.183626,0.005834
0.010000,0.040382,-0.077638,0.040551,0.642517,4.457410,5.934398,0.006946
0.010000,0.047250,-0.077586,0.047419,0.686754,4.423720,-3.369009,0.008138
0.010000,0.054558,-0.077522,0.054728,0.730859,4.410579,-1.314143,0.009410
0.010000,0.062313,-0.077444,0.062484,0.775591,4.473175,6.259656,0.010763
0.010000,0.070511,-0.077350,0.070682,0.819801,4.421004,-5.217116,0.012198
0.010000,0.079151,-0.077238,0.079322,0.864053,4.425190,0.418560,0.013715
0.010000,0.088233,-0.077106,0.088406,0.908362,4.430860,0.566982,0.015315
0.010000,0.097759,-0.076952,0.097933,0.952717,4.435484,0.462399,0.016999
0.010000,0.107730,-0.076774,0.107905,0.997221,4.450431,1.494769,0.018768
0.010000,0.118144,-0.076569,0.118321,1.041580,4.435918,-1.451312,0.020622
0.010000,0.129000,-0.076334,0.129180,1.085926,4.434618,-0.130065,0.022564
