dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000171,0.077778,0.000024,0.004856,0.485641,48.564103,6.280990
0.010000,0.000169,0.077778,0.000026,0.000140,-0.471637,-95.727852,6.281008
0.010000,0.000166,0.077778,0.000029,0.000315,0.017506,48.914347,6.281049
0.010000,0.000161,0.077778,0.000034,0.000560,0.024513,0.700677,6.281121
0.010000,0.000152,0.077778,0.000043,0.000875,0.031526,0.701348,6.281233
0.010000,0.000139,0.077778,0.000056,0.001261,0.038551,0.702448,6.281395
0.010000,0.000122,0.077778,0.000073,0.001717,0.045592,0.704084,6.281616
0.010000,0.000100,0.077778,0.000095,0.002243,0.052655,0.706362,6.281904
0.010000,0.000071,0.077778,0.000124,0.002841,0.059749,0.709392,6.282270
0.010000,0.000036,0.077778,0.000159,0.003475,0.063371,0.362173,6.282717
0.010000,0.000316,0.077778,0.000438,0.027961,2.448663,238.529205,0.000060
0.010000,0.003550,0.077779,0.003672,0.323350,29.538823,2709.015962,0.000671
0.010000,0.007211,0.077783,0.007333,0.366161,4.281153,-2525.766951,0.001364
0.010000,0.011300,0.077790,0.011422,0.408860,4.269878,-1.127502,0.002140
0.010000,0.015825,0.077802,0.015947,0.452552,4.369248,9.937033,0.003001
0.010000,0.020777,0.077819,0.020899,0.495196,4.264340,-10.490797,0.003945
0.010000,0.026161,0.077843,0.026283,0.538363,4.316732,5.239164,0.004975
0.010000,0.031974,0.077875,0.032097,0.581379,4.301564,-1.516794,0.006091
0.010000,0.038219,0.077917,0.038341,0.624438,4.305893,0.432902,0.007293
0.010000,0.044891,0.077970,0.045014,0.667299,4.286106,-1.978667,0.008582
0.010000,0.051998,0.078036,0.052121,0.710664,4.336570,5.046379,0.009961
0.010000,0.059530,0.078116,0.059653,0.753265,4.260067,-7.650339,0.011428
0.010000,0.067495,0.078213,0.067619,0.796510,4.324531,6.446418,0.012986
0.010000,0.075890,0.078329,0.076015,0.839628,4.311747,-1.278430,0.014636
0.010000,0.084713,0.078466,0.084839,0.882414,4.278623,-3.312321,0.016379
0.010000,0.093964,0.078626,0.094092,0.925274,4.286012,0.738835,0.018215
0.010000,0.103645,0.078812,0.103774,0.968222,4.294752,0.874035,0.020147
0.010000,0.113758,0.079026,0.113889,1.011492,4.326995,3.224322,0.022177
0.010000,0.124298,0.079271,0.124432,1.054360,4.286811,-4.018402,0.024305
0.010000,0.135267,0.079550,0.135405,1.097241,4.288158,0.134647,0.026533
0.010000,0.146664,0.079865,0.146806,1.140121,4.287956,-0.020210,0.028863
0.010000,0.158488,0.080221,0.158636,1.182983,4.286192,-0.176404,0.031296
0.010000,0.170740,0.080620,0.170894,1.225811,4.282854,-0.333769,0.033835
0.010000,0.183420,0.081066,0.183582,1.268795,4.298372,1.551851,0.036482
0.010000,0.196529,0.081563,0.196700,1.311825,4.302970,0.459774,0.039238
0.010000,0.210064,0.082114,0.210246,1.354577,4.275259,-2.771161,0.042106
0.010000,0.224023,0.082723,0.224218,1.397232,4.265449,-0.980984,0.045088
0.010000,0.238406,0.083394,0.238617,1.439865,4.263319,-0.212951,0.048185
0.010000,0.253219,0.084132,0.253449,1.483189,4.332428,6.910835,0.051403
0.010000,0.268453,0.084941,0.268705,1.525568,4.237887,-9.454031,0.054741
0.010000,0.284112,0.085826,0.284388,1.568387,4.281890,4.400257,0.058203
0.010000,0.300195,0.086792,0.300500,1.611185,4.279758,-0.213198,0.061792
0.010000,0.316699,0.087844,0.317038,1.653762,4.257752,-2.200627,0.065511
0.010000,0.333625,0.088987,0.334003,1.696478,4.271560,1.380804,0.069362
0.010000,0.350974,0.090227,0.351395,1.739256,4.277802,0.624190,0.073350
0.010000,0.368739,0.091570,0.369211,1.781538,4.228249,-4.955218,0.077477
0.010000,0.386926,0.093020,0.387455,1.824478,4.293938,6.568819,0.081746
0.010000,0.405530,0.094586,0.406126,1.867053,4.257500,-3.643791,0.086162
0.010000,0.424550,0.096273,0.425220,1.909461,4.240821,-1.667900,0.090728
0.010000,0.443985,0.098087,0.444740,1.951916,4.245546,0.472566,0.095447
0.010000,0.463833,0.100036,0.464684,1.994397,4.248082,0.253547,0.100324
0.010000,0.484095,0.102127,0.485052,2.036881,4.248408,0.032615,0.105363
0.010000,0.504767,0.104367,0.505846,2.079346,4.246512,-0.189604,0.110569
