dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000024,0.004856,0.485641,48.564103,6.280990
0.010000,0.000000,0.000000,0.000121,0.014569,0.971282,48.564103,6.281008
0.010000,0.000000,0.000000,0.000340,0.029138,1.456923,48.564103,6.281049
0.010000,0.000000,0.000000,0.000728,0.048564,1.942564,48.564103,6.281121
0.010000,0.000000,0.000000,0.001336,0.072846,2.428205,48.564103,6.281233
0.010000,0.000000,0.000000,0.002210,0.101985,2.913846,48.564103,6.281395
0.010000,0.000000,0.000000,0.003399,0.135979,3.399487,48.564103,6.281616
0.010000,0.000000,0.000000,0.004954,0.174831,3.885128,48.564103,6.281904
0.010000,0.000000,0.000000,0.006920,0.218538,4.370769,48.564103,6.282270
0.010000,0.000000,0.000000,0.009324,0.262246,4.370769,0.000000,6.282717
0.010000,0.000321,0.000000,0.012165,0.305954,4.370769,-0.000000,0.000060
0.010000,0.003602,0.000001,0.015443,0.349662,4.370769,0.000000,0.000671
0.010000,0.007317,0.000005,0.019159,0.393369,4.370769,-0.000000,0.001364
0.010000,0.011466,0.000012,0.023311,0.437077,4.370769,0.000000,0.002140
0.010000,0.016059,0.000024,0.027900,0.480785,4.370769,0.000000,0.003001
0.010000,0.021084,0.000042,0.032926,0.524492,4.370769,0.000000,0.003945
0.010000,0.026548,0.000066,0.038390,0.568200,4.370769,-0.000000,0.004975
0.010000,0.032448,0.000099,0.044290,0.611908,4.370769,0.000000,0.006091
0.010000,0.038786,0.000141,0.050628,0.655615,4.370769,0.000000,0.007293
0.010000,0.045559,0.000195,0.057403,0.699323,4.370769,0.000000,0.008582
0.010000,0.052773,0.000262,0.064615,0.743031,4.370769,-0.000000,0.009961
0.010000,0.060419,0.000343,0.072263,0.786738,4.370769,0.000000,0.011428
0.010000,0.068505,0.000442,0.080349,0.830446,4.370769,0.000000,0.012986
0.010000,0.077028,0.000560,0.088872,0.874154,4.370769,-0.000000,0.014636
0.010000,0.085987,0.000699,0.097832,0.917862,4.370769,0.000000,0.016379
0.010000,0.095381,0.000861,0.107230,0.961569,4.370769,0.000000,0.018215
0.010000,0.105212,0.001050,0.117064,1.005277,4.370769,-0.000000,0.020147
0.010000,0.115482,0.001267,0.127335,1.048985,4.370769,0.000000,0.022177
0.010000,0.126189,0.001516,0.138043,1.092692,4.370769,-0.000000,0.024305
0.010000,0.137331,0.001799,0.149189,1.136400,4.370769,0.000000,0.026533
0.010000,0.148909,0.002120,0.160771,1.180108,4.370769,0.000000,0.028863
0.010000,0.160922,0.002481,0.172791,1.223815,4.370769,-0.000000,0.031296
0.010000,0.173371,0.002887,0.185248,1.267523,4.370769,0.000000,0.033835
0.010000,0.186257,0.003340,0.198142,1.311231,4.370769,-0.000000,0.036482
0.010000,0.199580,0.003845,0.211472,1.354938,4.370769,0.000000,0.039238
0.010000,0.213338,0.004405,0.225240,1.398646,4.370769,-0.000000,0.042106
0.010000,0.227528,0.005024,0.239445,1.442354,4.370769,0.000000,0.045088
0.010000,0.242152,0.005706,0.254087,1.486062,4.370769,0.000000,0.048185
0.010000,0.257215,0.006457,0.269167,1.529769,4.370769,0.000000,0.051403
0.010000,0.272709,0.007280,0.284683,1.573477,4.370769,0.000000,0.054741
0.010000,0.288637,0.008180,0.300636,1.617185,4.370769,-0.000000,0.058203
0.010000,0.304998,0.009163,0.317026,1.660892,4.370769,0.000000,0.061792
0.010000,0.321791,0.010233,0.333854,1.704600,4.370769,-0.000000,0.065511
0.010000,0.339016,0.011397,0.351118,1.748308,4.370769,0.000000,0.069362
0.010000,0.356674,0.012659,0.368820,1.792015,4.370769,0.000000,0.073350
0.010000,0.374758,0.014025,0.386959,1.835723,4.370769,-0.000000,0.077477
0.010000,0.393277,0.015502,0.405535,1.879431,4.370769,0.000000,0.081746
0.010000,0.412224,0.017097,0.424547,1.923138,4.370769,-0.000000,0.086162
0.010000,0.431597,0.018815,0.443997,1.966846,4.370769,0.000000,0.090728
0.010000,0.451397,0.020663,0.463884,2.010554,4.370769,-0.000000,0.095447
0.010000,0.471623,0.022649,0.484208,2.054262,4.370769,0.000000,0.100324
0.010000,0.492274,0.024780,0.504970,2.097969,4.370769,-0.000000,0.105363
0.010000,0.513349,0.027065,0.526168,2.141677,4.370769,0.000000,0.110569
0.010000,0.534847,0.029510,0.547803,2.185385,4.370769,0.000000,0.115945
0.010000,0.556764,0.032124,0.569875,2.229092,4.370769,0.000000,0.121496
0.010000,0.579100,0.034916,0.592385,2.272800,4.370769,-0.000000,0.127227
0.010000,0.601852,0.037894,0.615331,2.316508,4.370769,0.000000,0.133143
0.010000,0.625016,0.041069,0.638715,2.360215,4.370769,0.000000,0.139248
0.010000,0.648599,0.044450,0.662536,2.403923,4.370769,-0.000000,0.145550
0.010000,0.672588,0.048046,0.686794,2.447631,4.370769,0.000000,0.152051
0.010000,0.696985,0.051868,0.711488,2.491338,4.370769,-0.000000,0.158758
0.010000,0.721787,0.055927,0.736620,2.535046,4.370769,0.000000,0.165677
0.010000,0.746991,0.060233,0.762189,2.578754,4.370769,-0.000000,0.172813
0.010000,0.772591,0.064799,0.788195,2.622462,4.370769,0.000000,0.180172
0.010000,0.798590,0.069636,0.814639,2.666169,4.370769,-0.000000,0.187762
0.010000,0.824978,0.074757,0.841519,2.709877,4.370769,0.000000,0.195587
0.010000,0.851752,0.080173,0.868836,2.753585,4.370769,-0.000000,0.203653
0.010000,0.878908,0.085899,0.896590,2.797292,4.370769,0.000000,0.211967
0.010000,0.906442,0.091947,0.924782,2.841000,4.370769,-0.000000,0.220537
0.010000,0.934350,0.098333,0.953410,2.884708,4.370769,0.000000,0.229367
0.010000,0.962624,0.105070,0.982476,2.928415,4.370769,0.000000,0.238466
0.010000,0.991260,0.112173,1.011979,2.972123,4.370769,-0.000000,0.247839
0.010000,1.020250,0.119657,1.041919,3.015831,4.370769,0.000000,0.257493
0.010000,1.049585,0.127538,1.072295,3.059538,4.370769,-0.000000,0.267433
0.010000,1.079261,0.135832,1.103109,3.103246,4.370769,0.000000,0.277667
0.010000,1.109271,0.144557,1.134360,3.146954,4.370769,0.000000,0.288202
0.010000,1.139601,0.153727,1.166048,3.190662,4.370769,-0.000000,0.299041
0.010000,1.170248,0.163362,1.198174,3.234369,4.370769,-0.000000,0.310193
0.010000,1.201176,0.173471,1.230711,3.273221,3.885128,-48.564103,0.321652
0.010000,1.232327,0.184055,1.263614,3.307215,3.399487,-48.564103,0.333406
0.010000,1.263651,0.195114,1.296832,3.336354,2.913846,-48.564103,0.345443
0.010000,1.295088,0.206646,1.330316,3.360636,2.428205,-48.564103,0.357745
0.010000,1.326583,0.218645,1.364020,3.380062,1.942564,-48.564103,0.370294
0.010000,1.358081,0.231104,1.397893,3.394631,1.456923,-48.564103,0.383073
0.010000,1.389529,0.244015,1.431888,3.404344,0.971282,-48.564103,0.396060
0.010000,1.420872,0.257364,1.465956,3.409200,0.485641,-48.564103,0.409234
0.010000,1.452058,0.271137,1.500048,3.409200,0.000000,-48.564103,0.422571
0.010000,1.483056,0.285327,1.534140,3.409200,0.000000,0.000000,0.436056
0.010000,1.513858,0.299936,1.568232,3.409200,0.000000,0.000000,0.449682
0.010000,1.544458,0.314965,1.602324,3.409200,0.000000,0.000000,0.463441
0.010000,1.574847,0.330416,1.636416,3.409200,0.000000,0.000000,0.477326
0.010000,1.605018,0.346290,1.670508,3.409200,0.000000,0.000000,0.491330
0.010000,1.634963,0.362586,1.704600,3.409200,0.000000,0.000000,0.505442
0.010000,1.664674,0.379304,1.738692,3.409200,0.000000,0.000000,0.519653
0.010000,1.694143,0.396443,1.772784,3.409200,0.000000,0.000000,0.533953
0.010000,1.723364,0.414005,1.806876,3.409200,0.000000,0.000000,0.548333
0.010000,1.752329,0.431985,1.840968,3.409200,0.000000,0.000000,0.562780
0.010000,1.781030,0.450383,1.875060,3.409200,0.000000,0.000000,0.577285
0.010000,1.809461,0.469195,1.909152,3.409200,0.000000,0.000000,0.591834
0.010000,1.837615,0.488421,1.943244,3.409200,0.000000,0.000000,0.606417
0.010000,1.865485,0.508054,1.977336,3.409200,0.000000,0.000000,0.621022
0.010000,1.893066,0.528093,2.011428,3.409200,0.000000,0.000000,0.635635
