dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000171,-0.077778,0.000024,0.004856,0.485641,48.564103,6.280990
0.010000,-0.000169,-0.077778,0.000026,0.000140,-0.471637,-95.727852,6.281008
0.010000,-0.000166,-0.077778,0.000029,0.000315,0.017506,48.914347,6.281049
0.010000,-0.000161,-0.077778,0.000034,0.000560,0.024513,0.700677,6.281121
0.010000,-0.000152,-0.077778,0.000043,0.000875,0.031526,0.701348,6.281233
0.010000,-0.000139,-0.077778,0.000056,0.001261,0.038551,0.702448,6.281395
0.010000,-0.000122,-0.077778,0.000073,0.001717,0.045592,0.704084,6.281616
0.010000,-0.000100,-0.077778,0.000095,0.002243,0.052655,0.706362,6.281904
0.010000,-0.000071,-0.077778,0.000124,0.002841,0.059749,0.709392,6.282270
0.010000,-0.000036,-0.077778,0.000159,0.003475,0.063371,0.362173,6.282717
0.010000,0.000325,-0.077778,0.000520,0.036182,3.270748,320.737676,0.000060
0.010000,0.003654,-0.077777,0.003849,0.332856,29.667343,2639.659585,0.000671
0.010000,0.007423,-0.077773,0.007618,0.376946,4.409085,-2525.825829,0.001364
0.010000,0.011633,-0.077765,0.011828,0.420929,4.398255,-1.082988,0.002140
0.010000,0.016292,-0.077753,0.016487,0.465943,4.501440,10.318506,0.003001
0.010000,0.021391,-0.077736,0.021586,0.509887,4.394406,-10.703402,0.003945
0.010000,0.026935,-0.077711,0.027130,0.554382,4.449423,5.501687,0.004975
0.010000,0.032922,-0.077678,0.033117,0.598731,4.434979,-1.444378,0.006091
0.010000,0.039353,-0.077635,0.039549,0.643139,4.440714,0.573422,0.007293
0.010000,0.046226,-0.077580,0.046422,0.687356,4.421712,-1.900209,0.008582
0.010000,0.053547,-0.077512,0.053743,0.732108,4.475180,5.346866,0.009961
0.010000,0.061308,-0.077429,0.061504,0.776087,4.397960,-7.722046,0.011428
0.010000,0.069515,-0.077329,0.069711,0.820748,4.466076,6.811654,0.012986
0.010000,0.078167,-0.077210,0.078364,0.865295,4.454725,-1.135108,0.014636
0.010000,0.087261,-0.077069,0.087460,0.909520,4.422518,-3.220761,0.016379
0.010000,0.096798,-0.076904,0.096998,0.953842,4.432173,0.965542,0.018215
0.010000,0.106779,-0.076712,0.106981,0.998276,4.443348,1.117456,0.020147
0.010000,0.117207,-0.076492,0.117411,1.043064,4.478891,3.554296,0.022177
0.010000,0.128079,-0.076239,0.128286,1.087463,4.439877,-3.901356,0.024305
0.010000,0.139394,-0.075951,0.139605,1.131901,4.443811,0.393398,0.026533
0.010000,0.151153,-0.075625,0.151369,1.176364,4.446282,0.247126,0.028863
0.010000,0.163356,-0.075258,0.163577,1.220837,4.447279,0.099705,0.031296
0.010000,0.176002,-0.074846,0.176230,1.265305,4.446792,-0.048700,0.033835
0.010000,0.189094,-0.074386,0.189330,1.309964,4.465919,1.912628,0.036482
0.010000,0.202631,-0.073873,0.202877,1.354703,4.473931,0.801269,0.039238
0.010000,0.216612,-0.073304,0.216869,1.399191,4.448727,-2.520440,0.042106
0.010000,0.231034,-0.072675,0.231305,1.443612,4.442152,-0.657449,0.045088
0.010000,0.245898,-0.071981,0.246185,1.488049,4.443669,0.151711,0.048185
0.010000,0.261212,-0.071218,0.261518,1.533239,4.519004,7.533499,0.051403
0.010000,0.276964,-0.070381,0.277293,1.577492,4.425352,-9.365249,0.054741
0.010000,0.293161,-0.069466,0.293515,1.622243,4.475088,4.973590,0.058203
0.010000,0.309801,-0.068466,0.310185,1.667016,4.477322,0.223390,0.061792
0.010000,0.326883,-0.067378,0.327301,1.711608,4.459171,-1.815078,0.065511
0.010000,0.344407,-0.066194,0.344865,1.756391,4.478272,1.910065,0.069362
0.010000,0.362374,-0.064910,0.362878,1.801288,4.489755,1.148345,0.073350
0.010000,0.380778,-0.063519,0.381335,1.845725,4.443640,-4.611471,0.077477
0.010000,0.399627,-0.062016,0.400244,1.890896,4.517121,7.348067,0.081746
0.010000,0.418917,-0.060393,0.419602,1.935746,4.485017,-3.210409,0.086162
0.010000,0.438644,-0.058643,0.439407,1.980482,4.473577,-1.143973,0.090728
0.010000,0.458810,-0.056761,0.459660,2.025328,4.484552,1.097489,0.095447
0.010000,0.479413,-0.054738,0.480363,2.070262,4.493494,0.894161,0.100324
0.010000,0.500454,-0.052566,0.501515,2.115266,4.500383,0.688914,0.105363
