dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.368477,4.221445,0.000024,0.004856,0.485641,48.564103,0.000373
0.010000,1.368478,4.221445,0.000025,0.000069,-0.478781,-96.442240,0.000364
0.010000,1.368479,4.221445,0.000027,0.000154,0.008573,48.735481,0.000344
0.010000,1.368482,4.221445,0.000029,0.000274,0.012000,0.342620,0.000309
0.010000,1.368486,4.221445,0.000034,0.000429,0.015421,0.342134,0.000254
0.010000,1.368493,4.221445,0.000040,0.000617,0.018834,0.341338,0.000175
0.010000,1.368501,4.221445,0.000048,0.000839,0.022236,0.340155,0.000067
0.010000,1.369331,4.221445,0.000878,0.082974,8.213468,819.123221,6.283111
0.010000,1.371311,4.221445,0.002859,0.198070,11.509630,329.616189,6.282933
0.010000,1.373732,4.221444,0.005279,0.242084,4.401337,-710.829266,6.282716
0.010000,1.376593,4.221442,0.008140,0.286096,4.401229,-0.010828,6.282459
0.010000,1.379894,4.221439,0.011441,0.330109,4.401296,0.006686,6.282163
0.010000,1.383636,4.221435,0.015183,0.374119,4.400969,-0.032705,6.281828
0.010000,1.387817,4.221429,0.019364,0.418127,4.400843,-0.012618,6.281455
0.010000,1.392438,4.221420,0.023985,0.462134,4.400665,-0.017809,6.281043
0.010000,1.397499,4.221408,0.029047,0.506138,4.400436,-0.022875,6.280593
0.010000,1.403001,4.221392,0.034548,0.550142,4.400427,-0.000928,6.280105
0.010000,1.408942,4.221372,0.040489,0.594142,4.399960,-0.046648,6.279580
0.010000,1.415324,4.221347,0.046871,0.638140,4.399777,-0.018271,6.279017
0.010000,1.422145,4.221317,0.053692,0.682134,4.399487,-0.029059,6.278417
0.010000,1.429406,4.221280,0.060953,0.726128,4.399321,-0.016559,6.277780
0.010000,1.437107,4.221236,0.068655,0.770116,4.398862,-0.045892,6.277108
0.010000,1.445248,4.221183,0.076796,0.814102,4.398577,-0.028563,6.276399
0.010000,1.453829,4.221122,0.085376,0.858084,4.398241,-0.033611,6.275656
0.010000,1.462849,4.221051,0.094397,0.902063,4.397856,-0.038427,6.274877
0.010000,1.472309,4.220968,0.103857,0.946037,4.397426,-0.043004,6.274064
0.010000,1.482209,4.220874,0.113758,0.990009,4.397210,-0.021581,6.273217
0.010000,1.492548,4.220766,0.124097,1.033975,4.396560,-0.065014,6.272337
0.010000,1.503326,4.220644,0.134877,1.077938,4.396261,-0.029922,6.271425
0.010000,1.514545,4.220507,0.146096,1.121894,4.395650,-0.061122,6.270480
0.010000,1.526202,4.220353,0.157754,1.165847,4.395316,-0.033392,6.269504
0.010000,1.538299,4.220181,0.169852,1.209795,4.394771,-0.054459,6.268496
0.010000,1.550835,4.219991,0.182389,1.253737,4.394200,-0.057180,6.267459
0.010000,1.563810,4.219780,0.195366,1.297674,4.393654,-0.054529,6.266392
0.010000,1.577224,4.219547,0.208782,1.341605,4.393179,-0.047490,6.265297
0.010000,1.591077,4.219291,0.222638,1.385531,4.392538,-0.064116,6.264173
0.010000,1.605368,4.219012,0.236932,1.429449,4.391835,-0.070359,6.263023
0.010000,1.620099,4.218706,0.251666,1.473363,4.391426,-0.040863,6.261846
0.010000,1.635268,4.218373,0.266838,1.517269,4.390565,-0.086126,6.260643
0.010000,1.650875,4.218011,0.282450,1.561169,4.390028,-0.053701,6.259416
0.010000,1.666921,4.217620,0.298501,1.605063,4.389344,-0.068344,6.258164
