dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.368506,4.143667,0.000024,0.004856,0.485641,48.564103,0.000373
0.010000,1.368506,4.143667,0.000121,0.014569,0.971282,48.564103,0.000364
0.010000,1.368506,4.143667,0.000340,0.029138,1.456923,48.564103,0.000344
0.010000,1.368506,4.143667,0.000728,0.048564,1.942564,48.564103,0.000309
0.010000,1.368506,4.143667,0.001336,0.072846,2.428205,48.564103,0.000254
0.010000,1.368506,4.143667,0.002210,0.101985,2.913846,48.564103,0.000175
0.010000,1.368506,4.143667,0.003399,0.135979,3.399487,48.564103,0.000067
0.010000,1.369325,4.143667,0.004954,0.174831,3.885128,48.564103,6.283111
0.010000,1.371292,4.143667,0.006920,0.218538,4.370769,48.564103,6.282933
0.010000,1.373696,4.143666,0.009324,0.262246,4.370769,0.000000,6.282716
0.010000,1.376537,4.143665,0.012165,0.305954,4.370769,-0.000000,6.282459
0.010000,1.379815,4.143662,0.015443,0.349662,4.370769,0.000000,6.282163
0.010000,1.383530,4.143657,0.019159,0.393369,4.370769,-0.000000,6.281828
0.010000,1.387682,4.143651,0.023311,0.437077,4.370769,0.000000,6.281455
0.010000,1.392271,4.143642,0.027900,0.480785,4.370769,0.000000,6.281043
0.010000,1.397298,4.143630,0.032926,0.524492,4.370769,0.000000,6.280593
0.010000,1.402761,4.143615,0.038390,0.568200,4.370769,-0.000000,6.280105
0.010000,1.408662,4.143595,0.044290,0.611908,4.370769,0.000000,6.279580
0.010000,1.414999,4.143570,0.050628,0.655615,4.370769,0.000000,6.279017
0.010000,1.421774,4.143540,0.057403,0.699323,4.370769,0.000000,6.278417
0.010000,1.428986,4.143503,0.064615,0.743031,4.370769,-0.000000,6.277780
0.010000,1.436634,4.143459,0.072263,0.786738,4.370769,0.000000,6.277108
0.010000,1.444720,4.143407,0.080349,0.830446,4.370769,0.000000,6.276399
0.010000,1.453243,4.143346,0.088872,0.874154,4.370769,-0.000000,6.275656
0.010000,1.462203,4.143275,0.097832,0.917862,4.370769,0.000000,6.274877
0.010000,1.471600,4.143193,0.107230,0.961569,4.370769,0.000000,6.274064
0.010000,1.481433,4.143100,0.117064,1.005277,4.370769,-0.000000,6.273217
0.010000,1.491704,4.142993,0.127335,1.048985,4.370769,0.000000,6.272337
0.010000,1.502412,4.142872,0.138043,1.092692,4.370769,-0.000000,6.271425
0.010000,1.513556,4.142735,0.149189,1.136400,4.370769,0.000000,6.270480
0.010000,1.525138,4.142582,0.160771,1.180108,4.370769,0.000000,6.269504
0.010000,1.537156,4.142412,0.172791,1.223815,4.370769,-0.000000,6.268496
0.010000,1.549612,4.142223,0.185248,1.267523,4.370769,0.000000,6.267459
0.010000,1.562504,4.142013,0.198142,1.311231,4.370769,-0.000000,6.266392
0.010000,1.575832,4.141782,0.211472,1.354938,4.370769,0.000000,6.265297
0.010000,1.589598,4.141528,0.225240,1.398646,4.370769,-0.000000,6.264173
0.010000,1.603800,4.141249,0.239445,1.442354,4.370769,0.000000,6.263023
0.010000,1.618439,4.140946,0.254087,1.486062,4.370769,0.000000,6.261846
0.010000,1.633515,4.140615,0.269167,1.529769,4.370769,0.000000,6.260643
0.010000,1.649027,4.140256,0.284683,1.573477,4.370769,0.000000,6.259416
0.010000,1.664975,4.139866,0.300636,1.617185,4.370769,-0.000000,6.258164
0.010000,1.681360,4.139446,0.317026,1.660892,4.370769,0.000000,6.256890
0.010000,1.698182,4.138992,0.333854,1.704600,4.370769,-0.000000,6.255594
0.010000,1.715439,4.138505,0.351118,1.748308,4.370769,0.000000,6.254277
0.010000,1.733133,4.137981,0.368820,1.792015,4.370769,0.000000,6.252939
0.010000,1.751263,4.137420,0.386959,1.835723,4.370769,-0.000000,6.251583
0.010000,1.769829,4.136821,0.405535,1.879431,4.370769,0.000000,6.250209
0.010000,1.788831,4.136181,0.424547,1.923138,4.370769,-0.000000,6.248817
0.010000,1.808269,4.135499,0.443997,1.966846,4.370769,0.000000,6.247410
0.010000,1.828143,4.134773,0.463884,2.010554,4.370769,-0.000000,6.245988
0.010000,1.848453,4.134003,0.484208,2.054262,4.370769,0.000000,6.244553
0.010000,1.869198,4.133186,0.504970,2.097969,4.370769,-0.000000,6.243105
0.010000,1.890378,4.132321,0.526168,2.141677,4.370769,0.000000,6.241646
0.010000,1.911994,4.131407,0.547803,2.185385,4.370769,0.000000,6.240177
0.010000,1.934045,4.130441,0.569875,2.229092,4.370769,0.000000,6.238698
0.010000,1.956532,4.129423,0.592385,2.272800,4.370769,-0.000000,6.237213
0.010000,1.979453,4.128352,0.615331,2.316508,4.370769,0.000000,6.235721
0.010000,2.002810,4.127225,0.638715,2.360215,4.370769,0.000000,6.234225
0.010000,2.026601,4.126041,0.662536,2.403923,4.370769,-0.000000,6.232724
0.010000,2.050827,4.124799,0.686794,2.447631,4.370769,0.000000,6.231222
0.010000,2.075488,4.123498,0.711488,2.491338,4.370769,-0.000000,6.229719
0.010000,2.100583,4.122136,0.736620,2.535046,4.370769,0.000000,6.228216
0.010000,2.126112,4.120712,0.762189,2.578754,4.370769,-0.000000,6.226716
0.010000,2.152075,4.119225,0.788195,2.622462,4.370769,0.000000,6.225219
0.010000,2.178473,4.117673,0.814639,2.666169,4.370769,-0.000000,6.223727
0.010000,2.205305,4.116056,0.841519,2.709877,4.370769,0.000000,6.222242
0.010000,2.232570,4.114372,0.868836,2.753585,4.370769,-0.000000,6.220765
0.010000,2.260269,4.112620,0.896590,2.797292,4.370769,0.000000,6.219298
0.010000,2.288402,4.110800,0.924782,2.841000,4.370769,-0.000000,6.217842
0.010000,2.316968,4.108910,0.953410,2.884708,4.370769,0.000000,6.216398
0.010000,2.345967,4.106949,0.982476,2.928415,4.370769,0.000000,6.214970
0.010000,2.375400,4.104917,1.011979,2.972123,4.370769,-0.000000,6.213558
0.010000,2.405265,4.102813,1.041919,3.015831,4.370769,0.000000,6.212163
0.010000,2.435564,4.100637,1.072295,3.059538,4.370769,-0.000000,6.210789
0.010000,2.466296,4.098387,1.103109,3.103246,4.370769,0.000000,6.209435
0.010000,2.497460,4.096063,1.134360,3.146954,4.370769,0.000000,6.208105
0.010000,2.529058,4.093666,1.166048,3.190662,4.370769,-0.000000,6.206800
0.010000,2.561088,4.091194,1.198174,3.234369,4.370769,-0.000000,6.205522
0.010000,2.593526,4.088649,1.230711,3.273221,3.885128,-48.564103,6.204273
0.010000,2.626324,4.086035,1.263614,3.307215,3.399487,-48.564103,6.203058
0.010000,2.659434,4.083357,1.296832,3.336354,2.913846,-48.564103,6.201878
0.010000,2.692806,4.080618,1.330316,3.360636,2.428205,-48.564103,6.200738
0.010000,2.726394,4.077824,1.364020,3.380062,1.942564,-48.564103,6.199640
0.010000,2.760148,4.074979,1.397893,3.394631,1.456923,-48.564103,6.198586
