dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.368535,4.065890,0.000024,0.004856,0.485641,48.564103,0.000373
0.010000,1.368534,4.065890,0.000025,0.000069,-0.478781,-96.442240,0.000364
0.010000,1.368533,4.065890,0.000027,0.000154,0.008573,48.735481,0.000344
0.010000,1.368530,4.065890,0.000029,0.000274,0.012000,0.342620,0.000309
0.010000,1.368526,4.065890,0.000034,0.000429,0.015421,0.342134,0.000254
0.010000,1.368520,4.065890,0.000040,0.000617,0.018834,0.341338,0.000175
0.010000,1.368511,4.065890,0.000048,0.000839,0.022236,0.340155,0.000067
0.010000,1.369319,4.065890,0.000856,0.080783,7.994377,797.214091,6.283111
0.010000,1.371272,4.065889,0.002809,0.195300,11.451660,345.728298,6.282933
0.010000,1.373659,4.065888,0.005196,0.238701,4.340110,-711.155001,6.282716
0.010000,1.376480,4.065887,0.008017,0.282103,4.340206,0.009649,6.282459
0.010000,1.379735,4.065884,0.011272,0.325508,4.340513,0.030627,6.282163
0.010000,1.383424,4.065879,0.014961,0.368913,4.340468,-0.004502,6.281828
0.010000,1.387548,4.065873,0.019084,0.412319,4.340658,0.019025,6.281455
0.010000,1.392105,4.065864,0.023642,0.455727,4.340834,0.017633,6.281043
0.010000,1.397096,4.065852,0.028633,0.499137,4.340998,0.016372,6.280593
0.010000,1.402522,4.065837,0.034059,0.542552,4.341415,0.041760,6.280105
0.010000,1.408381,4.065817,0.039918,0.585966,4.341420,0.000425,6.279580
0.010000,1.414675,4.065793,0.046212,0.629383,4.341741,0.032173,6.279017
0.010000,1.421403,4.065763,0.052940,0.672803,4.341995,0.025308,6.278417
0.010000,1.428565,4.065727,0.060102,0.716227,4.342409,0.041423,6.277780
0.010000,1.436162,4.065683,0.067699,0.759653,4.342572,0.016288,6.277108
0.010000,1.444192,4.065631,0.075730,0.803082,4.342943,0.037189,6.276399
0.010000,1.452657,4.065571,0.084195,0.846515,4.343304,0.036030,6.275656
0.010000,1.461557,4.065500,0.093094,0.889952,4.343655,0.035113,6.274877
0.010000,1.470890,4.065419,0.102428,0.933392,4.343999,0.034444,6.274064
