dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.353732,3.757059,0.000024,0.004856,0.485641,48.564103,3.139507
0.010000,5.353736,3.757059,0.000028,0.000353,-0.450304,-93.594490,3.139553
0.010000,5.353744,3.757059,0.000036,0.000795,0.044176,49.447981,3.139655
0.010000,5.353758,3.757059,0.000050,0.001414,0.061859,1.768294,3.139837
0.010000,5.353780,3.757059,0.000072,0.002209,0.079561,1.770220,3.140121
0.010000,5.353812,3.757059,0.000104,0.003182,0.097295,1.773370,3.140530
0.010000,5.353855,3.757059,0.000147,0.004333,0.115075,1.778042,3.141087
0.010000,5.353437,3.757059,0.000566,0.041851,3.751758,363.668302,3.141815
0.010000,5.351541,3.757057,0.002461,0.189563,14.771230,1101.947186,3.142738
0.010000,5.349226,3.757053,0.004777,0.231550,4.198719,-1057.251132,3.143867
0.010000,5.346488,3.757045,0.007514,0.273744,4.219437,2.071858,3.145204
0.010000,5.343330,3.757032,0.010672,0.315798,4.205374,-1.406321,3.146750
0.010000,5.339752,3.757010,0.014251,0.357838,4.204002,-0.137164,3.148507
0.010000,5.335753,3.756978,0.018250,0.399900,4.206146,0.214339,3.150475
0.010000,5.331334,3.756934,0.022669,0.441961,4.206093,-0.005246,3.152658
0.010000,5.326494,3.756875,0.027509,0.483999,4.203857,-0.223682,3.155056
0.010000,5.321235,3.756797,0.032769,0.525994,4.199453,-0.440381,3.157673
0.010000,5.315556,3.756698,0.038448,0.567923,4.192905,-0.654739,3.160510
0.010000,5.309457,3.756573,0.044549,0.610023,4.210014,1.710901,3.163570
0.010000,5.302941,3.756419,0.051067,0.651854,4.183067,-2.694771,3.166856
0.010000,5.296004,3.756232,0.058006,0.693897,4.204337,2.127069,3.170371
0.010000,5.288650,3.756006,0.065363,0.735733,4.183651,-2.068633,3.174118
0.010000,5.280879,3.755738,0.073139,0.777597,4.186348,0.269653,3.178099
0.010000,5.272690,3.755422,0.081334,0.819464,4.186682,0.033489,3.182320
0.010000,5.264085,3.755052,0.089947,0.861311,4.184691,-0.199138,3.186782
0.010000,5.255064,3.754623,0.098978,0.903115,4.180419,-0.427234,3.191491
