dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.353895,3.834837,0.000024,0.004856,0.485641,48.564103,3.139507
0.010000,5.353895,3.834837,0.000121,0.014569,0.971282,48.564103,3.139553
0.010000,5.353895,3.834837,0.000340,0.029138,1.456923,48.564103,3.139655
0.010000,5.353895,3.834837,0.000728,0.048564,1.942564,48.564103,3.139837
0.010000,5.353895,3.834837,0.001336,0.072846,2.428205,48.564103,3.140121
0.010000,5.353895,3.834837,0.002210,0.101985,2.913846,48.564103,3.140530
0.010000,5.353895,3.834837,0.003399,0.135979,3.399487,48.564103,3.141087
0.010000,5.353419,3.834837,0.004954,0.174831,3.885128,48.564103,3.141815
0.010000,5.351452,3.834835,0.006920,0.218538,4.370769,48.564103,3.142738
0.010000,5.349049,3.834831,0.009324,0.262246,4.370769,0.000000,3.143867
0.010000,5.346207,3.834823,0.012165,0.305954,4.370769,-0.000000,3.145204
0.010000,5.342929,3.834808,0.015443,0.349662,4.370769,0.000000,3.146750
0.010000,5.339214,3.834786,0.019159,0.393369,4.370769,-0.000000,3.148507
0.010000,5.335062,3.834753,0.023311,0.437077,4.370769,0.000000,3.150475
0.010000,5.330473,3.834707,0.027900,0.480785,4.370769,0.000000,3.152658
0.010000,5.325447,3.834646,0.032926,0.524492,4.370769,0.000000,3.155056
0.010000,5.319984,3.834565,0.038390,0.568200,4.370769,-0.000000,3.157673
0.010000,5.314085,3.834462,0.044290,0.611908,4.370769,0.000000,3.160510
0.010000,5.307748,3.834332,0.050628,0.655615,4.370769,0.000000,3.163570
0.010000,5.300976,3.834172,0.057403,0.699323,4.370769,0.000000,3.166856
0.010000,5.293766,3.833977,0.064615,0.743031,4.370769,-0.000000,3.170371
0.010000,5.286121,3.833743,0.072263,0.786738,4.370769,0.000000,3.174118
0.010000,5.278040,3.833464,0.080349,0.830446,4.370769,0.000000,3.178099
0.010000,5.269524,3.833135,0.088872,0.874154,4.370769,-0.000000,3.182320
0.010000,5.260572,3.832750,0.097832,0.917862,4.370769,0.000000,3.186782
0.010000,5.251185,3.832304,0.107230,0.961569,4.370769,0.000000,3.191491
