dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.354057,3.912614,0.000024,0.004856,0.485641,48.564103,3.139507
0.010000,5.354053,3.912614,0.000028,0.000353,-0.450304,-93.594490,3.139553
0.010000,5.354045,3.912614,0.000036,0.000795,0.044176,49.447981,3.139655
0.010000,5.354031,3.912614,0.000050,0.001414,0.061859,1.768294,3.139837
0.010000,5.354009,3.912614,0.000072,0.002209,0.079561,1.770220,3.140121
0.010000,5.353977,3.912614,0.000104,0.003182,0.097295,1.773370,3.140530
0.010000,5.353934,3.912614,0.000147,0.004333,0.115075,1.778042,3.141087
0.010000,5.353402,3.912614,0.000679,0.053178,4.884483,476.940764,3.141815
0.010000,5.351363,3.912613,0.002718,0.203916,15.073807,1018.932387,3.142738
0.010000,5.348872,3.912609,0.005209,0.249111,4.519468,-1055.433848,3.143867
0.010000,5.345926,3.912600,0.008155,0.294545,4.543461,2.399252,3.145204
0.010000,5.342528,3.912585,0.011553,0.339849,4.530343,-1.311812,3.146750
0.010000,5.338676,3.912562,0.015405,0.385160,4.531186,0.084305,3.148507
0.010000,5.334371,3.912528,0.019710,0.430522,4.536121,0.493500,3.150475
0.010000,5.329612,3.912480,0.024469,0.475912,4.539001,0.288033,3.152658
0.010000,5.324400,3.912417,0.029682,0.521310,4.539836,0.083470,3.155056
0.010000,5.318733,3.912333,0.035349,0.566696,4.538639,-0.119671,3.157673
0.010000,5.312614,3.912226,0.041470,0.612051,4.535430,-0.320862,3.160510
0.010000,5.306039,3.912091,0.048046,0.657631,4.558021,2.259047,3.163570
0.010000,5.299011,3.911925,0.055076,0.702965,4.533415,-2.460541,3.166856
0.010000,5.291528,3.911723,0.062561,0.748576,4.561091,2.767538,3.170371
0.010000,5.283592,3.911480,0.070502,0.794014,4.543801,-1.729005,3.174118
0.010000,5.275201,3.911190,0.078897,0.839534,4.552009,0.820835,3.178099
0.010000,5.266357,3.910848,0.087748,0.885114,4.557946,0.593685,3.182320
0.010000,5.257058,3.910449,0.097055,0.930730,4.561635,0.368951,3.186782
0.010000,5.247306,3.909985,0.106819,0.976361,4.563110,0.147454,3.191491
0.010000,5.237100,3.909450,0.117039,1.021985,4.562410,-0.069957,3.196449
0.010000,5.226441,3.908836,0.127715,1.067605,4.561997,-0.041324,3.201661
0.010000,5.215329,3.908138,0.138849,1.113453,4.584821,2.282415,3.207132
0.010000,5.203765,3.907345,0.150440,1.159093,4.563937,-2.088478,3.212865
0.010000,5.191749,3.906451,0.162489,1.204908,4.581498,1.756163,3.218864
0.010000,5.179282,3.905447,0.174997,1.250760,4.585255,0.375649,3.225135
0.010000,5.166365,3.904323,0.187963,1.296587,4.582704,-0.255090,3.231682
0.010000,5.152999,3.903069,0.201387,1.342460,4.587258,0.455409,3.238508
0.010000,5.139185,3.901677,0.215271,1.388353,4.589333,0.207478,3.245620
0.010000,5.124925,3.900135,0.229615,1.434386,4.603236,1.390320,3.253021
0.010000,5.110219,3.898432,0.244418,1.480352,4.596630,-0.660554,3.260715
0.010000,5.095071,3.896558,0.259682,1.526355,4.600323,0.369287,3.268708
0.010000,5.079483,3.894500,0.275406,1.572404,4.604935,0.461153,3.277003
0.010000,5.063455,3.892246,0.291591,1.618552,4.614742,0.980699,3.285605
0.010000,5.046991,3.889783,0.308238,1.664646,4.609448,-0.529325,3.294517
0.010000,5.030095,3.887100,0.325346,1.710785,4.613822,0.437325,3.303743
0.010000,5.012770,3.884181,0.342915,1.756938,4.615351,0.152889,3.313287
0.010000,4.995019,3.881012,0.360947,1.803166,4.622823,0.747206,3.323150
0.010000,4.976846,3.877581,0.379441,1.849395,4.622875,0.005283,3.333336
0.010000,4.958257,3.873870,0.398397,1.895584,4.618922,-0.395343,3.343846
0.010000,4.939256,3.869867,0.417815,1.941822,4.623728,0.480621,3.354681
0.010000,4.919848,3.865554,0.437696,1.988103,4.628193,0.446473,3.365842
0.010000,4.900041,3.860917,0.458039,2.034321,4.621753,-0.644007,3.377329
0.010000,4.879840,3.855938,0.478844,2.080533,4.621243,-0.051003,3.389140
0.010000,4.859253,3.850602,0.500112,2.126764,4.623050,0.180729,3.401273
0.010000,4.838287,3.844892,0.521842,2.172974,4.620984,-0.206587,3.413725
0.010000,4.816951,3.838791,0.544032,2.219073,4.609914,-1.106985,3.426492
0.010000,4.795254,3.832283,0.566685,2.265229,4.615584,0.566978,3.439568
0.010000,4.773205,3.825349,0.589798,2.311279,4.605043,-1.054086,3.452946
0.010000,4.750816,3.817975,0.613370,2.357260,4.598049,-0.699484,3.466617
0.010000,4.728097,3.810142,0.637402,2.403168,4.590834,-0.721456,3.480573
0.010000,4.705059,3.801835,0.661892,2.448974,4.580632,-1.020242,3.494800
0.010000,4.681715,3.793036,0.686839,2.494754,4.578013,-0.261813,3.509288
0.010000,4.658077,3.783730,0.712242,2.540313,4.555882,-2.213189,3.524020
0.010000,4.634160,3.773901,0.738101,2.585844,4.553035,-0.284663,3.538982
0.010000,4.609977,3.763534,0.764412,2.631171,4.532742,-2.029244,3.554154
0.010000,4.585542,3.752615,0.791176,2.676363,4.519213,-1.352919,3.569517
0.010000,4.560870,3.741129,0.818390,2.721392,4.502904,-1.630906,3.585050
0.010000,4.535978,3.729064,0.846052,2.766236,4.484388,-1.851611,3.600732
0.010000,4.510879,3.716408,0.874162,2.810930,4.469346,-1.504164,3.616536
0.010000,4.485590,3.703149,0.902715,2.855377,4.444733,-2.461392,3.632439
0.010000,4.460127,3.689276,0.931712,2.899661,4.428403,-1.632943,3.648414
0.010000,4.434506,3.674782,0.961149,2.943700,4.403882,-2.452117,3.664432
0.010000,4.408743,3.659656,0.991024,2.987525,4.382527,-2.135471,3.680466
0.010000,4.382853,3.643893,1.021335,3.031123,4.359838,-2.268964,3.696485
0.010000,4.356852,3.627486,1.052080,3.074487,4.336383,-2.345462,3.712461
0.010000,4.330754,3.610431,1.083257,3.117626,4.313895,-2.248791,3.728363
0.010000,4.304575,3.592724,1.114862,3.160521,4.289487,-2.440808,3.744161
