dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.103635,5.383237,0.000024,0.004856,0.485641,48.564103,0.001741
0.010000,0.103637,5.383237,0.000027,0.000255,-0.460176,-94.581680,0.001708
0.010000,0.103643,5.383237,0.000033,0.000573,0.031830,49.200572,0.001635
0.010000,0.103653,5.383237,0.000043,0.001019,0.044557,1.272744,0.001504
0.010000,0.103669,5.383237,0.000059,0.001591,0.057278,1.272047,0.001299
0.010000,0.103692,5.383237,0.000082,0.002291,0.069987,1.270903,0.001005
0.010000,0.103723,5.383237,0.000113,0.003118,0.082679,1.269195,0.000604
0.010000,0.103764,5.383237,0.000153,0.004071,0.095347,1.266802,0.000080
0.010000,0.105544,5.383237,0.001934,0.178010,17.393852,1729.850498,6.282603
0.010000,0.108011,5.383235,0.004400,0.246679,6.866902,-1052.694940,6.281794
0.010000,0.110926,5.383229,0.007316,0.291547,4.486827,-238.007506,6.280837
0.010000,0.114290,5.383219,0.010679,0.336359,4.481219,-0.560850,6.279734
0.010000,0.118103,5.383204,0.014492,0.381264,4.490460,0.924145,6.278484
0.010000,0.122364,5.383181,0.018753,0.426090,4.482594,-0.786639,6.277088
0.010000,0.127073,5.383148,0.023462,0.470929,4.483917,0.132354,6.275545
0.010000,0.132230,5.383105,0.028620,0.515775,4.484584,0.066691,6.273856
0.010000,0.137836,5.383047,0.034226,0.560621,4.484611,0.002615,6.272020
0.010000,0.143890,5.382974,0.040281,0.605461,4.484014,-0.059695,6.270039
0.010000,0.150393,5.382881,0.046784,0.650289,4.482813,-0.120058,6.267913
0.010000,0.157343,5.382767,0.053735,0.695122,4.483241,0.042759,6.265642
0.010000,0.164741,5.382628,0.061135,0.739992,4.486985,0.374478,6.263226
0.010000,0.172587,5.382462,0.068983,0.784771,4.477888,-0.909745,6.260665
0.010000,0.180882,5.382264,0.077279,0.829652,4.488181,1.029323,6.257961
0.010000,0.189623,5.382031,0.086023,0.874434,4.478187,-0.999438,6.255113
0.010000,0.198811,5.381759,0.095216,0.919254,4.482008,0.382160,6.252123
0.010000,0.208447,5.381444,0.104857,0.964092,4.483745,0.173671,6.248991
0.010000,0.218530,5.381083,0.114946,1.008888,4.479667,-0.407844,6.245717
0.010000,0.229058,5.380670,0.125483,1.053685,4.479636,-0.003050,6.242303
0.010000,0.240033,5.380202,0.136467,1.098475,4.478978,-0.065840,6.238749
0.010000,0.251453,5.379673,0.147900,1.143252,4.477729,-0.124829,6.235056
0.010000,0.263319,5.379079,0.159780,1.188055,4.480304,0.257422,6.231226
