dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.103770,5.305460,0.000024,0.004856,0.485641,48.564103,0.001741
0.010000,0.103770,5.305460,0.000121,0.014569,0.971282,48.564103,0.001708
0.010000,0.103770,5.305460,0.000340,0.029138,1.456923,48.564103,0.001635
0.010000,0.103770,5.305460,0.000728,0.048564,1.942564,48.564103,0.001504
0.010000,0.103770,5.305460,0.001336,0.072846,2.428205,48.564103,0.001299
0.010000,0.103770,5.305460,0.002210,0.101985,2.913846,48.564103,0.001005
0.010000,0.103770,5.305460,0.003399,0.135979,3.399487,48.564103,0.000604
0.010000,0.103770,5.305460,0.004954,0.174831,3.885128,48.564103,0.000080
0.010000,0.105499,5.305459,0.006920,0.218538,4.370769,48.564103,6.282603
0.010000,0.107903,5.305457,0.009324,0.262246,4.370769,0.000000,6.281794
0.010000,0.110744,5.305451,0.012165,0.305954,4.370769,-0.000000,6.280837
0.010000,0.114022,5.305442,0.015443,0.349662,4.370769,0.000000,6.279734
0.010000,0.117737,5.305427,0.019159,0.393369,4.370769,-0.000000,6.278484
0.010000,0.121889,5.305404,0.023311,0.437077,4.370769,0.000000,6.277088
0.010000,0.126478,5.305373,0.027900,0.480785,4.370769,0.000000,6.275545
0.010000,0.131505,5.305330,0.032926,0.524492,4.370769,0.000000,6.273856
0.010000,0.136968,5.305274,0.038390,0.568200,4.370769,-0.000000,6.272020
0.010000,0.142868,5.305202,0.044290,0.611908,4.370769,0.000000,6.270039
0.010000,0.149205,5.305112,0.050628,0.655615,4.370769,0.000000,6.267913
0.010000,0.155978,5.305001,0.057403,0.699323,4.370769,0.000000,6.265642
0.010000,0.163189,5.304866,0.064615,0.743031,4.370769,-0.000000,6.263226
0.010000,0.170836,5.304704,0.072263,0.786738,4.370769,0.000000,6.260665
0.010000,0.178920,5.304511,0.080349,0.830446,4.370769,0.000000,6.257961
0.010000,0.187440,5.304284,0.088872,0.874154,4.370769,-0.000000,6.255113
0.010000,0.196396,5.304019,0.097832,0.917862,4.370769,0.000000,6.252123
0.010000,0.205788,5.303712,0.107230,0.961569,4.370769,0.000000,6.248991
0.010000,0.215616,5.303360,0.117064,1.005277,4.370769,-0.000000,6.245717
0.010000,0.225879,5.302957,0.127335,1.048985,4.370769,0.000000,6.242303
0.010000,0.236578,5.302501,0.138043,1.092692,4.370769,-0.000000,6.238749
0.010000,0.247711,5.301985,0.149189,1.136400,4.370769,0.000000,6.235056
0.010000,0.259279,5.301406,0.160771,1.180108,4.370769,0.000000,6.231226
0.010000,0.271282,5.300758,0.172791,1.223815,4.370769,-0.000000,6.227259
0.010000,0.283717,5.300036,0.185248,1.267523,4.370769,0.000000,6.223157
0.010000,0.296586,5.299235,0.198142,1.311231,4.370769,-0.000000,6.218920
0.010000,0.309888,5.298350,0.211472,1.354938,4.370769,0.000000,6.214551
0.010000,0.323621,5.297375,0.225240,1.398646,4.370769,-0.000000,6.210052
0.010000,0.337786,5.296304,0.239445,1.442354,4.370769,0.000000,6.205422
0.010000,0.352381,5.295132,0.254087,1.486062,4.370769,0.000000,6.200666
0.010000,0.367405,5.293852,0.269167,1.529769,4.370769,0.000000,6.195784
0.010000,0.382859,5.292459,0.284683,1.573477,4.370769,0.000000,6.190778
0.010000,0.398740,5.290946,0.300636,1.617185,4.370769,-0.000000,6.185652
0.010000,0.415048,5.289307,0.317026,1.660892,4.370769,0.000000,6.180406
0.010000,0.431782,5.287536,0.333854,1.704600,4.370769,-0.000000,6.175045
0.010000,0.448941,5.285626,0.351118,1.748308,4.370769,0.000000,6.169569
