dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.103906,5.227682,0.000024,0.004856,0.485641,48.564103,0.001741
0.010000,0.103903,5.227682,0.000027,0.000255,-0.460176,-94.581680,0.001708
0.010000,0.103898,5.227682,0.000033,0.000573,0.031830,49.200572,0.001635
0.010000,0.103887,5.227682,0.000043,0.001019,0.044557,1.272744,0.001504
0.010000,0.103871,5.227682,0.000059,0.001591,0.057278,1.272047,0.001299
0.010000,0.103849,5.227682,0.000082,0.002291,0.069987,1.270903,0.001005
0.010000,0.103817,5.227682,0.000113,0.003118,0.082679,1.269195,0.000604
0.010000,0.103777,5.227682,0.000153,0.004071,0.095347,1.266802,0.000080
0.010000,0.105454,5.227681,0.001831,0.167705,16.363355,1626.800854,6.282603
0.010000,0.107795,5.227679,0.004171,0.234089,6.638364,-972.499179,6.281794
0.010000,0.110561,5.227674,0.006938,0.276670,4.258124,-238.023952,6.280837
0.010000,0.113753,5.227665,0.010130,0.319199,4.252961,-0.516294,6.279734
0.010000,0.117371,5.227650,0.013748,0.361819,4.261922,0.896049,6.278484
0.010000,0.121415,5.227628,0.017792,0.404365,4.254681,-0.724077,6.277088
0.010000,0.125884,5.227597,0.022261,0.446927,4.256198,0.151737,6.275545
0.010000,0.130779,5.227556,0.027156,0.489499,4.257133,0.093487,6.273856
0.010000,0.136099,5.227501,0.032477,0.532074,4.257504,0.037131,6.272020
0.010000,0.141845,5.227431,0.038223,0.574647,4.257333,-0.017127,6.270039
0.010000,0.148017,5.227344,0.044396,0.617214,4.256642,-0.069082,6.267913
0.010000,0.154614,5.227235,0.050993,0.659789,4.257555,0.091293,6.265642
0.010000,0.161637,5.227104,0.058017,0.702406,4.261681,0.412559,6.263226
0.010000,0.169085,5.226945,0.065467,0.744943,4.253686,-0.799496,6.260665
0.010000,0.176958,5.226757,0.073343,0.787585,4.264173,1.048697,6.257961
0.010000,0.185257,5.226536,0.081644,0.830139,4.255483,-0.868946,6.255113
0.010000,0.193980,5.226278,0.090372,0.872739,4.259998,0.451446,6.252123
0.010000,0.203129,5.225980,0.099525,0.915366,4.262629,0.263151,6.248991
0.010000,0.212702,5.225636,0.109105,0.957964,4.259843,-0.278671,6.245717
0.010000,0.222701,5.225245,0.119111,1.000574,4.261010,0.116698,6.242303
0.010000,0.233123,5.224800,0.129543,1.043191,4.261699,0.068923,6.238749
0.010000,0.243969,5.224297,0.140401,1.085811,4.261954,0.025546,6.235056
0.010000,0.255240,5.223733,0.151685,1.128470,4.265975,0.402103,6.231226
0.010000,0.266934,5.223101,0.163396,1.171116,4.264511,-0.146404,6.227259
0.010000,0.279051,5.222398,0.175534,1.213737,4.262138,-0.237327,6.223157
0.010000,0.291591,5.221618,0.188098,1.256450,4.271293,0.915462,6.218920
0.010000,0.304554,5.220755,0.201089,1.299089,4.263887,-0.740539,6.214551
0.010000,0.317938,5.219805,0.214507,1.341795,4.270655,0.676808,6.210052
0.010000,0.331743,5.218761,0.228352,1.384502,4.270715,0.005916,6.205422
0.010000,0.345970,5.217619,0.242624,1.427211,4.270861,0.014650,6.200666
0.010000,0.360616,5.216371,0.257324,1.469941,4.273002,0.214105,6.195784
0.010000,0.375682,5.215013,0.272451,1.512689,4.274780,0.177783,6.190778
0.010000,0.391166,5.213538,0.288005,1.555451,4.276258,0.147771,6.185652
0.010000,0.407069,5.211940,0.303987,1.598226,4.277498,0.124076,6.180406
0.010000,0.423388,5.210212,0.320398,1.641050,4.282394,0.489605,6.175045
0.010000,0.440123,5.208349,0.337237,1.683869,4.281862,-0.053256,6.169569
0.010000,0.457273,5.206344,0.354504,1.726708,4.283856,0.199412,6.163984
0.010000,0.474838,5.204189,0.372200,1.769586,4.287872,0.401638,6.158290
0.010000,0.492815,5.201879,0.390324,1.812485,4.289848,0.197608,6.152493
0.010000,0.511203,5.199407,0.408878,1.855398,4.291308,0.145988,6.146594
0.010000,0.530002,5.196766,0.427862,1.898347,4.294930,0.362168,6.140598
0.010000,0.549210,5.193948,0.447275,1.941330,4.298270,0.334024,6.134508
0.010000,0.568825,5.190948,0.467119,1.984344,4.301404,0.313337,6.128329
0.010000,0.588846,5.187758,0.487392,2.027388,4.304402,0.299854,6.122064
0.010000,0.609272,5.184372,0.508097,2.070461,4.307335,0.293285,6.115717
0.010000,0.630101,5.180782,0.529233,2.113564,4.310268,0.293298,6.109294
0.010000,0.651330,5.176981,0.550800,2.156719,4.315484,0.521609,6.102799
0.010000,0.672959,5.172963,0.572799,2.199901,4.318194,0.271044,6.096237
0.010000,0.694986,5.168721,0.595230,2.243127,4.322627,0.443299,6.089613
0.010000,0.717408,5.164248,0.618094,2.286383,4.325630,0.300235,6.082931
0.010000,0.740224,5.159537,0.641391,2.329700,4.331627,0.599694,6.076198
0.010000,0.763431,5.154581,0.665121,2.373048,4.334884,0.325772,6.069419
0.010000,0.787028,5.149374,0.689286,2.416441,4.339262,0.437735,6.062600
0.010000,0.811012,5.143909,0.713885,2.459880,4.343937,0.467471,6.055747
0.010000,0.835381,5.138181,0.738918,2.503366,4.348600,0.466302,6.048865
0.010000,0.860133,5.132182,0.764387,2.546903,4.353693,0.509374,6.041961
0.010000,0.885267,5.125906,0.790292,2.590491,4.358772,0.507819,6.035041
0.010000,0.910778,5.119348,0.816634,2.634121,4.363030,0.425883,6.028112
0.010000,0.936666,5.112501,0.843412,2.677810,4.368878,0.584808,6.021180
0.010000,0.962928,5.105360,0.870627,2.721545,4.373509,0.463035,6.014251
0.010000,0.989562,5.097920,0.898280,2.765339,4.379402,0.589352,6.007334
0.010000,1.016565,5.090176,0.926372,2.809182,4.384260,0.485750,6.000434
0.010000,1.043936,5.082121,0.954903,2.853080,4.389831,0.557131,5.993559
0.010000,1.071671,5.073752,0.983873,2.897034,4.395347,0.551604,5.986715
0.010000,1.099769,5.065064,1.013284,2.941042,4.400858,0.551049,5.979910
0.010000,1.128227,5.056052,1.043135,2.985106,4.406404,0.554669,5.973151
0.010000,1.157044,5.046714,1.073427,3.029226,4.412021,0.561684,5.966445
0.010000,1.186217,5.037043,1.104161,3.073404,4.417735,0.571335,5.959799
0.010000,1.215744,5.027039,1.135338,3.117636,4.423178,0.544338,5.953220
0.010000,1.245624,5.016696,1.166957,3.161926,4.429035,0.585706,5.946717
0.010000,1.275832,5.006021,1.198996,3.203881,4.195471,-23.356427,5.940300
0.010000,1.306322,4.995027,1.231407,3.241106,3.722570,-47.290021,5.933986
