dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.044864,5.324413,0.000024,0.004856,0.485641,48.564103,0.001048
0.010000,0.044866,5.324413,0.000026,0.000164,-0.469250,-95.489147,0.001027
0.010000,0.044869,5.324413,0.000030,0.000369,0.020486,48.973674,0.000980
0.010000,0.044876,5.324413,0.000036,0.000656,0.028675,0.818912,0.000896
0.010000,0.044886,5.324413,0.000046,0.001024,0.036856,0.818083,0.000764
0.010000,0.044901,5.324413,0.000061,0.001474,0.045024,0.816726,0.000575
0.010000,0.044921,5.324413,0.000081,0.002006,0.053171,0.814706,0.000317
0.010000,0.045040,5.324413,0.000200,0.011914,0.990833,93.766227,6.283165
0.010000,0.047040,5.324412,0.002200,0.200008,18.809359,1781.852662,6.282739
0.010000,0.049484,5.324410,0.004645,0.244431,4.442270,-1436.708933,6.282219
0.010000,0.052373,5.324407,0.007534,0.288886,4.445577,0.330732,6.281605
0.010000,0.055706,5.324400,0.010867,0.333311,4.442479,-0.309847,6.280896
0.010000,0.059484,5.324390,0.014644,0.377747,4.443628,0.114924,6.280095
0.010000,0.063706,5.324375,0.018866,0.422190,4.444235,0.060675,6.279199
0.010000,0.068372,5.324354,0.023532,0.466617,4.442681,-0.155427,6.278211
0.010000,0.073482,5.324326,0.028643,0.511042,4.442515,-0.016575,6.277131
0.010000,0.079037,5.324289,0.034197,0.555463,4.442095,-0.041982,6.275958
0.010000,0.085035,5.324242,0.040196,0.599888,4.442476,0.038127,6.274694
0.010000,0.091478,5.324183,0.046639,0.644309,4.442157,-0.031969,6.273339
0.010000,0.098365,5.324110,0.053526,0.688710,4.440138,-0.201843,6.271893
0.010000,0.105696,5.324022,0.060858,0.733125,4.441405,0.126684,6.270357
0.010000,0.113470,5.323916,0.068633,0.777519,4.439444,-0.196130,6.268732
0.010000,0.121688,5.323790,0.076852,0.821926,4.440726,0.128173,6.267018
0.010000,0.130350,5.323642,0.085515,0.866309,4.438318,-0.240771,6.265217
0.010000,0.139455,5.323470,0.094622,0.910692,4.438262,-0.005594,6.263328
0.010000,0.149004,5.323271,0.104173,0.955071,4.437937,-0.032476,6.261354
0.010000,0.158996,5.323042,0.114167,0.999445,4.437358,-0.057910,6.259294
0.010000,0.169431,5.322782,0.124605,1.043810,4.436540,-0.081851,6.257150
0.010000,0.180308,5.322486,0.135487,1.088165,4.435497,-0.104260,6.254922
0.010000,0.191629,5.322153,0.146812,1.132508,4.434246,-0.125099,6.252612
0.010000,0.203391,5.321779,0.158581,1.176848,4.434010,-0.023581,6.250222
0.010000,0.215596,5.321362,0.170792,1.221182,4.433406,-0.060444,6.247751
0.010000,0.228242,5.320897,0.183447,1.265497,4.431518,-0.188783,6.245201
0.010000,0.241330,5.320383,0.196545,1.309806,4.430867,-0.065124,6.242574
0.010000,0.254859,5.319815,0.210087,1.354113,4.430690,-0.017662,6.239871
0.010000,0.268829,5.319190,0.224071,1.398397,4.428469,-0.222099,6.237093
0.010000,0.283240,5.318504,0.238497,1.442673,4.427597,-0.087154,6.234242
0.010000,0.298090,5.317755,0.253367,1.486938,4.426495,-0.110272,6.231320
0.010000,0.313380,5.316939,0.268679,1.531190,4.425182,-0.131256,6.228327
0.010000,0.329110,5.316051,0.284433,1.575427,4.423681,-0.150118,6.225266
0.010000,0.345278,5.315088,0.300629,1.619656,4.422862,-0.081853,6.222138
0.010000,0.361884,5.314046,0.317268,1.663870,4.421464,-0.139853,6.218946
0.010000,0.378927,5.312922,0.334349,1.708059,4.418875,-0.258912,6.215691
0.010000,0.396408,5.311711,0.351871,1.752250,4.419117,0.024176,6.212374
0.010000,0.414325,5.310410,0.369835,1.796411,4.416108,-0.300885,6.208999
0.010000,0.432677,5.309014,0.388241,1.840558,4.414684,-0.142331,6.205567
0.010000,0.451465,5.307520,0.407088,1.884693,4.413475,-0.120923,6.202081
0.010000,0.470687,5.305923,0.426376,1.928810,4.411703,-0.177181,6.198542
0.010000,0.490342,5.304220,0.446105,1.972905,4.409549,-0.215481,6.194953
0.010000,0.510430,5.302406,0.466275,2.016986,4.408062,-0.148651,6.191316
0.010000,0.530950,5.300477,0.486885,2.061046,4.406043,-0.201859,6.187634
0.010000,0.551901,5.298430,0.507936,2.105084,4.403720,-0.232388,6.183909
0.010000,0.573283,5.296259,0.529427,2.149101,4.401711,-0.200816,6.180144
0.010000,0.595093,5.293962,0.551358,2.193104,4.400324,-0.138762,6.176342
0.010000,0.617332,5.291534,0.573729,2.237077,4.397335,-0.298882,6.172506
0.010000,0.639997,5.288970,0.596539,2.281033,4.395532,-0.180301,6.168637
0.010000,0.663089,5.286268,0.619789,2.324967,4.393487,-0.204503,6.164739
0.010000,0.686607,5.283422,0.643478,2.368876,4.390809,-0.267792,6.160816
0.010000,0.710548,5.280430,0.667605,2.412761,4.388538,-0.227083,6.156870
0.010000,0.734912,5.277287,0.692171,2.456622,4.386142,-0.239624,6.152904
0.010000,0.759698,5.273989,0.717176,2.500459,4.383645,-0.249710,6.148921
0.010000,0.784905,5.270532,0.742619,2.544270,4.381089,-0.255624,6.144925
0.010000,0.810532,5.266914,0.768499,2.588058,4.378876,-0.221213,6.140919
0.010000,0.836576,5.263130,0.794818,2.631816,4.375772,-0.310453,6.136906
0.010000,0.863038,5.259177,0.821573,2.675550,4.373366,-0.240578,6.132890
0.010000,0.889916,5.255051,0.848766,2.719255,4.370492,-0.287407,6.128874
0.010000,0.917208,5.250750,0.876395,2.762934,4.367960,-0.253166,6.124862
0.010000,0.944914,5.246269,0.904461,2.806584,4.364952,-0.300865,6.120857
0.010000,0.973032,5.241606,0.932963,2.850205,4.362160,-0.279186,6.116864
0.010000,1.001561,5.236759,0.961901,2.893798,4.359287,-0.287303,6.112885
0.010000,1.030500,5.231723,0.991274,2.937362,4.356354,-0.293282,6.108924
0.010000,1.059847,5.226497,1.021083,2.980896,4.353380,-0.297389,6.104986
0.010000,1.089602,5.221077,1.051327,3.024399,4.350381,-0.299892,6.101075
0.010000,1.119762,5.215462,1.082006,3.067873,4.347336,-0.304556,6.097193
0.010000,1.150328,5.209650,1.113119,3.111315,4.344248,-0.308769,6.093346
0.010000,1.181297,5.203638,1.144666,3.154727,4.341178,-0.306992,6.089536
0.010000,1.212668,5.197424,1.176648,3.198107,4.337986,-0.319248,6.085769
0.010000,1.244441,5.191007,1.209062,3.241455,4.334820,-0.316536,6.082048
0.010000,1.276591,5.184390,1.241885,3.282323,4.086748,-24.807184,6.078380
0.010000,1.309068,5.177582,1.275068,3.318262,3.593956,-49.279241,6.074774
0.010000,1.341823,5.170594,1.308561,3.349278,3.101627,-49.232921,6.071239
0.010000,1.374809,5.163437,1.342315,3.375376,2.609778,-49.184860,6.067782
0.010000,1.407978,5.156121,1.376280,3.396560,2.118421,-49.135690,6.064412
0.010000,1.441280,5.148659,1.410408,3.412836,1.627562,-49.085887,6.061134
0.010000,1.474670,5.141064,1.444651,3.424208,1.137204,-49.035797,6.057956
0.010000,1.508098,5.133351,1.478957,3.430682,0.647348,-48.985658,6.054881
0.010000,1.541518,5.125533,1.513280,3.432262,0.157992,-48.935628,6.051916
0.010000,1.574908,5.117620,1.547594,3.431397,-0.086495,-24.448653,6.049062
0.010000,1.608266,5.109615,1.581899,3.430532,-0.086419,0.007629,6.046319
0.010000,1.641594,5.101523,1.616196,3.429669,-0.086335,0.008330,6.043688
0.010000,1.674893,5.093347,1.650484,3.428806,-0.086284,0.005121,6.041167
0.010000,1.708164,5.085091,1.684763,3.427944,-0.086233,0.005155,6.038757
0.010000,1.741406,5.076759,1.719034,3.427083,-0.086051,0.018173,6.036457
0.010000,1.774622,5.068354,1.753297,3.426224,-0.085949,0.010137,6.034268
0.010000,1.807811,5.059881,1.787550,3.425365,-0.085847,0.010274,6.032190
0.010000,1.840974,5.051343,1.821795,3.424508,-0.085744,0.010316,6.030222
0.010000,1.874113,5.042743,1.856032,3.423652,-0.085641,0.010270,6.028363
0.010000,1.907228,5.034086,1.890260,3.422796,-0.085539,0.010140,6.026615
0.010000,1.940320,5.025375,1.924479,3.421942,-0.085440,0.009931,6.024977
0.010000,1.973390,5.016613,1.958690,3.421088,-0.085361,0.007899,6.023449
0.010000,2.006439,5.007806,1.992892,3.420235,-0.085312,0.004945,6.022030
0.010000,2.039468,4.998955,2.027086,3.419384,-0.085151,0.016073,6.020720
0.010000,2.072477,4.990065,2.061272,3.418533,-0.085066,0.008477,6.019520
0.010000,2.105468,4.981140,2.095448,3.417683,-0.084987,0.007939,6.018430
0.010000,2.138441,4.972182,2.129617,3.416834,-0.084913,0.007352,6.017448
0.010000,2.171398,4.963196,2.163777,3.415985,-0.084846,0.006720,6.016576
0.010000,2.204339,4.954186,2.197928,3.415138,-0.084786,0.006048,6.015812
0.010000,2.237266,4.945154,2.232071,3.414290,-0.084732,0.005341,6.015158
0.010000,2.270179,4.936105,2.266205,3.413443,-0.084686,0.004604,6.014612
0.010000,2.303079,4.927042,2.300331,3.412597,-0.084657,0.002894,6.014176
0.010000,2.335968,4.917969,2.334449,3.411751,-0.084622,0.003533,6.013848
0.010000,2.368847,4.908889,2.368558,3.410905,-0.084582,0.004023,6.013629
0.010000,2.401715,4.899806,2.402658,3.410059,-0.084567,0.001443,6.013518
0.010000,2.434575,4.890723,2.436751,3.409213,-0.084561,0.000613,6.013516
0.010000,2.467427,4.881644,2.470834,3.408368,-0.084563,-0.000220,6.013624
0.010000,2.500273,4.872573,2.504909,3.407522,-0.084574,-0.001052,6.013839
0.010000,2.533113,4.863512,2.538976,3.406676,-0.084593,-0.001878,6.014164
0.010000,2.565948,4.854467,2.573035,3.405830,-0.084620,-0.002693,6.014597
