dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.044945,5.246635,0.000024,0.004856,0.485641,48.564103,0.001048
0.010000,0.044945,5.246635,0.000121,0.014569,0.971282,48.564103,0.001027
0.010000,0.044945,5.246635,0.000340,0.029138,1.456923,48.564103,0.000980
0.010000,0.044945,5.246635,0.000728,0.048564,1.942564,48.564103,0.000896
0.010000,0.044945,5.246635,0.001336,0.072846,2.428205,48.564103,0.000764
0.010000,0.044945,5.246635,0.002210,0.101985,2.913846,48.564103,0.000575
0.010000,0.044945,5.246635,0.003399,0.135979,3.399487,48.564103,0.000317
0.010000,0.045038,5.246635,0.004954,0.174831,3.885128,48.564103,6.283165
0.010000,0.047005,5.246634,0.006920,0.218538,4.370769,48.564103,6.282739
0.010000,0.049409,5.246633,0.009324,0.262246,4.370769,0.000000,6.282219
0.010000,0.052250,5.246629,0.012165,0.305954,4.370769,-0.000000,6.281605
0.010000,0.055528,5.246623,0.015443,0.349662,4.370769,0.000000,6.280896
0.010000,0.059243,5.246613,0.019159,0.393369,4.370769,-0.000000,6.280095
0.010000,0.063396,5.246598,0.023311,0.437077,4.370769,0.000000,6.279199
0.010000,0.067985,5.246577,0.027900,0.480785,4.370769,0.000000,6.278211
0.010000,0.073011,5.246550,0.032926,0.524492,4.370769,0.000000,6.277131
0.010000,0.078475,5.246513,0.038390,0.568200,4.370769,-0.000000,6.275958
0.010000,0.084375,5.246467,0.044290,0.611908,4.370769,0.000000,6.274694
0.010000,0.090712,5.246409,0.050628,0.655615,4.370769,0.000000,6.273339
0.010000,0.097487,5.246337,0.057403,0.699323,4.370769,0.000000,6.271893
0.010000,0.104698,5.246250,0.064615,0.743031,4.370769,-0.000000,6.270357
0.010000,0.112346,5.246146,0.072263,0.786738,4.370769,0.000000,6.268732
0.010000,0.120431,5.246022,0.080349,0.830446,4.370769,0.000000,6.267018
0.010000,0.128953,5.245877,0.088872,0.874154,4.370769,-0.000000,6.265217
0.010000,0.137911,5.245707,0.097832,0.917862,4.370769,0.000000,6.263328
0.010000,0.147306,5.245511,0.107230,0.961569,4.370769,0.000000,6.261354
0.010000,0.157138,5.245287,0.117064,1.005277,4.370769,-0.000000,6.259294
0.010000,0.167406,5.245030,0.127335,1.048985,4.370769,0.000000,6.257150
0.010000,0.178110,5.244739,0.138043,1.092692,4.370769,-0.000000,6.254922
0.010000,0.189251,5.244412,0.149189,1.136400,4.370769,0.000000,6.252612
0.010000,0.200828,5.244044,0.160771,1.180108,4.370769,0.000000,6.250222
0.010000,0.212840,5.243633,0.172791,1.223815,4.370769,-0.000000,6.247751
0.010000,0.225289,5.243176,0.185248,1.267523,4.370769,0.000000,6.245201
0.010000,0.238172,5.242669,0.198142,1.311231,4.370769,-0.000000,6.242574
0.010000,0.251492,5.242110,0.211472,1.354938,4.370769,0.000000,6.239871
0.010000,0.265246,5.241494,0.225240,1.398646,4.370769,-0.000000,6.237093
0.010000,0.279435,5.240820,0.239445,1.442354,4.370769,0.000000,6.234242
0.010000,0.294058,5.240082,0.254087,1.486062,4.370769,0.000000,6.231320
0.010000,0.309116,5.239278,0.269167,1.529769,4.370769,0.000000,6.228327
0.010000,0.324607,5.238403,0.284683,1.573477,4.370769,0.000000,6.225266
0.010000,0.340532,5.237455,0.300636,1.617185,4.370769,-0.000000,6.222138
0.010000,0.356891,5.236429,0.317026,1.660892,4.370769,0.000000,6.218946
0.010000,0.373682,5.235321,0.333854,1.704600,4.370769,-0.000000,6.215691
0.010000,0.390905,5.234128,0.351118,1.748308,4.370769,0.000000,6.212374
0.010000,0.408560,5.232846,0.368820,1.792015,4.370769,0.000000,6.208999
0.010000,0.426646,5.231470,0.386959,1.835723,4.370769,-0.000000,6.205567
0.010000,0.445164,5.229998,0.405535,1.879431,4.370769,0.000000,6.202081
0.010000,0.464111,5.228424,0.424547,1.923138,4.370769,-0.000000,6.198542
0.010000,0.483489,5.226745,0.443997,1.966846,4.370769,0.000000,6.194953
0.010000,0.503295,5.224956,0.463884,2.010554,4.370769,-0.000000,6.191316
0.010000,0.523530,5.223054,0.484208,2.054262,4.370769,0.000000,6.187634
0.010000,0.544193,5.221035,0.504970,2.097969,4.370769,-0.000000,6.183909
0.010000,0.565282,5.218894,0.526168,2.141677,4.370769,0.000000,6.180144
0.010000,0.586799,5.216628,0.547803,2.185385,4.370769,0.000000,6.176342
0.010000,0.608741,5.214232,0.569875,2.229092,4.370769,0.000000,6.172506
0.010000,0.631107,5.211702,0.592385,2.272800,4.370769,-0.000000,6.168637
0.010000,0.653898,5.209035,0.615331,2.316508,4.370769,0.000000,6.164739
0.010000,0.677113,5.206226,0.638715,2.360215,4.370769,0.000000,6.160816
0.010000,0.700750,5.203272,0.662536,2.403923,4.370769,-0.000000,6.156870
0.010000,0.724808,5.200168,0.686794,2.447631,4.370769,0.000000,6.152904
0.010000,0.749287,5.196911,0.711488,2.491338,4.370769,-0.000000,6.148921
0.010000,0.774186,5.193497,0.736620,2.535046,4.370769,0.000000,6.144925
0.010000,0.799504,5.189922,0.762189,2.578754,4.370769,-0.000000,6.140919
0.010000,0.825240,5.186183,0.788195,2.622462,4.370769,0.000000,6.136906
0.010000,0.851393,5.182276,0.814639,2.666169,4.370769,-0.000000,6.132890
0.010000,0.877962,5.178198,0.841519,2.709877,4.370769,0.000000,6.128874
0.010000,0.904946,5.173945,0.868836,2.753585,4.370769,-0.000000,6.124862
0.010000,0.932344,5.169514,0.896590,2.797292,4.370769,0.000000,6.120857
0.010000,0.960156,5.164902,0.924782,2.841000,4.370769,-0.000000,6.116864
0.010000,0.988380,5.160106,0.953410,2.884708,4.370769,0.000000,6.112885
0.010000,1.017015,5.155123,0.982476,2.928415,4.370769,0.000000,6.108924
0.010000,1.046061,5.149950,1.011979,2.972123,4.370769,-0.000000,6.104986
0.010000,1.075516,5.144586,1.041919,3.015831,4.370769,0.000000,6.101075
0.010000,1.105380,5.139026,1.072295,3.059538,4.370769,-0.000000,6.097193
0.010000,1.135651,5.133269,1.103109,3.103246,4.370769,0.000000,6.093346
0.010000,1.166329,5.127314,1.134360,3.146954,4.370769,0.000000,6.089536
0.010000,1.197413,5.121157,1.166048,3.190662,4.370769,-0.000000,6.085769
0.010000,1.228903,5.114797,1.198174,3.234369,4.370769,-0.000000,6.082048
0.010000,1.260773,5.108238,1.230711,3.273221,3.885128,-48.564103,6.078380
0.010000,1.292975,5.101488,1.263614,3.307215,3.399487,-48.564103,6.074774
0.010000,1.325462,5.094557,1.296832,3.336354,2.913846,-48.564103,6.071239
0.010000,1.358185,5.087456,1.330316,3.360636,2.428205,-48.564103,6.067782
0.010000,1.391097,5.080197,1.364020,3.380062,1.942564,-48.564103,6.064412
0.010000,1.424151,5.072790,1.397893,3.394631,1.456923,-48.564103,6.061134
0.010000,1.457300,5.065251,1.431888,3.404344,0.971282,-48.564103,6.057956
0.010000,1.490495,5.057591,1.465956,3.409200,0.485641,-48.564103,6.054881
0.010000,1.523691,5.049826,1.500048,3.409200,0.000000,-48.564103,6.051916
0.010000,1.556864,5.041964,1.534140,3.409200,0.000000,0.000000,6.049062
0.010000,1.590015,5.034009,1.568232,3.409200,0.000000,0.000000,6.046319
0.010000,1.623144,5.025965,1.602324,3.409200,0.000000,0.000000,6.043688
0.010000,1.656253,5.017836,1.636416,3.409200,0.000000,0.000000,6.041167
0.010000,1.689341,5.009625,1.670508,3.409200,0.000000,0.000000,6.038757
0.010000,1.722410,5.001336,1.704600,3.409200,0.000000,0.000000,6.036457
0.010000,1.755461,4.992974,1.738692,3.409200,0.000000,0.000000,6.034268
0.010000,1.788493,4.984540,1.772784,3.409200,0.000000,0.000000,6.032190
0.010000,1.821509,4.976040,1.806876,3.409200,0.000000,0.000000,6.030222
0.010000,1.854507,4.967477,1.840968,3.409200,0.000000,0.000000,6.028363
0.010000,1.887491,4.958854,1.875060,3.409200,0.000000,0.000000,6.026615
0.010000,1.920460,4.950175,1.909152,3.409200,0.000000,0.000000,6.024977
0.010000,1.953415,4.941444,1.943244,3.409200,0.000000,0.000000,6.023449
0.010000,1.986357,4.932665,1.977336,3.409200,0.000000,0.000000,6.022030
0.010000,2.019287,4.923841,2.011428,3.409200,0.000000,0.000000,6.020720
0.010000,2.052206,4.914975,2.045520,3.409200,0.000000,0.000000,6.019520
