dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.045027,5.168857,0.000024,0.004856,0.485641,48.564103,0.001048
0.010000,0.045025,5.168857,0.000026,0.000164,-0.469250,-95.489147,0.001027
0.010000,0.045022,5.168857,0.000030,0.000369,0.020486,48.973674,0.000980
0.010000,0.045015,5.168857,0.000036,0.000656,0.028675,0.818912,0.000896
0.010000,0.045005,5.168857,0.000046,0.001024,0.036856,0.818083,0.000764
0.010000,0.044990,5.168857,0.000061,0.001474,0.045024,0.816726,0.000575
0.010000,0.044970,5.168857,0.000081,0.002006,0.053171,0.814706,0.000317
0.010000,0.045037,5.168857,0.000148,0.006676,0.467046,41.387527,6.283165
0.010000,0.046971,5.168856,0.002082,0.193382,18.670558,1820.351203,6.282739
0.010000,0.049334,5.168855,0.004445,0.236338,4.295618,-1437.493942,6.282219
0.010000,0.052127,5.168851,0.007238,0.279330,4.299125,0.350689,6.281605
0.010000,0.055350,5.168845,0.010461,0.322294,4.296496,-0.262920,6.280896
0.010000,0.059003,5.168835,0.014114,0.365275,4.298033,0.153640,6.280095
0.010000,0.063086,5.168821,0.018197,0.408266,4.299104,0.107125,6.279199
0.010000,0.067598,5.168800,0.022709,0.451247,4.298146,-0.095825,6.278211
0.010000,0.072540,5.168773,0.027652,0.494233,4.298591,0.044570,6.277131
0.010000,0.077912,5.168738,0.033024,0.537222,4.298854,0.026243,6.275958
0.010000,0.083714,5.168692,0.038826,0.580221,4.299955,0.110096,6.274694
0.010000,0.089946,5.168635,0.045058,0.623226,4.300443,0.048813,6.273339
0.010000,0.096608,5.168564,0.051721,0.666219,4.299354,-0.108868,6.271893
0.010000,0.103700,5.168479,0.058813,0.709234,4.301511,0.215718,6.270357
0.010000,0.111222,5.168376,0.066335,0.752241,4.300615,-0.089606,6.268732
0.010000,0.119174,5.168254,0.074288,0.795270,4.302928,0.231269,6.267018
0.010000,0.127555,5.168111,0.082671,0.838287,4.301744,-0.118401,6.265217
0.010000,0.136367,5.167945,0.091484,0.881316,4.302910,0.116609,6.263328
0.010000,0.145608,5.167752,0.100728,0.924355,4.303893,0.098266,6.261354
0.010000,0.155280,5.167531,0.110402,0.967402,4.304708,0.081502,6.259294
0.010000,0.165381,5.167279,0.120506,1.010456,4.305371,0.066365,6.257150
0.010000,0.175913,5.166993,0.131041,1.053515,4.305900,0.052895,6.254922
0.010000,0.186874,5.166670,0.142007,1.096578,4.306312,0.041128,6.252612
0.010000,0.198264,5.166308,0.153404,1.139656,4.307792,0.148044,6.250222
0.010000,0.210085,5.165904,0.165231,1.182746,4.309004,0.121189,6.247751
0.010000,0.222335,5.165454,0.177489,1.225837,4.309063,0.005896,6.245201
0.010000,0.235015,5.164955,0.190179,1.268941,4.310411,0.134864,6.242574
0.010000,0.248124,5.164405,0.203299,1.312064,4.312314,0.190277,6.239871
