dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000169,0.077778,0.000024,0.004856,0.485641,48.564103,6.281017
0.010000,0.000166,0.077778,0.000026,0.000220,-0.463667,-94.930793,6.281045
0.010000,0.000161,0.077778,0.000031,0.000494,0.027470,49.113726,6.281109
0.010000,0.000153,0.077778,0.000040,0.000879,0.038466,1.099571,6.281222
0.010000,0.000139,0.077778,0.000054,0.001374,0.049473,1.100731,6.281399
0.010000,0.000119,0.077778,0.000074,0.001979,0.060500,1.102631,6.281653
0.010000,0.000092,0.077778,0.000101,0.002694,0.071554,1.105453,6.281999
0.010000,0.000057,0.077778,0.000136,0.003521,0.082648,1.109383,6.282452
0.010000,0.000012,0.077778,0.000180,0.004459,0.093794,1.114603,6.283025
0.010000,0.001815,0.077778,0.001983,0.180257,17.579859,1748.606480,0.000542
0.010000,0.004592,0.077781,0.004760,0.277678,9.742068,-783.779135,0.001372
0.010000,0.007794,0.077787,0.007962,0.320213,4.253513,-548.855414,0.002332
0.010000,0.011426,0.077797,0.011594,0.363174,4.296123,4.260954,0.003422
0.010000,0.015482,0.077814,0.015650,0.405620,4.244547,-5.157637,0.004643
0.010000,0.019966,0.077838,0.020135,0.448463,4.284331,3.978471,0.005997
0.010000,0.024877,0.077871,0.025046,0.491112,4.264896,-1.943485,0.007484
0.010000,0.030214,0.077915,0.030382,0.533649,4.253708,-1.118874,0.009105
0.010000,0.035977,0.077972,0.036145,0.576315,4.266548,1.284079,0.010863
0.010000,0.042167,0.078046,0.042336,0.619104,4.278929,1.238024,0.012758
0.010000,0.048783,0.078137,0.048953,0.661682,4.257763,-2.116587,0.014792
0.010000,0.055825,0.078249,0.055996,0.704269,4.258690,0.092673,0.016967
0.010000,0.063292,0.078384,0.063464,0.746847,4.257838,-0.085142,0.019284
0.010000,0.071185,0.078546,0.071358,0.789399,4.255207,-0.263106,0.021745
0.010000,0.079502,0.078738,0.079678,0.831944,4.254507,-0.069973,0.024353
0.010000,0.088246,0.078963,0.088425,0.874687,4.274303,1.979557,0.027110
0.010000,0.097414,0.079225,0.097596,0.917142,4.245507,-2.879578,0.030017
0.010000,0.107004,0.079527,0.107191,0.959499,4.235707,-0.979989,0.033078
0.010000,0.117020,0.079875,0.117213,1.002204,4.270518,3.481077,0.036295
