dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000024,0.004856,0.485641,48.564103,6.281017
0.010000,0.000000,0.000000,0.000121,0.014569,0.971282,48.564103,6.281045
0.010000,0.000000,0.000000,0.000340,0.029138,1.456923,48.564103,6.281109
0.010000,0.000000,0.000000,0.000728,0.048564,1.942564,48.564103,6.281222
0.010000,0.000000,0.000000,0.001336,0.072846,2.428205,48.564103,6.281399
0.010000,0.000000,0.000000,0.002210,0.101985,2.913846,48.564103,6.281653
0.010000,0.000000,0.000000,0.003399,0.135979,3.399487,48.564103,6.281999
0.010000,0.000000,0.000000,0.004954,0.174831,3.885128,48.564103,6.282452
0.010000,0.000000,0.000000,0.006920,0.218538,4.370769,48.564103,6.283025
0.010000,0.001857,0.000001,0.009324,0.262246,4.370769,0.000000,0.000542
0.010000,0.004699,0.000003,0.012165,0.305954,4.370769,-0.000000,0.001372
0.010000,0.007975,0.000009,0.015443,0.349662,4.370769,0.000000,0.002332
0.010000,0.011692,0.000020,0.019159,0.393369,4.370769,-0.000000,0.003422
0.010000,0.015843,0.000037,0.023311,0.437077,4.370769,0.000000,0.004643
0.010000,0.020433,0.000061,0.027900,0.480785,4.370769,0.000000,0.005997
0.010000,0.025459,0.000095,0.032926,0.524492,4.370769,0.000000,0.007484
0.010000,0.030922,0.000140,0.038390,0.568200,4.370769,-0.000000,0.009105
0.010000,0.036821,0.000199,0.044290,0.611908,4.370769,0.000000,0.010863
0.010000,0.043159,0.000274,0.050628,0.655615,4.370769,0.000000,0.012758
0.010000,0.049934,0.000367,0.057403,0.699323,4.370769,0.000000,0.014792
0.010000,0.057145,0.000482,0.064615,0.743031,4.370769,-0.000000,0.016967
0.010000,0.064792,0.000621,0.072263,0.786738,4.370769,0.000000,0.019284
0.010000,0.072876,0.000786,0.080349,0.830446,4.370769,0.000000,0.021745
0.010000,0.081396,0.000983,0.088872,0.874154,4.370769,-0.000000,0.024353
0.010000,0.090354,0.001213,0.097832,0.917862,4.370769,0.000000,0.027110
0.010000,0.099748,0.001482,0.107230,0.961569,4.370769,0.000000,0.030017
0.010000,0.109576,0.001792,0.117064,1.005277,4.370769,-0.000000,0.033078
0.010000,0.119842,0.002148,0.127335,1.048985,4.370769,0.000000,0.036295
0.010000,0.130542,0.002555,0.138043,1.092692,4.370769,-0.000000,0.039670
0.010000,0.141679,0.003016,0.149189,1.136400,4.370769,0.000000,0.043207
0.010000,0.153248,0.003538,0.160771,1.180108,4.370769,0.000000,0.046907
0.010000,0.165255,0.004125,0.172791,1.223815,4.370769,-0.000000,0.050776
0.010000,0.177694,0.004782,0.185248,1.267523,4.370769,0.000000,0.054815
0.010000,0.190567,0.005516,0.198142,1.311231,4.370769,-0.000000,0.059028
0.010000,0.203872,0.006331,0.211472,1.354938,4.370769,0.000000,0.063418
0.010000,0.217610,0.007235,0.225240,1.398646,4.370769,-0.000000,0.067989
0.010000,0.231780,0.008234,0.239445,1.442354,4.370769,0.000000,0.072745
0.010000,0.246381,0.009334,0.254087,1.486062,4.370769,0.000000,0.077690
0.010000,0.261412,0.010543,0.269167,1.529769,4.370769,0.000000,0.082827
0.010000,0.276872,0.011868,0.284683,1.573477,4.370769,0.000000,0.088161
0.010000,0.292758,0.013316,0.300636,1.617185,4.370769,-0.000000,0.093696
0.010000,0.309073,0.014897,0.317026,1.660892,4.370769,0.000000,0.099437
0.010000,0.325812,0.016617,0.333854,1.704600,4.370769,-0.000000,0.105388
0.010000,0.342975,0.018486,0.351118,1.748308,4.370769,0.000000,0.111553
0.010000,0.360559,0.020512,0.368820,1.792015,4.370769,0.000000,0.117937
0.010000,0.378566,0.022706,0.386959,1.835723,4.370769,-0.000000,0.124545
0.010000,0.396990,0.025077,0.405535,1.879431,4.370769,0.000000,0.131382
0.010000,0.415829,0.027634,0.424547,1.923138,4.370769,-0.000000,0.138453
0.010000,0.435083,0.030388,0.443997,1.966846,4.370769,0.000000,0.145763
0.010000,0.454748,0.033351,0.463884,2.010554,4.370769,-0.000000,0.153317
0.010000,0.474822,0.036533,0.484208,2.054262,4.370769,0.000000,0.161120
0.010000,0.495300,0.039946,0.504970,2.097969,4.370769,-0.000000,0.169177
0.010000,0.516181,0.043602,0.526168,2.141677,4.370769,0.000000,0.177492
0.010000,0.537459,0.047513,0.547803,2.185385,4.370769,0.000000,0.186072
0.010000,0.559133,0.051692,0.569875,2.229092,4.370769,0.000000,0.194921
0.010000,0.581195,0.056152,0.592385,2.272800,4.370769,-0.000000,0.204043
0.010000,0.603644,0.060907,0.615331,2.316508,4.370769,0.000000,0.213444
0.010000,0.626473,0.065971,0.638715,2.360215,4.370769,0.000000,0.223127
0.010000,0.649676,0.071358,0.662536,2.403923,4.370769,-0.000000,0.233097
0.010000,0.673248,0.077082,0.686794,2.447631,4.370769,0.000000,0.243357
0.010000,0.697183,0.083158,0.711488,2.491338,4.370769,-0.000000,0.253912
0.010000,0.721475,0.089603,0.736620,2.535046,4.370769,0.000000,0.264763
0.010000,0.746116,0.096431,0.762189,2.578754,4.370769,-0.000000,0.275915
0.010000,0.771097,0.103659,0.788195,2.622462,4.370769,0.000000,0.287368
0.010000,0.796410,0.111302,0.814639,2.666169,4.370769,-0.000000,0.299124
0.010000,0.822050,0.119378,0.841519,2.709877,4.370769,0.000000,0.311184
0.010000,0.848002,0.127902,0.868836,2.753585,4.370769,-0.000000,0.323548
0.010000,0.874260,0.136892,0.896590,2.797292,4.370769,0.000000,0.336215
0.010000,0.900812,0.146365,0.924782,2.841000,4.370769,-0.000000,0.349183
0.010000,0.927647,0.156338,0.953410,2.884708,4.370769,0.000000,0.362449
0.010000,0.954754,0.166827,0.982476,2.928415,4.370769,0.000000,0.376009
0.010000,0.982120,0.177850,1.011979,2.972123,4.370769,-0.000000,0.389858
0.010000,1.009731,0.189424,1.041919,3.015831,4.370769,0.000000,0.403990
0.010000,1.037575,0.201566,1.072295,3.059538,4.370769,-0.000000,0.418397
0.010000,1.065639,0.214291,1.103109,3.103246,4.370769,0.000000,0.433070
0.010000,1.093906,0.227617,1.134360,3.146954,4.370769,0.000000,0.447998
0.010000,1.122362,0.241559,1.166048,3.190662,4.370769,-0.000000,0.463171
0.010000,1.150990,0.256133,1.198174,3.234369,4.370769,-0.000000,0.478573
0.010000,1.179754,0.271342,1.230711,3.273221,3.885128,-48.564103,0.494179
0.010000,1.208596,0.287176,1.263614,3.307215,3.399487,-48.564103,0.509950
0.010000,1.237457,0.303620,1.296832,3.336354,2.913846,-48.564103,0.525843
0.010000,1.266283,0.320658,1.330316,3.360636,2.428205,-48.564103,0.541819
0.010000,1.295019,0.338270,1.364020,3.380062,1.942564,-48.564103,0.557834
0.010000,1.323612,0.356430,1.397893,3.394631,1.456923,-48.564103,0.573846
0.010000,1.352013,0.375112,1.431888,3.404344,0.971282,-48.564103,0.589814
0.010000,1.380173,0.394285,1.465956,3.409200,0.485641,-48.564103,0.605696
0.010000,1.408046,0.413915,1.500048,3.409200,0.000000,-48.564103,0.621451
0.010000,1.435607,0.433980,1.534140,3.409200,0.000000,0.000000,0.637051
0.010000,1.462855,0.454470,1.568232,3.409200,0.000000,0.000000,0.652481
0.010000,1.489784,0.475375,1.602324,3.409200,0.000000,0.000000,0.667725
0.010000,1.516394,0.496686,1.636416,3.409200,0.000000,0.000000,0.682769
0.010000,1.542683,0.518392,1.670508,3.409200,0.000000,0.000000,0.697599
0.010000,1.568649,0.540482,1.704600,3.409200,0.000000,0.000000,0.712202
0.010000,1.594293,0.562947,1.738692,3.409200,0.000000,0.000000,0.726567
0.010000,1.619614,0.585774,1.772784,3.409200,0.000000,0.000000,0.740684
0.010000,1.644613,0.608953,1.806876,3.409200,0.000000,0.000000,0.754542
0.010000,1.669292,0.632473,1.840968,3.409200,0.000000,0.000000,0.768134
0.010000,1.693653,0.656323,1.875060,3.409200,0.000000,0.000000,0.781450
0.010000,1.717696,0.680492,1.909152,3.409200,0.000000,0.000000,0.794484
0.010000,1.741427,0.704969,1.943244,3.409200,0.000000,0.000000,0.807231
0.010000,1.764847,0.729743,1.977336,3.409200,0.000000,0.000000,0.819685
0.010000,1.787960,0.754803,2.011428,3.409200,0.000000,0.000000,0.831842
0.010000,1.810771,0.780139,2.045520,3.409200,0.000000,0.000000,0.843700
0.010000,1.833284,0.805740,2.079612,3.409200,0.000000,0.000000,0.855254
0.010000,1.855503,0.831597,2.113704,3.409200,0.000000,0.000000,0.866504
0.010000,1.877435,0.857698,2.147796,3.409200,0.000000,0.000000,0.877447
0.010000,1.899083,0.884034,2.181888,3.409200,0.000000,0.000000,0.888085
0.010000,1.920454,0.910596,2.215980,3.409200,0.000000,0.000000,0.898415
0.010000,1.941553,0.937374,2.250072,3.409200,0.000000,0.000000,0.908439
0.010000,1.962387,0.964359,2.284164,3.409200,0.000000,0.000000,0.918158
0.010000,1.982962,0.991543,2.318256,3.409200,0.000000,0.000000,0.927573
0.010000,2.003285,1.018915,2.352348,3.409200,0.000000,0.000000,0.936686
0.010000,2.023361,1.046469,2.386440,3.409200,0.000000,0.000000,0.945498
0.010000,2.043198,1.074195,2.420532,3.409200,0.000000,0.000000,0.954012
0.010000,2.062802,1.102087,2.454624,3.409200,0.000000,0.000000,0.962230
0.010000,2.082180,1.130136,2.488716,3.409200,0.000000,0.000000,0.970156
0.010000,2.101340,1.158334,2.522808,3.409200,0.000000,0.000000,0.977791
0.010000,2.120288,1.186676,2.556900,3.409200,0.000000,0.000000,0.985139
0.010000,2.139031,1.215153,2.590992,3.409200,0.000000,0.000000,0.992203
0.010000,2.157576,1.243760,2.625084,3.409200,0.000000,0.000000,0.998987
0.010000,2.175931,1.272489,2.659176,3.409200,0.000000,0.000000,1.005492
0.010000,2.194103,1.301334,2.693268,3.409200,0.000000,0.000000,1.011723
0.010000,2.212098,1.330289,2.727360,3.409200,0.000000,0.000000,1.017683
0.010000,2.229925,1.359349,2.761452,3.409200,0.000000,0.000000,1.023375
0.010000,2.247590,1.388508,2.795544,3.409200,0.000000,0.000000,1.028802
0.010000,2.265100,1.417759,2.829636,3.409200,0.000000,0.000000,1.033968
0.010000,2.282462,1.447099,2.863728,3.409200,0.000000,0.000000,1.038875
0.010000,2.299684,1.476521,2.897820,3.409200,0.000000,0.000000,1.043526
0.010000,2.316773,1.506021,2.931912,3.409200,0.000000,0.000000,1.047925
0.010000,2.333736,1.535593,2.966004,3.409200,0.000000,0.000000,1.052073
0.010000,2.350579,1.565234,3.000096,3.409200,0.000000,0.000000,1.055975
0.010000,2.367311,1.594938,3.034188,3.409200,0.000000,0.000000,1.059631
0.010000,2.383937,1.624701,3.068280,3.409200,0.000000,0.000000,1.063046
0.010000,2.400465,1.654518,3.102372,3.409200,0.000000,0.000000,1.066221
0.010000,2.416902,1.684386,3.136464,3.409200,0.000000,0.000000,1.069157
0.010000,2.433254,1.714300,3.170556,3.409200,0.000000,0.000000,1.071859
0.010000,2.449530,1.744257,3.204648,3.409200,0.000000,0.000000,1.074326
0.010000,2.465734,1.774251,3.238740,3.409200,0.000000,0.000000,1.076562
0.010000,2.481875,1.804280,3.272832,3.409200,0.000000,0.000000,1.078567
0.010000,2.497960,1.834339,3.306924,3.409200,0.000000,0.000000,1.080342
0.010000,2.513994,1.864425,3.341016,3.409200,0.000000,0.000000,1.081891
0.010000,2.529985,1.894534,3.375108,3.409200,0.000000,0.000000,1.083212
0.010000,2.545940,1.924662,3.409200,3.409200,0.000000,0.000000,1.084308
0.010000,2.561865,1.954806,3.443292,3.409200,0.000000,0.000000,1.085180
0.010000,2.577768,1.984962,3.477384,3.409200,0.000000,0.000000,1.085826
0.010000,2.593654,2.015127,3.511476,3.409200,0.000000,0.000000,1.086250
0.010000,2.609530,2.045296,3.545568,3.409200,0.000000,0.000000,1.086450
0.010000,2.625405,2.075467,3.579660,3.409200,0.000000,0.000000,1.086426
0.010000,2.641283,2.105636,3.613752,3.409200,0.000000,0.000000,1.086180
0.010000,2.657172,2.135799,3.647844,3.409200,0.000000,0.000000,1.085709
0.010000,2.673078,2.165952,3.681936,3.409200,0.000000,0.000000,1.085015
0.010000,2.689009,2.196093,3.716028,3.409200,0.000000,0.000000,1.084097
0.010000,2.704971,2.226218,3.750120,3.409200,0.000000,0.000000,1.082954
0.010000,2.720970,2.256322,3.784212,3.409200,0.000000,0.000000,1.081585
0.010000,2.737015,2.286403,3.818304,3.409200,0.000000,0.000000,1.079989
0.010000,2.753110,2.316456,3.852396,3.409200,0.000000,0.000000,1.078165
0.010000,2.769264,2.346478,3.886488,3.409200,0.000000,0.000000,1.076112
0.010000,2.785483,2.376465,3.920580,3.409200,0.000000,0.000000,1.073828
0.010000,2.801774,2.406413,3.954672,3.409200,0.000000,0.000000,1.071312
0.010000,2.818144,2.436317,3.988764,3.409200,0.000000,0.000000,1.068561
0.010000,2.834599,2.466175,4.022856,3.409200,0.000000,0.000000,1.065574
0.010000,2.851147,2.495982,4.056948,3.409200,0.000000,0.000000,1.062350
0.010000,2.867795,2.525732,4.091040,3.409200,0.000000,0.000000,1.058885
0.010000,2.884549,2.555424,4.125132,3.409200,0.000000,0.000000,1.055177
0.010000,2.901417,2.585050,4.159224,3.409200,0.000000,0.000000,1.051224
0.010000,2.918406,2.614608,4.193316,3.409200,0.000000,0.000000,1.047023
0.010000,2.935522,2.644092,4.227408,3.409200,0.000000,0.000000,1.042572
