dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000169,-0.077778,0.000024,0.004856,0.485641,48.564103,6.281017
0.010000,-0.000166,-0.077778,0.000026,0.000220,-0.463667,-94.930793,6.281045
0.010000,-0.000161,-0.077778,0.000031,0.000494,0.027470,49.113726,6.281109
0.010000,-0.000153,-0.077778,0.000040,0.000879,0.038466,1.099571,6.281222
0.010000,-0.000139,-0.077778,0.000054,0.001374,0.049473,1.100731,6.281399
0.010000,-0.000119,-0.077778,0.000074,0.001979,0.060500,1.102631,6.281653
0.010000,-0.000092,-0.077778,0.000101,0.002694,0.071554,1.105453,6.281999
0.010000,-0.000057,-0.077778,0.000136,0.003521,0.082648,1.109383,6.282452
0.010000,-0.000012,-0.077778,0.000180,0.004459,0.093794,1.114603,6.283025
0.010000,0.001899,-0.077777,0.002092,0.191174,18.671495,1857.770067,0.000542
0.010000,0.004805,-0.077775,0.004998,0.290594,9.942024,-872.947059,0.001372
0.010000,0.008157,-0.077768,0.008350,0.335137,4.454284,-548.774009,0.002332
0.010000,0.011958,-0.077757,0.012151,0.380138,4.500141,4.585654,0.003422
0.010000,0.016204,-0.077740,0.016397,0.424614,4.447587,-5.255340,0.004643
0.010000,0.020899,-0.077715,0.021092,0.469522,4.490839,4.325194,0.005997
0.010000,0.026042,-0.077681,0.026235,0.514245,4.472276,-1.856357,0.007484
0.010000,0.031630,-0.077634,0.031823,0.558870,4.462515,-0.976076,0.009105
0.010000,0.037666,-0.077574,0.037860,0.603651,4.478097,1.558245,0.010863
0.010000,0.044152,-0.077497,0.044346,0.648585,4.493388,1.529093,0.012758
0.010000,0.051084,-0.077402,0.051279,0.693322,4.473720,-1.966790,0.014792
0.010000,0.058464,-0.077285,0.058660,0.738096,4.477378,0.365791,0.016967
0.010000,0.066292,-0.077143,0.066489,0.782890,4.479362,0.198381,0.019284
0.010000,0.074567,-0.076973,0.074766,0.827687,4.479671,0.030887,0.021745
0.010000,0.083290,-0.076772,0.083491,0.872509,4.482198,0.252671,0.024353
0.010000,0.092462,-0.076536,0.092667,0.917573,4.506424,2.422651,0.027110
0.010000,0.102082,-0.076261,0.102290,0.962372,4.479879,-2.654465,0.030017
0.010000,0.112148,-0.075943,0.112361,1.007106,4.473446,-0.643372,0.033078
