dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.681649,3.190642,0.000024,0.004856,0.485641,48.564103,4.749416
0.010000,6.681649,3.190639,0.000027,0.000259,-0.459736,-94.537750,4.749383
0.010000,6.681649,3.190633,0.000033,0.000583,0.032386,49.212284,4.749308
0.010000,6.681649,3.190623,0.000043,0.001036,0.045357,1.297041,4.749175
0.010000,6.681650,3.190607,0.000059,0.001620,0.058352,1.299476,4.748966
0.010000,6.681651,3.190583,0.000083,0.002334,0.071386,1.303464,4.748666
0.010000,6.681652,3.190552,0.000114,0.003179,0.084480,1.309397,4.748258
0.010000,6.681653,3.190510,0.000156,0.004155,0.097657,1.317669,4.747723
0.010000,6.681719,3.188650,0.002017,0.186120,18.196463,1809.880590,4.747046
0.010000,6.681803,3.186184,0.004485,0.246794,6.067464,-1212.899895,4.746216
0.010000,6.681900,3.183267,0.007403,0.291799,4.500477,-156.698656,4.745233
0.010000,6.682009,3.179904,0.010768,0.336534,4.473473,-2.700453,4.744096
0.010000,6.682127,3.176089,0.014585,0.381677,4.514328,4.085496,4.742801
0.010000,6.682254,3.171825,0.018851,0.426557,4.487994,-2.633385,4.741348
0.010000,6.682387,3.167112,0.023566,0.471480,4.492288,0.429396,4.739735
0.010000,6.682523,3.161949,0.028730,0.516450,4.496983,0.469526,4.737959
0.010000,6.682661,3.156337,0.034344,0.561441,4.499136,0.215296,4.736018
0.010000,6.682798,3.150274,0.040409,0.606429,4.498727,-0.040856,4.733909
0.010000,6.682931,3.143761,0.046923,0.651386,4.495742,-0.298536,4.731629
0.010000,6.683057,3.136796,0.053889,0.696684,4.529810,3.406836,4.729174
0.010000,6.683171,3.129380,0.061306,0.741615,4.493142,-3.666813,4.726542
0.010000,6.683272,3.121513,0.069174,0.786804,4.518873,2.573035,4.723727
0.010000,6.683353,3.113195,0.077492,0.831822,4.501779,-1.709383,4.720728
0.010000,6.683413,3.104423,0.086264,0.877217,4.539472,3.769312,4.717536
0.010000,6.683445,3.095200,0.095488,0.922363,4.514601,-2.487139,4.714150
0.010000,6.683444,3.085524,0.105164,0.967607,4.524422,0.982186,4.710564
0.010000,6.683407,3.075394,0.115293,1.012920,4.531344,0.692187,4.706771
0.010000,6.683326,3.064812,0.125876,1.058274,4.535326,0.398215,4.702766
0.010000,6.683197,3.053776,0.136912,1.103637,4.536336,0.100986,4.698544
0.010000,6.683012,3.042287,0.148403,1.149093,4.545588,0.925172,4.694097
0.010000,6.682766,3.030342,0.160350,1.194731,4.563794,1.820562,4.689417
0.010000,6.682450,3.017945,0.172751,1.240109,4.537829,-2.596441,4.684499
0.010000,6.682059,3.005092,0.185611,1.285933,4.582417,4.458775,4.679333
0.010000,6.681582,2.991785,0.198926,1.331561,4.562737,-1.968035,4.673911
0.010000,6.681014,2.978024,0.212699,1.377289,4.572872,1.013547,4.668224
0.010000,6.680343,2.963808,0.226931,1.423143,4.585393,1.252088,4.662263
0.010000,6.679561,2.949138,0.241622,1.469087,4.594333,0.894052,4.656018
0.010000,6.678658,2.934014,0.256772,1.515083,4.599655,0.532177,4.649478
0.010000,6.677624,2.918437,0.272383,1.561097,4.601337,0.168158,4.642632
0.010000,6.676446,2.902407,0.288457,1.607375,4.627825,2.648810,4.635468
0.010000,6.675114,2.885925,0.304993,1.653575,4.620026,-0.779871,4.627974
0.010000,6.673614,2.868991,0.321993,1.700046,4.647077,2.705074,4.620137
0.010000,6.671934,2.851607,0.339458,1.746459,4.641331,-0.574616,4.611943
0.010000,6.670060,2.833775,0.357388,1.793055,4.659549,1.821793,4.603377
0.010000,6.667977,2.815495,0.375786,1.839787,4.673237,1.368799,4.594426
0.010000,6.665669,2.796771,0.394652,1.886611,4.682384,0.914692,4.585073
0.010000,6.663121,2.777605,0.413987,1.933481,4.687015,0.463141,4.575302
